query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,en,what is the mathematical relationship between temperature and volume direct or inverse,"[""7206684""]","[""7206684"", ""7165807"", ""7804101"", ""7622515"", ""7502195"", ""7857636"", ""7934279"", ""7217353"", ""7220288"", ""7672368""]",
1035645,en,what is the name of the castle in russia,"[""7208858""]","[""7208858"", ""7851318"", ""7105678"", ""1878861"", ""7152404"", ""7826216"", ""7957524"", ""7858842"", ""7292184"", ""7246021""]",
71029,en,can lyme disease cause folliculitis in dogs,"[""7670160""]","[""7670160"", ""7679596"", ""1033337"", ""7795418"", ""7519478"", ""1163812"", ""7452987"", ""7089741"", ""7345967"", ""7112464""]",
1083836,en,what does fdic insured mean?,"[""1896608""]","[""1896608"", ""7148904"", ""4191529"", ""7313355"", ""1159597"", ""7154644"", ""7146364"", ""7704366"", ""7522344"", ""7083811""]",
1058885,en,what is causing the constant dry heaving and nausea,"[""7170528""]","[""764872"", ""7966808"", ""382685"", ""7205952"", ""7966804"", ""7067901"", ""7112652"", ""7506794"", ""1979597"", ""7110876""]",
1039189,en,who is the actress on the away team in star trek operation annihilate,"[""7805080""]","[""7983669"", ""1285360"", ""7694677"", ""1757350"", ""7125366"", ""7805080"", ""7383642"", ""7782055"", ""7305571"", ""7287434""]",
829562,en,what is the main purpose of a political party?,"[""3347905""]","[""3347905"", ""4582296"", ""2468148"", ""1455862"", ""3353086"", ""7216092"", ""7210828"", ""7925187"", ""991142"", ""7847593""]",
1055884,en,who was the first author to use sociology in their writing,"[""67588""]","[""7763743"", ""67588"", ""8003099"", ""67596"", ""7907439"", ""7213343"", ""7763140"", ""7082559"", ""7907440"", ""7435832""]",
466830,en,number of protons neutrons and electrons in nitrogen 14,"[""7709283""]","[""7709283"", ""7158898"", ""7080008"", ""3349239"", ""7107654"", ""7402796"", ""7240603"", ""7711538"", ""34489"", ""7777896""]",
1048871,en,who plays xander from bunkd,"[""4146836""]","[""4146836"", ""7124323"", ""7290270"", ""4439219"", ""7764195"", ""7412017"", ""7383642"", ""7105098"", ""7927438"", ""7636646""]",
1085775,en,what connection does guided imagery take advantage of to transport you deep into,"[""7116157""]","[""7116157"", ""7186693"", ""7150228"", ""7634650"", ""7621537"", ""7901200"", ""7609169"", ""7984373"", ""7154134"", ""7929939""]",
884298,en,what parameters effect i:e ratio on ventilators,"[""7928696"", ""7928694""]","[""7928694"", ""7864191"", ""7928696"", ""7625523"", ""7966440"", ""7079907"", ""7998086"", ""7220288"", ""7139043"", ""7215725""]",
1097199,en,how many eggs do does a woman have,"[""7433925""]","[""7433925"", ""7433792"", ""7273604"", ""7365014"", ""7210214"", ""7623591"", ""7809714"", ""6093010"", ""110910"", ""4697480""]",
950016,en,when is daylight savings time for switzerland,"[""7754765""]","[""7754765"", ""7410122"", ""256757"", ""7204196"", ""7601337"", ""7438631"", ""7973805"", ""7236525"", ""7679151"", ""7964726""]",
