query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,zh-en,温度与体积的正反mathematical relationship是什么,"[""7206684""]","[""7206684"", ""7165807"", ""7379549"", ""7492132"", ""7857636"", ""7122373"", ""7659466"", ""7691361"", ""4798181"", ""7272695""]",0.2222222222222222
1035645,zh-en,俄罗斯的城堡叫什么name,"[""7208858""]","[""7208858"", ""7858842"", ""7851318"", ""7105678"", ""7152404"", ""1878861"", ""7028429"", ""6541514"", ""7246021"", ""7262494""]",0.16666666666666663
71029,zh-en,莱姆病会导致dogs的毛囊炎吗,"[""7670160""]","[""7670160"", ""7455776"", ""1033337"", ""7089741"", ""7679596"", ""7452987"", ""1163812"", ""7167778"", ""7345967"", ""7795418""]",0.1428571428571429
1083836,zh-en,fdic insured是什么意思？,"[""1896608""]","[""1896608"", ""7704366"", ""7211811"", ""7375334"", ""7313355"", ""7688312"", ""7146364"", ""7522344"", ""7536026"", ""7170029""]",0.19999999999999996
1058885,zh-en,是什么causing了持续的干胀和恶心,"[""7170528""]","[""5584747"", ""7531239"", ""7966808"", ""764872"", ""298259"", ""7773118"", ""7153828"", ""6407050"", ""7237598"", ""7533102""]",0.11111111111111116
1039189,zh-en,谁是星际迷航行动歼灭team的女演员,"[""7805080""]","[""7125366"", ""7983669"", ""7805080"", ""5972440"", ""7828507"", ""7572869"", ""7355808"", ""7287434"", ""7754210"", ""3909183""]",0.11111111111111116
829562,zh-en,政党的主要purpose是什么？,"[""3347905""]","[""3347905"", ""4582296"", ""7216092"", ""7567257"", ""7847593"", ""7846219"", ""2468148"", ""7797820"", ""7759153"", ""7865401""]",0.16666666666666663
1055884,zh-en,谁是第一个在writing中使用社会学的作者,"[""67588""]","[""7763743"", ""7213343"", ""7259545"", ""7719848"", ""67588"", ""8003099"", ""67596"", ""7763140"", ""7907439"", ""7082559""]",0.09999999999999998
466830,zh-en,氮中的质子数、中子数和electrons 14,"[""7709283""]","[""7158898"", ""7709283"", ""7107654"", ""7080008"", ""7711538"", ""7206592"", ""7738967"", ""7867320"", ""7404441"", ""7495648""]",0.18181818181818177
1048871,zh-en,谁在bunkd中plays xander,"[""4146836""]","[""4146836"", ""7383642"", ""7290260"", ""7451471"", ""3645675"", ""7855353"", ""7125366"", ""7764195"", ""7412014"", ""7310898""]",0.16666666666666663
1085775,zh-en,引导图像advantage什么联系将您带入深入,"[""7116157""]","[""7116157"", ""7150228"", ""7488652"", ""7919768"", ""7984373"", ""7725956"", ""7634650"", ""7544860"", ""7111959"", ""7621537""]",0.11111111111111116
884298,zh-en,哪些parameters会影响呼吸机的i : e比率,"[""7928696"", ""7928694""]","[""7928694"", ""7928696"", ""7864191"", ""7079907"", ""7268557"", ""7574509"", ""7558643"", ""1192808"", ""7081906"", ""7574513""]",0.11111111111111116
1097199,zh-en,一个女人有多少个eggs,"[""7433925""]","[""110910"", ""7433925"", ""7365014"", ""7623591"", ""7992043"", ""7255867"", ""7414499"", ""7826945"", ""7325989"", ""7392714""]",0.16666666666666663
950016,zh-en,瑞士的daylight time是什么时候,"[""7754765""]","[""7754765"", ""7410122"", ""256757"", ""7204196"", ""7236525"", ""7095708"", ""7889379"", ""7601337"", ""7849778"", ""7438631""]",0.16666666666666663
337148,zh-en,你的小狗应该多old才能接种狂犬病疫苗,"[""7389316""]","[""7389316"", ""7974596"", ""7311939"", ""7700487"", ""609254"", ""7076146"", ""7187607"", ""11527"", ""7493757"", ""7492935""]",0.11111111111111116
733241,zh-en,什么被considered是着装,"[""1699500""]","[""7933515"", ""7171569"", ""7856651"", ""7069399"", ""7421911"", ""1699500"", ""7857342"", ""7170449"", ""7766841"", ""7597656""]",0.19999999999999996
576898,zh-en,什么是最常fought的战争,"[""7598385""]","[""7214220"", ""7389537"", ""7081759"", ""7742103"", ""7234971"", ""3149452"", ""7899750"", ""7254097"", ""7090573"", ""1798522""]",0.16666666666666663
617306,zh-en,什么缺乏会在指甲上产生white spot,"[""7502930""]","[""7502930"", ""7122052"", ""7493514"", ""1903885"", ""7493507"", ""4696351"", ""7537844"", ""480677"", ""7132199"", ""5006012""]",0.125
1064470,zh-en,为什么鸡蛋会变成brown,"[""7728289""]","[""7728289"", ""7332142"", ""7399071"", ""1501464"", ""233414"", ""7413320"", ""7510610"", ""3457276"", ""7826584"", ""7380886""]",0.19999999999999996
393696,zh-en,在德克萨斯州申请成为经纪人需要什么requirements,"[""7598745""]","[""7598745"", ""7934632"", ""7645183"", ""7593413"", ""2320067"", ""7543353"", ""7098122"", ""7079658"", ""7714548"", ""7155303""]",0.125
992193,zh-en,谁创造了适者生存的概念？ charles darwin karl marx赫伯特·斯宾塞马克斯·韦伯,"[""7280593""]","[""7280593"", ""7912439"", ""7217405"", ""4772781"", ""7107894"", ""7577963"", ""7902044"", ""7102301"", ""7394614"", ""7257833""]",0.2857142857142857
829915,zh-en,经父母consent ，堪萨斯州的marriage age是多少,"[""7787972""]","[""7787972"", ""7900321"", ""7106774"", ""7167740"", ""7962748"", ""5898158"", ""6395661"", ""7996617"", ""7221882"", ""4586411""]",0.25
987767,zh-en,罗伊摩尔lost to了谁,"[""7290624""]","[""7290624"", ""7766992"", ""7782055"", ""7689707"", ""7302021"", ""7445716"", ""7954704"", ""7281607"", ""7135225"", ""7478206""]",0.19999999999999996
299128,zh-en,每月多少units的水,"[""6720313""]","[""6720313"", ""7326865"", ""7073976"", ""7776376"", ""7376730"", ""684240"", ""7325989"", ""77985"", ""2336191"", ""7485559""]",0.19999999999999996
814132,zh-en,什么是每日钠limit,"[""7951365""]","[""714998"", ""7951365"", ""7837801"", ""1738230"", ""7187701"", ""7584607"", ""7647265"", ""1460244"", ""7567998"", ""7257787""]",0.19999999999999996
874257,zh-en,作者用什么文学手法来describe约翰尼抢mugging外人的行为,"[""7867405""]","[""7867405"", ""7907059"", ""7612634"", ""7935417"", ""7204388"", ""7889259"", ""7751362"", ""7870839"", ""7806789"", ""7341001""]",0.25
868598,zh-en,你需要什么样的grades才能成为一名牙科保健员,"[""7743190""]","[""7360526"", ""6348579"", ""7360530"", ""7863564"", ""7743190"", ""7901950"", ""7583542"", ""7944021"", ""7688776"", ""1829126""]",0.09999999999999998
1071609,zh-en,为什么噪音是个problem,"[""7816796""]","[""7816796"", ""1418283"", ""7679560"", ""7087019"", ""7250048"", ""433444"", ""7325759"", ""1011107"", ""2006052"", ""7915201""]",0.19999999999999996
663595,zh-en,罗伯·托马斯是什么genre的,"[""7465375""]","[""2813821"", ""7733821"", ""7465375"", ""7689707"", ""7436481"", ""7612172"", ""7697790"", ""7575496"", ""7944304"", ""7355752""]",0.16666666666666663
1062203,zh-en,为什么布拉德皮特和安吉丽娜朱莉divorce,"[""7569446""]","[""7569446"", ""7864039"", ""7573749"", ""7859734"", ""7307861"", ""7946505"", ""7864034"", ""7788833"", ""7761845"", ""5404401""]",0.1428571428571429
182644,zh-en,药物戒断症状的examples,"[""7935405""]","[""7935405"", ""7615041"", ""7173651"", ""7486505"", ""7742389"", ""7299269"", ""7648407"", ""7135691"", ""7486503"", ""4920146""]",0.19999999999999996
931029,zh-en,黄瓜的平均size是多少,"[""7812195""]","[""7812195"", ""7574941"", ""7563950"", ""7836035"", ""7229668"", ""7926351"", ""6434120"", ""7358483"", ""7426755"", ""7479581""]",0.16666666666666663
924580,zh-en,什么威士忌是由小麦made的,"[""7853738"", ""7853736""]","[""7853736"", ""7853738"", ""1676911"", ""708299"", ""7109056"", ""7893642"", ""7730578"", ""7451198"", ""1539468"", ""6666760""]",0.1428571428571429
837702,zh-en,helium的反义词是什么,"[""7799527""]","[""7799527"", ""7406479"", ""7276475"", ""7268719"", ""7674924"", ""7263791"", ""644710"", ""7902421"", ""7867476"", ""7268725""]",0.19999999999999996
1033156,zh-en,大酋长的real name是什么,"[""7212940""]","[""7935417"", ""7117505"", ""7603501"", ""1285360"", ""7821443"", ""7499378"", ""7118597"", ""7125373"", ""7963400"", ""7875397""]",0.16666666666666663
1079185,zh-en,当公司dissolves并负债时会发生什么？,"[""53048""]","[""53048"", ""3592709"", ""7397256"", ""6417290"", ""7108043"", ""7114254"", ""7804150"", ""7173266"", ""7883166"", ""7172263""]",0.125
171534,zh-en,有些汽车use空调来帮助除霜吗,"[""7385189""]","[""7385189"", ""7211972"", ""7079467"", ""7910955"", ""7629794"", ""7215725"", ""7457418"", ""7067759"", ""7960849"", ""7234031""]",0.125
838500,zh-en,你arm上抽血的部位叫什么,"[""4707882""]","[""4707882"", ""7318629"", ""8008988"", ""735198"", ""7098526"", ""7349187"", ""7273634"", ""7949238"", ""7273733"", ""7982362""]",0.125
361285,zh-en,如何去除carpet上的猫尿渍,"[""7401706""]","[""7401706"", ""7801159"", ""7910955"", ""7072465"", ""8000759"", ""7428189"", ""7367838"", ""7788924"", ""7726837"", ""2820408""]",0.125
1074603,zh-en,为什么use视频进行营销和促销,"[""7845422""]","[""7845422"", ""7966136"", ""613301"", ""7827847"", ""7461286"", ""7826615"", ""7388532"", ""7173082"", ""7970530"", ""7973245""]",0.1428571428571429
931783,zh-en,自我image和自我概念有什么区别,"[""7830900""]","[""7830900"", ""7164081"", ""7447985"", ""7649902"", ""7682652"", ""7890507"", ""7497224"", ""7477756"", ""7410315"", ""7787994""]",0.1428571428571429
1096025,zh-en,国家在md pay护士多少钱,"[""7541711""]","[""7541711"", ""363604"", ""7636819"", ""7959134"", ""7658002"", ""7447492"", ""7195763"", ""7825985"", ""7463865"", ""7813505""]",0.1428571428571429
1037612,zh-en,armadillo的长度是多少,"[""7205573""]","[""7594460"", ""7625327"", ""7444351"", ""7627262"", ""7397022"", ""7601989"", ""3584350"", ""7388866"", ""7720508"", ""7162062""]",0.19999999999999996
1004565,zh-en,epcot的美食美酒节什么时候start,"[""7255591""]","[""7255591"", ""7375794"", ""7813102"", ""7568048"", ""7213638"", ""7644583"", ""7257190"", ""7555831"", ""7088575"", ""7750740""]",0.125
630172,zh-en,中指戴finger是什么意思？,"[""7469958""]","[""7469958"", ""7406252"", ""7534457"", ""4574879"", ""7322149"", ""2763110"", ""4696351"", ""7519104"", ""7441402"", ""7894150""]",0.16666666666666663
650157,zh-en,你是个good egg的表情是什么,"[""7453899""]","[""7453899"", ""7984355"", ""7675212"", ""7430397"", ""7323225"", ""7767342"", ""7125270"", ""7192340"", ""7880398"", ""7960228""]",0.2222222222222222
