query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,es-en,¿ Cuál es la relationship matemática entre temperature y volumen directa o inversa?,"[""7206684""]","[""7622515"", ""7206684"", ""7305139"", ""7527060"", ""7659466"", ""7492132"", ""7235859"", ""7272695"", ""7566992"", ""7933971""]",0.16666666666666663
1035645,es-en,cual es el nombre del castle en rusia,"[""7208858""]","[""7208858"", ""7105678"", ""7152404"", ""7085238"", ""7128290"", ""7028429"", ""1878861"", ""7619153"", ""7858842"", ""7396043""]",0.125
71029,es-en,¿ Puede la enfermedad de Lyme causar foliculitis en dogs?,"[""7670160""]","[""7452987"", ""7670160"", ""663950"", ""1033337"", ""7089741"", ""7837036"", ""7649705"", ""7455776"", ""7679596"", ""7112464""]",0.11111111111111116
1083836,es-en,¿ Qué significa insured por fdic?,"[""1896608""]","[""1896608"", ""4191529"", ""7704366"", ""7595500"", ""7148904"", ""7240277"", ""7272684"", ""7688312"", ""7962108"", ""1159597""]",0.19999999999999996
1058885,es-en,¿ Qué está causando the constant heaving y arcadas secas?,"[""7170528""]","[""7531239"", ""5584747"", ""4785576"", ""7452232"", ""7684947"", ""7112652"", ""7465923"", ""5440644"", ""382685"", ""7132300""]",0.33333333333333337
1039189,es-en,¿ Quién es la actriz del equipo visitante en operation Star Trek Aniquilar?,"[""7805080""]","[""7805080"", ""7239171"", ""7329333"", ""7789644"", ""7490735"", ""1086058"", ""4783316"", ""7287434"", ""7125366"", ""7292304""]",0.15384615384615385
829562,es-en,¿ Cuál es el objetivo main de un partido político?,"[""3347905""]","[""3347905"", ""4582296"", ""7787994"", ""7100389"", ""991142"", ""7926476"", ""1455862"", ""7830190"", ""7216092"", ""7105483""]",0.11111111111111116
1055884,es-en,¿ Quién fue el primer autor en utilizar la sociología en their writing?,"[""67588""]","[""7763743"", ""67588"", ""7763140"", ""8003099"", ""7907440"", ""7257833"", ""7105483"", ""67596"", ""7200796"", ""7213343""]",0.16666666666666663
466830,es-en,número de protones neutrons y electrones en nitrógeno 14,"[""7709283""]","[""7709283"", ""7158898"", ""7080008"", ""3349239"", ""7458932"", ""7696612"", ""7240603"", ""7777896"", ""7674848"", ""7929230""]",0.11111111111111116
1048871,es-en,quien plays a xander de bunkd,"[""4146836""]","[""4146836"", ""7124323"", ""7286801"", ""7888038"", ""7121598"", ""7287518"", ""7812781"", ""7877828"", ""7846757"", ""7451471""]",0.16666666666666663
1085775,es-en,¿ What connection aprovechan las imágenes guiadas para transportarte profundamente,"[""7116157""]","[""7116157"", ""7929939"", ""7621537"", ""7943897"", ""7309353"", ""7614573"", ""804081"", ""7437141"", ""7026760"", ""7145212""]",0.2222222222222222
884298,es-en,¿ What parameters afectan la relación i : e en los ventiladores?,"[""7928696"", ""7928694""]","[""7928694"", ""7915135"", ""7239751"", ""7339480"", ""7601434"", ""7998086"", ""7861305"", ""7542623"", ""7272695"", ""7684288""]",0.19999999999999996
1097199,es-en,¿ Cuántos eggs tiene una mujer?,"[""7433925""]","[""7433925"", ""7196833"", ""7695522"", ""7433792"", ""7773479"", ""7728289"", ""233414"", ""7771662"", ""4291627"", ""7510610""]",0.19999999999999996
950016,es-en,¿ Cuándo es el horario de daylight en Suiza?,"[""7754765""]","[""7754765"", ""7410122"", ""256757"", ""166256"", ""7236525"", ""7121801"", ""7236909"", ""7095708"", ""924613"", ""7889379""]",0.125
337148,es-en,¿ How old debe tener your puppy para recibir la vacuna contra la rabia?,"[""7389316""]","[""7389316"", ""7974596"", ""7700487"", ""7311939"", ""7076146"", ""609254"", ""7187607"", ""7493757"", ""7492451"", ""7723262""]",0.3076923076923077
733241,es-en,lo que se considered vestimenta,"[""1699500""]","[""7933515"", ""7421911"", ""7766841"", ""7857342"", ""7171569"", ""7715036"", ""7204833"", ""7814282"", ""7170449"", ""7246698""]",0.19999999999999996
576898,es-en,¿ Cuáles son las wars por las que se fought más comúnmente?,"[""7598385""]","[""7214220"", ""3429513"", ""7234971"", ""7742103"", ""2358879"", ""7253685"", ""2536541"", ""7580400"", ""2679413"", ""7843451""]",0.18181818181818177
617306,es-en,que deficiency produce mancha blanca en las uñas,"[""7502930""]","[""7132199"", ""7502930"", ""7122052"", ""5006012"", ""7537844"", ""480677"", ""7493507"", ""7971159"", ""7493514"", ""7894150""]",0.125
1064470,es-en,¿ Por qué los huevos se vuelven brown?,"[""7728289""]","[""7728289"", ""1501464"", ""5558092"", ""7510610"", ""233414"", ""7380886"", ""7431830"", ""7383191"", ""4291627"", ""7653673""]",0.1428571428571429
393696,es-en,"en texas, qué requisitos se needed para postularse para convertirse en broker","[""7598745""]","[""7598745"", ""7934632"", ""7996617"", ""7155303"", ""7645183"", ""7916888"", ""7514078"", ""7553470"", ""7834912"", ""7543353""]",0.16666666666666663
