query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,zh,温度与体积的正反数学关系是什么,"[""7206684""]","[""7239230"", ""7555272"", ""7692857"", ""7944469"", ""7122373"", ""7217353"", ""3605846"", ""7804101"", ""7206684"", ""7090117""]",
1035645,zh,俄罗斯的城堡叫什么名字,"[""7208858""]","[""7208858"", ""7085238"", ""7152404"", ""7105678"", ""7028429"", ""7858842"", ""7886203"", ""7691221"", ""7396043"", ""7495093""]",
71029,zh,莱姆病会导致狗的毛囊炎吗,"[""7670160""]","[""7670160"", ""1033337"", ""7112464"", ""1163812"", ""7679596"", ""7455776"", ""7089741"", ""7199997"", ""7676140"", ""663950""]",
1083836,zh,fdic 投保是什么意思？,"[""1896608""]","[""1896608"", ""7808278"", ""4191529"", ""7184869"", ""7146364"", ""7308077"", ""1159597"", ""7166333"", ""7133842"", ""7375334""]",
1058885,zh,是什么导致了持续的干胀和恶心,"[""7170528""]","[""7531239"", ""7325629"", ""7067077"", ""7528852"", ""7915790"", ""7668684"", ""298259"", ""7103054"", ""7139764"", ""6407050""]",
1039189,zh,谁是星际迷航行动歼灭客队的女演员,"[""7805080""]","[""7303666"", ""5972440"", ""7983669"", ""7732555"", ""7805080"", ""7124323"", ""7355808"", ""7239171"", ""7296899"", ""7287434""]",
829562,zh,政党的主要目的是什么？,"[""3347905""]","[""3347905"", ""4582296"", ""7865401"", ""3353086"", ""2468148"", ""7245877"", ""7216092"", ""7396947"", ""7881110"", ""7880502""]",
1055884,zh,谁是第一个在写作中使用社会学的作者,"[""67588""]","[""7763743"", ""67588"", ""7082559"", ""7435832"", ""7626411"", ""7577963"", ""7541544"", ""7253236"", ""7466996"", ""7618484""]",
466830,zh,氮中的质子数、中子数和电子数 14,"[""7709283""]","[""7709283"", ""7158898"", ""7080008"", ""7674848"", ""7965476"", ""7402796"", ""7100247"", ""7867320"", ""7847504"", ""7777896""]",
1048871,zh,谁在 bunkd 中扮演 xander,"[""4146836""]","[""4146836"", ""7382065"", ""7888038"", ""7646041"", ""7957815"", ""7750201"", ""7935110"", ""1285360"", ""7292304"", ""7124323""]",
1085775,zh,引导图像利用什么联系将您带入深入,"[""7116157""]","[""7116157"", ""7472357"", ""7752264"", ""7188975"", ""7160361"", ""7356443"", ""7665867"", ""7202654"", ""7212558"", ""7237531""]",
884298,zh,哪些参数会影响呼吸机的 i:e 比率,"[""7928696"", ""7928694""]","[""7928694"", ""7558643"", ""7928696"", ""7999136"", ""7684288"", ""7555333"", ""7708657"", ""7082136"", ""7239751"", ""2209369""]",
1097199,zh,一个女人有多少个卵子,"[""7433925""]","[""7433925"", ""7433792"", ""7273604"", ""6093010"", ""7534069"", ""7211660"", ""7255867"", ""7992043"", ""7416687"", ""7583899""]",
950016,zh,瑞士的夏令时是什么时候,"[""7754765""]","[""7754765"", ""7236525"", ""7601337"", ""7121801"", ""7086985"", ""7410122"", ""7095708"", ""7936377"", ""7812355"", ""7236909""]",
337148,zh,你的小狗应该多大才能接种狂犬病疫苗,"[""7389316""]","[""7389316"", ""7076146"", ""609254"", ""7974596"", ""7700487"", ""7311939"", ""7493757"", ""7312387"", ""7187607"", ""7223077""]",
733241,zh,什么被认为是着装,"[""1699500""]","[""1699500"", ""7933515"", ""7170449"", ""7171569"", ""7715036"", ""7647619"", ""7421911"", ""7573780"", ""7766841"", ""7649080""]",
576898,zh,什么是最常发生的战争,"[""7598385""]","[""7738141"", ""7829864"", ""7964686"", ""7253685"", ""7081759"", ""7843451"", ""7234971"", ""7264655"", ""7566190"", ""2536541""]",
617306,zh,什么缺乏会在指甲上产生白斑,"[""7502930""]","[""7122052"", ""7502930"", ""7493514"", ""1903885"", ""4696351"", ""651395"", ""7132199"", ""7583039"", ""7125283"", ""7459621""]",
