query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,en,what is the mathematical relationship between temperature and volume direct or inverse,"[""7206684""]","[""7206684"", ""7235859"", ""7220288"", ""7122373"", ""7305462"", ""7438602"", ""7692857"", ""7691361"", ""7305139"", ""7657465""]",
1035645,en,what is the name of the castle in russia,"[""7208858""]","[""7208858"", ""7028429"", ""7152404"", ""7318694"", ""7085238"", ""7396043"", ""7828827"", ""7105678"", ""7531201"", ""7817302""]",
71029,en,can lyme disease cause folliculitis in dogs,"[""7670160""]","[""7679596"", ""7576393"", ""7508730"", ""7670160"", ""7795418"", ""1033337"", ""7089741"", ""7112464"", ""7455776"", ""7809224""]",
1083836,en,what does fdic insured mean?,"[""1896608""]","[""1896608"", ""1159597"", ""7688312"", ""7871824"", ""7679312"", ""4191529"", ""7375334"", ""2937749"", ""7854955"", ""7595500""]",
1058885,en,what is causing the constant dry heaving and nausea,"[""7170528""]","[""7399600"", ""7139764"", ""7970305"", ""7903633"", ""7245607"", ""1738230"", ""7123923"", ""7409612"", ""6081204"", ""538189""]",
1039189,en,who is the actress on the away team in star trek operation annihilate,"[""7805080""]","[""7125366"", ""7292304"", ""7572869"", ""7872329"", ""7906424"", ""7950004"", ""4783316"", ""7805080"", ""7383642"", ""7723876""]",
829562,en,what is the main purpose of a political party?,"[""3347905""]","[""3347905"", ""2371093"", ""7396947"", ""2468148"", ""7245381"", ""1455862"", ""7721883"", ""3353086"", ""7318768"", ""7532348""]",
1055884,en,who was the first author to use sociology in their writing,"[""67588""]","[""67588"", ""7763743"", ""7082559"", ""7626411"", ""145831"", ""7474496"", ""7318902"", ""7876093"", ""7689272"", ""7773767""]",
466830,en,number of protons neutrons and electrons in nitrogen 14,"[""7709283""]","[""7709283"", ""7080008"", ""7217195"", ""7438982"", ""7777896"", ""3349239"", ""7158898"", ""7210335"", ""7458932"", ""7969020""]",
1048871,en,who plays xander from bunkd,"[""4146836""]","[""4146836"", ""7292304"", ""7872329"", ""4783316"", ""7646041"", ""7971544"", ""7771898"", ""7610626"", ""7285853"", ""7382065""]",
