query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,en,what is the mathematical relationship between temperature and volume direct or inverse,"[""7206684""]","[""7337058"", ""7143330"", ""7363579"", ""7620335"", ""7878601"", ""7895704"", ""7736760"", ""7245607"", ""7091074"", ""7977026""]",
1035645,en,what is the name of the castle in russia,"[""7208858""]","[""7337058"", ""7895704"", ""7091074"", ""7736760"", ""7415405"", ""7757514"", ""7620335"", ""7150209"", ""7245607"", ""4691940""]",
71029,en,can lyme disease cause folliculitis in dogs,"[""7670160""]","[""7620335"", ""7337058"", ""7091074"", ""7245607"", ""7895704"", ""7878601"", ""7391075"", ""7363579"", ""7216397"", ""7285551""]",
1083836,en,what does fdic insured mean?,"[""1896608""]","[""7337058"", ""7620335"", ""7091074"", ""7285551"", ""7771874"", ""7878601"", ""7363579"", ""7985286"", ""7187955"", ""7245607""]",
1058885,en,what is causing the constant dry heaving and nausea,"[""7170528""]","[""7337058"", ""7091074"", ""7620335"", ""7895704"", ""7736760"", ""7172541"", ""7757514"", ""7973805"", ""7382828"", ""7809949""]",
1039189,en,who is the actress on the away team in star trek operation annihilate,"[""7805080""]","[""7337058"", ""7415405"", ""7895704"", ""7736760"", ""7620335"", ""7245607"", ""7757514"", ""7091074"", ""7216397"", ""7150209""]",
829562,en,what is the main purpose of a political party?,"[""3347905""]","[""7337058"", ""7809949"", ""7736760"", ""7620335"", ""7091074"", ""7143330"", ""7363579"", ""7929303"", ""7245607"", ""7801893""]",
1055884,en,who was the first author to use sociology in their writing,"[""67588""]","[""7337058"", ""7091074"", ""7736760"", ""7809949"", ""7620335"", ""7415405"", ""7277823"", ""7929303"", ""7147754"", ""7757514""]",
466830,en,number of protons neutrons and electrons in nitrogen 14,"[""7709283""]","[""7620335"", ""7895704"", ""7878601"", ""7363579"", ""7973805"", ""7977026"", ""7092609"", ""7143330"", ""7216397"", ""7091074""]",
1048871,en,who plays xander from bunkd,"[""4146836""]","[""7091074"", ""7337058"", ""7973805"", ""7771874"", ""7147754"", ""7620335"", ""7801893"", ""7363579"", ""7509378"", ""7285551""]",
1085775,en,what connection does guided imagery take advantage of to transport you deep into,"[""7116157""]","[""7337058"", ""7120351"", ""7884618"", ""7809949"", ""7085516"", ""7245607"", ""7620335"", ""7285551"", ""7801893"", ""7091074""]",
884298,en,what parameters effect i:e ratio on ventilators,"[""7928694"", ""7928696""]","[""7337058"", ""7620335"", ""7391075"", ""7143330"", ""7736760"", ""7091074"", ""7757514"", ""7363579"", ""7895704"", ""7977026""]",
1097199,en,how many eggs do does a woman have,"[""7433925""]","[""7091074"", ""7620335"", ""7337058"", ""7363579"", ""7895704"", ""7878601"", ""7973805"", ""7391075"", ""7771874"", ""7245607""]",
950016,en,when is daylight savings time for switzerland,"[""7754765""]","[""7337058"", ""7895704"", ""7620335"", ""7878601"", ""7736760"", ""7363579"", ""7216397"", ""7091074"", ""7150209"", ""7245607""]",
337148,en,how old should your puppy be to get a rabies shot,"[""7389316""]","[""7363579"", ""7337058"", ""7620335"", ""7245607"", ""7216397"", ""7878601"", ""7415405"", ""7143330"", ""7895704"", ""7771874""]",
733241,en,what is considered attire,"[""1699500""]","[""7337058"", ""7801893"", ""7445927"", ""7736760"", ""7929303"", ""7091074"", ""7245607"", ""7143330"", ""7615593"", ""7809949""]",
576898,en,what are wars most commonly fought over,"[""7598385""]","[""7337058"", ""7091074"", ""7736760"", ""7620335"", ""7228998"", ""7285551"", ""7801893"", ""7147754"", ""7958520"", ""7757514""]",
617306,en,what deficiency produces white spot on nails,"[""7502930""]","[""7091074"", ""7337058"", ""7620335"", ""7973805"", ""7391075"", ""7895704"", ""7172541"", ""7799421"", ""7146364"", ""7382828""]",
1064470,en,why do eggs turn brown,"[""7728289""]","[""7337058"", ""7091074"", ""7620335"", ""7736760"", ""7495713"", ""7809949"", ""7245607"", ""7895704"", ""7143330"", ""7363579""]",
393696,en,in texas what requirements are needed to apply to become a broker,"[""7598745""]","[""7091074"", ""7337058"", ""7620335"", ""7895704"", ""7973805"", ""7363579"", ""7736760"", ""7878601"", ""7391075"", ""7757514""]",
992193,en,who coined the concept survival of the fittest? charles darwin karl marx herbert spencer max weber,"[""7280593""]","[""7172541"", ""7337058"", ""7091074"", ""7147754"", ""7277823"", ""7809949"", ""7620335"", ""7391075"", ""7985286"", ""7973805""]",
