query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,zh-en,温度与体积的正反mathematical relationship是什么,"[""7206684""]","[""7696820"", ""7692127"", ""7120427"", ""7881110"", ""7235726"", ""4374679"", ""7727336"", ""7242879"", ""7439716"", ""7778410""]",0.2222222222222222
1035645,zh-en,俄罗斯的城堡叫什么name,"[""7208858""]","[""7243206"", ""7272812"", ""7717237"", ""7624295"", ""7120427"", ""7720535"", ""7485241"", ""7211336"", ""7985724"", ""7827927""]",0.16666666666666663
71029,zh-en,莱姆病会导致dogs的毛囊炎吗,"[""7670160""]","[""7717237"", ""4374679"", ""7839871"", ""7097506"", ""7696820"", ""7114851"", ""7692127"", ""7325613"", ""7243206"", ""7620930""]",0.1428571428571429
1083836,zh-en,fdic insured是什么意思？,"[""1896608""]","[""7243206"", ""7720535"", ""7120427"", ""7235726"", ""7985724"", ""7605111"", ""7094624"", ""7571704"", ""7143469"", ""7453182""]",0.19999999999999996
1058885,zh-en,是什么causing了持续的干胀和恶心,"[""7170528""]","[""7243206"", ""7717237"", ""7272812"", ""7138192"", ""7871824"", ""7985724"", ""7156492"", ""7703193"", ""7758892"", ""7138502""]",0.11111111111111116
1039189,zh-en,谁是星际迷航行动歼灭team的女演员,"[""7805080""]","[""7717237"", ""7242879"", ""7620930"", ""7692127"", ""6031553"", ""7243206"", ""7696820"", ""7839871"", ""7720535"", ""7236848""]",0.11111111111111116
829562,zh-en,政党的主要purpose是什么？,"[""3347905""]","[""7243206"", ""7094624"", ""7985724"", ""7717237"", ""7120427"", ""7143469"", ""7720535"", ""4374679"", ""7878622"", ""7234971""]",0.16666666666666663
1055884,zh-en,谁是第一个在writing中使用社会学的作者,"[""67588""]","[""7243206"", ""7985724"", ""7717237"", ""7272812"", ""4374679"", ""7692127"", ""7720535"", ""1944772"", ""7696820"", ""7143469""]",0.09999999999999998
466830,zh-en,氮中的质子数、中子数和electrons 14,"[""7709283""]","[""7120427"", ""7758892"", ""7896317"", ""7839871"", ""6031553"", ""7727336"", ""7236848"", ""7114851"", ""7266111"", ""7955287""]",0.18181818181818177
1048871,zh-en,谁在bunkd中plays xander,"[""4146836""]","[""7985724"", ""7269149"", ""7720535"", ""7094624"", ""7272812"", ""7957964"", ""7717237"", ""7235726"", ""7088695"", ""7243206""]",0.16666666666666663
1085775,zh-en,引导图像advantage什么联系将您带入深入,"[""7116157""]","[""7770763"", ""7431837"", ""7489387"", ""7561994"", ""7362321"", ""7260450"", ""7403659"", ""7692127"", ""7546339"", ""7160571""]",0.11111111111111116
884298,zh-en,哪些parameters会影响呼吸机的i : e比率,"[""7928694"", ""7928696""]","[""7676610"", ""7431837"", ""7546339"", ""7586687"", ""7955333"", ""7787010"", ""7581217"", ""7369795"", ""7852858"", ""7827487""]",0.11111111111111116
1097199,zh-en,一个女人有多少个eggs,"[""7433925""]","[""7243206"", ""7717237"", ""7985724"", ""7272812"", ""7120427"", ""7758892"", ""7094624"", ""7839871"", ""4374679"", ""7620930""]",0.16666666666666663
950016,zh-en,瑞士的daylight time是什么时候,"[""7754765""]","[""7243206"", ""7272812"", ""7985724"", ""7717237"", ""7720535"", ""7624295"", ""7437039"", ""4374679"", ""7120427"", ""7605111""]",0.16666666666666663
337148,zh-en,你的小狗应该多old才能接种狂犬病疫苗,"[""7389316""]","[""7770763"", ""7362321"", ""7278177"", ""7138502"", ""7736398"", ""7727336"", ""7403659"", ""7138192"", ""7118190"", ""610693""]",0.11111111111111116
733241,zh-en,什么被considered是着装,"[""1699500""]","[""7243206"", ""7985724"", ""7272812"", ""2778390"", ""7155719"", ""7236813"", ""7269149"", ""7380847"", ""7703193"", ""7234971""]",0.19999999999999996
576898,zh-en,什么是最常fought的战争,"[""7598385""]","[""7243206"", ""7272812"", ""7155719"", ""7162279"", ""7624295"", ""7881110"", ""7878622"", ""7234971"", ""7985724"", ""7827927""]",0.16666666666666663
617306,zh-en,什么缺乏会在指甲上产生white spot,"[""7502930""]","[""7403659"", ""7243206"", ""7423979"", ""3003239"", ""7138192"", ""7703193"", ""2378652"", ""7758892"", ""7278177"", ""7727336""]",0.125
1064470,zh-en,为什么鸡蛋会变成brown,"[""7728289""]","[""7243206"", ""7403659"", ""7138192"", ""7117981"", ""7114851"", ""7871824"", ""7717237"", ""7485789"", ""7839871"", ""7955287""]",0.19999999999999996
393696,zh-en,在德克萨斯州申请成为经纪人需要什么requirements,"[""7598745""]","[""7696820"", ""7692127"", ""1090781"", ""7267095"", ""7237378"", ""7923321"", ""7161120"", ""7535859"", ""7237444"", ""7774299""]",0.125
992193,zh-en,谁创造了适者生存的概念？ charles darwin karl marx赫伯特·斯宾塞马克斯·韦伯,"[""7280593""]","[""7268347"", ""4439219"", ""7169633"", ""7656740"", ""7453540"", ""7366865"", ""3452545"", ""7906717"", ""7741333"", ""7116392""]",0.2857142857142857
829915,zh-en,经父母consent ，堪萨斯州的marriage age是多少,"[""7787972""]","[""7120427"", ""7985724"", ""7717237"", ""7692127"", ""6031553"", ""7272812"", ""7696820"", ""7117235"", ""7720535"", ""7758892""]",0.25
987767,zh-en,罗伊摩尔lost to了谁,"[""7290624""]","[""7985724"", ""7272812"", ""7243206"", ""7720535"", ""7235726"", ""7624295"", ""7605111"", ""7717237"", ""7714445"", ""7269149""]",0.19999999999999996
299128,zh-en,每月多少units的水,"[""6720313""]","[""7758892"", ""7362321"", ""7908361"", ""7266111"", ""7696820"", ""7243206"", ""7985724"", ""7717237"", ""7770763"", ""7955287""]",0.19999999999999996
814132,zh-en,什么是每日钠limit,"[""7951365""]","[""7243206"", ""6031553"", ""7236848"", ""7871824"", ""7272812"", ""7120427"", ""7620930"", ""7839871"", ""7758892"", ""7692127""]",0.19999999999999996
874257,zh-en,作者用什么文学手法来describe约翰尼抢mugging外人的行为,"[""7867405""]","[""7692127"", ""7717237"", ""7696820"", ""7770763"", ""7955287"", ""7242879"", ""7267095"", ""7426486"", ""7735509"", ""7842616""]",0.25
868598,zh-en,你需要什么样的grades才能成为一名牙科保健员,"[""7743190""]","[""7114851"", ""7727336"", ""7696820"", ""7267095"", ""7758892"", ""7403659"", ""7094594"", ""7266111"", ""7118190"", ""7735509""]",0.09999999999999998
1071609,zh-en,为什么噪音是个problem,"[""7816796""]","[""7403659"", ""7138192"", ""7362321"", ""7957450"", ""7278177"", ""3003239"", ""7871824"", ""7736398"", ""7138502"", ""7115765""]",0.19999999999999996
663595,zh-en,罗伯·托马斯是什么genre的,"[""7465375""]","[""7720535"", ""7985724"", ""7717237"", ""7088695"", ""7714445"", ""7292014"", ""7957964"", ""7094624"", ""7485241"", ""7605111""]",0.16666666666666663
1062203,zh-en,为什么布拉德皮特和安吉丽娜朱莉divorce,"[""7569446""]","[""7842616"", ""7243206"", ""7692127"", ""7120427"", ""7264867"", ""7758892"", ""7696820"", ""7839871"", ""7727336"", ""7272812""]",0.1428571428571429
182644,zh-en,药物戒断症状的examples,"[""7935405""]","[""7243206"", ""7758892"", ""7839871"", ""7717237"", ""7272812"", ""7871824"", ""7827927"", ""7692127"", ""7620930"", ""6031553""]",0.19999999999999996
931029,zh-en,黄瓜的平均size是多少,"[""7812195""]","[""7696820"", ""7243206"", ""7117235"", ""7120427"", ""7692127"", ""7266111"", ""7717237"", ""7985724"", ""6031553"", ""7758892""]",0.16666666666666663
924580,zh-en,什么威士忌是由小麦made的,"[""7853736"", ""7853738""]","[""7717237"", ""7243206"", ""7985724"", ""6031553"", ""7620930"", ""7155125"", ""7272812"", ""7727353"", ""7758892"", ""7839871""]",0.1428571428571429
837702,zh-en,helium的反义词是什么,"[""7799527""]","[""7080132"", ""7985724"", ""7283332"", ""7155125"", ""7717237"", ""7243206"", ""7366591"", ""7269149"", ""7878622"", ""7117235""]",0.19999999999999996
1033156,zh-en,大酋长的real name是什么,"[""7212940""]","[""7243206"", ""7717237"", ""7720535"", ""7272812"", ""7985724"", ""7624295"", ""7143469"", ""7485241"", ""7211336"", ""7269149""]",0.16666666666666663
1079185,zh-en,当公司dissolves并负债时会发生什么？,"[""53048""]","[""7692127"", ""7696820"", ""1090781"", ""7878622"", ""4374679"", ""7243206"", ""7727336"", ""7675611"", ""7778410"", ""7735509""]",0.125
171534,zh-en,有些汽车use空调来帮助除霜吗,"[""7385189""]","[""7097506"", ""7717237"", ""7758892"", ""7444684"", ""7325613"", ""7114851"", ""5074011"", ""7839871"", ""7177755"", ""7216529""]",0.125
838500,zh-en,你arm上抽血的部位叫什么,"[""4707882""]","[""7243206"", ""7717237"", ""7272812"", ""7485241"", ""4374679"", ""7620930"", ""7120427"", ""7969020"", ""7097506"", ""7946907""]",0.125
361285,zh-en,如何去除carpet上的猫尿渍,"[""7401706""]","[""7243206"", ""7272812"", ""7620930"", ""6031553"", ""7827927"", ""7696820"", ""7717237"", ""7758892"", ""7839871"", ""7236848""]",0.125
1074603,zh-en,为什么use视频进行营销和促销,"[""7845422""]","[""7243206"", ""7758892"", ""7839871"", ""7403659"", ""7094624"", ""7118110"", ""7161120"", ""7242879"", ""7094594"", ""7216529""]",0.1428571428571429
931783,zh-en,自我image和自我概念有什么区别,"[""7830900""]","[""7243206"", ""7717237"", ""7692127"", ""7242879"", ""7272812"", ""4374679"", ""7696820"", ""7720535"", ""7118110"", ""7114851""]",0.1428571428571429
1096025,zh-en,国家在md pay护士多少钱,"[""7541711""]","[""7720535"", ""7077823"", ""7084892"", ""7862588"", ""7758892"", ""7605111"", ""7211336"", ""6031553"", ""7120427"", ""7094624""]",0.1428571428571429
1037612,zh-en,armadillo的长度是多少,"[""7205573""]","[""7243206"", ""7717237"", ""7985724"", ""7878622"", ""7272812"", ""7234971"", ""7696820"", ""7692127"", ""4374679"", ""7120427""]",0.19999999999999996
1004565,zh-en,epcot的美食美酒节什么时候start,"[""7255591""]","[""7717237"", ""7692127"", ""7720535"", ""7758892"", ""7120427"", ""7696820"", ""7839871"", ""7605111"", ""7118110"", ""7266111""]",0.125
630172,zh-en,中指戴finger是什么意思？,"[""7469958""]","[""7243206"", ""7143469"", ""7720535"", ""7120427"", ""7234971"", ""1944772"", ""7242879"", ""7605111"", ""4374679"", ""7235726""]",0.16666666666666663
650157,zh-en,你是个good egg的表情是什么,"[""7453899""]","[""7243206"", ""7120427"", ""7985724"", ""7717237"", ""7155882"", ""7720535"", ""7620930"", ""7624295"", ""7703193"", ""7758892""]",0.2222222222222222
1031761,zh-en,马尾的structure是什么,"[""7215190""]","[""7243206"", ""7120427"", ""7985724"", ""7235726"", ""7094624"", ""7272812"", ""7720535"", ""7717237"", ""7234971"", ""7571704""]",0.19999999999999996
339855,zh-en,在michigan ，员工多久必须report受伤情况,"[""7359547""]","[""7696820"", ""7094624"", ""7720535"", ""7742232"", ""7118643"", ""4374679"", ""7120012"", ""7120427"", ""7236887"", ""7933251""]",0.25
1006724,zh-en,泰国的independence日是什么时候,"[""7252753""]","[""7243206"", ""7717237"", ""7272812"", ""7985724"", ""7720535"", ""7624295"", ""7727353"", ""7485241"", ""7605111"", ""7620930""]",0.1428571428571429
411367,zh-en,谷歌在中国被blocked了吗,"[""7633642""]","[""7243206"", ""7717237"", ""7758892"", ""7839871"", ""7077823"", ""7720535"", ""6031553"", ""7094624"", ""7827927"", ""7696820""]",0.1428571428571429
839488,zh-en,kohlrabies的plural是什么,"[""7866009""]","[""7243206"", ""7985724"", ""7272812"", ""7624295"", ""7717237"", ""7366591"", ""7143469"", ""7827927"", ""7481056"", ""7720535""]",0.19999999999999996
1087202,zh-en,low blood的症状是什么,"[""7103722""]","[""7243206"", ""7242879"", ""7985724"", ""7842616"", ""7839871"", ""7120427"", ""7620930"", ""7584454"", ""7439716"", ""7264867""]",0.19999999999999996
