query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,es,¿Cuál es la relación matemática entre temperatura y volumen directa o inversa?,"[""7206684""]","[""7206684"", ""7165807"", ""7272695"", ""7305139"", ""2038018"", ""7985667"", ""7492132"", ""7379549"", ""7659466"", ""7365294""]",
1035645,es,cual es el nombre del castillo en rusia,"[""7208858""]","[""7208858"", ""7851318"", ""7152404"", ""7105678"", ""7246021"", ""7292184"", ""7730364"", ""7858842"", ""7415405"", ""7085238""]",
71029,es,¿Puede la enfermedad de Lyme causar foliculitis en perros?,"[""7670160""]","[""1033337"", ""7455776"", ""7345967"", ""7452987"", ""7795418"", ""7670160"", ""7679596"", ""7112464"", ""7089741"", ""7508730""]",
1083836,es,¿Qué significa asegurado por fdic?,"[""1896608""]","[""1896608"", ""7704366"", ""7211811"", ""7170029"", ""7688312"", ""7104141"", ""7375334"", ""7313355"", ""7477789"", ""4191529""]",
1058885,es,¿Qué está causando las constantes náuseas y arcadas secas?,"[""7170528""]","[""7531239"", ""7966804"", ""7654082"", ""7966805"", ""7399600"", ""7325629"", ""764872"", ""7773118"", ""7966808"", ""7528852""]",
1039189,es,¿Quién es la actriz del equipo visitante en la operación Star Trek Aniquilar?,"[""7805080""]","[""7983669"", ""7125366"", ""7958566"", ""7694677"", ""5972440"", ""7290137"", ""7955693"", ""7932656"", ""7623844"", ""7383642""]",
829562,es,¿Cuál es el objetivo principal de un partido político?,"[""3347905""]","[""3347905"", ""1455862"", ""4582296"", ""7216092"", ""2468148"", ""7567257"", ""7797820"", ""7830190"", ""7847593"", ""4226248""]",
1055884,es,¿Quién fue el primer autor en utilizar la sociología en sus escritos?,"[""67588""]","[""7763743"", ""67588"", ""7907440"", ""7907439"", ""7082559"", ""67596"", ""7815026"", ""7810625"", ""7763140"", ""7448361""]",
466830,es,"número de protones, neutrones y electrones en nitrógeno 14","[""7709283""]","[""7709283"", ""7158898"", ""7080008"", ""3349239"", ""7404441"", ""7206592"", ""7965476"", ""7867320"", ""7977659"", ""7151598""]",
1048871,es,quien interpreta a xander de bunkd,"[""4146836""]","[""4146836"", ""7451471"", ""7383642"", ""3645675"", ""7290260"", ""7412014"", ""7855353"", ""7888038"", ""7310898"", ""7125366""]",
1085775,es,¿Qué conexión aprovechan las imágenes guiadas para transportarte profundamente,"[""7116157""]","[""7116157"", ""7111959"", ""7634650"", ""7588579"", ""969542"", ""4731340"", ""7984373"", ""7560881"", ""7150228"", ""7919768""]",
