query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,en,what is the mathematical relationship between temperature and volume direct or inverse,"[""7206684""]","[""7206684"", ""7235859"", ""7305462"", ""7272695"", ""7985667"", ""7122373"", ""7197444"", ""7545525"", ""7217353"", ""7663540""]",
1035645,en,what is the name of the castle in russia,"[""7208858""]","[""7208858"", ""7152404"", ""7858842"", ""7292184"", ""7396043"", ""7105678"", ""7318694"", ""7957524"", ""7028429"", ""7894020""]",
71029,en,can lyme disease cause folliculitis in dogs,"[""7670160""]","[""7670160"", ""1853353"", ""7959219"", ""7996955"", ""3152590"", ""7455776"", ""1163812"", ""7576393"", ""378086"", ""7579869""]",
1083836,en,what does fdic insured mean?,"[""1896608""]","[""1896608"", ""1159597"", ""7795529"", ""7697631"", ""7808278"", ""7375334"", ""4591673"", ""7397110"", ""7437540"", ""7160173""]",
1058885,en,what is causing the constant dry heaving and nausea,"[""7170528""]","[""382685"", ""4486381"", ""7576393"", ""1979597"", ""7996955"", ""7780379"", ""7374761"", ""7419246"", ""7153828"", ""7067901""]",
1039189,en,who is the actress on the away team in star trek operation annihilate,"[""7805080""]","[""7805080"", ""7239171"", ""7302021"", ""7327050"", ""7623844"", ""7125366"", ""7789644"", ""7290270"", ""7643675"", ""7855353""]",
829562,en,what is the main purpose of a political party?,"[""3347905""]","[""3347905"", ""2468148"", ""4582296"", ""7846219"", ""7386744"", ""7521532"", ""7719848"", ""1455862"", ""7396947"", ""7624848""]",
1055884,en,who was the first author to use sociology in their writing,"[""67588""]","[""67588"", ""7763743"", ""7318902"", ""7541544"", ""7876093"", ""7435832"", ""7943543"", ""7082559"", ""8003099"", ""7907439""]",
466830,en,number of protons neutrons and electrons in nitrogen 14,"[""7709283""]","[""7709283"", ""7158898"", ""7080008"", ""7402796"", ""7107654"", ""7438982"", ""3349239"", ""7210335"", ""7206592"", ""7305462""]",
1048871,en,who plays xander from bunkd,"[""4146836""]","[""4146836"", ""7124323"", ""7292304"", ""7302021"", ""7623838"", ""8007305"", ""2628627"", ""7764195"", ""4783316"", ""7889259""]",
1085775,en,what connection does guided imagery take advantage of to transport you deep into,"[""7116157""]","[""7116157"", ""7111959"", ""7714314"", ""4731340"", ""7087182"", ""7560613"", ""7456010"", ""7138760"", ""7153849"", ""7688725""]",
884298,en,what parameters effect i:e ratio on ventilators,"[""7928696"", ""7928694""]","[""7928694"", ""7928696"", ""7305462"", ""7268557"", ""7272695"", ""7864191"", ""7625523"", ""7296810"", ""1192808"", ""7350970""]",
1097199,en,how many eggs do does a woman have,"[""7433925""]","[""7433792"", ""7534069"", ""7273604"", ""7433925"", ""6093010"", ""7713961"", ""7806346"", ""3947697"", ""7767446"", ""5829931""]",
950016,en,when is daylight savings time for switzerland,"[""7754765""]","[""7754765"", ""7809074"", ""256757"", ""7438631"", ""7849778"", ""7862783"", ""166256"", ""7889379"", ""7973805"", ""7601337""]",
337148,en,how old should your puppy be to get a rabies shot,"[""7389316""]","[""7389316"", ""7700487"", ""7076146"", ""7974596"", ""7311939"", ""3041398"", ""7187607"", ""609254"", ""11527"", ""7493757""]",
733241,en,what is considered attire,"[""1699500""]","[""2158081"", ""7597656"", ""7933515"", ""8004632"", ""7129284"", ""7840602"", ""7437540"", ""8008865"", ""7740945"", ""7555333""]",
576898,en,what are wars most commonly fought over,"[""7598385""]","[""7742103"", ""73242"", ""7829864"", ""1798522"", ""7598385"", ""7541190"", ""7902421"", ""7814471"", ""7780112"", ""7873893""]",
617306,en,what deficiency produces white spot on nails,"[""7502930""]","[""7502930"", ""7122052"", ""7493514"", ""651395"", ""480677"", ""5200958"", ""7493507"", ""7113372"", ""7132199"", ""7573009""]",
1064470,en,why do eggs turn brown,"[""7728289""]","[""7728289"", ""233414"", ""7518306"", ""7442410"", ""7826584"", ""1501464"", ""7354067"", ""4425196"", ""7967858"", ""7445485""]",
393696,en,in texas what requirements are needed to apply to become a broker,"[""7598745""]","[""7598745"", ""7645183"", ""7714548"", ""7934632"", ""7531298"", ""7073772"", ""7394645"", ""7181768"", ""7996617"", ""7834912""]",
992193,en,who coined the concept survival of the fittest? charles darwin karl marx herbert spencer max weber,"[""7280593""]","[""7280593"", ""7541544"", ""4772781"", ""7170288"", ""7886668"", ""7122900"", ""7107894"", ""7305445"", ""7855610"", ""7952481""]",
829915,en,what is the marriage age in kansas with parental consent,"[""7787972""]","[""7787972"", ""7900321"", ""7100617"", ""7106774"", ""7358369"", ""7167740"", ""1539468"", ""7559824"", ""5898158"", ""7378072""]",
987767,en,who roy moore lost to,"[""7290624""]","[""7290624"", ""7607111"", ""7239131"", ""7302021"", ""7222275"", ""7181095"", ""7275935"", ""4765911"", ""7445716"", ""7461249""]",
299128,en,how many units of water per month,"[""6720313""]","[""6720313"", ""7545525"", ""7073976"", ""7364600"", ""7776376"", ""7563235"", ""7096348"", ""2792154"", ""7424260"", ""7745404""]",
814132,en,what is the daily sodium limit,"[""7951365""]","[""714998"", ""7951365"", ""7837801"", ""7567998"", ""2304767"", ""3545260"", ""6724191"", ""1460244"", ""7303716"", ""7156891""]",
874257,en,what literary device does the author use to describe johnny's mugging the outsiders,"[""7867405""]","[""7867405"", ""7528772"", ""7675260"", ""7502092"", ""7577342"", ""7809071"", ""7204388"", ""7486148"", ""7688725"", ""7433620""]",
868598,en,what kind of grades do you need to be a dental hygienist,"[""7743190""]","[""7360526"", ""7743190"", ""7863564"", ""7360530"", ""6348579"", ""7545801"", ""7944021"", ""7356690"", ""882642"", ""7688776""]",
1071609,en,why is noise a problem,"[""7816796""]","[""7816796"", ""7087019"", ""7403659"", ""1119603"", ""7996955"", ""8000550"", ""7959025"", ""7846533"", ""7297061"", ""7688725""]",
663595,en,what genre is rob thomas,"[""7465375""]","[""7465375"", ""7733821"", ""7886754"", ""7616367"", ""7290399"", ""7681763"", ""7456135"", ""7398040"", ""7080972"", ""7772120""]",
1062203,en,why did brad pitt and angelina jolie divorce,"[""7569446""]","[""7569446"", ""7864039"", ""7946505"", ""7339164"", ""7859734"", ""8004401"", ""489053"", ""7841583"", ""7853859"", ""7691066""]",
182644,en,examples of drug withdrawal symptoms,"[""7935405""]","[""7615041"", ""7299269"", ""7935405"", ""7493839"", ""4631846"", ""7173651"", ""7486503"", ""7486505"", ""7140020"", ""7671692""]",
931029,en,what's the average cucumber size,"[""7812195""]","[""7812195"", ""1918860"", ""7314658"", ""7350855"", ""5264767"", ""7479581"", ""7545525"", ""7445544"", ""7553085"", ""7713961""]",
924580,en,what whiskey is made of wheat,"[""7853738"", ""7853736""]","[""7853738"", ""7853736"", ""7986348"", ""7077056"", ""7893642"", ""7511407"", ""7174558"", ""6666760"", ""1539468"", ""7232337""]",
837702,en,what is the opposite of helium,"[""7799527""]","[""7799527"", ""644710"", ""7135073"", ""7201584"", ""7718986"", ""7235859"", ""7919515"", ""7857794"", ""7438982"", ""7674924""]",
1033156,en,what is the real name of master chief,"[""7212940""]","[""7212940"", ""1285360"", ""7078555"", ""7125366"", ""7250839"", ""7823298"", ""7290002"", ""7855353"", ""7181095"", ""5397150""]",
