query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,zh,温度与体积的正反数学关系是什么,"[""7206684""]","[""7206684"", ""7379549"", ""7555272"", ""7235859"", ""7272695"", ""7492132"", ""7906797"", ""7933971"", ""7566992"", ""7672368""]",
1035645,zh,俄罗斯的城堡叫什么名字,"[""7208858""]","[""7208858"", ""7152404"", ""1878861"", ""7858842"", ""7266832"", ""7292184"", ""7028429"", ""7851318"", ""7105678"", ""7730364""]",
71029,zh,莱姆病会导致狗的毛囊炎吗,"[""7670160""]","[""7679596"", ""1033337"", ""7670160"", ""7455776"", ""7112464"", ""7452987"", ""7519478"", ""7795418"", ""1623640"", ""7113578""]",
1083836,zh,fdic 投保是什么意思？,"[""1896608""]","[""1896608"", ""4191529"", ""7146364"", ""7133583"", ""541662"", ""1849766"", ""7151990"", ""7170654"", ""7679312"", ""3125025""]",
1058885,zh,是什么导致了持续的干胀和恶心,"[""7170528""]","[""7966808"", ""7966804"", ""7205952"", ""764872"", ""7533102"", ""7113289"", ""7641338"", ""7439433"", ""1852257"", ""7067829""]",
1039189,zh,谁是星际迷航行动歼灭客队的女演员,"[""7805080""]","[""7239171"", ""7287434"", ""7329333"", ""7789644"", ""7490735"", ""7290137"", ""7805080"", ""7754210"", ""5159723"", ""7906424""]",
829562,zh,政党的主要目的是什么？,"[""3347905""]","[""3347905"", ""4582296"", ""2468148"", ""7216092"", ""7284311"", ""7619153"", ""3353086"", ""7769977"", ""7105479"", ""7847593""]",
1055884,zh,谁是第一个在写作中使用社会学的作者,"[""67588""]","[""7763743"", ""67588"", ""7082559"", ""7435832"", ""7466996"", ""7934813"", ""7087904"", ""8003099"", ""7943543"", ""7626411""]",
466830,zh,氮中的质子数、中子数和电子数 14,"[""7709283""]","[""7709283"", ""7158898"", ""3349239"", ""7080008"", ""7777896"", ""7491456"", ""7795446"", ""7107654"", ""7402796"", ""7143675""]",
1048871,zh,谁在 bunkd 中扮演 xander,"[""4146836""]","[""4146836"", ""7888038"", ""7880839"", ""7124323"", ""7764195"", ""7451471"", ""7290260"", ""7899838"", ""7727630"", ""7642657""]",
1085775,zh,引导图像利用什么联系将您带入深入,"[""7116157""]","[""7116157"", ""7333096"", ""7984373"", ""7150228"", ""7544522"", ""2753653"", ""5170594"", ""7309353"", ""7167687"", ""7327215""]",
884298,zh,哪些参数会影响呼吸机的 i:e 比率,"[""7928696"", ""7928694""]","[""7928694"", ""7864191"", ""7804442"", ""7176947"", ""1192808"", ""7928696"", ""7558643"", ""7079907"", ""7773637"", ""7625523""]",
1097199,zh,一个女人有多少个卵子,"[""7433925""]","[""7433925"", ""7255867"", ""7433792"", ""7534069"", ""7840105"", ""7210214"", ""7583899"", ""7806346"", ""7905618"", ""7623591""]",
950016,zh,瑞士的夏令时是什么时候,"[""7754765""]","[""7754765"", ""7236525"", ""256757"", ""7121801"", ""7853910"", ""7862783"", ""7438631"", ""7601337"", ""166256"", ""7236909""]",
337148,zh,你的小狗应该多大才能接种狂犬病疫苗,"[""7389316""]","[""7311939"", ""7974596"", ""7389316"", ""7700487"", ""7187607"", ""7076146"", ""11527"", ""609254"", ""7492451"", ""3654352""]",
733241,zh,什么被认为是着装,"[""1699500""]","[""7933515"", ""7171569"", ""7597656"", ""7170449"", ""1699500"", ""7421911"", ""7649080"", ""7766841"", ""7856651"", ""7857342""]",
576898,zh,什么是最常发生的战争,"[""7598385""]","[""7389537"", ""7081759"", ""7738141"", ""7829864"", ""7234971"", ""7566190"", ""7598385"", ""7742103"", ""1798522"", ""7264655""]",
617306,zh,什么缺乏会在指甲上产生白斑,"[""7502930""]","[""7502930"", ""7122052"", ""7493514"", ""7493507"", ""7132199"", ""7442428"", ""7140514"", ""7471105"", ""7852029"", ""3152590""]",
1064470,zh,为什么鸡蛋会变成褐色,"[""7728289""]","[""7510610"", ""7728289"", ""7332142"", ""1414091"", ""7695522"", ""7156685"", ""7442410"", ""7653673"", ""7105534"", ""7458144""]",
393696,zh,在德克萨斯州申请成为经纪人需要什么要求,"[""7598745""]","[""7598745"", ""7645183"", ""7714548"", ""7098122"", ""7996617"", ""7531298"", ""7834912"", ""7585034"", ""7508484"", ""7369408""]",
992193,zh,谁创造了适者生存的概念？查尔斯·达尔文卡尔·马克思赫伯特·斯宾塞马克斯·韦伯,"[""7280593""]","[""7280593"", ""4772781"", ""7217405"", ""7929116"", ""7122900"", ""7318902"", ""7577963"", ""7247765"", ""7912439"", ""7466996""]",
