query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,es,¿Cuál es la relación matemática entre temperatura y volumen directa o inversa?,"[""7206684""]","[""7140121"", ""7483372"", ""7985724"", ""7881215"", ""7355625"", ""7391131"", ""7833683"", ""7405441"", ""7074329"", ""7385618""]",
1035645,es,cual es el nombre del castillo en rusia,"[""7208858""]","[""7140121"", ""7391131"", ""7727353"", ""7881215"", ""7425353"", ""7985724"", ""7355625"", ""7833683"", ""7074329"", ""7366591""]",
71029,es,¿Puede la enfermedad de Lyme causar foliculitis en perros?,"[""7670160""]","[""7140121"", ""7391131"", ""7074329"", ""6196709"", ""7425353"", ""7833683"", ""7881215"", ""7985724"", ""7483372"", ""7355625""]",
1083836,es,¿Qué significa asegurado por fdic?,"[""1896608""]","[""7140121"", ""7391131"", ""7833683"", ""7074329"", ""7881215"", ""7985724"", ""7355625"", ""7425353"", ""7483372"", ""6196709""]",
1058885,es,¿Qué está causando las constantes náuseas y arcadas secas?,"[""7170528""]","[""7140121"", ""7074329"", ""7391131"", ""7833683"", ""7881215"", ""7425353"", ""7355625"", ""7985724"", ""7483372"", ""6196709""]",
1039189,es,¿Quién es la actriz del equipo visitante en la operación Star Trek Aniquilar?,"[""7805080""]","[""7140121"", ""7391131"", ""7074329"", ""6196709"", ""7833683"", ""7483372"", ""7881215"", ""7355625"", ""7790931"", ""7750082""]",
829562,es,¿Cuál es el objetivo principal de un partido político?,"[""3347905""]","[""7140121"", ""7391131"", ""7881215"", ""7985724"", ""7074329"", ""7727353"", ""7483372"", ""7355625"", ""7425353"", ""7833683""]",
1055884,es,¿Quién fue el primer autor en utilizar la sociología en sus escritos?,"[""67588""]","[""7140121"", ""6196709"", ""7074329"", ""7391131"", ""7129700"", ""7451266"", ""7790931"", ""7833683"", ""7401425"", ""7416894""]",
466830,es,"número de protones, neutrones y electrones en nitrógeno 14","[""7709283""]","[""7140121"", ""7985724"", ""7483372"", ""7881215"", ""7391131"", ""7405441"", ""7385618"", ""7425353"", ""7727353"", ""7355625""]",
1048871,es,quien interpreta a xander de bunkd,"[""4146836""]","[""7140121"", ""7074329"", ""7391131"", ""7833683"", ""7881215"", ""7483372"", ""7355625"", ""7750082"", ""6196709"", ""7396947""]",
1085775,es,¿Qué conexión aprovechan las imágenes guiadas para transportarte profundamente,"[""7116157""]","[""7140121"", ""7074329"", ""7833683"", ""7391131"", ""7666375"", ""6196709"", ""7881215"", ""7530992"", ""7483372"", ""7396947""]",
884298,es,¿Qué parámetros afectan la relación i: e en los ventiladores?,"[""7928694"", ""7928696""]","[""7074329"", ""7140121"", ""6196709"", ""7391131"", ""7416894"", ""7530992"", ""7833683"", ""7790931"", ""7763719"", ""7911607""]",
1097199,es,¿Cuántos óvulos tiene una mujer?,"[""7433925""]","[""7140121"", ""7391131"", ""7425353"", ""7985724"", ""7727353"", ""7355625"", ""7881215"", ""7833683"", ""7074329"", ""7366591""]",
950016,es,¿Cuándo es el horario de verano en Suiza?,"[""7754765""]","[""7140121"", ""7391131"", ""7074329"", ""7985724"", ""7425353"", ""7881215"", ""7727353"", ""7355625"", ""7483372"", ""6196709""]",
337148,es,¿Qué edad debe tener su cachorro para recibir la vacuna contra la rabia?,"[""7389316""]","[""7140121"", ""7985724"", ""7425353"", ""7391131"", ""7833683"", ""7881215"", ""7074329"", ""7727353"", ""7355625"", ""7283332""]",
