query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,es-en,¿ Cuál es la relationship matemática entre temperature y volumen directa o inversa?,"[""7206684""]","[""7206684"", ""7272695"", ""7217353"", ""7672368"", ""1335588"", ""7804101"", ""7659466"", ""7322251"", ""7165807"", ""7933971""]",0.16666666666666663
1035645,es-en,cual es el nombre del castle en rusia,"[""7208858""]","[""7208858"", ""7152404"", ""1878861"", ""7858842"", ""7028429"", ""7957524"", ""7105678"", ""7292184"", ""7266832"", ""7085238""]",0.125
71029,es-en,¿ Puede la enfermedad de Lyme causar foliculitis en dogs?,"[""7670160""]","[""7670160"", ""7112464"", ""7579869"", ""7679596"", ""1033337"", ""7959219"", ""7455776"", ""1163812"", ""1623640"", ""7519478""]",0.11111111111111116
1083836,es-en,¿ Qué significa insured por fdic?,"[""1896608""]","[""1896608"", ""4191529"", ""7679312"", ""7146364"", ""7828735"", ""7418684"", ""3125025"", ""7133583"", ""7397248"", ""541662""]",0.19999999999999996
1058885,es-en,¿ Qué está causando the constant heaving y arcadas secas?,"[""7170528""]","[""5584747"", ""7132300"", ""7081600"", ""7236359"", ""7073989"", ""7224348"", ""7568217"", ""7097479"", ""7311549"", ""7264543""]",0.33333333333333337
1039189,es-en,¿ Quién es la actriz del equipo visitante en operation Star Trek Aniquilar?,"[""7805080""]","[""7824464"", ""7355250"", ""270380"", ""7239171"", ""7480056"", ""7805080"", ""7636646"", ""7290137"", ""7490735"", ""2323298""]",0.15384615384615385
829562,es-en,¿ Cuál es el objetivo main de un partido político?,"[""3347905""]","[""3347905"", ""7619859"", ""4582296"", ""7105483"", ""991142"", ""7619857"", ""1455862"", ""7105479"", ""2468148"", ""4548592""]",0.11111111111111116
1055884,es-en,¿ Quién fue el primer autor en utilizar la sociología en their writing?,"[""67588""]","[""7763743"", ""67588"", ""7082559"", ""8003099"", ""7435832"", ""7907439"", ""7466996"", ""7907440"", ""1944772"", ""7719848""]",0.16666666666666663
466830,es-en,número de protones neutrons y electrones en nitrógeno 14,"[""7709283""]","[""7709283"", ""7158898"", ""7080008"", ""7402796"", ""3349239"", ""7107654"", ""7491456"", ""7777896"", ""7860609"", ""7148994""]",0.11111111111111116
1048871,es-en,quien plays a xander de bunkd,"[""4146836""]","[""4146836"", ""7880839"", ""7764195"", ""7290260"", ""7124323"", ""7750201"", ""7768274"", ""7888038"", ""7451471"", ""7857148""]",0.16666666666666663
1085775,es-en,¿ What connection aprovechan las imágenes guiadas para transportarte profundamente,"[""7116157""]","[""7116157"", ""7178887"", ""7534867"", ""2753653"", ""7309353"", ""7026760"", ""7676182"", ""7929939"", ""7145212"", ""7659801""]",0.2222222222222222
884298,es-en,¿ What parameters afectan la relación i : e en los ventiladores?,"[""7928696"", ""7928694""]","[""7928694"", ""2038018"", ""7928696"", ""7274366"", ""7358221"", ""7966440"", ""7215725"", ""7861394"", ""7671386"", ""7341097""]",0.19999999999999996
1097199,es-en,¿ Cuántos eggs tiene una mujer?,"[""7433925""]","[""7433792"", ""7597758"", ""7433925"", ""7623591"", ""1414091"", ""7380886"", ""7862471"", ""7771662"", ""7826945"", ""7979512""]",0.19999999999999996
950016,es-en,¿ Cuándo es el horario de daylight en Suiza?,"[""7754765""]","[""7754765"", ""7204196"", ""7410122"", ""7095708"", ""7849778"", ""7889379"", ""7438631"", ""7973805"", ""7083240"", ""256757""]",0.125
337148,es-en,¿ How old debe tener your puppy para recibir la vacuna contra la rabia?,"[""7389316""]","[""7389316"", ""7974596"", ""7311939"", ""7700487"", ""7076146"", ""7187607"", ""609254"", ""7493757"", ""7358988"", ""7492935""]",0.3076923076923077
733241,es-en,lo que se considered vestimenta,"[""1699500""]","[""7933515"", ""7171569"", ""7597656"", ""7170449"", ""7421911"", ""1699500"", ""7766841"", ""7856651"", ""7069399"", ""7649080""]",0.19999999999999996
576898,es-en,¿ Cuáles son las wars por las que se fought más comúnmente?,"[""7598385""]","[""7389537"", ""7081759"", ""1798522"", ""7742103"", ""7214220"", ""7829864"", ""7243330"", ""7234971"", ""7843451"", ""2536541""]",0.18181818181818177
617306,es-en,que deficiency produce mancha blanca en las uñas,"[""7502930""]","[""7502930"", ""7122052"", ""7132199"", ""7493514"", ""7442428"", ""3152590"", ""651395"", ""7765651"", ""1903885"", ""7107443""]",0.125
1064470,es-en,¿ Por qué los huevos se vuelven brown?,"[""7728289""]","[""7728289"", ""7196833"", ""7510610"", ""7695522"", ""4023722"", ""7105534"", ""7971991"", ""1414091"", ""7383191"", ""1501464""]",0.1428571428571429
393696,es-en,"en texas, qué requisitos se needed para postularse para convertirse en broker","[""7598745""]","[""7598745"", ""7531298"", ""7394645"", ""7714548"", ""7996617"", ""7155303"", ""7514078"", ""7098122"", ""7645183"", ""7585034""]",0.16666666666666663
992193,es-en,¿ Quién coined the concept de survival del más apto? charles darwin karl marx herbert spencer max weber,"[""7280593""]","[""7280593"", ""4772781"", ""7217405"", ""7466996"", ""7912439"", ""7082559"", ""7615958"", ""7956784"", ""7107894"", ""7509196""]",0.23529411764705888
829915,es-en,¿ Cuál es la edad para contraer marriage en Kansas con el consentimiento de parental?,"[""7787972""]","[""7787972"", ""7167740"", ""7900321"", ""7358369"", ""7106774"", ""5898158"", ""7723393"", ""7560358"", ""7996617"", ""4586411""]",0.19999999999999996
987767,es-en,con quien Roy Moore lost,"[""7290624""]","[""7290624"", ""7574541"", ""7461249"", ""1365882"", ""2796936"", ""7718324"", ""7601194"", ""7292372"", ""7426908"", ""8004401""]",0.19999999999999996
299128,es-en,cuántas unidades de water por mes,"[""6720313""]","[""6720313"", ""7440310"", ""2336191"", ""684240"", ""7325989"", ""77985"", ""7776376"", ""7073976"", ""2173490"", ""7229678""]",0.16666666666666663
814132,es-en,cuál es el limit diario de sodio,"[""7951365""]","[""714998"", ""7837801"", ""7951365"", ""7567998"", ""1460244"", ""2304767"", ""7584484"", ""3545260"", ""7993201"", ""6720313""]",0.1428571428571429
874257,es-en,¿ Qué recurso literario utiliza the author para describir el atraco de johnny a los forasteros?,"[""7867405""]","[""7867405"", ""7204388"", ""7889259"", ""7907059"", ""7253822"", ""7289422"", ""7459633"", ""7433620"", ""7480395"", ""7892090""]",0.1333333333333333
868598,es-en,¿ Qué notas necesitas para ser hygienist dental?,"[""7743190""]","[""7360530"", ""7743190"", ""7360526"", ""7863564"", ""7545801"", ""6348579"", ""7688776"", ""7901950"", ""7944021"", ""7543353""]",0.1428571428571429
1071609,es-en,¿ Por qué el ruido es un problem?,"[""7816796""]","[""7816796"", ""7747072"", ""7403659"", ""7216983"", ""7262416"", ""1011107"", ""7478795"", ""7367953"", ""7128451"", ""7087019""]",0.1428571428571429
663595,es-en,que genre es rob thomas,"[""7465375""]","[""7465375"", ""7689707"", ""7845737"", ""7125398"", ""7915665"", ""7733821"", ""7286256"", ""7272164"", ""7084659"", ""7398040""]",0.19999999999999996
1062203,es-en,¿ Por qué Brad Pitt y Angelina Jolie se divorce?,"[""7569446""]","[""7569446"", ""7864039"", ""7946505"", ""7292030"", ""7340726"", ""7761850"", ""7163556"", ""7788833"", ""7339164"", ""7284753""]",0.11111111111111116
182644,es-en,examples de síntomas de abstinencia de drogas,"[""7935405""]","[""7935405"", ""7615041"", ""7486505"", ""7742389"", ""7486503"", ""7173651"", ""8000498"", ""7299269"", ""7648407"", ""7227332""]",0.1428571428571429
931029,es-en,¿ Cuál es el size promedio de pepino?,"[""7812195""]","[""7812195"", ""7357414"", ""7277294"", ""7563950"", ""7874158"", ""7926351"", ""7553085"", ""4509893"", ""7192944"", ""7460416""]",0.1428571428571429
924580,es-en,de que se hace el whisky de wheat,"[""7853738"", ""7853736""]","[""7853736"", ""7853738"", ""7109056"", ""1676911"", ""6666760"", ""708299"", ""7367627"", ""7893642"", ""7511407"", ""7160730""]",0.125
837702,es-en,¿ Qué es lo opuesto al helium?,"[""7799527""]","[""7799527"", ""644710"", ""7753600"", ""4455147"", ""7135073"", ""7201584"", ""7492132"", ""7674924"", ""7718986"", ""7235859""]",0.16666666666666663
