query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,en,what is the mathematical relationship between temperature and volume direct or inverse,"[""7206684""]","[""7985667"", ""7206684"", ""7944469"", ""7622515"", ""7692857"", ""7217353"", ""2038018"", ""1335588"", ""2459114"", ""7933971""]",
1035645,en,what is the name of the castle in russia,"[""7208858""]","[""7208858"", ""7152404"", ""7105678"", ""7396043"", ""7292184"", ""7957524"", ""7266832"", ""7647057"", ""7531201"", ""7262494""]",
71029,en,can lyme disease cause folliculitis in dogs,"[""7670160""]","[""7670160"", ""7452987"", ""7679596"", ""7112464"", ""7455776"", ""7089741"", ""7795418"", ""7676140"", ""7630491"", ""1163812""]",
1083836,en,what does fdic insured mean?,"[""1896608""]","[""1896608"", ""7308077"", ""7679312"", ""7146364"", ""7916202"", ""1159597"", ""4805879"", ""4191529"", ""7375334"", ""7522344""]",
1058885,en,what is causing the constant dry heaving and nausea,"[""7170528""]","[""7531239"", ""5584747"", ""7375386"", ""7641338"", ""7568217"", ""735198"", ""588235"", ""7533102"", ""5060022"", ""570442""]",
1039189,en,who is the actress on the away team in star trek operation annihilate,"[""7805080""]","[""1086058"", ""7329333"", ""7239171"", ""7125366"", ""7572869"", ""7327050"", ""7797459"", ""7258217"", ""7906424"", ""7789644""]",
829562,en,what is the main purpose of a political party?,"[""3347905""]","[""3347905"", ""4582296"", ""3353086"", ""2468148"", ""991142"", ""7521532"", ""7562831"", ""7847593"", ""7719848"", ""7349246""]",
1055884,en,who was the first author to use sociology in their writing,"[""67588""]","[""67588"", ""7763743"", ""7435832"", ""7541544"", ""7934813"", ""7943543"", ""7916580"", ""7626411"", ""7466996"", ""2343447""]",
466830,en,number of protons neutrons and electrons in nitrogen 14,"[""7709283""]","[""7709283"", ""7158898"", ""7080008"", ""7402796"", ""7674848"", ""3349239"", ""7107654"", ""6876770"", ""7777896"", ""7100247""]",
1048871,en,who plays xander from bunkd,"[""4146836""]","[""4146836"", ""7935110"", ""7750201"", ""7085516"", ""7124323"", ""7642657"", ""7290399"", ""7290260"", ""7646041"", ""7755756""]",
1085775,en,what connection does guided imagery take advantage of to transport you deep into,"[""7116157""]","[""7116157"", ""7150228"", ""7674273"", ""7847075"", ""1111528"", ""4731340"", ""7145212"", ""7519486"", ""7852159"", ""7621537""]",
884298,en,what parameters effect i:e ratio on ventilators,"[""7928696"", ""7928694""]","[""7928694"", ""7928696"", ""7358221"", ""7079907"", ""7804442"", ""7082136"", ""7646548"", ""1570584"", ""6519900"", ""7341097""]",
1097199,en,how many eggs do does a woman have,"[""7433925""]","[""7433925"", ""7273604"", ""7433792"", ""6093010"", ""7992043"", ""7303270"", ""7416687"", ""7534069"", ""7314916"", ""7255867""]",
950016,en,when is daylight savings time for switzerland,"[""7754765""]","[""7754765"", ""7236525"", ""7410122"", ""7121801"", ""256757"", ""7083239"", ""7236909"", ""7095708"", ""924613"", ""7601337""]",
337148,en,how old should your puppy be to get a rabies shot,"[""7389316""]","[""7389316"", ""7076146"", ""7311939"", ""7974596"", ""7700487"", ""609254"", ""7493757"", ""7187607"", ""11527"", ""7358014""]",
733241,en,what is considered attire,"[""1699500""]","[""7933515"", ""7766841"", ""7171569"", ""2158081"", ""1699500"", ""7069399"", ""7863403"", ""2618061"", ""7856651"", ""7481271""]",
576898,en,what are wars most commonly fought over,"[""7598385""]","[""7742103"", ""7214220"", ""7843451"", ""7253685"", ""1798522"", ""7958213"", ""7924333"", ""7926327"", ""7234971"", ""7598385""]",
617306,en,what deficiency produces white spot on nails,"[""7502930""]","[""7502930"", ""7122052"", ""7493514"", ""7132199"", ""1903885"", ""480677"", ""7493507"", ""7765651"", ""651395"", ""1783125""]",
1064470,en,why do eggs turn brown,"[""7728289""]","[""7728289"", ""7196833"", ""7105534"", ""7510610"", ""7431830"", ""7273604"", ""7357076"", ""7150358"", ""7433925"", ""7826584""]",
393696,en,in texas what requirements are needed to apply to become a broker,"[""7598745""]","[""7598745"", ""7934632"", ""7645183"", ""7834912"", ""7996617"", ""7514078"", ""7394645"", ""7073772"", ""2558125"", ""495708""]",
992193,en,who coined the concept survival of the fittest? charles darwin karl marx herbert spencer max weber,"[""7280593""]","[""7280593"", ""4772781"", ""7247765"", ""7837350"", ""7886668"", ""7107894"", ""7282194"", ""7577963"", ""7541544"", ""7951438""]",
829915,en,what is the marriage age in kansas with parental consent,"[""7787972""]","[""7787972"", ""7106774"", ""7900321"", ""7358369"", ""7723393"", ""7962748"", ""7167740"", ""6395661"", ""7559824"", ""6477816""]",
987767,en,who roy moore lost to,"[""7290624""]","[""7290624"", ""7958213"", ""7461249"", ""7591713"", ""1365882"", ""7275935"", ""7607111"", ""7181095"", ""7645327"", ""7138432""]",
299128,en,how many units of water per month,"[""6720313""]","[""6720313"", ""2173490"", ""7229678"", ""7073976"", ""7440310"", ""2336191"", ""1924680"", ""7376730"", ""7461178"", ""7563235""]",
814132,en,what is the daily sodium limit,"[""7951365""]","[""714998"", ""7951365"", ""7837801"", ""7567998"", ""1460244"", ""2304767"", ""7187701"", ""7591413"", ""3545260"", ""7156891""]",
