query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,es,¿Cuál es la relación matemática entre temperatura y volumen directa o inversa?,"[""7206684""]","[""7206684"", ""7165807"", ""7305139"", ""7272695"", ""7492132"", ""7555272"", ""7934279"", ""7804101"", ""7122373"", ""7672368""]",
1035645,es,cual es el nombre del castillo en rusia,"[""7208858""]","[""7208858"", ""7152404"", ""7105678"", ""7851318"", ""7396043"", ""1878861"", ""7085238"", ""7858842"", ""7635128"", ""7266832""]",
71029,es,¿Puede la enfermedad de Lyme causar foliculitis en perros?,"[""7670160""]","[""7670160"", ""7452987"", ""1033337"", ""7795418"", ""7089741"", ""7708442"", ""7679596"", ""7455776"", ""1163812"", ""663950""]",
1083836,es,¿Qué significa asegurado por fdic?,"[""1896608""]","[""1896608"", ""4191529"", ""7148904"", ""7522344"", ""7688312"", ""7146364"", ""1159597"", ""7704366"", ""7658420"", ""7375334""]",
1058885,es,¿Qué está causando las constantes náuseas y arcadas secas?,"[""7170528""]","[""7966808"", ""7654082"", ""7205952"", ""382685"", ""764872"", ""7399600"", ""7533102"", ""7780379"", ""7531239"", ""7966805""]",
1039189,es,¿Quién es la actriz del equipo visitante en la operación Star Trek Aniquilar?,"[""7805080""]","[""7805080"", ""1757350"", ""7900419"", ""7932656"", ""7694677"", ""7906424"", ""7828507"", ""7983669"", ""7789644"", ""3909183""]",
829562,es,¿Cuál es el objetivo principal de un partido político?,"[""3347905""]","[""3347905"", ""1455862"", ""4582296"", ""2468148"", ""7797820"", ""7216092"", ""7103978"", ""7396947"", ""8001682"", ""7846219""]",
1055884,es,¿Quién fue el primer autor en utilizar la sociología en sus escritos?,"[""67588""]","[""7763743"", ""67588"", ""7257833"", ""7082559"", ""67596"", ""7435832"", ""8003099"", ""7943543"", ""7907439"", ""7105483""]",
466830,es,"número de protones, neutrones y electrones en nitrógeno 14","[""7709283""]","[""7709283"", ""7158898"", ""7080008"", ""7107654"", ""3349239"", ""7674848"", ""7777896"", ""7240603"", ""7402796"", ""34489""]",
1048871,es,quien interpreta a xander de bunkd,"[""4146836""]","[""4146836"", ""7124323"", ""7764195"", ""7290399"", ""7412017"", ""7888038"", ""7383642"", ""7623838"", ""7290270"", ""7935417""]",
1085775,es,¿Qué conexión aprovechan las imágenes guiadas para transportarte profundamente,"[""7116157""]","[""7116157"", ""7621537"", ""7327215"", ""7901200"", ""7634650"", ""7150228"", ""4731340"", ""7154134"", ""7622705"", ""7153849""]",
884298,es,¿Qué parámetros afectan la relación i: e en los ventiladores?,"[""7928696"", ""7928694""]","[""7966440"", ""7928696"", ""7079907"", ""7928694"", ""7196268"", ""7220288"", ""7358221"", ""7165807"", ""2038018"", ""7629794""]",
1097199,es,¿Cuántos óvulos tiene una mujer?,"[""7433925""]","[""7273604"", ""7433925"", ""7992043"", ""7255867"", ""7210214"", ""7736285"", ""7783998"", ""7365014"", ""5730265"", ""7534069""]",
950016,es,¿Cuándo es el horario de verano en Suiza?,"[""7754765""]","[""7754765"", ""256757"", ""7601337"", ""7095708"", ""7973805"", ""7853910"", ""7236525"", ""7410122"", ""7849778"", ""924613""]",
337148,es,¿Qué edad debe tener su cachorro para recibir la vacuna contra la rabia?,"[""7389316""]","[""7389316"", ""7700487"", ""7311939"", ""7974596"", ""609254"", ""7076146"", ""7492935"", ""11527"", ""7312387"", ""5780078""]",
733241,es,lo que se considera vestimenta,"[""1699500""]","[""7933515"", ""7171569"", ""1699500"", ""7647619"", ""7421911"", ""7857342"", ""7649080"", ""7524219"", ""7170449"", ""7856651""]",
576898,es,¿Cuáles son las guerras por las que se pelea más comúnmente?,"[""7598385""]","[""7389537"", ""7234971"", ""7742103"", ""7916578"", ""7214220"", ""7541190"", ""7405220"", ""3429513"", ""7254097"", ""1798522""]",
617306,es,que deficiencia produce mancha blanca en las uñas,"[""7502930""]","[""7122052"", ""7493514"", ""7502930"", ""7132199"", ""1903885"", ""5200958"", ""480677"", ""7537844"", ""4948097"", ""5006012""]",
1064470,es,¿Por qué los huevos se vuelven marrones?,"[""7728289""]","[""7728289"", ""7510610"", ""7431830"", ""4425196"", ""7399071"", ""7947909"", ""7332142"", ""7099303"", ""7653673"", ""7490121""]",
393696,es,"en texas, qué requisitos se necesitan para postularse para convertirse en corredor","[""7598745""]","[""7598745"", ""7531298"", ""7155303"", ""7535426"", ""7714548"", ""7098122"", ""7446337"", ""7934632"", ""7400428"", ""7395889""]",
992193,es,¿Quién acuñó el concepto de supervivencia del más apto? charles darwin karl marx herbert spencer max weber,"[""7280593""]","[""7280593"", ""7107894"", ""7217405"", ""7615958"", ""7577963"", ""7102301"", ""7912439"", ""4772781"", ""7956784"", ""7704866""]",
829915,es,¿Cuál es la edad para contraer matrimonio en Kansas con el consentimiento de los padres?,"[""7787972""]","[""7787972"", ""6395661"", ""5898158"", ""7167740"", ""7358369"", ""7221882"", ""7153853"", ""7106774"", ""3799029"", ""7077987""]",
987767,es,con quien Roy Moore perdió,"[""7290624""]","[""7290624"", ""7138432"", ""4981736"", ""7744388"", ""1365882"", ""7574541"", ""7296899"", ""7601194"", ""2796936"", ""7892232""]",
299128,es,cuántas unidades de agua por mes,"[""6720313""]","[""6720313"", ""7073976"", ""7563235"", ""7776376"", ""7326865"", ""7297131"", ""7485559"", ""7376730"", ""7438982"", ""7339498""]",
814132,es,cuál es el límite diario de sodio,"[""7951365""]","[""714998"", ""7951365"", ""7837801"", ""1738230"", ""7647265"", ""7584607"", ""7528795"", ""7187701"", ""2304767"", ""5504239""]",
874257,es,¿Qué recurso literario utiliza el autor para describir el atraco de johnny a los forasteros?,"[""7867405""]","[""7867405"", ""7907059"", ""7433620"", ""7695210"", ""7935417"", ""7875319"", ""7181201"", ""7889259"", ""7538644"", ""7204388""]",
868598,es,¿Qué notas necesitas para ser higienista dental?,"[""7743190""]","[""7863564"", ""7360526"", ""7743190"", ""7360530"", ""7688776"", ""7944021"", ""6348579"", ""7545801"", ""7583542"", ""882642""]",
1071609,es,¿Por qué el ruido es un problema?,"[""7816796""]","[""7747072"", ""7325759"", ""7478795"", ""1945418"", ""7087019"", ""1011107"", ""1418283"", ""7959025"", ""7262416"", ""7953291""]",
663595,es,que genero es rob thomas,"[""7465375""]","[""7465375"", ""7284690"", ""7689707"", ""7899708"", ""7733821"", ""7515256"", ""7915665"", ""4583759"", ""7612172"", ""2813821""]",
1062203,es,¿Por qué Brad Pitt y Angelina Jolie se divorciaron?,"[""7569446""]","[""7569446"", ""7864039"", ""7946505"", ""7573749"", ""7859734"", ""7901881"", ""7841583"", ""7339164"", ""7229591"", ""7292030""]",
182644,es,ejemplos de síntomas de abstinencia de drogas,"[""7935405""]","[""7935405"", ""7173651"", ""7615041"", ""7486505"", ""8000498"", ""7299269"", ""4920146"", ""7227332"", ""7648407"", ""7486503""]",
931029,es,¿Cuál es el tamaño promedio de pepino?,"[""7812195""]","[""7277294"", ""7357414"", ""4509893"", ""7812195"", ""7874158"", ""7485507"", ""7229667"", ""7500915"", ""7725783"", ""7116282""]",
924580,es,de que se hace el whisky de trigo,"[""7853738"", ""7853736""]","[""7853738"", ""7853736"", ""1676911"", ""7109056"", ""7949132"", ""7893642"", ""7367627"", ""7986348"", ""7183913"", ""6666760""]",
837702,es,¿Qué es lo opuesto al helio?,"[""7799527""]","[""7799527"", ""644710"", ""7201584"", ""7674924"", ""7135073"", ""7710180"", ""7241709"", ""7753600"", ""7414822"", ""7876784""]",
1033156,es,¿Cuál es el verdadero nombre del jefe maestro?,"[""7212940""]","[""7212940"", ""7078555"", ""7293402"", ""5397150"", ""1285360"", ""7695210"", ""7231956"", ""7104920"", ""7659345"", ""7226965""]",
1079185,es,¿Qué pasa cuando una corporación se disuelve y tiene deudas?,"[""53048""]","[""53048"", ""3592709"", ""7683676"", ""6417290"", ""7211811"", ""7102693"", ""7397256"", ""7804150"", ""7883166"", ""2026790""]",
171534,es,¿Algún automóvil usa aire acondicionado para ayudar a descongelar?,"[""7385189""]","[""7385189"", ""7211972"", ""7215725"", ""4785576"", ""7492286"", ""7630433"", ""5420203"", ""7154781"", ""7629794"", ""7079467""]",
838500,es,¿Cómo se llama la parte de tu brazo donde extraen sangre?,"[""4707882""]","[""4707882"", ""7273634"", ""6140452"", ""7441402"", ""7518380"", ""7992107"", ""7630376"", ""7105960"", ""7308987"", ""7855504""]",
361285,es,cómo quitar la mancha de orina de gato de la alfombra,"[""7401706""]","[""7401706"", ""7801159"", ""7338411"", ""3675503"", ""7072465"", ""7500634"", ""7483017"", ""7428189"", ""8000759"", ""7910955""]",
1074603,es,por qué usar videos para marketing y promociones,"[""7845422""]","[""7845422"", ""7827847"", ""613301"", ""7461286"", ""7716079"", ""7388532"", ""7826615"", ""7571094"", ""7194094"", ""7966136""]",
931783,es,¿Cuál es la diferencia entre la autoimagen y el autoconcepto?,"[""7830900""]","[""7830900"", ""7164081"", ""7165350"", ""7497224"", ""7447985"", ""7104622"", ""7682652"", ""7425382"", ""7873843"", ""7236059""]",
1096025,es,¿Cuánto paga el estado a las enfermeras en md?,"[""7541711""]","[""7541711"", ""6584729"", ""7959134"", ""7658002"", ""363604"", ""7841638"", ""7447492"", ""7463865"", ""2009579"", ""7418182""]",
1037612,es,cual es la longitud de un armadillo,"[""7205573""]","[""7205573"", ""7195770"", ""7334481"", ""7541207"", ""7461876"", ""5264767"", ""3913650"", ""7601989"", ""7470712"", ""7370061""]",
1004565,es,¿Cuándo comienza el festival de comida y vino en epcot?,"[""7255591""]","[""7255591"", ""7375794"", ""7182313"", ""7813102"", ""7837047"", ""7257190"", ""7542790"", ""7889800"", ""7536350"", ""7883957""]",
630172,es,¿Qué significa un anillo en el dedo medio?,"[""7469958""]","[""7469958"", ""7441402"", ""7830330"", ""7557929"", ""7534457"", ""7562665"", ""1435394"", ""703196"", ""7894150"", ""7406252""]",
