query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,zh-es,温度与volumen的正反数学关系是什么,"[""7206684""]","[""1335588"", ""7659466"", ""7305139"", ""7165807"", ""7492132"", ""7206684"", ""7378879"", ""7229862"", ""7924840"", ""7692857""]",0.11111111111111116
1035645,zh-es,俄罗斯的castillo叫什么名字,"[""7208858""]","[""7208858"", ""7224927"", ""7117406"", ""7318694"", ""7085238"", ""7105678"", ""7835826"", ""7128290"", ""7334902"", ""7942489""]",0.16666666666666663
71029,zh-es,莱姆病会导致perros的毛囊炎吗,"[""7670160""]","[""7670160"", ""7679596"", ""1163812"", ""7411479"", ""7579869"", ""1323273"", ""7352602"", ""7748256"", ""7687505"", ""7334348""]",0.1428571428571429
1083836,zh-es,fdic投保是什么significa ？,"[""1896608""]","[""1896608"", ""7308077"", ""7204812"", ""7363414"", ""7679312"", ""7606531"", ""7695991"", ""7133583"", ""7272684"", ""7808278""]",0.19999999999999996
1058885,zh-es,是什么导致了持续的干胀和arcadas secas,"[""7170528""]","[""7531239"", ""5440644"", ""7132300"", ""7512430"", ""5099300"", ""7141712"", ""4948436"", ""2445156"", ""7325703"", ""7629238""]",0.11111111111111116
1039189,zh-es,谁是星际迷航行动歼灭客队的actriz演员,"[""7805080""]","[""7805080"", ""7490735"", ""1086058"", ""7239171"", ""7355808"", ""7890349"", ""7767103"", ""7595599"", ""7125366"", ""7285210""]",0.11111111111111116
829562,zh-es,政党的主要objetivo是什么？,"[""3347905""]","[""3347905"", ""7100389"", ""7245877"", ""7830190"", ""7738446"", ""7926476"", ""7216092"", ""4582296"", ""7787994"", ""7783462""]",0.16666666666666663
1055884,zh-es,谁是第一个在写作中utilizar社会学的作者,"[""67588""]","[""7763743"", ""67588"", ""7213343"", ""7105483"", ""7082559"", ""67596"", ""7907440"", ""7192480"", ""7763140"", ""7318902""]",0.09999999999999998
466830,zh-es,氮中的质子数、 neutrones和电子数 14,"[""7709283""]","[""7709283"", ""7158898"", ""7080008"", ""7777896"", ""7929230"", ""3349239"", ""7458932"", ""7860609"", ""7867320"", ""7711538""]",0.18181818181818177
1048871,zh-es,谁在bunkd中interpreta xander,"[""4146836""]","[""4146836"", ""7477283"", ""7769977"", ""7929314"", ""7812781"", ""7450920"", ""3645675"", ""7290260"", ""7287518"", ""7290095""]",0.16666666666666663
1085775,zh-es,guiadas图像利用什么conexión将您带入深入,"[""7116157""]","[""7116157"", ""7919768"", ""7378112"", ""7511266"", ""7717805"", ""7560881"", ""5369288"", ""7309353"", ""7717779"", ""7160361""]",0.2222222222222222
884298,zh-es,哪些参数会影响呼吸机的i : relación e,"[""7928696"", ""7928694""]","[""7928694"", ""7558643"", ""7684288"", ""7239751"", ""7081906"", ""7349096"", ""5268318"", ""1304949"", ""7141978"", ""7828466""]",0.11111111111111116
1097199,zh-es,一个mujer有多少个卵子,"[""7433925""]","[""7433925"", ""7433792"", ""7210214"", ""7992043"", ""7833470"", ""7255867"", ""7783998"", ""6093010"", ""7583899"", ""6893630""]",0.16666666666666663
950016,zh-es,suiza的夏令时是什么时候,"[""7754765""]","[""7754765"", ""7853910"", ""166256"", ""256757"", ""7236909"", ""7121801"", ""7889379"", ""7601337"", ""7236525"", ""4484371""]",0.16666666666666663
