query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,zh-en,温度与体积的正反mathematical relationship是什么,"[""7206684""]","[""7217353"", ""7272695"", ""7492132"", ""7561164"", ""7305462"", ""7861394"", ""7244910"", ""7206684"", ""7379549"", ""7522932""]",0.2222222222222222
1035645,zh-en,俄罗斯的城堡叫什么name,"[""7208858""]","[""7208858"", ""7541544"", ""7292184"", ""7806932"", ""7512955"", ""7963400"", ""7235946"", ""7235939"", ""7396043"", ""7841769""]",0.16666666666666663
71029,zh-en,莱姆病会导致dogs的毛囊炎吗,"[""7670160""]","[""7089741"", ""7670160"", ""7459302"", ""1033337"", ""7345967"", ""7996955"", ""7519478"", ""7676140"", ""1903885"", ""7902167""]",0.1428571428571429
1083836,zh-en,fdic insured是什么意思？,"[""1896608""]","[""1896608"", ""7148904"", ""1159597"", ""4191529"", ""7145016"", ""7375334"", ""7967291"", ""7697631"", ""7782325"", ""7485202""]",0.19999999999999996
1058885,zh-en,是什么causing了持续的干胀和恶心,"[""7170528""]","[""7647509"", ""7067829"", ""7498309"", ""570442"", ""7139764"", ""5584747"", ""7533102"", ""7641338"", ""7402600"", ""7374761""]",0.11111111111111116
1039189,zh-en,谁是星际迷航行动歼灭team的女演员,"[""7805080""]","[""7239171"", ""7572869"", ""7767103"", ""7695693"", ""7624731"", ""7789644"", ""270380"", ""7398690"", ""7125366"", ""7490735""]",0.11111111111111116
829562,zh-en,政党的主要purpose是什么？,"[""3347905""]","[""3347905"", ""7216092"", ""381174"", ""7926476"", ""2917712"", ""2468148"", ""7719848"", ""7880502"", ""7456010"", ""7846219""]",0.16666666666666663
1055884,zh-en,谁是第一个在writing中使用社会学的作者,"[""67588""]","[""7541544"", ""67588"", ""7424454"", ""7763743"", ""7257833"", ""7474496"", ""7840748"", ""7292675"", ""7867405"", ""7502092""]",0.09999999999999998
466830,zh-en,氮中的质子数、中子数和electrons 14,"[""7709283""]","[""7709283"", ""3349239"", ""7080008"", ""7158898"", ""7965476"", ""7969020"", ""7491456"", ""7206592"", ""7777896"", ""7656967""]",0.18181818181818177
1048871,zh-en,谁在bunkd中plays xander,"[""4146836""]","[""4146836"", ""7235946"", ""7985724"", ""7355625"", ""7888038"", ""7235939"", ""7827574"", ""7491398"", ""7647619"", ""7302021""]",0.16666666666666663
1085775,zh-en,引导图像advantage什么联系将您带入深入,"[""7116157""]","[""7115754"", ""7339731"", ""7487159"", ""7456010"", ""7362618"", ""7279218"", ""7806932"", ""7985724"", ""7647619"", ""7108984""]",0.11111111111111116
884298,zh-en,哪些parameters会影响呼吸机的i : e比率,"[""7928696"", ""7928694""]","[""7928694"", ""7625523"", ""7861394"", ""7305462"", ""7558643"", ""7244910"", ""7268557"", ""7272695"", ""7115754"", ""7079907""]",0.11111111111111116
1097199,zh-en,一个女人有多少个eggs,"[""7433925""]","[""7826945"", ""7433925"", ""7433792"", ""7380886"", ""7416687"", ""1188159"", ""7414499"", ""6724191"", ""7607054"", ""7567998""]",0.16666666666666663
950016,zh-en,瑞士的daylight time是什么时候,"[""7754765""]","[""7754765"", ""7438631"", ""7597092"", ""7809074"", ""7083275"", ""7213876"", ""7852867"", ""7204196"", ""7236525"", ""7410122""]",0.16666666666666663
337148,zh-en,你的小狗应该多old才能接种狂犬病疫苗,"[""7389316""]","[""7389316"", ""7974596"", ""7700487"", ""7311939"", ""609254"", ""7076146"", ""7312387"", ""7187607"", ""2951555"", ""7788643""]",0.11111111111111116
733241,zh-en,什么被considered是着装,"[""1699500""]","[""7647619"", ""7933515"", ""7171569"", ""7421911"", ""7793782"", ""1699500"", ""7355625"", ""7238394"", ""7736585"", ""7246698""]",0.19999999999999996
