query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,zh,温度与体积的正反数学关系是什么,"[""7206684""]","[""7427034"", ""7548918"", ""7091953"", ""1791102"", ""283784"", ""7206413"", ""8003293"", ""7979967"", ""7474981"", ""7141978""]",
1035645,zh,俄罗斯的城堡叫什么名字,"[""7208858""]","[""283784"", ""7573433"", ""7206413"", ""7631719"", ""1791102"", ""7881656"", ""7427034"", ""7989233"", ""7619959"", ""7268347""]",
71029,zh,莱姆病会导致狗的毛囊炎吗,"[""7670160""]","[""3152590"", ""3300935"", ""817137"", ""7127305"", ""7525804"", ""6016363"", ""1732575"", ""7991258"", ""2200965"", ""5585646""]",
1083836,zh,fdic 投保是什么意思？,"[""1896608""]","[""7158929"", ""7481663"", ""7484208"", ""6415509"", ""6043758"", ""7391461"", ""7176630"", ""2557880"", ""7277200"", ""7433767""]",
1058885,zh,是什么导致了持续的干胀和恶心,"[""7170528""]","[""4255135"", ""7178409"", ""7716747"", ""7472422"", ""7731035"", ""5716462"", ""7727261"", ""7250048"", ""7260682"", ""7194943""]",
1039189,zh,谁是星际迷航行动歼灭客队的女演员,"[""7805080""]","[""7694677"", ""6016363"", ""3152590"", ""7525804"", ""7134569"", ""1918860"", ""7720292"", ""4253184"", ""3556238"", ""2891186""]",
829562,zh,政党的主要目的是什么？,"[""3347905""]","[""7767706"", ""7573254"", ""3565043"", ""7943896"", ""7159126"", ""7615873"", ""7171421"", ""5113555"", ""7530720"", ""7161425""]",
1055884,zh,谁是第一个在写作中使用社会学的作者,"[""67588""]","[""7944164"", ""7224858"", ""7327475"", ""2063006"", ""7583899"", ""7223371"", ""7161448"", ""7662609"", ""7202260"", ""33922""]",
466830,zh,氮中的质子数、中子数和电子数 14,"[""7709283""]","[""7427034"", ""7206413"", ""7573433"", ""1791102"", ""283784"", ""7631719"", ""7254734"", ""7268347"", ""7474981"", ""7881656""]",
1048871,zh,谁在 bunkd 中扮演 xander,"[""4146836""]","[""4145116"", ""7425326"", ""4176918"", ""7082996"", ""7738427"", ""7160784"", ""7089680"", ""7767788"", ""7669704"", ""7277554""]",
1085775,zh,引导图像利用什么联系将您带入深入,"[""7116157""]","[""7100914"", ""7206664"", ""7436481"", ""7639764"", ""7164681"", ""480701"", ""7254405"", ""7223527"", ""7358556"", ""7596673""]",
884298,zh,哪些参数会影响呼吸机的 i:e 比率,"[""7928696"", ""7928694""]","[""7683923"", ""7679682"", ""7572500"", ""7365925"", ""2205059"", ""7331425"", ""7437141"", ""4809578"", ""7723021"", ""7939043""]",
1097199,zh,一个女人有多少个卵子,"[""7433925""]","[""7320299"", ""7651085"", ""6047089"", ""7527675"", ""7321369"", ""7210393"", ""7868284"", ""7149808"", ""7774324"", ""2109575""]",
950016,zh,瑞士的夏令时是什么时候,"[""7754765""]","[""3565043"", ""7943896"", ""7741210"", ""7185925"", ""7171421"", ""7573254"", ""47970"", ""7170245"", ""7612722"", ""7615873""]",
