query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,zh,温度与体积的正反数学关系是什么,"[""7206684""]","[""7840287"", ""577914"", ""7259822"", ""7371165"", ""7798008"", ""7926959"", ""7127124"", ""7249337"", ""7776982"", ""7493809""]",
1035645,zh,俄罗斯的城堡叫什么名字,"[""7208858""]","[""7840287"", ""577914"", ""7259822"", ""7371165"", ""7798008"", ""7127124"", ""7926959"", ""7249337"", ""7776982"", ""7493809""]",
71029,zh,莱姆病会导致狗的毛囊炎吗,"[""7670160""]","[""7522675"", ""822036"", ""7371680"", ""527250"", ""7188758"", ""7720292"", ""5790776"", ""7713624"", ""7281532"", ""7077530""]",
1083836,zh,fdic 投保是什么意思？,"[""1896608""]","[""7840287"", ""577914"", ""7193783"", ""7371165"", ""7798008"", ""8004401"", ""7127124"", ""7926959"", ""7259822"", ""7850460""]",
1058885,zh,是什么导致了持续的干胀和恶心,"[""7170528""]","[""1093699"", ""7185585"", ""7459302"", ""7122091"", ""7963400"", ""8008925"", ""7495635"", ""7148584"", ""7689607"", ""7122052""]",
1039189,zh,谁是星际迷航行动歼灭客队的女演员,"[""7805080""]","[""7188758"", ""7522675"", ""7720292"", ""7077530"", ""7097902"", ""7371680"", ""7153704"", ""822036"", ""7210675"", ""7300075""]",
829562,zh,政党的主要目的是什么？,"[""3347905""]","[""7840287"", ""577914"", ""7193783"", ""7371165"", ""7259822"", ""7798008"", ""7926959"", ""7127124"", ""3042404"", ""7493809""]",
1055884,zh,谁是第一个在写作中使用社会学的作者,"[""67588""]","[""7840287"", ""577914"", ""7193783"", ""7259822"", ""7371165"", ""7926959"", ""7798008"", ""7127124"", ""7249337"", ""7432455""]",
466830,zh,氮中的质子数、中子数和电子数 14,"[""7709283""]","[""7840287"", ""577914"", ""7259822"", ""7371165"", ""7798008"", ""7127124"", ""7776982"", ""7926959"", ""7249337"", ""7493809""]",
1048871,zh,谁在 bunkd 中扮演 xander,"[""4146836""]","[""7840287"", ""577914"", ""7776982"", ""7259822"", ""7798008"", ""7127124"", ""7926959"", ""7371165"", ""8004401"", ""7249337""]",
1085775,zh,引导图像利用什么联系将您带入深入,"[""7116157""]","[""7840287"", ""577914"", ""7776982"", ""7259822"", ""7798008"", ""7127124"", ""7371165"", ""7926959"", ""7249337"", ""7541190""]",
