query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,en,what is the mathematical relationship between temperature and volume direct or inverse,"[""7206684""]","[""7206684"", ""7272695"", ""7220288"", ""7322251"", ""7985667"", ""2008909"", ""7296810"", ""7217353"", ""7358221"", ""7659466""]",
1035645,en,what is the name of the castle in russia,"[""7208858""]","[""7208858"", ""7152404"", ""7105678"", ""7396043"", ""7858842"", ""1878861"", ""7246021"", ""7292184"", ""7318694"", ""7254379""]",
71029,en,can lyme disease cause folliculitis in dogs,"[""7670160""]","[""7670160"", ""7452987"", ""7959219"", ""7455776"", ""7679596"", ""1163812"", ""7837036"", ""1033337"", ""7630491"", ""663950""]",
1083836,en,what does fdic insured mean?,"[""1896608""]","[""1896608"", ""1159597"", ""7308077"", ""7375334"", ""7679312"", ""7697631"", ""4191529"", ""7595500"", ""7272930"", ""7176947""]",
1058885,en,what is causing the constant dry heaving and nausea,"[""7170528""]","[""5584747"", ""7531239"", ""7966808"", ""4486381"", ""7375386"", ""7512430"", ""7780379"", ""7654082"", ""7067901"", ""1802893""]",
1039189,en,who is the actress on the away team in star trek operation annihilate,"[""7805080""]","[""7805080"", ""7239171"", ""7623844"", ""7636646"", ""7789644"", ""7125366"", ""2628627"", ""7958566"", ""270380"", ""7292304""]",
829562,en,what is the main purpose of a political party?,"[""3347905""]","[""3347905"", ""2468148"", ""4582296"", ""991142"", ""7386744"", ""3353086"", ""7926476"", ""7846219"", ""7396947"", ""7562831""]",
1055884,en,who was the first author to use sociology in their writing,"[""67588""]","[""67588"", ""7763743"", ""7318902"", ""7876093"", ""7257833"", ""7626411"", ""7541544"", ""7943543"", ""7082559"", ""7294698""]",
466830,en,number of protons neutrons and electrons in nitrogen 14,"[""7709283""]","[""7709283"", ""7080008"", ""7158898"", ""7107654"", ""7777896"", ""3349239"", ""7402796"", ""7210335"", ""7977659"", ""7138454""]",
1048871,en,who plays xander from bunkd,"[""4146836""]","[""4146836"", ""7292304"", ""7889259"", ""7124323"", ""7085516"", ""7764195"", ""7688588"", ""7291282"", ""7858559"", ""7623838""]",
1085775,en,what connection does guided imagery take advantage of to transport you deep into,"[""7116157""]","[""7116157"", ""7621537"", ""7150228"", ""7327215"", ""7929939"", ""7214316"", ""718115"", ""7277067"", ""7870042"", ""7456010""]",
884298,en,what parameters effect i:e ratio on ventilators,"[""7928696"", ""7928694""]","[""7928694"", ""7928696"", ""7358221"", ""7367246"", ""7861394"", ""7966440"", ""7082136"", ""7077624"", ""7296810"", ""1192808""]",
1097199,en,how many eggs do does a woman have,"[""7433925""]","[""7433925"", ""7992043"", ""7433792"", ""6093010"", ""7273604"", ""7534069"", ""7695522"", ""7806346"", ""7559587"", ""3132683""]",
950016,en,when is daylight savings time for switzerland,"[""7754765""]","[""7754765"", ""7438631"", ""7601337"", ""924613"", ""256757"", ""7862783"", ""7236525"", ""7410122"", ""7809074"", ""7204196""]",
337148,en,how old should your puppy be to get a rabies shot,"[""7389316""]","[""7389316"", ""7974596"", ""7076146"", ""7700487"", ""7311939"", ""609254"", ""3041398"", ""7187607"", ""7493757"", ""3654352""]",
733241,en,what is considered attire,"[""1699500""]","[""7933515"", ""7171569"", ""2158081"", ""7857342"", ""7129284"", ""7555333"", ""1699500"", ""7698157"", ""5934029"", ""7647619""]",
576898,en,what are wars most commonly fought over,"[""7598385""]","[""7598385"", ""7742103"", ""7214220"", ""1798522"", ""7389537"", ""7814471"", ""7541190"", ""3429513"", ""7829864"", ""7924333""]",
