query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate,ret_top1_lang
1000012,en,"where is weston, fl","[""7942175|en"", ""7942175|es"", ""7942175|zh""]","[""7942175|es"", ""7942175|en"", ""7942175|zh"", ""7832965|zh"", ""7609681|en"", ""1459045|en"", ""7495093|en"", ""7237344|es"", ""7614082|zh"", ""1459045|es""]",,es
1000030,en,where does microtubule formation occur,"[""7264233|en"", ""7264233|es"", ""7264233|zh""]","[""7264233|en"", ""7264233|es"", ""7970698|es"", ""7870036|es"", ""7943897|en"", ""7746844|zh"", ""7943896|en"", ""7344725|en"", ""7577254|en"", ""7943897|es""]",,en
1000061,en,define: procrastinate,"[""7264199|en"", ""7264199|es"", ""7264199|zh""]","[""7264199|en"", ""7264199|es"", ""7264199|zh"", ""7330826|en"", ""7750059|es"", ""3571036|es"", ""7207135|en"", ""7207135|zh"", ""1100911|es"", ""3524076|zh""]",,en
1000185,en,where does a plant pathologist works,"[""7264001|en"", ""7264001|es"", ""7264001|zh""]","[""7264001|en"", ""7264001|zh"", ""7264001|es"", ""7341497|es"", ""7341497|zh"", ""7318277|es"", ""7478424|en"", ""7592671|en"", ""7417103|en"", ""7653499|en""]",,en
1000202,en,where does a moose live,"[""4526068|en"", ""4526068|es"", ""4526068|zh""]","[""7234247|en"", ""4526068|en"", ""7234247|es"", ""7845382|es"", ""7454812|es"", ""7523861|es"", ""4526068|zh"", ""7234247|zh"", ""7676817|zh"", ""7097131|es""]",,en
1000232,en,where does a cusk eel take shelter?,"[""7263962|en"", ""7263962|es"", ""7263962|zh""]","[""7263962|zh"", ""7263962|en"", ""7263962|es"", ""7376324|en"", ""7676817|en"", ""7376324|es"", ""7376324|zh"", ""7254580|en"", ""7476737|en"", ""7845492|en""]",,zh
1000246,en,where do you place cove lighting,"[""7263923|en"", ""7263923|es"", ""7263923|zh""]","[""7263923|en"", ""7263923|es"", ""977611|zh"", ""7263923|zh"", ""7207015|en"", ""7997607|es"", ""977611|es"", ""7207015|zh"", ""977611|en"", ""7913785|zh""]",,en
1000270,en,define: marine,"[""7263764|en"", ""7263764|es"", ""7263764|zh""]","[""7767920|en"", ""7263764|en"", ""7263764|zh"", ""7263764|es"", ""7767920|es"", ""4309017|en"", ""7767920|zh"", ""4309017|es"", ""7487314|zh"", ""7815670|en""]",,en
1000334,en,define: logos,"[""7263655|en"", ""7263655|es"", ""7263655|zh""]","[""7334427|zh"", ""7558949|zh"", ""7558949|en"", ""7263655|en"", ""7334427|es"", ""7263655|es"", ""7334427|en"", ""7887243|en"", ""7887243|es"", ""7558949|es""]",,zh
1000373,en,where is wovoka buried,"[""7732653|en"", ""7732653|es"", ""7732653|zh""]","[""7732653|en"", ""7732653|zh"", ""7732653|es"", ""7458213|zh"", ""7923213|zh"", ""7272003|zh"", ""2661262|zh"", ""7923214|zh"", ""7763592|en"", ""7763592|zh""]",,en
1000422,en,where is wyoming county ny,"[""7930357|en"", ""7930357|es"", ""7930357|zh""]","[""7930357|en"", ""7930357|es"", ""7930357|zh"", ""7107732|es"", ""7107732|en"", ""2107598|en"", ""7431469|en"", ""7775781|zh"", ""7775781|en"", ""7893851|en""]",,en
1000459,en,where do black widow spiders live in the us?,"[""7263355|en"", ""7263355|es"", ""7263355|zh"", ""7263359|en"", ""7263359|es"", ""7263359|zh""]","[""7263359|en"", ""7263359|zh"", ""7263355|en"", ""7263359|es"", ""7263355|es"", ""7578709|en"", ""7263355|zh"", ""7578709|es"", ""7523861|en"", ""7523861|es""]",,en
1000462,en,where do aerobic' takes place,"[""7263327|en"", ""7263327|es"", ""7263327|zh""]","[""7263327|en"", ""7119390|en"", ""7263327|es"", ""1520189|en"", ""7828466|en"", ""7462410|en"", ""1480397|en"", ""7427723|es"", ""7785828|en"", ""7554389|en""]",,en
1000495,en,"where is yellowknife,canada","[""7734091|en"", ""7734091|es"", ""7734091|zh""]","[""7734091|en"", ""7734091|es"", ""7734091|zh"", ""7541382|zh"", ""7541382|es"", ""7541382|en"", ""7121159|zh"", ""7880174|es"", ""7880174|en"", ""7570182|zh""]",,en
