query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,es-en,¿ Cuál es la relationship matemática entre temperature y volumen directa o inversa?,"[""7206684""]","[""7128768"", ""7581217"", ""7903408"", ""7934472"", ""245700"", ""7137600"", ""7182178"", ""7266336"", ""7425485"", ""7257114""]",0.16666666666666663
1035645,es-en,cual es el nombre del castle en rusia,"[""7208858""]","[""7961544"", ""7108077"", ""4767078"", ""7871824"", ""7242961"", ""7719606"", ""7234971"", ""7770763"", ""7242690"", ""7585390""]",0.125
71029,es-en,¿ Puede la enfermedad de Lyme causar foliculitis en dogs?,"[""7670160""]","[""7088560"", ""7481960"", ""7630376"", ""7571607"", ""4767078"", ""7803677"", ""6819684"", ""7279764"", ""7795902"", ""7549630""]",0.11111111111111116
1083836,es-en,¿ Qué significa insured por fdic?,"[""1896608""]","[""7405220"", ""7142453"", ""7549452"", ""7226212"", ""7332881"", ""7143469"", ""7512908"", ""7634650"", ""7638696"", ""7758892""]",0.19999999999999996
1058885,es-en,¿ Qué está causando the constant heaving y arcadas secas?,"[""7170528""]","[""3003239"", ""7405220"", ""7201521"", ""7325613"", ""7226212"", ""7717237"", ""7930167"", ""7088560"", ""7880595"", ""7670327""]",0.33333333333333337
1039189,es-en,¿ Quién es la actriz del equipo visitante en operation Star Trek Aniquilar?,"[""7805080""]","[""4767078"", ""7279764"", ""7088560"", ""7276446"", ""7549630"", ""7481960"", ""7620930"", ""6819684"", ""7253127"", ""7266336""]",0.15384615384615385
829562,es-en,¿ Cuál es el objetivo main de un partido político?,"[""3347905""]","[""4767078"", ""7108077"", ""7242961"", ""7276099"", ""7242690"", ""7423043"", ""7234971"", ""7068104"", ""7943980"", ""7871824""]",0.11111111111111116
1055884,es-en,¿ Quién fue el primer autor en utilizar la sociología en their writing?,"[""67588""]","[""7735509"", ""7663114"", ""7767103"", ""7685168"", ""7962709"", ""7285798"", ""7139296"", ""6843110"", ""7459902"", ""7502919""]",0.16666666666666663
466830,es-en,número de protones neutrons y electrones en nitrógeno 14,"[""7709283""]","[""7581217"", ""7068104"", ""7208037"", ""7394962"", ""7413311"", ""7094773"", ""7323313"", ""7903408"", ""7684080"", ""7719606""]",0.11111111111111116
1048871,es-en,quien plays a xander de bunkd,"[""4146836""]","[""7962709"", ""7088560"", ""7643936"", ""7758892"", ""7405220"", ""7720437"", ""7827487"", ""3003239"", ""7853359"", ""6114351""]",0.16666666666666663
1085775,es-en,¿ What connection aprovechan las imágenes guiadas para transportarte profundamente,"[""7116157""]","[""7362321"", ""7696487"", ""7244486"", ""7562665"", ""7414682"", ""7476064"", ""7355207"", ""7943980"", ""7405220"", ""7330328""]",0.2222222222222222
884298,es-en,¿ What parameters afectan la relación i : e en los ventiladores?,"[""7928694"", ""7928696""]","[""7137600"", ""7266336"", ""7696487"", ""7477298"", ""7362321"", ""7483519"", ""7985399"", ""7405220"", ""7333096"", ""7244486""]",0.19999999999999996
1097199,es-en,¿ Cuántos eggs tiene una mujer?,"[""7433925""]","[""4767078"", ""7242961"", ""7871824"", ""7234971"", ""7276099"", ""7737845"", ""7108077"", ""1098497"", ""7242690"", ""7130983""]",0.19999999999999996
950016,es-en,¿ Cuándo es el horario de daylight en Suiza?,"[""7754765""]","[""7182178"", ""7192236"", ""4767078"", ""7266336"", ""7068104"", ""7253127"", ""7413311"", ""7126178"", ""7549630"", ""7094773""]",0.125
