query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,es,¿Cuál es la relación matemática entre temperatura y volumen directa o inversa?,"[""7206684""]","[""7581217"", ""7903408"", ""7709987"", ""7257114"", ""7182178"", ""7515975"", ""7266336"", ""7128768"", ""7253127"", ""7502195""]",
1035645,es,cual es el nombre del castillo en rusia,"[""7208858""]","[""4767078"", ""7961544"", ""7242690"", ""7108077"", ""7719606"", ""7242961"", ""7161120"", ""7770763"", ""7871824"", ""7068104""]",
71029,es,¿Puede la enfermedad de Lyme causar foliculitis en perros?,"[""7670160""]","[""7266336"", ""7182178"", ""4767078"", ""7549630"", ""7088560"", ""7253127"", ""6819684"", ""7481960"", ""7192236"", ""7232509""]",
1083836,es,¿Qué significa asegurado por fdic?,"[""1896608""]","[""4767078"", ""7242961"", ""7549452"", ""7871824"", ""7242690"", ""7405220"", ""7234971"", ""7226212"", ""7108077"", ""7068104""]",
1058885,es,¿Qué está causando las constantes náuseas y arcadas secas?,"[""7170528""]","[""7267095"", ""7108077"", ""4767078"", ""7266336"", ""7161120"", ""7756398"", ""7279764"", ""7696487"", ""7750384"", ""7242690""]",
1039189,es,¿Quién es la actriz del equipo visitante en la operación Star Trek Aniquilar?,"[""7805080""]","[""7279764"", ""7087868"", ""4767078"", ""7276446"", ""7549630"", ""7266336"", ""7253127"", ""6819684"", ""7088560"", ""7242690""]",
829562,es,¿Cuál es el objetivo principal de un partido político?,"[""3347905""]","[""4767078"", ""7242690"", ""7068104"", ""7192236"", ""7267095"", ""7423043"", ""7161120"", ""7539348"", ""7108077"", ""7266336""]",
1055884,es,¿Quién fue el primer autor en utilizar la sociología en sus escritos?,"[""67588""]","[""7139296"", ""7735509"", ""7459902"", ""7088560"", ""7571607"", ""7292014"", ""7962709"", ""7279764"", ""7949132"", ""7481960""]",
466830,es,"número de protones, neutrones y electrones en nitrógeno 14","[""7709283""]","[""7581217"", ""7208037"", ""7394962"", ""7719606"", ""7903408"", ""7068104"", ""7934472"", ""7413311"", ""7323313"", ""7515977""]",
1048871,es,quien interpreta a xander de bunkd,"[""4146836""]","[""7253127"", ""4767078"", ""7827487"", ""7972847"", ""7137600"", ""7087868"", ""7620930"", ""7677002"", ""7549630"", ""7068104""]",
1085775,es,¿Qué conexión aprovechan las imágenes guiadas para transportarte profundamente,"[""7116157""]","[""7405220"", ""7546899"", ""7806375"", ""7476976"", ""7670967"", ""7362321"", ""7268816"", ""7279523"", ""7696487"", ""7915660""]",
884298,es,¿Qué parámetros afectan la relación i: e en los ventiladores?,"[""7928694"", ""7928696""]","[""5424465"", ""7836615"", ""7919383"", ""7735509"", ""7229862"", ""7137600"", ""7791882"", ""7296810"", ""7962709"", ""7441725""]",
1097199,es,¿Cuántos óvulos tiene una mujer?,"[""7433925""]","[""4767078"", ""7242961"", ""7242690"", ""7642717"", ""7719606"", ""7413311"", ""7161120"", ""7068104"", ""7276099"", ""7620930""]",
950016,es,¿Cuándo es el horario de verano en Suiza?,"[""7754765""]","[""7182178"", ""7192236"", ""7266336"", ""7237429"", ""7549630"", ""7527820"", ""7161120"", ""4767078"", ""7126178"", ""7087868""]",
337148,es,¿Qué edad debe tener su cachorro para recibir la vacuna contra la rabia?,"[""7389316""]","[""7161120"", ""7642717"", ""7321874"", ""4767078"", ""7192236"", ""7242961"", ""7871824"", ""7267095"", ""7182178"", ""7999275""]",
