query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,es,¿Cuál es la relación matemática entre temperatura y volumen directa o inversa?,"[""7206684""]","[""7136942"", ""7667983"", ""7625240"", ""7676222"", ""7896695"", ""2057086"", ""7790637"", ""7797366"", ""7211673"", ""7068644""]",
1035645,es,cual es el nombre del castillo en rusia,"[""7208858""]","[""7136942"", ""7728338"", ""7667983"", ""7896695"", ""1459230"", ""7211673"", ""7790637"", ""7676222"", ""7434727"", ""7625240""]",
71029,es,¿Puede la enfermedad de Lyme causar foliculitis en perros?,"[""7670160""]","[""7136942"", ""7862054"", ""7797366"", ""7460745"", ""1114737"", ""7625240"", ""312683"", ""7656104"", ""7614806"", ""7587858""]",
1083836,es,¿Qué significa asegurado por fdic?,"[""1896608""]","[""7136942"", ""7667983"", ""7625240"", ""7676222"", ""7790637"", ""1459230"", ""7896695"", ""7728338"", ""7772009"", ""7434727""]",
1058885,es,¿Qué está causando las constantes náuseas y arcadas secas?,"[""7170528""]","[""7136942"", ""1114737"", ""7625240"", ""7862054"", ""7797366"", ""7656104"", ""7896695"", ""7676222"", ""7741923"", ""312683""]",
1039189,es,¿Quién es la actriz del equipo visitante en la operación Star Trek Aniquilar?,"[""7805080""]","[""7136942"", ""7625240"", ""7896695"", ""7667983"", ""7778322"", ""7199682"", ""7211673"", ""7518278"", ""7079575"", ""7728338""]",
829562,es,¿Cuál es el objetivo principal de un partido político?,"[""3347905""]","[""7136942"", ""7667983"", ""7728338"", ""7943242"", ""7396947"", ""7625240"", ""1459230"", ""7676222"", ""7167278"", ""7079575""]",
1055884,es,¿Quién fue el primer autor en utilizar la sociología en sus escritos?,"[""67588""]","[""7136942"", ""7676222"", ""7667983"", ""7625240"", ""7211673"", ""7896695"", ""7307660"", ""7728338"", ""7254447"", ""7775790""]",
466830,es,"número de protones, neutrones y electrones en nitrógeno 14","[""7709283""]","[""7136942"", ""312683"", ""7896695"", ""7780661"", ""7608974"", ""7676222"", ""7797366"", ""7429630"", ""7643499"", ""7334558""]",
1048871,es,quien interpreta a xander de bunkd,"[""4146836""]","[""7136942"", ""7676222"", ""7376225"", ""7667983"", ""7283332"", ""7797366"", ""7896695"", ""7778322"", ""7625240"", ""7334558""]",
1085775,es,¿Qué conexión aprovechan las imágenes guiadas para transportarte profundamente,"[""7116157""]","[""7136942"", ""7896695"", ""7625240"", ""7778322"", ""7429630"", ""7193536"", ""7676222"", ""7487392"", ""7277554"", ""7215081""]",
884298,es,¿Qué parámetros afectan la relación i: e en los ventiladores?,"[""7928694"", ""7928696""]","[""7136942"", ""7667983"", ""7896695"", ""7625240"", ""7676222"", ""7211673"", ""7429630"", ""7790637"", ""7862054"", ""7376225""]",
1097199,es,¿Cuántos óvulos tiene una mujer?,"[""7433925""]","[""7136942"", ""7676222"", ""312683"", ""7797366"", ""7878636"", ""7068644"", ""7862054"", ""7376225"", ""7155719"", ""7896695""]",
950016,es,¿Cuándo es el horario de verano en Suiza?,"[""7754765""]","[""7136942"", ""7667983"", ""7625240"", ""7896695"", ""7676222"", ""7790637"", ""7775790"", ""7211673"", ""7376225"", ""7797366""]",
337148,es,¿Qué edad debe tener su cachorro para recibir la vacuna contra la rabia?,"[""7389316""]","[""7136942"", ""7896695"", ""4101557"", ""1114737"", ""7862054"", ""7625240"", ""7529506"", ""7311939"", ""7667983"", ""7429630""]",
733241,es,lo que se considera vestimenta,"[""1699500""]","[""7136942"", ""7676222"", ""7896695"", ""7429630"", ""2057086"", ""7625240"", ""7155719"", ""7778322"", ""7667983"", ""7211673""]",
576898,es,¿Cuáles son las guerras por las que se pelea más comúnmente?,"[""7598385""]","[""7136942"", ""7667983"", ""7072911"", ""7199682"", ""7775790"", ""7676222"", ""7211673"", ""7728338"", ""7625240"", ""7778410""]",
617306,es,que deficiencia produce mancha blanca en las uñas,"[""7502930""]","[""7136942"", ""7625240"", ""7797366"", ""7667983"", ""7676222"", ""7656104"", ""7862054"", ""7896695"", ""7211673"", ""7790637""]",
1064470,es,¿Por qué los huevos se vuelven marrones?,"[""7728289""]","[""7136942"", ""7896695"", ""7667983"", ""7625240"", ""7211673"", ""7676222"", ""7656104"", ""7068644"", ""312683"", ""7797366""]",
393696,es,"en texas, qué requisitos se necesitan para postularse para convertirse en corredor","[""7598745""]","[""7136942"", ""7896695"", ""7667983"", ""7790637"", ""7625240"", ""4101557"", ""7676222"", ""7656104"", ""1110852"", ""7797366""]",
992193,es,¿Quién acuñó el concepto de supervivencia del más apto? charles darwin karl marx herbert spencer max weber,"[""7280593""]","[""7676222"", ""7136942"", ""7667983"", ""7625240"", ""7896695"", ""7211673"", ""7283332"", ""2057086"", ""7190911"", ""7376225""]",
