query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,es-en,¿ Cuál es la relationship matemática entre temperature y volumen directa o inversa?,"[""7206684""]","[""7492132"", ""1335588"", ""7305139"", ""7671426"", ""7659466"", ""7206684"", ""7537074"", ""7702344"", ""7622515"", ""7378879""]",0.16666666666666663
1035645,es-en,cual es el nombre del castle en rusia,"[""7208858""]","[""7208858"", ""7105678"", ""1878861"", ""7128290"", ""7028429"", ""7619153"", ""7085238"", ""7318694"", ""7224927"", ""7858842""]",0.125
71029,es-en,¿ Puede la enfermedad de Lyme causar foliculitis en dogs?,"[""7670160""]","[""1033337"", ""7679596"", ""7455776"", ""663950"", ""7670160"", ""7676140"", ""3911362"", ""7314613"", ""7452987"", ""7112464""]",0.11111111111111116
1083836,es-en,¿ Qué significa insured por fdic?,"[""1896608""]","[""1896608"", ""7595500"", ""7272684"", ""7688312"", ""7686930"", ""7240277"", ""7704366"", ""7695991"", ""1159597"", ""7363414""]",0.19999999999999996
1058885,es-en,¿ Qué está causando the constant heaving y arcadas secas?,"[""7170528""]","[""7531239"", ""7132300"", ""7325629"", ""5440644"", ""7161425"", ""7512430"", ""7141712"", ""298259"", ""7533102"", ""421414""]",0.33333333333333337
1039189,es-en,¿ Quién es la actriz del equipo visitante en operation Star Trek Aniquilar?,"[""7805080""]","[""7490735"", ""7789644"", ""7805080"", ""7239171"", ""1086058"", ""7355808"", ""7290137"", ""7287434"", ""5159723"", ""7890349""]",0.15384615384615385
829562,es-en,¿ Cuál es el objetivo main de un partido político?,"[""3347905""]","[""3347905"", ""7100389"", ""7830190"", ""1455862"", ""991142"", ""7497486"", ""7216092"", ""7245877"", ""7787994"", ""7340037""]",0.11111111111111116
1055884,es-en,¿ Quién fue el primer autor en utilizar la sociología en their writing?,"[""67588""]","[""7763743"", ""67588"", ""7082559"", ""7105483"", ""7907440"", ""7907439"", ""7257833"", ""7213343"", ""7763140"", ""7200796""]",0.16666666666666663
466830,es-en,número de protones neutrons y electrones en nitrógeno 14,"[""7709283""]","[""7709283"", ""7080008"", ""3349239"", ""7777896"", ""7158898"", ""7867320"", ""7711538"", ""1433879"", ""7458932"", ""7406797""]",0.11111111111111116
1048871,es-en,quien plays a xander de bunkd,"[""4146836""]","[""4146836"", ""7287518"", ""7124323"", ""1663521"", ""7125360"", ""7388391"", ""7877828"", ""7451471"", ""7769977"", ""7121598""]",0.16666666666666663
1085775,es-en,¿ What connection aprovechan las imágenes guiadas para transportarte profundamente,"[""7116157""]","[""7116157"", ""7929939"", ""804081"", ""7309353"", ""7614573"", ""7621537"", ""7717805"", ""3166969"", ""7125495"", ""7026760""]",0.2222222222222222
884298,es-en,¿ What parameters afectan la relación i : e en los ventiladores?,"[""7928696"", ""7928694""]","[""7928694"", ""7239751"", ""7915135"", ""7684288"", ""7985667"", ""5268318"", ""7864191"", ""7215725"", ""7729986"", ""1782540""]",0.19999999999999996
1097199,es-en,¿ Cuántos eggs tiene una mujer?,"[""7433925""]","[""3748377"", ""7695522"", ""7433925"", ""7392437"", ""7510610"", ""7433792"", ""7628559"", ""7377787"", ""1501464"", ""7380886""]",0.19999999999999996
950016,es-en,¿ Cuándo es el horario de daylight en Suiza?,"[""7754765""]","[""7754765"", ""7410122"", ""256757"", ""7853910"", ""7236525"", ""7601337"", ""166256"", ""7438631"", ""7862783"", ""7964726""]",0.125
337148,es-en,¿ How old debe tener your puppy para recibir la vacuna contra la rabia?,"[""7389316""]","[""7974596"", ""7389316"", ""7311939"", ""7700487"", ""7076146"", ""609254"", ""7312387"", ""7493757"", ""3041398"", ""7678643""]",0.3076923076923077
733241,es-en,lo que se considered vestimenta,"[""1699500""]","[""7933515"", ""7857342"", ""7766841"", ""7715036"", ""7069399"", ""7246698"", ""7421911"", ""7620840"", ""7249306"", ""7793782""]",0.19999999999999996
576898,es-en,¿ Cuáles son las wars por las que se fought más comúnmente?,"[""7598385""]","[""7214220"", ""3429513"", ""2358879"", ""7742103"", ""7234971"", ""7814471"", ""7554646"", ""2679413"", ""3970387"", ""7580400""]",0.18181818181818177
617306,es-en,que deficiency produce mancha blanca en las uñas,"[""7502930""]","[""7502930"", ""7122052"", ""5006012"", ""7132199"", ""480677"", ""7493514"", ""3864104"", ""7801159"", ""7894150"", ""7971159""]",0.125
1064470,es-en,¿ Por qué los huevos se vuelven brown?,"[""7728289""]","[""7728289"", ""7510610"", ""1501464"", ""7399071"", ""7380886"", ""5558092"", ""7413320"", ""7975364"", ""7323291"", ""7332142""]",0.1428571428571429
393696,es-en,"en texas, qué requisitos se needed para postularse para convertirse en broker","[""7598745""]","[""7598745"", ""7645183"", ""7543353"", ""7155303"", ""7996617"", ""7934632"", ""7384736"", ""2320067"", ""7714548"", ""7233354""]",0.16666666666666663
992193,es-en,¿ Quién coined the concept de survival del más apto? charles darwin karl marx herbert spencer max weber,"[""7280593""]","[""7280593"", ""4772781"", ""7959617"", ""7902044"", ""7107894"", ""7394614"", ""7577963"", ""7106919"", ""6507477"", ""7172263""]",0.23529411764705888
829915,es-en,¿ Cuál es la edad para contraer marriage en Kansas con el consentimiento de parental?,"[""7787972""]","[""7787972"", ""7167740"", ""7900321"", ""7790637"", ""7358369"", ""6395661"", ""7234193"", ""7723393"", ""7106774"", ""7221882""]",0.19999999999999996
987767,es-en,con quien Roy Moore lost,"[""7290624""]","[""7645327"", ""7879331"", ""7106317"", ""7675084"", ""7282233"", ""7290624"", ""7791046"", ""7935493"", ""7335515"", ""7744675""]",0.19999999999999996
299128,es-en,cuántas unidades de water por mes,"[""6720313""]","[""2173490"", ""1987259"", ""7096348"", ""77985"", ""7325989"", ""1616468"", ""7440310"", ""7475458"", ""7776376"", ""2336191""]",0.16666666666666663
814132,es-en,cuál es el limit diario de sodio,"[""7951365""]","[""714998"", ""7837801"", ""7951365"", ""3545260"", ""7567998"", ""7394132"", ""1460244"", ""7568006"", ""2720893"", ""8005631""]",0.1428571428571429
874257,es-en,¿ Qué recurso literario utiliza the author para describir el atraco de johnny a los forasteros?,"[""7867405""]","[""7253822"", ""7867405"", ""7907487"", ""7180593"", ""7750562"", ""7204388"", ""7152217"", ""7466996"", ""7547152"", ""7258894""]",0.1333333333333333
868598,es-en,¿ Qué notas necesitas para ser hygienist dental?,"[""7743190""]","[""7743190"", ""7360526"", ""7863564"", ""7356690"", ""7360530"", ""7688776"", ""7583542"", ""4060391"", ""882642"", ""7600628""]",0.1428571428571429
1071609,es-en,¿ Por qué el ruido es un problem?,"[""7816796""]","[""7816796"", ""7747072"", ""433444"", ""1945418"", ""1011107"", ""8000550"", ""5561579"", ""1418283"", ""7403659"", ""7087019""]",0.1428571428571429
663595,es-en,que genre es rob thomas,"[""7465375""]","[""7465375"", ""7733821"", ""7477893"", ""7942709"", ""7638465"", ""7092563"", ""2813821"", ""7952879"", ""7698164"", ""7281607""]",0.19999999999999996
1062203,es-en,¿ Por qué Brad Pitt y Angelina Jolie se divorce?,"[""7569446""]","[""7864039"", ""7946505"", ""7307861"", ""7761850"", ""8004401"", ""7948781"", ""7229591"", ""7968469"", ""7472314"", ""7372208""]",0.11111111111111116
182644,es-en,examples de síntomas de abstinencia de drogas,"[""7935405""]","[""7935405"", ""7486503"", ""7173651"", ""7486505"", ""964216"", ""5731498"", ""7480213"", ""7299269"", ""7615041"", ""7759718""]",0.1428571428571429
931029,es-en,¿ Cuál es el size promedio de pepino?,"[""7812195""]","[""7874158"", ""7928461"", ""7812195"", ""7229801"", ""6484042"", ""7344571"", ""7930488"", ""7173316"", ""7816303"", ""7264376""]",0.1428571428571429
924580,es-en,de que se hace el whisky de wheat,"[""7853738"", ""7853736""]","[""7853738"", ""7109056"", ""7853736"", ""7367627"", ""7986348"", ""1676911"", ""294372"", ""7221325"", ""708299"", ""7220993""]",0.125
837702,es-en,¿ Qué es lo opuesto al helium?,"[""7799527""]","[""7799527"", ""7622515"", ""7750116"", ""7600339"", ""7076046"", ""7197444"", ""7268725"", ""7191357"", ""7687142"", ""7229862""]",0.16666666666666663
1033156,es-en,¿ Cuál es el real nombre del jefe maestro?,"[""7212940""]","[""7212940"", ""4548592"", ""7604764"", ""1285360"", ""7226965"", ""7171329"", ""7386533"", ""7875397"", ""7078555"", ""7838103""]",0.125
1079185,es-en,¿ Qué pasa cuando una corporación se disuelve y has deudas?,"[""53048""]","[""53048"", ""7397256"", ""6417290"", ""3592709"", ""7282233"", ""7905137"", ""7173266"", ""7875901"", ""7108043"", ""7883166""]",0.09999999999999998
171534,es-en,¿ Algún automóvil use aire acondicionado para help a descongelar?,"[""7385189""]","[""7211972"", ""7385189"", ""7630433"", ""7215725"", ""7079467"", ""7067759"", ""5420203"", ""7727772"", ""7338336"", ""7154781""]",0.2222222222222222
838500,es-en,¿ Cómo se llama la parte de tu brazo donde extraen blood?,"[""4707882""]","[""4707882"", ""7630376"", ""7561515"", ""7273634"", ""7308554"", ""2554181"", ""7342775"", ""7273733"", ""7296437"", ""7572822""]",0.09090909090909094
361285,es-en,cómo quitar la mancha de orina de gato de carpet,"[""7401706""]","[""7401706"", ""7072465"", ""7910955"", ""7801159"", ""8000759"", ""7392272"", ""7462800"", ""7836435"", ""7400418"", ""7589379""]",0.18181818181818177
1074603,es-en,por qué usar videos para marketing y promotions,"[""7845422""]","[""7845422"", ""7388532"", ""7659801"", ""613301"", ""7544522"", ""7716079"", ""7386872"", ""7482263"", ""7826615"", ""7966136""]",0.125
931783,es-en,¿ Cuál es la diferencia entre la autoimagen y self concept?,"[""7830900""]","[""7830900"", ""7164081"", ""7192480"", ""7696309"", ""7104622"", ""7139509"", ""7610795"", ""7116157"", ""7410315"", ""7946055""]",0.19999999999999996
1096025,es-en,¿ Cuánto paga el estado a nurses en md?,"[""7541711""]","[""7541711"", ""7447492"", ""7195763"", ""7463865"", ""363604"", ""7841638"", ""8004243"", ""7496020"", ""7381791"", ""7356987""]",0.2222222222222222
1037612,es-en,cual es la length de un armadillo,"[""7205573""]","[""7853383"", ""7447712"", ""7816303"", ""7195770"", ""7214926"", ""7856019"", ""7817084"", ""7403702"", ""7784059"", ""7871033""]",0.1428571428571429
1004565,es-en,¿ Cuándo comienza el festival de comida y wine en epcot?,"[""7255591""]","[""7255591"", ""7375794"", ""7257190"", ""7402685"", ""7469470"", ""7813102"", ""7950765"", ""7213638"", ""7700980"", ""7119986""]",0.09999999999999998
630172,es-en,¿ Qué mean un anillo en el dedo medio?,"[""7469958""]","[""7469958"", ""7830330"", ""7785056"", ""7916678"", ""7529964"", ""7974044"", ""7894150"", ""7081571"", ""703196"", ""7406252""]",0.125
650157,es-en,¿ Qué dice the expression eres un buen huevo?,"[""7453899""]","[""7453899"", ""7196833"", ""7783462"", ""7107740"", ""7628559"", ""7323578"", ""7159963"", ""7392437"", ""7286065"", ""7572822""]",0.25
1031761,es-en,cual es la estructura de una cola de horsetail,"[""7215190""]","[""7760497"", ""7909027"", ""7463520"", ""7860080"", ""5783988"", ""6960059"", ""7467345"", ""7899958"", ""7771248"", ""6508838""]",0.11111111111111116
