query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,zh,温度与体积的正反数学关系是什么,"[""7206684""]","[""7217353"", ""7492132"", ""7206684"", ""7082136"", ""7229862"", ""1335588"", ""7305462"", ""7488637"", ""7640838"", ""1468748""]",
1035645,zh,俄罗斯的城堡叫什么名字,"[""7208858""]","[""7208858"", ""7105678"", ""7235939"", ""7292184"", ""7396043"", ""7152404"", ""7262494"", ""7235946"", ""7245028"", ""7841769""]",
71029,zh,莱姆病会导致狗的毛囊炎吗,"[""7670160""]","[""7089741"", ""7670160"", ""1033337"", ""7112464"", ""7345967"", ""8001916"", ""7996955"", ""7459302"", ""7795418"", ""663950""]",
1083836,zh,fdic 投保是什么意思？,"[""1896608""]","[""1896608"", ""7148904"", ""7375334"", ""4191529"", ""1159597"", ""7145016"", ""7133583"", ""7235939"", ""7235946"", ""7133842""]",
1058885,zh,是什么导致了持续的干胀和恶心,"[""7170528""]","[""7471105"", ""7374761"", ""5584747"", ""7139764"", ""7641338"", ""7528852"", ""7399600"", ""7647509"", ""7533102"", ""7966804""]",
1039189,zh,谁是星际迷航行动歼灭客队的女演员,"[""7805080""]","[""7239171"", ""7572869"", ""7329333"", ""7290137"", ""7287434"", ""7789933"", ""7398690"", ""7754210"", ""7311236"", ""7888038""]",
829562,zh,政党的主要目的是什么？,"[""3347905""]","[""3347905"", ""7235946"", ""7216092"", ""7420461"", ""381174"", ""7245877"", ""7349246"", ""7123349"", ""7846219"", ""497674""]",
1055884,zh,谁是第一个在写作中使用社会学的作者,"[""67588""]","[""7763743"", ""67588"", ""7082559"", ""7541544"", ""7257833"", ""5910812"", ""7787203"", ""7466996"", ""7435832"", ""145831""]",
466830,zh,氮中的质子数、中子数和电子数 14,"[""7709283""]","[""7080008"", ""7709283"", ""1718067"", ""7158898"", ""7965476"", ""3349239"", ""7235939"", ""3139046"", ""7234172"", ""7448417""]",
1048871,zh,谁在 bunkd 中扮演 xander,"[""4146836""]","[""4146836"", ""7888038"", ""7235946"", ""7235939"", ""7302021"", ""7124323"", ""7355625"", ""7383642"", ""7750201"", ""7085516""]",
1085775,zh,引导图像利用什么联系将您带入深入,"[""7116157""]","[""7116157"", ""7147226"", ""7235939"", ""7327215"", ""7277016"", ""7235946"", ""7104769"", ""7647619"", ""7289759"", ""7869800""]",
884298,zh,哪些参数会影响呼吸机的 i:e 比率,"[""7928696"", ""7928694""]","[""7928694"", ""7217353"", ""7816587"", ""7944469"", ""7861394"", ""7095246"", ""7305462"", ""7235946"", ""7209206"", ""7165807""]",
1097199,zh,一个女人有多少个卵子,"[""7433925""]","[""7433925"", ""7273604"", ""7992043"", ""7826945"", ""7623591"", ""7806346"", ""110910"", ""7833470"", ""7211660"", ""7221882""]",
950016,zh,瑞士的夏令时是什么时候,"[""7754765""]","[""7754765"", ""7083275"", ""7438631"", ""924613"", ""7597092"", ""7601337"", ""7809074"", ""7841769"", ""7095246"", ""7095708""]",
337148,zh,你的小狗应该多大才能接种狂犬病疫苗,"[""7389316""]","[""7389316"", ""7700487"", ""7311939"", ""7974596"", ""7076146"", ""7187607"", ""609254"", ""7226690"", ""7312387"", ""7073109""]",
733241,zh,什么被认为是着装,"[""1699500""]","[""7647619"", ""7235939"", ""7933515"", ""7235946"", ""7355625"", ""7816587"", ""7649080"", ""3900009"", ""7238394"", ""7171569""]",
576898,zh,什么是最常发生的战争,"[""7598385""]","[""7214220"", ""7843451"", ""7829864"", ""3149452"", ""7738141"", ""7598385"", ""7235946"", ""7253685"", ""7389537"", ""7235939""]",
617306,zh,什么缺乏会在指甲上产生白斑,"[""7502930""]","[""7122052"", ""1903885"", ""7502930"", ""7493514"", ""5200958"", ""7471105"", ""7273604"", ""7073140"", ""7573009"", ""7765651""]",
1064470,zh,为什么鸡蛋会变成褐色,"[""7728289""]","[""7273604"", ""7728289"", ""7196833"", ""7796400"", ""1718067"", ""7695522"", ""7521477"", ""7295767"", ""7332142"", ""7217353""]",
393696,zh,在德克萨斯州申请成为经纪人需要什么要求,"[""7598745""]","[""7645183"", ""7714548"", ""7934632"", ""7598745"", ""7816587"", ""7531298"", ""7077823"", ""7181768"", ""7708506"", ""7510067""]",
992193,zh,谁创造了适者生存的概念？查尔斯·达尔文卡尔·马克思赫伯特·斯宾塞马克斯·韦伯,"[""7280593""]","[""7280593"", ""4772781"", ""7886668"", ""7666564"", ""7870543"", ""7253127"", ""7551429"", ""7613612"", ""7273604"", ""7394614""]",
829915,zh,经父母同意，堪萨斯州的结婚年龄是多少,"[""7787972""]","[""7787972"", ""7221882"", ""7167740"", ""5898158"", ""7468059"", ""7962748"", ""7358369"", ""6395661"", ""7420268"", ""7866575""]",
987767,zh,罗伊摩尔输给了谁,"[""7290624""]","[""7816587"", ""7235939"", ""7235946"", ""7238394"", ""7607111"", ""7290624"", ""7645327"", ""7718324"", ""7445716"", ""7095246""]",
