query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,es,¿Cuál es la relación matemática entre temperatura y volumen directa o inversa?,"[""7206684""]","[""7206684"", ""7217353"", ""7985667"", ""7272695"", ""7933812"", ""2008909"", ""7322251"", ""7342261"", ""940470"", ""7408024""]",
1035645,es,cual es el nombre del castillo en rusia,"[""7208858""]","[""7208858"", ""7152404"", ""7105678"", ""7396043"", ""7934611"", ""7858842"", ""7224927"", ""7246021"", ""1878861"", ""7292184""]",
71029,es,¿Puede la enfermedad de Lyme causar foliculitis en perros?,"[""7670160""]","[""7670160"", ""4973544"", ""7452987"", ""7576393"", ""7112464"", ""7679596"", ""7959219"", ""7089741"", ""7164210"", ""7476284""]",
1083836,es,¿Qué significa asegurado por fdic?,"[""1896608""]","[""1896608"", ""1159597"", ""7854955"", ""7697631"", ""7308077"", ""7148904"", ""7240277"", ""7100572"", ""7272930"", ""7735648""]",
1058885,es,¿Qué está causando las constantes náuseas y arcadas secas?,"[""7170528""]","[""7966808"", ""7139156"", ""7139764"", ""7375386"", ""7399600"", ""109899"", ""2816450"", ""7951649"", ""7966804"", ""7522662""]",
1039189,es,¿Quién es la actriz del equipo visitante en la operación Star Trek Aniquilar?,"[""7805080""]","[""7805080"", ""7239171"", ""7287434"", ""7723876"", ""7283346"", ""4506030"", ""7947880"", ""7754210"", ""2628627"", ""7755756""]",
829562,es,¿Cuál es el objetivo principal de un partido político?,"[""3347905""]","[""3347905"", ""7420461"", ""7219984"", ""7624848"", ""2468148"", ""7396947"", ""7926476"", ""7846219"", ""7245877"", ""991142""]",
1055884,es,¿Quién fue el primer autor en utilizar la sociología en sus escritos?,"[""67588""]","[""67588"", ""7763743"", ""7318902"", ""7626411"", ""5910812"", ""7435832"", ""7876093"", ""7773767"", ""7257833"", ""8003099""]",
466830,es,"número de protones, neutrones y electrones en nitrógeno 14","[""7709283""]","[""7709283"", ""7080008"", ""7158898"", ""7107654"", ""7965476"", ""7182995"", ""7977659"", ""7210335"", ""7871931"", ""7148994""]",
1048871,es,quien interpreta a xander de bunkd,"[""4146836""]","[""4146836"", ""7292304"", ""7085516"", ""7124323"", ""7291282"", ""7764195"", ""7889259"", ""7302021"", ""7872329"", ""7688588""]",
1085775,es,¿Qué conexión aprovechan las imágenes guiadas para transportarte profundamente,"[""7116157""]","[""7116157"", ""2753653"", ""7026760"", ""7106893"", ""7157199"", ""7717805"", ""7929939"", ""7532949"", ""7115754"", ""7507412""]",
884298,es,¿Qué parámetros afectan la relación i: e en los ventiladores?,"[""7928696"", ""7928694""]","[""7928694"", ""7657465"", ""7229862"", ""7358221"", ""7296810"", ""7861394"", ""2038018"", ""7154106"", ""7666495"", ""7944469""]",
1097199,es,¿Cuántos óvulos tiene una mujer?,"[""7433925""]","[""110910"", ""7273604"", ""5730265"", ""7433925"", ""7210214"", ""7255867"", ""7211660"", ""7992043"", ""5276995"", ""7688991""]",
950016,es,¿Cuándo es el horario de verano en Suiza?,"[""7754765""]","[""7754765"", ""7601337"", ""924613"", ""7095708"", ""7812355"", ""7809074"", ""7204196"", ""7853910"", ""256757"", ""7862783""]",
337148,es,¿Qué edad debe tener su cachorro para recibir la vacuna contra la rabia?,"[""7389316""]","[""7389316"", ""7076146"", ""7974596"", ""7700487"", ""7311939"", ""609254"", ""6723094"", ""7187607"", ""476664"", ""3041398""]",
733241,es,lo que se considera vestimenta,"[""1699500""]","[""7933515"", ""7555333"", ""7171569"", ""7170449"", ""7647619"", ""7155719"", ""7857342"", ""7301118"", ""4902384"", ""7421911""]",
576898,es,¿Cuáles son las guerras por las que se pelea más comúnmente?,"[""7598385""]","[""7081759"", ""7234971"", ""7389537"", ""960180"", ""3429513"", ""7214220"", ""1798522"", ""7598385"", ""7233674"", ""7740040""]",
617306,es,que deficiencia produce mancha blanca en las uñas,"[""7502930""]","[""7122052"", ""7502930"", ""7493514"", ""5200958"", ""480677"", ""1903885"", ""7852029"", ""7573009"", ""651395"", ""7139764""]",
1064470,es,¿Por qué los huevos se vuelven marrones?,"[""7728289""]","[""7728289"", ""7833470"", ""7490121"", ""7211660"", ""7510610"", ""7100726"", ""157069"", ""7196833"", ""7332324"", ""7495024""]",
393696,es,"en texas, qué requisitos se necesitan para postularse para convertirse en corredor","[""7598745""]","[""7598745"", ""7394645"", ""7996617"", ""7741333"", ""7400428"", ""7372623"", ""7592048"", ""7384736"", ""7379763"", ""3894642""]",
992193,es,¿Quién acuñó el concepto de supervivencia del más apto? charles darwin karl marx herbert spencer max weber,"[""7280593""]","[""7280593"", ""4772781"", ""7107894"", ""7720711"", ""7773767"", ""7281962"", ""7886668"", ""7272235"", ""7336977"", ""7259308""]",
829915,es,¿Cuál es la edad para contraer matrimonio en Kansas con el consentimiento de los padres?,"[""7787972""]","[""7787972"", ""3799029"", ""5898158"", ""7167740"", ""7900321"", ""6395661"", ""4586411"", ""7100617"", ""7106774"", ""7962748""]",
987767,es,con quien Roy Moore perdió,"[""7290624""]","[""7290624"", ""7574541"", ""7842616"", ""7761845"", ""7946505"", ""7461249"", ""8004401"", ""7181095"", ""7138432"", ""7966632""]",
299128,es,cuántas unidades de agua por mes,"[""6720313""]","[""7563235"", ""6720313"", ""7229678"", ""7073976"", ""7776376"", ""7249833"", ""7096348"", ""7485559"", ""434133"", ""7325989""]",
814132,es,cuál es el límite diario de sodio,"[""7951365""]","[""7951365"", ""714998"", ""7837801"", ""7567998"", ""7595065"", ""3545260"", ""2304767"", ""7528795"", ""5504239"", ""7495509""]",
874257,es,¿Qué recurso literario utiliza el autor para describir el atraco de johnny a los forasteros?,"[""7867405""]","[""7867405"", ""7433620"", ""7743539"", ""7102190"", ""7292841"", ""1100911"", ""7471665"", ""7831345"", ""7226141"", ""7538644""]",
868598,es,¿Qué notas necesitas para ser higienista dental?,"[""7743190""]","[""7743190"", ""7360526"", ""7688776"", ""7360530"", ""7944021"", ""7863564"", ""7545801"", ""7371307"", ""7697136"", ""7600628""]",
1071609,es,¿Por qué el ruido es un problema?,"[""7816796""]","[""7747072"", ""7915201"", ""7216983"", ""1011107"", ""7312683"", ""7816796"", ""7953291"", ""1119603"", ""7113138"", ""433444""]",
663595,es,que genero es rob thomas,"[""7465375""]","[""7465375"", ""7689707"", ""7580483"", ""7993644"", ""7084659"", ""7869208"", ""7284690"", ""7816587"", ""7436481"", ""7445716""]",
1062203,es,¿Por qué Brad Pitt y Angelina Jolie se divorciaron?,"[""7569446""]","[""7569446"", ""7946505"", ""7841583"", ""7677002"", ""7864039"", ""7859734"", ""7946481"", ""7842616"", ""7901881"", ""7284753""]",
182644,es,ejemplos de síntomas de abstinencia de drogas,"[""7935405""]","[""7173651"", ""7935405"", ""7759718"", ""7615041"", ""7140020"", ""8000498"", ""7486505"", ""7227332"", ""7333731"", ""4631846""]",
931029,es,¿Cuál es el tamaño promedio de pepino?,"[""7812195""]","[""7277294"", ""7812195"", ""7205573"", ""4509893"", ""7195770"", ""7318783"", ""7874158"", ""434133"", ""7352846"", ""7648137""]",
924580,es,de que se hace el whisky de trigo,"[""7853738"", ""7853736""]","[""7853736"", ""7853738"", ""7511407"", ""7232337"", ""7160730"", ""708299"", ""7131394"", ""7940002"", ""294372"", ""7775269""]",
837702,es,¿Qué es lo opuesto al helio?,"[""7799527""]","[""7799527"", ""7135073"", ""7156685"", ""644710"", ""4555656"", ""7235859"", ""7710180"", ""7154036"", ""3212079"", ""7674924""]",
1033156,es,¿Cuál es el verdadero nombre del jefe maestro?,"[""7212940""]","[""7290002"", ""7181095"", ""5225732"", ""7526367"", ""7493710"", ""497674"", ""7248809"", ""2773219"", ""7171329"", ""7227273""]",
1079185,es,¿Qué pasa cuando una corporación se disuelve y tiene deudas?,"[""53048""]","[""53048"", ""3592709"", ""7683676"", ""7871824"", ""7211811"", ""7814471"", ""7128294"", ""7282233"", ""7926523"", ""7785115""]",
171534,es,¿Algún automóvil usa aire acondicionado para ayudar a descongelar?,"[""7385189""]","[""7385189"", ""7492286"", ""7154781"", ""7544748"", ""7211972"", ""7091598"", ""7215725"", ""7861305"", ""7161718"", ""7127370""]",
838500,es,¿Cómo se llama la parte de tu brazo donde extraen sangre?,"[""4707882""]","[""4707882"", ""1440644"", ""7342775"", ""1062868"", ""2485932"", ""1077002"", ""7273634"", ""7122460"", ""7110063"", ""1143017""]",
361285,es,cómo quitar la mancha de orina de gato de la alfombra,"[""7401706""]","[""7401706"", ""7392272"", ""7365714"", ""7211336"", ""7072465"", ""7843599"", ""8000759"", ""7561515"", ""7483017"", ""7834434""]",
1074603,es,por qué usar videos para marketing y promociones,"[""7845422""]","[""7845422"", ""7333378"", ""7659801"", ""613301"", ""7826615"", ""7524448"", ""7194094"", ""7388532"", ""7966136"", ""7544522""]",
931783,es,¿Cuál es la diferencia entre la autoimagen y el autoconcepto?,"[""7830900""]","[""7830900"", ""7164081"", ""7299175"", ""7787994"", ""7594620"", ""7184269"", ""7134705"", ""7588579"", ""7761396"", ""7139509""]",
1096025,es,¿Cuánto paga el estado a las enfermeras en md?,"[""7541711""]","[""7541711"", ""6584729"", ""7195763"", ""7310747"", ""7447492"", ""7531267"", ""7959134"", ""7944021"", ""7663664"", ""7494413""]",
1037612,es,cual es la longitud de un armadillo,"[""7205573""]","[""7205573"", ""7096250"", ""7669136"", ""7215439"", ""7556559"", ""7784059"", ""7871033"", ""7195770"", ""7627262"", ""7460416""]",
1004565,es,¿Cuándo comienza el festival de comida y vino en epcot?,"[""7255591""]","[""7255591"", ""7375794"", ""7226856"", ""7813102"", ""7182313"", ""7402685"", ""7088575"", ""7180743"", ""7980047"", ""7889800""]",
630172,es,¿Qué significa un anillo en el dedo medio?,"[""7469958""]","[""7557929"", ""7469958"", ""7483978"", ""3980321"", ""7651271"", ""703196"", ""2816450"", ""7879009"", ""7932458"", ""7950070""]",
650157,es,¿Qué dice la expresión eres un buen huevo?,"[""7453899""]","[""7453899"", ""7134705"", ""1557854"", ""7783462"", ""7470282"", ""7657603"", ""7471665"", ""7417288"", ""7594620"", ""7471666""]",
1031761,es,cual es la estructura de una cola de caballo,"[""7215190""]","[""7155236"", ""7771248"", ""7830210"", ""7632606"", ""7436902"", ""3613076"", ""7992187"", ""7860080"", ""7069584"", ""7500629""]",
339855,es,¿Qué tan pronto debe un empleado informar una lesión en Michigan?,"[""7359547""]","[""7359547"", ""7399340"", ""7877769"", ""7297354"", ""1090781"", ""7513032"", ""5576300"", ""7373727"", ""7826865"", ""7889577""]",
1006724,es,¿Cuándo fue el día de la independencia de Tailandia?,"[""7252753""]","[""7252753"", ""67027"", ""7253793"", ""7193783"", ""3644878"", ""7802832"", ""621218"", ""7739212"", ""7153209"", ""497674""]",
411367,es,¿Google está bloqueado en China?,"[""7633642""]","[""7633642"", ""7418884"", ""7491308"", ""7841769"", ""7856346"", ""7479235"", ""7966136"", ""7653402"", ""7962187"", ""7274990""]",
839488,es,cuál es el plural de colinabos,"[""7866009""]","[""7866009"", ""4902384"", ""7163459"", ""2924518"", ""7950070"", ""7255023"", ""7205993"", ""7134705"", ""7285492"", ""7478462""]",
1087202,es,¿Cuáles son los síntomas de un nivel bajo de sangre?,"[""7103722""]","[""507491"", ""7273847"", ""7657649"", ""7518992"", ""7173343"", ""7103722"", ""7477820"", ""7449503"", ""7991336"", ""7979212""]",
1058513,es,para que se usa el dojo de clase,"[""7171329""]","[""7171329"", ""7979516"", ""7991881"", ""7743723"", ""7503056"", ""294372"", ""7640887"", ""7159264"", ""7233203"", ""7694886""]",
1054949,es,que es amigos de la biblioteca,"[""7177052""]","[""7177052"", ""7217535"", ""7794580"", ""7177292"", ""7740330"", ""6910071"", ""7799131"", ""7694957"", ""7951965"", ""7567025""]",
190380,es,alimentos para mantener sanas las encías,"[""5092256""]","[""7490179"", ""1588461"", ""7621326"", ""7785037"", ""5092256"", ""7361261"", ""3308241"", ""7148584"", ""7301189"", ""7071342""]",
739554,es,cual es la diferencia entre comprender y captar,"[""7456010"", ""7044609""]","[""7711895"", ""7126790"", ""7456010"", ""7471665"", ""7044609"", ""7970442"", ""7235590"", ""7787994"", ""7880398"", ""7553085""]",
1059812,es,cuya cara está en el dinero,"[""7290835""]","[""7831820"", ""7561090"", ""7145341"", ""7932337"", ""7738859"", ""7841152"", ""7853799"", ""7839725"", ""7769264"", ""7178393""]",
1071161,es,¿Qué es una estrategia larga en finanzas?,"[""7157744""]","[""7157744"", ""8001682"", ""4440198"", ""7601275"", ""7100572"", ""7411246"", ""7228460"", ""7733332"", ""7876098"", ""7184869""]",
69065,es,¿Puedo obtener mis placas con un permiso de conducir?,"[""7392067""]","[""7097756"", ""7770548"", ""7392067"", ""7132332"", ""7816587"", ""1558710"", ""7527361"", ""7369999"", ""7856336"", ""7767922""]",
831034,es,¿Cuál es el significado de fruta cuando se refiere a cualquier planta con flores?,"[""2077415""]","[""2077415"", ""7662692"", ""7478005"", ""7638503"", ""7638500"", ""7213486"", ""7499186"", ""7501202"", ""7662630"", ""7890819""]",
1002373,es,¿Dónde fue para tus ojos solo filmado?,"[""7747666""]","[""7747666"", ""7783822"", ""7471665"", ""2890756"", ""7095246"", ""7835634"", ""7659801"", ""7934611"", ""7815183"", ""7815180""]",
609707,es,¿En qué condado está Montello?,"[""7690114""]","[""7690114"", ""7661663"", ""7817457"", ""2208454"", ""7553108"", ""7120409"", ""7241958"", ""7465839"", ""7118471"", ""7413431""]",
393420,es,en la historia que es una esfera de influencia,"[""7689572""]","[""7783985"", ""7689572"", ""5910812"", ""7214220"", ""7082559"", ""7224927"", ""3173896"", ""7192456"", ""7679740"", ""2123320""]",
1084596,es,¿Qué necesitas para las etiquetas en el coche?,"[""7126829""]","[""428683"", ""2618061"", ""795960"", ""7126829"", ""450426"", ""7109761"", ""4773306"", ""7826615"", ""7778314"", ""7176630""]",
1041656,es,¿Cuál es la definición de beca en ayuda financiera?,"[""7199394""]","[""7142823"", ""7199394"", ""4440198"", ""7100572"", ""4805879"", ""7991251"", ""7205823"", ""7172169"", ""7180477"", ""1982266""]",
1097283,es,¿Cuántos días pasó el rey en la cárcel por protestar en Birmingham?,"[""7426908""]","[""7426908"", ""7856053"", ""7497729"", ""1198367"", ""7187955"", ""7498046"", ""7972434"", ""7643271"", ""7188600"", ""5966342""]",
166528,es,¿usa ftp la carpeta appdata?,"[""7373623""]","[""7517040"", ""7373623"", ""7396514"", ""7167848"", ""240868"", ""7516488"", ""7689875"", ""7950928"", ""7156990"", ""7869800""]",
988720,es,quien es el cantante original de chicago,"[""7287922""]","[""7287922"", ""7642166"", ""7151800"", ""7698164"", ""7664604"", ""7829800"", ""7490659"", ""7725656"", ""7952481"", ""7744019""]",
1093928,es,¿Es el iphone x resistente al agua o al agua?,"[""7711108""]","[""7711108"", ""7550534"", ""7388471"", ""7198663"", ""7597415"", ""7687516"", ""7555163"", ""7287774"", ""7917222"", ""7796400""]",
