query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,es,¿Cuál es la relación matemática entre temperatura y volumen directa o inversa?,"[""7206684""]","[""7622515"", ""7206684"", ""7305139"", ""7272695"", ""7659466"", ""7235859"", ""7492132"", ""7566992"", ""7692857"", ""7527060""]",
1035645,es,cual es el nombre del castillo en rusia,"[""7208858""]","[""7208858"", ""7105678"", ""7152404"", ""7085238"", ""7396043"", ""7128290"", ""7619153"", ""7028429"", ""7826216"", ""1878861""]",
71029,es,¿Puede la enfermedad de Lyme causar foliculitis en perros?,"[""7670160""]","[""7670160"", ""7452987"", ""1033337"", ""663950"", ""7089741"", ""4973544"", ""7837036"", ""7679596"", ""7649705"", ""1623640""]",
1083836,es,¿Qué significa asegurado por fdic?,"[""1896608""]","[""1896608"", ""7595500"", ""7704366"", ""7240277"", ""4191529"", ""7148904"", ""7962108"", ""7418684"", ""7272684"", ""7313355""]",
1058885,es,¿Qué está causando las constantes náuseas y arcadas secas?,"[""7170528""]","[""7966808"", ""382685"", ""7112652"", ""7375710"", ""764872"", ""1979597"", ""7617714"", ""7654082"", ""7533102"", ""7531239""]",
1039189,es,¿Quién es la actriz del equipo visitante en la operación Star Trek Aniquilar?,"[""7805080""]","[""7805080"", ""7329333"", ""7239171"", ""7789644"", ""1086058"", ""7490735"", ""4783316"", ""7125366"", ""7290137"", ""7646041""]",
829562,es,¿Cuál es el objetivo principal de un partido político?,"[""3347905""]","[""3347905"", ""4582296"", ""7926476"", ""1455862"", ""7100389"", ""991142"", ""7787994"", ""2468148"", ""7830190"", ""8005523""]",
1055884,es,¿Quién fue el primer autor en utilizar la sociología en sus escritos?,"[""67588""]","[""7763743"", ""67588"", ""7763140"", ""7907440"", ""8003099"", ""7105483"", ""67596"", ""7200796"", ""7257833"", ""7318902""]",
466830,es,"número de protones, neutrones y electrones en nitrógeno 14","[""7709283""]","[""7709283"", ""7158898"", ""3349239"", ""7080008"", ""7458932"", ""7696612"", ""7929230"", ""7240603"", ""7860609"", ""7777896""]",
1048871,es,quien interpreta a xander de bunkd,"[""4146836""]","[""4146836"", ""7124323"", ""7286801"", ""7121598"", ""7812781"", ""7888038"", ""7915665"", ""7880839"", ""7126053"", ""7615373""]",
1085775,es,¿Qué conexión aprovechan las imágenes guiadas para transportarte profundamente,"[""7116157""]","[""7116157"", ""7929939"", ""7621537"", ""7943897"", ""7437141"", ""804081"", ""7309353"", ""7614573"", ""7145212"", ""7026760""]",
884298,es,¿Qué parámetros afectan la relación i: e en los ventiladores?,"[""7928696"", ""7928694""]","[""7928694"", ""7915135"", ""7239751"", ""7601434"", ""7339480"", ""7998086"", ""7861305"", ""7542623"", ""7907074"", ""7272695""]",
1097199,es,¿Cuántos óvulos tiene una mujer?,"[""7433925""]","[""7210214"", ""7255867"", ""7783998"", ""7433925"", ""7905618"", ""2743909"", ""7377787"", ""7840105"", ""7583899"", ""7275926""]",
950016,es,¿Cuándo es el horario de verano en Suiza?,"[""7754765""]","[""7754765"", ""7853910"", ""7601337"", ""256757"", ""7850214"", ""7438631"", ""7095708"", ""7550082"", ""7809074"", ""7862783""]",
337148,es,¿Qué edad debe tener su cachorro para recibir la vacuna contra la rabia?,"[""7389316""]","[""7389316"", ""7700487"", ""7974596"", ""7076146"", ""7311939"", ""7493757"", ""7312387"", ""609254"", ""7358014"", ""11527""]",
733241,es,lo que se considera vestimenta,"[""1699500""]","[""7933515"", ""7421911"", ""7766841"", ""7204833"", ""7857342"", ""7069399"", ""7171569"", ""7814282"", ""7170449"", ""3900009""]",
576898,es,¿Cuáles son las guerras por las que se pelea más comúnmente?,"[""7598385""]","[""7214220"", ""7234971"", ""2358879"", ""7532415"", ""3429513"", ""2536541"", ""7742103"", ""2679413"", ""3715499"", ""7899750""]",
617306,es,que deficiencia produce mancha blanca en las uñas,"[""7502930""]","[""7132199"", ""7502930"", ""7122052"", ""5006012"", ""7537844"", ""480677"", ""7493507"", ""7113372"", ""7971159"", ""7459621""]",
1064470,es,¿Por qué los huevos se vuelven marrones?,"[""7728289""]","[""7728289"", ""1501464"", ""7510610"", ""7380886"", ""233414"", ""7399071"", ""7332142"", ""7383191"", ""7695522"", ""7975364""]",
393696,es,"en texas, qué requisitos se necesitan para postularse para convertirse en corredor","[""7598745""]","[""7598745"", ""7384736"", ""7996617"", ""7394645"", ""7286553"", ""7155303"", ""1623543"", ""7934632"", ""7957869"", ""7645183""]",
992193,es,¿Quién acuñó el concepto de supervivencia del más apto? charles darwin karl marx herbert spencer max weber,"[""7280593""]","[""7280593"", ""7107894"", ""4772781"", ""7773767"", ""7959617"", ""7902044"", ""7939189"", ""7278395"", ""7625516"", ""7615958""]",
829915,es,¿Cuál es la edad para contraer matrimonio en Kansas con el consentimiento de los padres?,"[""7787972""]","[""7787972"", ""7167740"", ""6395661"", ""7378072"", ""3799029"", ""5898158"", ""7358369"", ""7234193"", ""7106774"", ""7221882""]",
987767,es,con quien Roy Moore perdió,"[""7290624""]","[""7290624"", ""7879331"", ""7138432"", ""7335515"", ""7461249"", ""7436481"", ""7106317"", ""7691361"", ""7675084"", ""7531622""]",
