query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,zh,温度与体积的正反数学关系是什么,"[""7206684""]","[""7492132"", ""7206684"", ""7555272"", ""7933971"", ""7672368"", ""7622515"", ""7659466"", ""7272695"", ""7355919"", ""1335588""]",
1035645,zh,俄罗斯的城堡叫什么名字,"[""7208858""]","[""7208858"", ""7028429"", ""1878861"", ""7858842"", ""7105678"", ""7102315"", ""7730364"", ""7957524"", ""7152404"", ""7292184""]",
71029,zh,莱姆病会导致狗的毛囊炎吗,"[""7670160""]","[""7670160"", ""1163812"", ""1033337"", ""7679596"", ""7112464"", ""7795418"", ""5764941"", ""7645500"", ""7431188"", ""7455776""]",
1083836,zh,fdic 投保是什么意思？,"[""1896608""]","[""1896608"", ""7375334"", ""4191529"", ""7146364"", ""7133583"", ""7455344"", ""1849766"", ""7688312"", ""7704366"", ""7308077""]",
1058885,zh,是什么导致了持续的干胀和恶心,"[""7170528""]","[""5584747"", ""7966808"", ""764872"", ""7641338"", ""7531239"", ""1491677"", ""5099300"", ""7492225"", ""7373326"", ""7966805""]",
1039189,zh,谁是星际迷航行动歼灭客队的女演员,"[""7805080""]","[""7239171"", ""7287434"", ""3909183"", ""270380"", ""7219200"", ""7805080"", ""7490735"", ""7623844"", ""5972440"", ""7983669""]",
829562,zh,政党的主要目的是什么？,"[""3347905""]","[""3347905"", ""4582296"", ""2468148"", ""7284311"", ""7216092"", ""7846219"", ""7847593"", ""7365878"", ""7303848"", ""7211302""]",
1055884,zh,谁是第一个在写作中使用社会学的作者,"[""67588""]","[""67588"", ""7763743"", ""7466996"", ""7943543"", ""8003099"", ""7082559"", ""7626411"", ""7626410"", ""7259545"", ""7810625""]",
466830,zh,氮中的质子数、中子数和电子数 14,"[""7709283""]","[""7709283"", ""7158898"", ""7080008"", ""7206592"", ""3349239"", ""7143675"", ""7674848"", ""7402796"", ""7182995"", ""7777896""]",
1048871,zh,谁在 bunkd 中扮演 xander,"[""4146836""]","[""4146836"", ""7888038"", ""7124323"", ""7880839"", ""7764195"", ""4439219"", ""7642657"", ""7694677"", ""7123300"", ""7646041""]",
