query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,zh-es,温度与volumen的正反数学关系是什么,"[""7206684""]","[""7305139"", ""7924840"", ""7206684"", ""1335588"", ""7272695"", ""7659466"", ""7692857"", ""7168247"", ""7566992"", ""7378879""]",0.11111111111111116
1035645,zh-es,俄罗斯的castillo叫什么名字,"[""7208858""]","[""7208858"", ""7105678"", ""7318694"", ""7152404"", ""7117406"", ""7835826"", ""7028429"", ""7858842"", ""7224927"", ""7128290""]",0.16666666666666663
71029,zh-es,莱姆病会导致perros的毛囊炎吗,"[""7670160""]","[""1033337"", ""7679596"", ""7452987"", ""1623640"", ""7314613"", ""7455776"", ""7089741"", ""8002761"", ""7345967"", ""7112464""]",0.1428571428571429
1083836,zh-es,fdic投保是什么significa ？,"[""1896608""]","[""1896608"", ""7606531"", ""7418684"", ""7598541"", ""4191529"", ""7211811"", ""7581583"", ""7272684"", ""7193473"", ""7261869""]",0.19999999999999996
1058885,zh-es,是什么导致了持续的干胀和arcadas secas,"[""7170528""]","[""5584747"", ""7512430"", ""5440644"", ""7325703"", ""2445156"", ""7437540"", ""7533102"", ""7465923"", ""7737244"", ""7199794""]",0.11111111111111116
1039189,zh-es,谁是星际迷航行动歼灭客队的actriz演员,"[""7805080""]","[""7805080"", ""7490735"", ""7964981"", ""7355808"", ""1086058"", ""3909183"", ""7906424"", ""4506030"", ""7329333"", ""7239171""]",0.11111111111111116
829562,zh-es,政党的主要objetivo是什么？,"[""3347905""]","[""3347905"", ""7619859"", ""7100389"", ""7926476"", ""7738446"", ""4582296"", ""7787994"", ""7830190"", ""7216092"", ""7823965""]",0.16666666666666663
1055884,zh-es,谁是第一个在写作中utilizar社会学的作者,"[""67588""]","[""7763743"", ""67588"", ""7763140"", ""7213343"", ""7200796"", ""67596"", ""7082559"", ""7435832"", ""7105483"", ""7318902""]",0.09999999999999998
466830,zh-es,氮中的质子数、 neutrones和电子数 14,"[""7709283""]","[""7709283"", ""7080008"", ""7158898"", ""3349239"", ""7777896"", ""7674848"", ""7458932"", ""7210335"", ""7917844"", ""7491456""]",0.18181818181818177
1048871,zh-es,谁在bunkd中interpreta xander,"[""4146836""]","[""4146836"", ""7477283"", ""7124323"", ""7450920"", ""7290260"", ""7232537"", ""7388391"", ""7888038"", ""7701740"", ""7846757""]",0.16666666666666663
1085775,zh-es,guiadas图像利用什么conexión将您带入深入,"[""7116157""]","[""7116157"", ""7919768"", ""7668420"", ""7300075"", ""7150228"", ""7309353"", ""7866857"", ""8004569"", ""7943897"", ""7373288""]",0.2222222222222222
884298,zh-es,哪些参数会影响呼吸机的i : relación e,"[""7928696"", ""7928694""]","[""7928694"", ""7558643"", ""7998086"", ""7240126"", ""7239751"", ""7349096"", ""7325629"", ""7684288"", ""7209206"", ""7081906""]",0.11111111111111116
1097199,zh-es,一个mujer有多少个卵子,"[""7433925""]","[""7433925"", ""7433792"", ""7210214"", ""4984236"", ""7695522"", ""7583899"", ""7255867"", ""6093010"", ""7840105"", ""3748377""]",0.16666666666666663
950016,zh-es,suiza的夏令时是什么时候,"[""7754765""]","[""7754765"", ""7853910"", ""256757"", ""166256"", ""7236525"", ""7850214"", ""7973805"", ""7121801"", ""73799"", ""7236909""]",0.16666666666666663
337148,zh-es,你的小狗应该多大才能recibir狂犬病疫苗,"[""7389316""]","[""7700487"", ""7389316"", ""7974596"", ""7076146"", ""7311939"", ""7187607"", ""609254"", ""7493757"", ""7312387"", ""7678643""]",0.11111111111111116
733241,zh-es,什么被认为是vestimenta,"[""1699500""]","[""7933515"", ""7421911"", ""7597656"", ""7857342"", ""7245948"", ""7814282"", ""7246698"", ""7981359"", ""7170449"", ""7856651""]",0.19999999999999996
576898,zh-es,什么是最常发生的guerras,"[""7598385""]","[""7214220"", ""7145485"", ""7676511"", ""7234971"", ""7156492"", ""7738141"", ""2679413"", ""7916578"", ""7566190"", ""7628825""]",0.16666666666666663
