query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,es,¿Cuál es la relación matemática entre temperatura y volumen directa o inversa?,"[""7206684""]","[""7897534"", ""7959497"", ""7239467"", ""7445050"", ""6735992"", ""7892276"", ""7127381"", ""7611645"", ""7507682"", ""7213206""]",
1035645,es,cual es el nombre del castillo en rusia,"[""7208858""]","[""7897534"", ""7959497"", ""7611645"", ""7832799"", ""7163079"", ""7867014"", ""6735992"", ""7806932"", ""7507682"", ""7571704""]",
71029,es,¿Puede la enfermedad de Lyme causar foliculitis en perros?,"[""7670160""]","[""7897534"", ""7959497"", ""7611645"", ""7239467"", ""6735992"", ""766590"", ""7942417"", ""7548174"", ""7895510"", ""7127381""]",
1083836,es,¿Qué significa asegurado por fdic?,"[""1896608""]","[""7897534"", ""7959497"", ""7611645"", ""7163079"", ""7832799"", ""7942417"", ""6735992"", ""7895510"", ""7867014"", ""7507682""]",
1058885,es,¿Qué está causando las constantes náuseas y arcadas secas?,"[""7170528""]","[""7897534"", ""7959497"", ""7611645"", ""7832799"", ""7163079"", ""6735992"", ""7806932"", ""7867014"", ""7127381"", ""7096647""]",
1039189,es,¿Quién es la actriz del equipo visitante en la operación Star Trek Aniquilar?,"[""7805080""]","[""7897534"", ""7959497"", ""7611645"", ""7239467"", ""6735992"", ""7702367"", ""766590"", ""7685704"", ""7366591"", ""7357220""]",
829562,es,¿Cuál es el objetivo principal de un partido político?,"[""3347905""]","[""7897534"", ""7959497"", ""7611645"", ""7163079"", ""7832799"", ""6735992"", ""7239467"", ""7867014"", ""7127381"", ""7895510""]",
1055884,es,¿Quién fue el primer autor en utilizar la sociología en sus escritos?,"[""67588""]","[""7897534"", ""7959497"", ""7611645"", ""7170513"", ""2436674"", ""7236463"", ""7281514"", ""7140121"", ""7239467"", ""7640887""]",
466830,es,"número de protones, neutrones y electrones en nitrógeno 14","[""7709283""]","[""7611645"", ""7239467"", ""7959497"", ""6735992"", ""7892276"", ""7127381"", ""7897534"", ""7507682"", ""125399"", ""7832799""]",
1048871,es,quien interpreta a xander de bunkd,"[""4146836""]","[""7959497"", ""7897534"", ""7611645"", ""7239467"", ""7640887"", ""7548174"", ""6735992"", ""7127381"", ""7224991"", ""7685704""]",
1085775,es,¿Qué conexión aprovechan las imágenes guiadas para transportarte profundamente,"[""7116157""]","[""7897534"", ""7959497"", ""7213206"", ""7800367"", ""7291994"", ""4981736"", ""7460506"", ""7611645"", ""7685704"", ""7236463""]",
884298,es,¿Qué parámetros afectan la relación i: e en los ventiladores?,"[""7928694"", ""7928696""]","[""7897534"", ""7959497"", ""7603777"", ""4981736"", ""7213206"", ""7281514"", ""2436674"", ""7460506"", ""7401497"", ""7291994""]",
1097199,es,¿Cuántos óvulos tiene una mujer?,"[""7433925""]","[""7897534"", ""7611645"", ""7959497"", ""7163079"", ""7832799"", ""7867014"", ""6735992"", ""7507682"", ""7942417"", ""7426956""]",
950016,es,¿Cuándo es el horario de verano en Suiza?,"[""7754765""]","[""7897534"", ""7959497"", ""7611645"", ""6735992"", ""7239467"", ""7685704"", ""7213206"", ""7832799"", ""7127381"", ""7507682""]",
337148,es,¿Qué edad debe tener su cachorro para recibir la vacuna contra la rabia?,"[""7389316""]","[""7897534"", ""7959497"", ""7611645"", ""7832799"", ""7163079"", ""7867014"", ""6735992"", ""7507682"", ""7895510"", ""7426956""]",
733241,es,lo que se considera vestimenta,"[""1699500""]","[""7611645"", ""7959497"", ""7897534"", ""7163079"", ""7127381"", ""7806932"", ""6735992"", ""7832799"", ""7548174"", ""7507682""]",
576898,es,¿Cuáles son las guerras por las que se pelea más comúnmente?,"[""7598385""]","[""7611645"", ""7897534"", ""7959497"", ""7832799"", ""6735992"", ""7163079"", ""7895510"", ""7426956"", ""7239467"", ""7867014""]",
