query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,en,what is the mathematical relationship between temperature and volume direct or inverse,"[""7206684""]","[""7206684"", ""7890243"", ""7165807"", ""7709987"", ""7082136"", ""7216802"", ""7237429"", ""7253127"", ""7437141"", ""6739851""]",
1035645,en,what is the name of the castle in russia,"[""7208858""]","[""7087868"", ""8004243"", ""7141272"", ""7576344"", ""7759503"", ""7298213"", ""7362818"", ""7661632"", ""7972847"", ""7600440""]",
71029,en,can lyme disease cause folliculitis in dogs,"[""7670160""]","[""7890243"", ""7253127"", ""7087868"", ""8004243"", ""7362818"", ""5790776"", ""7365930"", ""7742610"", ""7449634"", ""7173343""]",
1083836,en,what does fdic insured mean?,"[""1896608""]","[""7362818"", ""7890243"", ""7253127"", ""8004243"", ""7449634"", ""7087868"", ""7177071"", ""2025691"", ""7138192"", ""5806854""]",
1058885,en,what is causing the constant dry heaving and nausea,"[""7170528""]","[""7966808"", ""7878894"", ""7506794"", ""7666299"", ""764872"", ""5808428"", ""7890243"", ""7087868"", ""7253127"", ""8004243""]",
1039189,en,who is the actress on the away team in star trek operation annihilate,"[""7805080""]","[""7087868"", ""8004243"", ""7253127"", ""7600440"", ""7143565"", ""7133136"", ""7890243"", ""7362818"", ""7972847"", ""7799016""]",
829562,en,what is the main purpose of a political party?,"[""3347905""]","[""7890243"", ""7253127"", ""7532348"", ""3347905"", ""7087868"", ""8004243"", ""7533738"", ""7288543"", ""7251500"", ""7514245""]",
1055884,en,who was the first author to use sociology in their writing,"[""67588""]","[""7087868"", ""8004243"", ""7253127"", ""7890243"", ""7251500"", ""7532348"", ""7533738"", ""7138192"", ""7362818"", ""7133136""]",
466830,en,number of protons neutrons and electrons in nitrogen 14,"[""7709283""]","[""7087868"", ""7143565"", ""7622009"", ""7600440"", ""8004243"", ""7890243"", ""7203806"", ""7404441"", ""7458932"", ""7365930""]",
1048871,en,who plays xander from bunkd,"[""4146836""]","[""7611645"", ""7087868"", ""7253127"", ""8004243"", ""7362818"", ""7143565"", ""7890243"", ""7905931"", ""7972847"", ""3557321""]",
1085775,en,what connection does guided imagery take advantage of to transport you deep into,"[""7116157""]","[""7825218"", ""7621537"", ""7890243"", ""7684288"", ""7699701"", ""7116157"", ""7199746"", ""7709987"", ""7873843"", ""7933299""]",
884298,en,what parameters effect i:e ratio on ventilators,"[""7928694"", ""7928696""]","[""7087868"", ""7890243"", ""7356443"", ""7253127"", ""8004243"", ""7298213"", ""7251500"", ""7478678"", ""7576344"", ""7533738""]",
1097199,en,how many eggs do does a woman have,"[""7433925""]","[""7253127"", ""7890243"", ""7087868"", ""7433925"", ""7799016"", ""7362818"", ""7330797"", ""7478678"", ""7365930"", ""7533738""]",
950016,en,when is daylight savings time for switzerland,"[""7754765""]","[""7087868"", ""7121801"", ""7754765"", ""7237429"", ""8004243"", ""7236525"", ""7253127"", ""7890243"", ""7236757"", ""2422558""]",
337148,en,how old should your puppy be to get a rabies shot,"[""7389316""]","[""7311939"", ""7389316"", ""7890243"", ""7799016"", ""7700487"", ""7087868"", ""7365930"", ""293453"", ""8004243"", ""7253127""]",
733241,en,what is considered attire,"[""1699500""]","[""7766841"", ""7890243"", ""7171569"", ""7170449"", ""7344317"", ""1699500"", ""7246698"", ""7138192"", ""7573780"", ""7619859""]",
576898,en,what are wars most commonly fought over,"[""7598385""]","[""7890243"", ""7253127"", ""7087868"", ""8004243"", ""7251500"", ""7532348"", ""1490232"", ""7298213"", ""7262494"", ""7356443""]",
