query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,zh,温度与体积的正反数学关系是什么,"[""7206684""]","[""7206684"", ""7165807"", ""7379549"", ""7492132"", ""7857636"", ""4798181"", ""7272695"", ""7122373"", ""7659466"", ""7502195""]",
1035645,zh,俄罗斯的城堡叫什么名字,"[""7208858""]","[""7208858"", ""7858842"", ""7851318"", ""7105678"", ""7152404"", ""1878861"", ""6541514"", ""7262478"", ""7246021"", ""1720664""]",
71029,zh,莱姆病会导致狗的毛囊炎吗,"[""7670160""]","[""7670160"", ""1033337"", ""7455776"", ""7089741"", ""7452987"", ""7679596"", ""1163812"", ""7345967"", ""7795418"", ""7167778""]",
1083836,zh,fdic 投保是什么意思？,"[""1896608""]","[""1896608"", ""7375334"", ""7704366"", ""1849766"", ""7477789"", ""7768641"", ""4191529"", ""7688312"", ""7962108"", ""7211811""]",
1058885,zh,是什么导致了持续的干胀和恶心,"[""7170528""]","[""5584747"", ""7531239"", ""7966808"", ""764872"", ""298259"", ""7773118"", ""7533102"", ""7550270"", ""7153828"", ""7686549""]",
1039189,zh,谁是星际迷航行动歼灭客队的女演员,"[""7805080""]","[""7125366"", ""7805080"", ""7983669"", ""7355808"", ""5972440"", ""7287434"", ""7754210"", ""7828507"", ""7572869"", ""7383642""]",
829562,zh,政党的主要目的是什么？,"[""3347905""]","[""3347905"", ""4582296"", ""7216092"", ""7567257"", ""7797820"", ""7759153"", ""7847593"", ""7865401"", ""2468148"", ""7846219""]",
1055884,zh,谁是第一个在写作中使用社会学的作者,"[""67588""]","[""7763743"", ""7213343"", ""67588"", ""7259545"", ""7719848"", ""8003099"", ""67596"", ""7082559"", ""7907439"", ""7815026""]",
466830,zh,氮中的质子数、中子数和电子数 14,"[""7709283""]","[""7158898"", ""7709283"", ""7107654"", ""7080008"", ""34489"", ""7206592"", ""7929230"", ""7711538"", ""7495648"", ""7867320""]",
1048871,zh,谁在 bunkd 中扮演 xander,"[""4146836""]","[""4146836"", ""7383642"", ""7451471"", ""3645675"", ""7290260"", ""7855353"", ""7929314"", ""7888038"", ""7764195"", ""7412014""]",
1085775,zh,引导图像利用什么联系将您带入深入,"[""7116157""]","[""7116157"", ""7150228"", ""7488652"", ""7919768"", ""7634650"", ""7621537"", ""7588579"", ""7111959"", ""7186693"", ""7299175""]",
884298,zh,哪些参数会影响呼吸机的 i:e 比率,"[""7928696"", ""7928694""]","[""7928694"", ""7864191"", ""7928696"", ""7079907"", ""7558643"", ""7268557"", ""7574509"", ""7081906"", ""7278580"", ""7379651""]",
1097199,zh,一个女人有多少个卵子,"[""7433925""]","[""7433925"", ""7273604"", ""7255867"", ""7992043"", ""7210214"", ""7623591"", ""7783998"", ""7365014"", ""7833470"", ""7211660""]",
950016,zh,瑞士的夏令时是什么时候,"[""7754765""]","[""7754765"", ""256757"", ""7236525"", ""7601337"", ""7204196"", ""7095708"", ""7214721"", ""7410122"", ""7121801"", ""7237444""]",
337148,zh,你的小狗应该多大才能接种狂犬病疫苗,"[""7389316""]","[""7389316"", ""7974596"", ""7311939"", ""7700487"", ""7076146"", ""609254"", ""7187607"", ""11527"", ""7493757"", ""7492935""]",
733241,zh,什么被认为是着装,"[""1699500""]","[""7933515"", ""7171569"", ""7856651"", ""7421911"", ""1699500"", ""7857342"", ""7170449"", ""7766841"", ""7069399"", ""7573780""]",
576898,zh,什么是最常发生的战争,"[""7598385""]","[""7389537"", ""7214220"", ""7234971"", ""7081759"", ""7254097"", ""7186427"", ""3149452"", ""7899750"", ""7742103"", ""7601798""]",
617306,zh,什么缺乏会在指甲上产生白斑,"[""7502930""]","[""7502930"", ""7122052"", ""7493514"", ""1903885"", ""7132199"", ""7493507"", ""480677"", ""7537844"", ""5006012"", ""7125283""]",
1064470,zh,为什么鸡蛋会变成褐色,"[""7728289""]","[""7728289"", ""7105534"", ""7510610"", ""5558092"", ""7332142"", ""7625473"", ""1501464"", ""233414"", ""77234"", ""7380886""]",
393696,zh,在德克萨斯州申请成为经纪人需要什么要求,"[""7598745""]","[""7598745"", ""7934632"", ""7645183"", ""7593413"", ""2320067"", ""7098122"", ""7543353"", ""7714548"", ""7079658"", ""7834912""]",
992193,zh,谁创造了适者生存的概念？查尔斯·达尔文卡尔·马克思赫伯特·斯宾塞马克斯·韦伯,"[""7280593""]","[""7280593"", ""4772781"", ""7577963"", ""7107894"", ""7257833"", ""7912439"", ""7087956"", ""7902044"", ""7394614"", ""7217405""]",
829915,zh,经父母同意，堪萨斯州的结婚年龄是多少,"[""7787972""]","[""7787972"", ""7167740"", ""5898158"", ""7900321"", ""7106774"", ""6395661"", ""7962748"", ""7996617"", ""4586411"", ""7358369""]",
987767,zh,罗伊摩尔输给了谁,"[""7290624""]","[""7290624"", ""7766992"", ""7689707"", ""7281607"", ""7782055"", ""7843451"", ""7954704"", ""7135225"", ""7990677"", ""7092632""]",
299128,zh,每月多少单位的水,"[""6720313""]","[""7776376"", ""7073976"", ""6720313"", ""7326865"", ""7229678"", ""684240"", ""7586539"", ""7233185"", ""418208"", ""7485559""]",
814132,zh,什么是每日钠限量,"[""7951365""]","[""714998"", ""7951365"", ""7837801"", ""1738230"", ""7187701"", ""7647265"", ""7584607"", ""1460244"", ""7584484"", ""7567998""]",
874257,zh,作者用什么文学手法来描述约翰尼抢劫局外人的行为,"[""7867405""]","[""7867405"", ""7907059"", ""7612634"", ""7204388"", ""7289422"", ""7806789"", ""7889259"", ""7935417"", ""7341001"", ""7778543""]",
868598,zh,你需要什么样的成绩才能成为一名牙科保健员,"[""7743190""]","[""7360526"", ""7360530"", ""6348579"", ""7743190"", ""7863564"", ""7583542"", ""7944021"", ""7688776"", ""7901950"", ""7545801""]",
1071609,zh,为什么噪音是个问题,"[""7816796""]","[""7816796"", ""7679560"", ""1418283"", ""7087019"", ""7250048"", ""433444"", ""7325759"", ""1011107"", ""7915201"", ""7128451""]",
663595,zh,罗伯·托马斯是什么类型的,"[""7465375""]","[""7689707"", ""2813821"", ""7436481"", ""7580483"", ""7612172"", ""7355752"", ""7229258"", ""7284690"", ""7465375"", ""7733821""]",
1062203,zh,为什么布拉德皮特和安吉丽娜朱莉离婚,"[""7569446""]","[""7569446"", ""7864039"", ""7573749"", ""7307861"", ""7859734"", ""7946505"", ""7864034"", ""7788833"", ""7761845"", ""5404401""]",
182644,zh,药物戒断症状的例子,"[""7935405""]","[""7935405"", ""7615041"", ""7173651"", ""7486505"", ""7299269"", ""7742389"", ""7486503"", ""7135691"", ""7648407"", ""4920146""]",
931029,zh,黄瓜的平均大小是多少,"[""7812195""]","[""7812195"", ""7563950"", ""7574941"", ""7836035"", ""7358483"", ""7926351"", ""7426755"", ""6434120"", ""7229668"", ""7258092""]",
924580,zh,什么威士忌是由小麦制成的,"[""7853738"", ""7853736""]","[""7853736"", ""7853738"", ""1676911"", ""708299"", ""7109056"", ""7893642"", ""7451198"", ""7730578"", ""1539468"", ""7511407""]",
837702,zh,氦的反义词是什么,"[""7799527""]","[""7799527"", ""7135073"", ""644710"", ""7201584"", ""7674924"", ""7960664"", ""7241709"", ""7263791"", ""7100724"", ""7276475""]",
1033156,zh,大酋长的真名是什么,"[""7212940""]","[""7117505"", ""7935417"", ""7603501"", ""7118597"", ""7499378"", ""1285360"", ""7875397"", ""7102089"", ""7821443"", ""7963400""]",
1079185,zh,当公司解散并负债时会发生什么？,"[""53048""]","[""53048"", ""6417290"", ""3592709"", ""7397256"", ""7114254"", ""7108043"", ""7883166"", ""7804150"", ""7102693"", ""7282233""]",
171534,zh,有些汽车使用空调来帮助除霜吗,"[""7385189""]","[""7385189"", ""7211972"", ""7079467"", ""7910955"", ""7629794"", ""7215725"", ""7067759"", ""7960849"", ""7234031"", ""7457418""]",
838500,zh,你手臂上抽血的部位叫什么,"[""4707882""]","[""4707882"", ""8008988"", ""7273634"", ""7630376"", ""7242222"", ""7329996"", ""972294"", ""7855509"", ""7588705"", ""7706332""]",
361285,zh,如何去除地毯上的猫尿渍,"[""7401706""]","[""7401706"", ""7990241"", ""7211336"", ""7910955"", ""7367838"", ""7233102"", ""7788924"", ""7483017"", ""7801159"", ""2820408""]",
1074603,zh,为什么使用视频进行营销和促销,"[""7845422""]","[""7845422"", ""7461286"", ""613301"", ""7173082"", ""7388532"", ""7826615"", ""7827847"", ""7966136"", ""7659801"", ""7427974""]",
931783,zh,自我形象和自我概念有什么区别,"[""7830900""]","[""7830900"", ""7164081"", ""7447985"", ""7890507"", ""7649902"", ""7410315"", ""7497224"", ""7682652"", ""7521187"", ""7192480""]",
1096025,zh,国家在 md 支付护士多少钱,"[""7541711""]","[""7636819"", ""7541711"", ""7658002"", ""7959134"", ""363604"", ""7447492"", ""7419181"", ""206418"", ""7813505"", ""7195729""]",
1037612,zh,犰狳的长度是多少,"[""7205573""]","[""4969080"", ""7632606"", ""7085523"", ""7230656"", ""1176630"", ""7624467"", ""7980757"", ""7365294"", ""7224650"", ""7441402""]",
1004565,zh,epcot的美食美酒节什么时候开始,"[""7255591""]","[""7255591"", ""7375794"", ""7644583"", ""7213638"", ""7813102"", ""7568048"", ""7257190"", ""7555831"", ""7750740"", ""7914114""]",
630172,zh,中指戴戒指是什么意思？,"[""7469958""]","[""7469958"", ""7830330"", ""703196"", ""7534457"", ""7473991"", ""7579291"", ""7406252"", ""7214926"", ""7483978"", ""1435394""]",
650157,zh,你是个好蛋的表情是什么,"[""7453899""]","[""7453899"", ""7430397"", ""7984355"", ""7430396"", ""7140296"", ""7125270"", ""7323225"", ""7675212"", ""7192340"", ""7767342""]",
1031761,zh,马尾的结构是什么,"[""7215190""]","[""7215190"", ""7188052"", ""7275572"", ""7512964"", ""7592764"", ""7100500"", ""7577350"", ""7264233"", ""7107740"", ""7694566""]",
339855,zh,在密歇根州，员工多久必须报告受伤情况,"[""7359547""]","[""7359547"", ""7399340"", ""7604187"", ""2911180"", ""7675348"", ""7889577"", ""4180526"", ""7716503"", ""3161368"", ""515308""]",
1006724,zh,泰国的独立日是什么时候,"[""7252753""]","[""7252753"", ""7095799"", ""67027"", ""4110699"", ""3644878"", ""4110696"", ""6794229"", ""7257177"", ""7116362"", ""7739212""]",
411367,zh,谷歌在中国被屏蔽了吗,"[""7633642""]","[""7633642"", ""7418884"", ""7813011"", ""7249466"", ""7282031"", ""4241535"", ""7274990"", ""7336450"", ""7966136"", ""7143936""]",
839488,zh,kohlrabies的复数是什么,"[""7866009""]","[""7255023"", ""7210894"", ""7746462"", ""7244910"", ""7426551"", ""7908505"", ""7423815"", ""4422656"", ""7480498"", ""7321579""]",
1087202,zh,低血的症状是什么,"[""7103722""]","[""7273847"", ""5184014"", ""7798067"", ""7687460"", ""7103722"", ""7173343"", ""1541418"", ""7518992"", ""7449503"", ""6903791""]",
1058513,zh,什么是类 dojo 用于,"[""7171329""]","[""7171329"", ""7145084"", ""7132930"", ""7439924"", ""7674054"", ""7852621"", ""7653402"", ""7439927"", ""7635318"", ""7797742""]",
1054949,zh,什么是图书馆的朋友,"[""7177052""]","[""7177052"", ""7482587"", ""6910071"", ""7852802"", ""7832158"", ""7787203"", ""7705565"", ""7433180"", ""7618292"", ""7567025""]",
