query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,zh,温度与体积的正反数学关系是什么,"[""7206684""]","[""7206684"", ""7217353"", ""7492132"", ""7165807"", ""7691361"", ""2038018"", ""4798181"", ""7488637"", ""7527060"", ""7239230""]",
1035645,zh,俄罗斯的城堡叫什么名字,"[""7208858""]","[""7208858"", ""7152404"", ""7858842"", ""7105678"", ""7495093"", ""7292184"", ""1878861"", ""7548969"", ""7730364"", ""7396043""]",
71029,zh,莱姆病会导致狗的毛囊炎吗,"[""7670160""]","[""7670160"", ""7679596"", ""1033337"", ""7112464"", ""7089741"", ""7345967"", ""1623640"", ""7476284"", ""7996955"", ""7987616""]",
1083836,zh,fdic 投保是什么意思？,"[""1896608""]","[""1896608"", ""1159597"", ""7375334"", ""7856336"", ""7141089"", ""7695991"", ""4191529"", ""7455344"", ""7133842"", ""7679312""]",
1058885,zh,是什么导致了持续的干胀和恶心,"[""7170528""]","[""5584747"", ""7531239"", ""7067829"", ""7399600"", ""7966804"", ""6407050"", ""7533102"", ""7139764"", ""7486687"", ""298259""]",
1039189,zh,谁是星际迷航行动歼灭客队的女演员,"[""7805080""]","[""7239171"", ""7290137"", ""7572869"", ""7767103"", ""7296899"", ""7355808"", ""7805080"", ""7983669"", ""7754210"", ""7302021""]",
829562,zh,政党的主要目的是什么？,"[""3347905""]","[""3347905"", ""3353086"", ""7532348"", ""277634"", ""7245877"", ""7216092"", ""7420461"", ""7386744"", ""7926476"", ""7738446""]",
1055884,zh,谁是第一个在写作中使用社会学的作者,"[""67588""]","[""7763743"", ""67588"", ""7082559"", ""7474496"", ""7435832"", ""145831"", ""7466996"", ""2352372"", ""7257833"", ""7815026""]",
466830,zh,氮中的质子数、中子数和电子数 14,"[""7709283""]","[""7709283"", ""7158898"", ""7080008"", ""7206592"", ""7107654"", ""7100247"", ""7777896"", ""7495648"", ""7402796"", ""7674848""]",
1048871,zh,谁在 bunkd 中扮演 xander,"[""4146836""]","[""4146836"", ""7888038"", ""7412014"", ""7292304"", ""7383642"", ""7124323"", ""7382065"", ""7302021"", ""7858559"", ""7750201""]",
1085775,zh,引导图像利用什么联系将您带入深入,"[""7116157""]","[""7116157"", ""7150228"", ""7456010"", ""7327215"", ""7972893"", ""7341578"", ""7531759"", ""7929939"", ""7532795"", ""7984373""]",
884298,zh,哪些参数会影响呼吸机的 i:e 比率,"[""7928696"", ""7928694""]","[""7928694"", ""7684288"", ""7861394"", ""7239751"", ""7555333"", ""7944469"", ""7558643"", ""2038018"", ""7305462"", ""7928696""]",
1097199,zh,一个女人有多少个卵子,"[""7433925""]","[""7433792"", ""7433925"", ""7992043"", ""110910"", ""7414499"", ""7623591"", ""7210214"", ""7833470"", ""6093010"", ""7361476""]",
950016,zh,瑞士的夏令时是什么时候,"[""7754765""]","[""7754765"", ""7236525"", ""7438631"", ""924613"", ""256757"", ""7601337"", ""7889379"", ""409338"", ""4484371"", ""7862783""]",
337148,zh,你的小狗应该多大才能接种狂犬病疫苗,"[""7389316""]","[""7389316"", ""7974596"", ""7076146"", ""7700487"", ""609254"", ""7311939"", ""7187607"", ""7493757"", ""7312387"", ""7678643""]",
733241,zh,什么被认为是着装,"[""1699500""]","[""7933515"", ""7069399"", ""7649080"", ""7736154"", ""7170449"", ""7355625"", ""1699500"", ""7882791"", ""7088122"", ""7690222""]",
576898,zh,什么是最常发生的战争,"[""7598385""]","[""7081759"", ""7214220"", ""7738141"", ""7829864"", ""3149452"", ""7843451"", ""7742103"", ""7598385"", ""7389537"", ""7145485""]",
617306,zh,什么缺乏会在指甲上产生白斑,"[""7502930""]","[""7502930"", ""7122052"", ""1903885"", ""7493514"", ""7132199"", ""5200958"", ""480677"", ""4948097"", ""7493507"", ""7459621""]",
1064470,zh,为什么鸡蛋会变成褐色,"[""7728289""]","[""7728289"", ""7332142"", ""7653673"", ""7105534"", ""7458144"", ""7442410"", ""7206684"", ""7196833"", ""7380886"", ""7452407""]",
393696,zh,在德克萨斯州申请成为经纪人需要什么要求,"[""7598745""]","[""7598745"", ""7645183"", ""7934632"", ""7714548"", ""7394645"", ""7155303"", ""7395889"", ""7834912"", ""7585034"", ""7341185""]",
992193,zh,谁创造了适者生存的概念？查尔斯·达尔文卡尔·马克思赫伯特·斯宾塞马克斯·韦伯,"[""7280593""]","[""7280593"", ""4772781"", ""7435832"", ""7929116"", ""7956784"", ""7886668"", ""7912439"", ""7640379"", ""7217405"", ""7773767""]",
829915,zh,经父母同意，堪萨斯州的结婚年龄是多少,"[""7787972""]","[""7787972"", ""7167740"", ""7900321"", ""7962748"", ""7996617"", ""6395661"", ""7358369"", ""7100617"", ""4586411"", ""7097506""]",
987767,zh,罗伊摩尔输给了谁,"[""7290624""]","[""7290624"", ""7607111"", ""7990677"", ""7645327"", ""7445716"", ""7858356"", ""7966632"", ""7782055"", ""7774695"", ""7954704""]",
299128,zh,每月多少单位的水,"[""6720313""]","[""6720313"", ""7776376"", ""7297131"", ""684240"", ""7485559"", ""7461178"", ""7233185"", ""7994733"", ""7073976"", ""77985""]",
814132,zh,什么是每日钠限量,"[""7951365""]","[""7951365"", ""7837801"", ""714998"", ""7567998"", ""1460244"", ""2304767"", ""7617550"", ""7187701"", ""3545260"", ""7595065""]",
874257,zh,作者用什么文学手法来描述约翰尼抢劫局外人的行为,"[""7867405""]","[""7867405"", ""7907059"", ""7902915"", ""7935417"", ""7778543"", ""7612634"", ""7889259"", ""7341001"", ""7204388"", ""7892090""]",
868598,zh,你需要什么样的成绩才能成为一名牙科保健员,"[""7743190""]","[""7360530"", ""7360526"", ""7863564"", ""7743190"", ""7944021"", ""6348579"", ""7995392"", ""7545801"", ""7688776"", ""7371307""]",
1071609,zh,为什么噪音是个问题,"[""7816796""]","[""7816796"", ""7414858"", ""7087019"", ""7403659"", ""2285677"", ""7325759"", ""7250048"", ""433444"", ""1782540"", ""7747072""]",
663595,zh,罗伯·托马斯是什么类型的,"[""7465375""]","[""7465375"", ""7689707"", ""7687708"", ""7580483"", ""7857716"", ""7272164"", ""7586385"", ""7879285"", ""7734489"", ""7290624""]",
1062203,zh,为什么布拉德皮特和安吉丽娜朱莉离婚,"[""7569446""]","[""7569446"", ""7864039"", ""7864034"", ""7430929"", ""7573749"", ""7901881"", ""7396633"", ""7292030"", ""7966632"", ""7288390""]",
182644,zh,药物戒断症状的例子,"[""7935405""]","[""7935405"", ""7615041"", ""7486505"", ""7299269"", ""7173651"", ""4920146"", ""7140020"", ""7493839"", ""7486503"", ""7205356""]",
931029,zh,黄瓜的平均大小是多少,"[""7812195""]","[""7812195"", ""7563950"", ""75420"", ""7460416"", ""7479581"", ""7502667"", ""7625327"", ""7352846"", ""7277294"", ""7229668""]",
924580,zh,什么威士忌是由小麦制成的,"[""7853738"", ""7853736""]","[""7853736"", ""7853738"", ""1676911"", ""1539468"", ""7986348"", ""7109056"", ""7533967"", ""7367627"", ""7206269"", ""7077056""]",
837702,zh,氦的反义词是什么,"[""7799527""]","[""7799527"", ""7515977"", ""644710"", ""7201584"", ""7135073"", ""7231321"", ""7156708"", ""7263791"", ""7241709"", ""7874203""]",
1033156,zh,大酋长的真名是什么,"[""7212940""]","[""7212940"", ""7251611"", ""7603501"", ""7972112"", ""7250839"", ""7290002"", ""1285360"", ""7283346"", ""7117505"", ""7819524""]",
1079185,zh,当公司解散并负债时会发生什么？,"[""53048""]","[""53048"", ""7397256"", ""7934197"", ""7172263"", ""7879401"", ""7883166"", ""7767022"", ""7282233"", ""7100572"", ""3592709""]",
171534,zh,有些汽车使用空调来帮助除霜吗,"[""7385189""]","[""7385189"", ""7211972"", ""7067759"", ""7629794"", ""7666657"", ""7079467"", ""7127554"", ""7234031"", ""7960849"", ""7879649""]",
838500,zh,你手臂上抽血的部位叫什么,"[""4707882""]","[""4707882"", ""7273634"", ""7561515"", ""7706332"", ""7630376"", ""7105960"", ""2554181"", ""7426043"", ""7242222"", ""7970697""]",
361285,zh,如何去除地毯上的猫尿渍,"[""7401706""]","[""7401706"", ""3464191"", ""7980571"", ""8000759"", ""7173790"", ""7211336"", ""7392272"", ""7990241"", ""7879904"", ""7085272""]",
1074603,zh,为什么使用视频进行营销和促销,"[""7845422""]","[""7845422"", ""613301"", ""7388532"", ""7380009"", ""7544522"", ""7826615"", ""7461286"", ""7482263"", ""5400265"", ""7327215""]",
931783,zh,自我形象和自我概念有什么区别,"[""7830900""]","[""7164081"", ""7830900"", ""7447985"", ""7471665"", ""7199746"", ""7144299"", ""7538426"", ""7426043"", ""7544860"", ""7277016""]",
1096025,zh,国家在 md 支付护士多少钱,"[""7541711""]","[""7959134"", ""7658002"", ""7195763"", ""7541711"", ""7463865"", ""7447492"", ""363604"", ""7813505"", ""7195729"", ""7825985""]",
1037612,zh,犰狳的长度是多少,"[""7205573""]","[""7205573"", ""7217353"", ""7926379"", ""2020327"", ""1176630"", ""7261226"", ""7601989"", ""7096250"", ""7856019"", ""5264767""]",
1004565,zh,epcot的美食美酒节什么时候开始,"[""7255591""]","[""7255591"", ""7375794"", ""7813102"", ""7116824"", ""7226856"", ""7846366"", ""7980047"", ""7260852"", ""7256698"", ""7213638""]",
630172,zh,中指戴戒指是什么意思？,"[""7469958""]","[""7469958"", ""7534457"", ""7830330"", ""703196"", ""7473991"", ""7158050"", ""7523816"", ""7430929"", ""7881754"", ""7091104""]",
650157,zh,你是个好蛋的表情是什么,"[""7453899""]","[""7453899"", ""7310898"", ""7430397"", ""7839476"", ""7192340"", ""7430396"", ""7864218"", ""7231321"", ""7880398"", ""7323225""]",
1031761,zh,马尾的结构是什么,"[""7215190""]","[""7215190"", ""772912"", ""7632606"", ""7512964"", ""7698182"", ""7436902"", ""7467345"", ""7275572"", ""7622705"", ""5976199""]",
339855,zh,在密歇根州，员工多久必须报告受伤情况,"[""7359547""]","[""7359547"", ""7877769"", ""7640131"", ""2911180"", ""7326330"", ""7940035"", ""499891"", ""7856336"", ""7342116"", ""7692202""]",
1006724,zh,泰国的独立日是什么时候,"[""7252753""]","[""7252753"", ""7675934"", ""7253793"", ""7079772"", ""621218"", ""7739212"", ""4110699"", ""7802832"", ""67027"", ""7257177""]",
411367,zh,谷歌在中国被屏蔽了吗,"[""7633642""]","[""7633642"", ""7697631"", ""7827927"", ""7479235"", ""7813011"", ""7594105"", ""7653402"", ""7461593"", ""7436153"", ""7097506""]",
839488,zh,kohlrabies的复数是什么,"[""7866009""]","[""1499775"", ""7423815"", ""7449450"", ""7190753"", ""7619341"", ""7746462"", ""7255023"", ""7715404"", ""7231321"", ""7355625""]",
1087202,zh,低血的症状是什么,"[""7103722""]","[""7273847"", ""7449503"", ""5184014"", ""7442428"", ""7511801"", ""7103722"", ""7798067"", ""7797366"", ""7480213"", ""7111094""]",
1058513,zh,什么是类 dojo 用于,"[""7171329""]","[""7171329"", ""7180273"", ""7743723"", ""7471735"", ""7341578"", ""7640887"", ""7433680"", ""7174889"", ""7852621"", ""7533612""]",
1054949,zh,什么是图书馆的朋友,"[""7177052""]","[""7177052"", ""7794580"", ""7519505"", ""6910071"", ""7705565"", ""7482587"", ""7433180"", ""7790653"", ""7548696"", ""7362321""]",
190380,zh,保持牙龈健康的食物,"[""5092256""]","[""5092256"", ""7490179"", ""2445156"", ""7386869"", ""7942753"", ""757494"", ""7361261"", ""7619295"", ""7379859"", ""7854545""]",
739554,zh,理解和掌握有什么区别,"[""7456010"", ""7044609""]","[""7456010"", ""7044609"", ""7544860"", ""7895865"", ""7711895"", ""7126790"", ""7635039"", ""7185490"", ""7683174"", ""7174697""]",
1059812,zh,谁的脸在钱上,"[""7290835""]","[""7290835"", ""7843298"", ""7196698"", ""7824636"", ""7602350"", ""468467"", ""7874763"", ""7939548"", ""7415038"", ""7634850""]",
1071161,zh,什么是金融的长期战略,"[""7157744""]","[""7100389"", ""7962108"", ""7823965"", ""7657978"", ""8001682"", ""7193967"", ""7108763"", ""7637414"", ""4440198"", ""7814471""]",
69065,zh,我可以用驾照拿到我的车牌吗,"[""7392067""]","[""7392067"", ""7770548"", ""7097756"", ""1558710"", ""7257114"", ""7349980"", ""7712968"", ""7619117"", ""7252422"", ""7350549""]",
831034,zh,当提到任何开花植物时，水果的含义是什么,"[""2077415""]","[""7662692"", ""2077415"", ""458748"", ""7255023"", ""6834791"", ""7513338"", ""7889754"", ""5291458"", ""7905618"", ""7480706""]",
1002373,zh,你的眼睛只在哪儿拍的？,"[""7747666""]","[""3176369"", ""7232560"", ""7127002"", ""7607116"", ""7277067"", ""1310066"", ""7965838"", ""7306493"", ""7747666"", ""1791102""]",
609707,zh,montello wi 在哪个县,"[""7690114""]","[""7690114"", ""7817457"", ""2208454"", ""7121124"", ""7661663"", ""7685218"", ""7627481"", ""7523033"", ""7482811"", ""7769834""]",
393420,zh,历史上什么是势力范围,"[""7689572""]","[""7689572"", ""7938552"", ""7360979"", ""7234304"", ""7287796"", ""7324840"", ""7504362"", ""3429513"", ""7704866"", ""7798251""]",
1084596,zh,汽车上的标签需要什么,"[""7126829""]","[""7132332"", ""7126829"", ""7508018"", ""7550490"", ""7077855"", ""7176630"", ""7658969"", ""7082868"", ""450426"", ""7392067""]",
1041656,zh,助学金的定义是什么,"[""7199394""]","[""7199394"", ""7466552"", ""7724525"", ""7142823"", ""7421395"", ""7802155"", ""7547486"", ""7398348"", ""7787413"", ""7683779""]",
1097283,zh,国王因在伯明翰抗议而在监狱里呆了多少天,"[""7426908""]","[""7426908"", ""7497729"", ""7498046"", ""7368942"", ""7856053"", ""7396633"", ""7895995"", ""7080880"", ""7337538"", ""1744702""]",
166528,zh,ftp 是否使用 appdata 文件夹,"[""7373623""]","[""7373623"", ""7869800"", ""7074151"", ""7092822"", ""7069692"", ""7167848"", ""7517040"", ""7261645"", ""7325559"", ""7451491""]",
988720,zh,谁是芝加哥的原唱,"[""7287922""]","[""7287922"", ""7725656"", ""7612181"", ""6666759"", ""7642166"", ""7146273"", ""7937639"", ""7778130"", ""7247070"", ""7575373""]",
1093928,zh,iphone x 是防水的还是防水的,"[""7711108""]","[""7711108"", ""7550534"", ""7388471"", ""7539993"", ""7228073"", ""7901437"", ""7994286"", ""7796400"", ""7757491"", ""7335281""]",
735175,zh,什么是成本和运费 inco 条款,"[""7522344""]","[""7522344"", ""7674273"", ""331380"", ""2086992"", ""7441725"", ""7391075"", ""7922855"", ""7229725"", ""7805184"", ""159767""]",
289276,zh,成人应服用多少毫克利他林,"[""7559170""]","[""7559170"", ""7772677"", ""7443875"", ""7913520"", ""992238"", ""7579337"", ""7089376"", ""2801308"", ""7567998"", ""7591413""]",
