query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,en,what is the mathematical relationship between temperature and volume direct or inverse,"[""7206684""]","[""7206684"", ""7305462"", ""7217353"", ""7492132"", ""7165807"", ""7527060"", ""7080173"", ""7082136"", ""1335588"", ""7272695""]",
1035645,en,what is the name of the castle in russia,"[""7208858""]","[""7208858"", ""7292184"", ""7858842"", ""7105678"", ""7152404"", ""7396043"", ""1878861"", ""7254379"", ""7262494"", ""7245028""]",
71029,en,can lyme disease cause folliculitis in dogs,"[""7670160""]","[""7670160"", ""1163812"", ""1033337"", ""7795418"", ""7959219"", ""7112464"", ""7452987"", ""7801066"", ""7459302"", ""1849581""]",
1083836,en,what does fdic insured mean?,"[""1896608""]","[""1896608"", ""7148904"", ""4191529"", ""7375334"", ""1159597"", ""7856336"", ""7308077"", ""7704366"", ""7679312"", ""7688312""]",
1058885,en,what is causing the constant dry heaving and nausea,"[""7170528""]","[""7531239"", ""5584747"", ""1979597"", ""7966808"", ""7399600"", ""764872"", ""763010"", ""7533102"", ""7528852"", ""7170528""]",
1039189,en,who is the actress on the away team in star trek operation annihilate,"[""7805080""]","[""7327050"", ""7239171"", ""7259526"", ""7805080"", ""7398690"", ""7803659"", ""7329333"", ""1757350"", ""270380"", ""7290137""]",
829562,en,what is the main purpose of a political party?,"[""3347905""]","[""3347905"", ""4582296"", ""2468148"", ""3353086"", ""991142"", ""7105895"", ""7349246"", ""7216092"", ""7108043"", ""7105479""]",
1055884,en,who was the first author to use sociology in their writing,"[""67588""]","[""67588"", ""7763743"", ""7082559"", ""5910812"", ""7257833"", ""7626411"", ""7466996"", ""145831"", ""7907439"", ""7253236""]",
466830,en,number of protons neutrons and electrons in nitrogen 14,"[""7709283""]","[""7709283"", ""7158898"", ""7080008"", ""7674848"", ""7402796"", ""7965476"", ""7777896"", ""7107654"", ""7206592"", ""3349239""]",
1048871,en,who plays xander from bunkd,"[""4146836""]","[""4146836"", ""7085516"", ""7888038"", ""7124323"", ""7935493"", ""7287518"", ""7412014"", ""7764195"", ""7302021"", ""7292304""]",
1085775,en,what connection does guided imagery take advantage of to transport you deep into,"[""7116157""]","[""7116157"", ""7150228"", ""7327215"", ""7277016"", ""7855122"", ""7541371"", ""7717805"", ""7622705"", ""7156063"", ""7169836""]",
884298,en,what parameters effect i:e ratio on ventilators,"[""7928696"", ""7928694""]","[""7928694"", ""7928696"", ""7861394"", ""7079907"", ""7358221"", ""7646548"", ""2038018"", ""7268557"", ""7077624"", ""7558643""]",
1097199,en,how many eggs do does a woman have,"[""7433925""]","[""7433925"", ""7273604"", ""6093010"", ""7992043"", ""7826945"", ""7433792"", ""7695522"", ""7275926"", ""3947697"", ""7196833""]",
950016,en,when is daylight savings time for switzerland,"[""7754765""]","[""7754765"", ""7236525"", ""256757"", ""924613"", ""7438631"", ""7121801"", ""4484371"", ""7601337"", ""7809074"", ""7213876""]",
337148,en,how old should your puppy be to get a rabies shot,"[""7389316""]","[""7389316"", ""7076146"", ""7974596"", ""7311939"", ""7700487"", ""609254"", ""7187607"", ""11527"", ""7493757"", ""6723094""]",
733241,en,what is considered attire,"[""1699500""]","[""7933515"", ""7171569"", ""1699500"", ""7069399"", ""7766841"", ""3900009"", ""7421911"", ""7647619"", ""7301118"", ""7159527""]",
576898,en,what are wars most commonly fought over,"[""7598385""]","[""7843451"", ""7742103"", ""7214220"", ""1798522"", ""3429513"", ""7234971"", ""7738141"", ""7924333"", ""7926327"", ""7829864""]",
617306,en,what deficiency produces white spot on nails,"[""7502930""]","[""7502930"", ""7122052"", ""7493514"", ""1903885"", ""5200958"", ""4948097"", ""7852029"", ""7765651"", ""7471105"", ""7073140""]",
1064470,en,why do eggs turn brown,"[""7728289""]","[""7728289"", ""7196833"", ""7380886"", ""233414"", ""7399071"", ""1501464"", ""7695522"", ""7332142"", ""7442410"", ""7458144""]",
393696,en,in texas what requirements are needed to apply to become a broker,"[""7598745""]","[""7598745"", ""7934632"", ""7834912"", ""7514078"", ""7645183"", ""176136"", ""7714548"", ""7341185"", ""7531298"", ""7394645""]",
992193,en,who coined the concept survival of the fittest? charles darwin karl marx herbert spencer max weber,"[""7280593""]","[""7280593"", ""7276511"", ""4772781"", ""7886668"", ""7837350"", ""7435832"", ""7541544"", ""7956784"", ""7773767"", ""7273604""]",
829915,en,what is the marriage age in kansas with parental consent,"[""7787972""]","[""7787972"", ""7167740"", ""5898158"", ""7358369"", ""7106774"", ""7097506"", ""7790637"", ""4586411"", ""6395661"", ""7900321""]",
987767,en,who roy moore lost to,"[""7290624""]","[""7290624"", ""7607111"", ""7718324"", ""7461249"", ""7574541"", ""7645327"", ""7445716"", ""7275935"", ""7092632"", ""7676770""]",
299128,en,how many units of water per month,"[""6720313""]","[""6720313"", ""7776376"", ""7297131"", ""7376730"", ""7364616"", ""7745404"", ""7579062"", ""2336191"", ""7073976"", ""7563235""]",
814132,en,what is the daily sodium limit,"[""7951365""]","[""714998"", ""7951365"", ""7837801"", ""7567998"", ""7617550"", ""2304767"", ""3545260"", ""1460244"", ""7528795"", ""1738230""]",
874257,en,what literary device does the author use to describe johnny's mugging the outsiders,"[""7867405""]","[""7867405"", ""7907059"", ""363824"", ""7433620"", ""7152217"", ""7538644"", ""7102190"", ""7778543"", ""7204388"", ""7292841""]",
868598,en,what kind of grades do you need to be a dental hygienist,"[""7743190""]","[""7360526"", ""7743190"", ""7360530"", ""7863564"", ""6348579"", ""7944021"", ""7621353"", ""7901950"", ""7114994"", ""7371307""]",
1071609,en,why is noise a problem,"[""7816796""]","[""7816796"", ""1011107"", ""7846533"", ""7747072"", ""7087019"", ""5561579"", ""7250048"", ""1782540"", ""7189738"", ""7414858""]",
663595,en,what genre is rob thomas,"[""7465375""]","[""7465375"", ""7204388"", ""7733821"", ""7290887"", ""7862625"", ""7698164"", ""1304103"", ""7284306"", ""7834262"", ""7357232""]",
1062203,en,why did brad pitt and angelina jolie divorce,"[""7569446""]","[""7569446"", ""7864039"", ""7859734"", ""7339164"", ""7430929"", ""7535439"", ""7946505"", ""7138192"", ""7841583"", ""7966632""]",
182644,en,examples of drug withdrawal symptoms,"[""7935405""]","[""7935405"", ""7615041"", ""7486503"", ""7173651"", ""7486505"", ""7742389"", ""7966805"", ""7543956"", ""4920146"", ""7493839""]",
931029,en,what's the average cucumber size,"[""7812195""]","[""7812195"", ""7277294"", ""5206837"", ""7563950"", ""7185925"", ""7926379"", ""7479581"", ""7383364"", ""7979967"", ""7926351""]",
924580,en,what whiskey is made of wheat,"[""7853738"", ""7853736""]","[""7853736"", ""7853738"", ""7223320"", ""7367627"", ""7192642"", ""7970283"", ""7511407"", ""7986348"", ""7200948"", ""7533967""]",
837702,en,what is the opposite of helium,"[""7799527""]","[""7799527"", ""644710"", ""7135073"", ""7201584"", ""7235859"", ""7241709"", ""7100724"", ""7492132"", ""7275888"", ""7674924""]",
1033156,en,what is the real name of master chief,"[""7212940""]","[""7212940"", ""7078555"", ""5397150"", ""1285360"", ""7627968"", ""7290002"", ""7181095"", ""7250839"", ""7765756"", ""7823298""]",
1079185,en,what happens when a corp dissolves and has debt?,"[""53048""]","[""53048"", ""7934197"", ""6417290"", ""7397256"", ""7943121"", ""3242324"", ""7814471"", ""3592709"", ""7147623"", ""1140905""]",
171534,en,does some car use air conditioner to help defroster,"[""7385189""]","[""7385189"", ""7127370"", ""7457418"", ""7630433"", ""7211972"", ""7943891"", ""7127554"", ""3605846"", ""7639182"", ""7818798""]",
838500,en,what is the part on your arm where they draw blood called,"[""4707882""]","[""4707882"", ""7342775"", ""7273634"", ""7979212"", ""1440644"", ""7518380"", ""7178409"", ""1062868"", ""2485932"", ""1143017""]",
361285,en,how to get cat urine stain out of carpet,"[""7401706""]","[""7401706"", ""8000759"", ""7392272"", ""7910955"", ""7072465"", ""7990241"", ""7893891"", ""7726837"", ""7365714"", ""7483017""]",
1074603,en,why use videos for marketing and promotions,"[""7845422""]","[""7845422"", ""613301"", ""7544522"", ""7388532"", ""7659801"", ""7933299"", ""7333378"", ""7461286"", ""7970530"", ""7816587""]",
931783,en,what's the difference between self-image and self-concept,"[""7830900""]","[""7830900"", ""7164081"", ""7594620"", ""7477756"", ""7761396"", ""7447985"", ""7139509"", ""7909394"", ""7104622"", ""4683587""]",
1096025,en,how much does state pay nurses in md,"[""7541711""]","[""6584729"", ""7541711"", ""7959134"", ""7195763"", ""363604"", ""7658002"", ""7447492"", ""7825985"", ""7195729"", ""1056609""]",
1037612,en,what is the length of an armadillo,"[""7205573""]","[""7205573"", ""7460416"", ""7620832"", ""7236918"", ""7741773"", ""223537"", ""7578709"", ""7096250"", ""5264767"", ""7344571""]",
1004565,en,when does the food and wine festival at epcot start,"[""7255591""]","[""7255591"", ""7375794"", ""7813102"", ""7889800"", ""7226856"", ""7980047"", ""7213638"", ""7257190"", ""7950765"", ""7828130""]",
630172,en,what does a ring on the middle finger mean?,"[""7469958""]","[""7469958"", ""7830330"", ""703196"", ""7534457"", ""7473991"", ""7088781"", ""654791"", ""7421151"", ""7298411"", ""7523816""]",
650157,en,what does the expression you're a good egg,"[""7453899""]","[""7453899"", ""7196833"", ""7523816"", ""7461753"", ""7675212"", ""7594620"", ""7793907"", ""7273604"", ""7657603"", ""7105534""]",
1031761,en,what is the structure of a horsetail,"[""7215190""]","[""7215190"", ""7275572"", ""7155236"", ""7698182"", ""7467345"", ""7851118"", ""7413775"", ""7208663"", ""7622705"", ""772912""]",
339855,en,how soon must an employee report an injury in michigan,"[""7359547""]","[""7359547"", ""7877769"", ""7354468"", ""2911180"", ""7640131"", ""7399340"", ""4180526"", ""7889577"", ""3161368"", ""7618885""]",
1006724,en,when did independence day in thailand,"[""7252753""]","[""7252753"", ""7253793"", ""7802832"", ""67027"", ""4110699"", ""7257327"", ""7269951"", ""7739212"", ""621218"", ""7095799""]",
411367,en,is google blocked in china,"[""7633642""]","[""7633642"", ""7418884"", ""7653402"", ""7841769"", ""7993617"", ""7856346"", ""7249466"", ""7479235"", ""7816587"", ""7587001""]",
839488,en,what is the plural of kohlrabies,"[""7866009""]","[""7866009"", ""7570136"", ""7079778"", ""1176630"", ""3483624"", ""7865538"", ""7980359"", ""7355625"", ""7972821"", ""7210210""]",
1087202,en,what are symptoms of low blood s,"[""7103722""]","[""7103722"", ""7449503"", ""1541418"", ""7273847"", ""5184014"", ""507491"", ""7923796"", ""7477820"", ""7798067"", ""3152590""]",
1058513,en,what is class dojo used for,"[""7171329""]","[""7171329"", ""7555955"", ""7743723"", ""7233203"", ""7503056"", ""7520273"", ""7098058"", ""7099978"", ""7594577"", ""7420334""]",
1054949,en,what is friends of the library,"[""7177052""]","[""7177052"", ""7794580"", ""7567025"", ""7482587"", ""3432310"", ""6910071"", ""7887170"", ""7177292"", ""7799131"", ""7919977""]",
190380,en,foods to keep gums healthy,"[""5092256""]","[""5092256"", ""7490179"", ""7411168"", ""7843179"", ""7148584"", ""1588461"", ""2445156"", ""757494"", ""7657012"", ""7744285""]",
739554,en,what is difference between understand and grasp,"[""7456010"", ""7044609""]","[""7044609"", ""7943454"", ""7126790"", ""7943897"", ""7939488"", ""613787"", ""7711895"", ""7594620"", ""1062868"", ""7200185""]",
1059812,en,whose face is on money,"[""7290835""]","[""7290835"", ""7843298"", ""7196698"", ""7612722"", ""7654932"", ""7604867"", ""7831820"", ""7247338"", ""7841152"", ""7561090""]",
1071161,en,what is a long strategy in finance,"[""7157744""]","[""7157744"", ""7601275"", ""7370345"", ""7657978"", ""7100389"", ""7823965"", ""7193967"", ""7962108"", ""4805879"", ""7830190""]",
69065,en,can i get my my license plates with a driver permit,"[""7392067""]","[""7392067"", ""7097756"", ""7982344"", ""7132332"", ""7127124"", ""1558710"", ""7773197"", ""7770548"", ""7369999"", ""7126829""]",
831034,en,what is the meaning of fruit when referring to any flowering plant,"[""2077415""]","[""2077415"", ""7662692"", ""458748"", ""6834791"", ""7484648"", ""7100183"", ""7406770"", ""7478005"", ""7905618"", ""7456844""]",
