query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,zh-es,温度与volumen的正反数学关系是什么,"[""7206684""]","[""7206684"", ""7165807"", ""7217353"", ""7305139"", ""7220288"", ""7804101"", ""7934279"", ""7379549"", ""7492132"", ""7555272""]",0.11111111111111116
1035645,zh-es,俄罗斯的castillo叫什么名字,"[""7208858""]","[""7208858"", ""7105678"", ""7152404"", ""7851318"", ""7957524"", ""7262494"", ""7228664"", ""7028429"", ""7227497"", ""7244466""]",0.16666666666666663
71029,zh-es,莱姆病会导致perros的毛囊炎吗,"[""7670160""]","[""7519478"", ""1033337"", ""7670160"", ""7795418"", ""378086"", ""7452987"", ""7679596"", ""7455776"", ""1623640"", ""7089741""]",0.1428571428571429
1083836,zh-es,fdic投保是什么significa ？,"[""1896608""]","[""1896608"", ""7375334"", ""7146364"", ""4191529"", ""7154644"", ""7903969"", ""7313355"", ""7162010"", ""541662"", ""7148904""]",0.19999999999999996
1058885,zh-es,是什么导致了持续的干胀和arcadas secas,"[""7170528""]","[""5584747"", ""7132300"", ""6976256"", ""7953859"", ""7531239"", ""7533102"", ""7112336"", ""7715824"", ""7224348"", ""5815698""]",0.11111111111111116
1039189,zh-es,谁是星际迷航行动歼灭客队的actriz演员,"[""7805080""]","[""7983669"", ""7125366"", ""7828507"", ""7383642"", ""7335521"", ""1285360"", ""7572869"", ""7694677"", ""7805080"", ""7180498""]",0.11111111111111116
829562,zh-es,政党的主要objetivo是什么？,"[""3347905""]","[""3347905"", ""3353086"", ""7865401"", ""7210828"", ""7216092"", ""4582296"", ""8006164"", ""7704866"", ""7396947"", ""7823965""]",0.16666666666666663
1055884,zh-es,谁是第一个在写作中utilizar社会学的作者,"[""67588""]","[""7213343"", ""7763743"", ""7082559"", ""67588"", ""7435832"", ""8003099"", ""7433620"", ""67596"", ""7810625"", ""7257833""]",0.09999999999999998
466830,zh-es,氮中的质子数、 neutrones和电子数 14,"[""7709283""]","[""7158898"", ""7709283"", ""34489"", ""7080008"", ""7107654"", ""3349239"", ""7240603"", ""7777896"", ""7491456"", ""7674848""]",0.18181818181818177
1048871,zh-es,谁在bunkd中interpreta xander,"[""4146836""]","[""4146836"", ""7105098"", ""7383642"", ""4439219"", ""7290270"", ""7355625"", ""7290399"", ""7764195"", ""7291425"", ""7124323""]",0.16666666666666663
1085775,zh-es,guiadas图像利用什么conexión将您带入深入,"[""7116157""]","[""7116157"", ""7186693"", ""7919768"", ""7901200"", ""7150228"", ""7221273"", ""7532949"", ""7984373"", ""7634650"", ""7088626""]",0.2222222222222222
884298,zh-es,哪些参数会影响呼吸机的i : relación e,"[""7928696"", ""7928694""]","[""7928694"", ""7928696"", ""7864191"", ""7209206"", ""7079907"", ""7574513"", ""7998086"", ""7625523"", ""7375940"", ""7200717""]",0.11111111111111116
1097199,zh-es,一个mujer有多少个卵子,"[""7433925""]","[""7273604"", ""7433925"", ""7211660"", ""7210214"", ""7623591"", ""7365014"", ""7783998"", ""7992043"", ""5730265"", ""7418762""]",0.16666666666666663
950016,zh-es,suiza的夏令时是什么时候,"[""7754765""]","[""7754765"", ""256757"", ""7853910"", ""7410122"", ""7601337"", ""7973805"", ""7204196"", ""4404202"", ""166256"", ""7095708""]",0.16666666666666663
337148,zh-es,你的小狗应该多大才能recibir狂犬病疫苗,"[""7389316""]","[""7311939"", ""7389316"", ""7974596"", ""7700487"", ""7076146"", ""609254"", ""3041398"", ""7492935"", ""11527"", ""7187607""]",0.11111111111111116
733241,zh-es,什么被认为是vestimenta,"[""1699500""]","[""7933515"", ""7144798"", ""7812024"", ""7257216"", ""7704315"", ""7797167"", ""7180379"", ""7183052"", ""7674072"", ""7402622""]",0.19999999999999996
576898,zh-es,什么是最常发生的guerras,"[""7598385""]","[""7156492"", ""7180273"", ""7823965"", ""7916578"", ""7519505"", ""7124689"", ""7566846"", ""686405"", ""7875224"", ""7566190""]",0.16666666666666663
617306,zh-es,什么缺乏会在指甲上produce白斑,"[""7502930""]","[""7502930"", ""7122052"", ""1903885"", ""7493514"", ""7132199"", ""7493507"", ""7610400"", ""651395"", ""5200958"", ""5006012""]",0.125
1064470,zh-es,为什么huevos会变成褐色,"[""7728289""]","[""7442410"", ""7653673"", ""7947909"", ""7342624"", ""7796560"", ""7362402"", ""7495024"", ""7493514"", ""7245607"", ""7490121""]",0.19999999999999996
393696,zh-es,在texas申请成为经纪人需要什么要求,"[""7598745""]","[""7598745"", ""7934632"", ""7714548"", ""7645183"", ""7155303"", ""7531298"", ""7593413"", ""7098122"", ""7917141"", ""7996617""]",0.125
992193,zh-es,谁创造了supervivencia apto的概念？查尔斯·达尔文卡尔·马克思赫伯特·斯宾塞马克斯·韦伯,"[""7280593""]","[""7280593"", ""7217405"", ""7953714"", ""7902421"", ""7247765"", ""7912439"", ""7281962"", ""7748184"", ""7730985"", ""1125992""]",0.0714285714285714
829915,zh-es,经父母同意，堪萨斯州的edad matrimonio是多少,"[""7787972""]","[""7787972"", ""7234193"", ""7962748"", ""7221882"", ""7153853"", ""7389449"", ""7167740"", ""7367802"", ""5898158"", ""4483854""]",0.125
987767,zh-es,罗伊摩尔con perdió 了谁,"[""7290624""]","[""7302021"", ""7284690"", ""7281607"", ""7161863"", ""7792956"", ""7728818"", ""7782055"", ""7942709"", ""7881754"", ""7362402""]",0.19999999999999996
299128,zh-es,每月多少单位的agua,"[""6720313""]","[""6720313"", ""7559905"", ""7563235"", ""7598635"", ""3948109"", ""7438982"", ""7501935"", ""7776376"", ""7873893"", ""7943000""]",0.19999999999999996
814132,zh-es,什么是每日钠límite,"[""7951365""]","[""714998"", ""7837801"", ""7951365"", ""1460244"", ""1738230"", ""7187701"", ""7617550"", ""7567998"", ""7528795"", ""7595065""]",0.19999999999999996
