query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,zh-en,温度与体积的正反mathematical relationship是什么,"[""7206684""]","[""7840287"", ""577914"", ""7776982"", ""7259822"", ""7798008"", ""7127124"", ""7371165"", ""7926959"", ""7541190"", ""8004401""]",0.2222222222222222
1035645,zh-en,俄罗斯的城堡叫什么name,"[""7208858""]","[""7840287"", ""577914"", ""7259822"", ""7371165"", ""7798008"", ""7127124"", ""7776982"", ""7926959"", ""7249337"", ""7493809""]",0.16666666666666663
71029,zh-en,莱姆病会导致dogs的毛囊炎吗,"[""7670160""]","[""7522675"", ""7371680"", ""822036"", ""7188758"", ""7720292"", ""527250"", ""5790776"", ""7713624"", ""7210675"", ""7077530""]",0.1428571428571429
1083836,zh-en,fdic insured是什么意思？,"[""1896608""]","[""7840287"", ""577914"", ""7776982"", ""7259822"", ""7541190"", ""7371165"", ""7127124"", ""7798008"", ""7926959"", ""8004401""]",0.19999999999999996
1058885,zh-en,是什么causing了持续的干胀和恶心,"[""7170528""]","[""2205059"", ""7753074"", ""7239509"", ""7357837"", ""7373623"", ""7653981"", ""4172372"", ""7375416"", ""7785142"", ""7521477""]",0.11111111111111116
1039189,zh-en,谁是星际迷航行动歼灭team的女演员,"[""7805080""]","[""7824464"", ""7983669"", ""3764735"", ""7190374"", ""7827625"", ""7488364"", ""7348659"", ""7682835"", ""7683576"", ""7239145""]",0.11111111111111116
829562,zh-en,政党的主要purpose是什么？,"[""3347905""]","[""7840287"", ""577914"", ""7259822"", ""7798008"", ""7127124"", ""7371165"", ""7926959"", ""7776982"", ""7249337"", ""8004401""]",0.16666666666666663
1055884,zh-en,谁是第一个在writing中使用社会学的作者,"[""67588""]","[""7840287"", ""577914"", ""7193783"", ""7259822"", ""7371165"", ""7926959"", ""7798008"", ""7127124"", ""7249337"", ""7432455""]",0.09999999999999998
466830,zh-en,氮中的质子数、中子数和electrons 14,"[""7709283""]","[""7840287"", ""577914"", ""7259822"", ""7776982"", ""7371165"", ""7127124"", ""7798008"", ""7926959"", ""7249337"", ""7493809""]",0.18181818181818177
1048871,zh-en,谁在bunkd中plays xander,"[""4146836""]","[""7840287"", ""577914"", ""7776982"", ""7259822"", ""7371165"", ""7798008"", ""7127124"", ""7926959"", ""8004401"", ""7541190""]",0.16666666666666663
1085775,zh-en,引导图像advantage什么联系将您带入深入,"[""7116157""]","[""7747672"", ""7625031"", ""7824998"", ""7181707"", ""7544412"", ""7463792"", ""7870186"", ""7666669"", ""6334116"", ""7493757""]",0.11111111111111116
884298,zh-en,哪些parameters会影响呼吸机的i : e比率,"[""7928696"", ""7928694""]","[""7185585"", ""7459302"", ""7963400"", ""8008925"", ""7515648"", ""7689607"", ""7866528"", ""7236285"", ""7148584"", ""1093699""]",0.11111111111111116
1097199,zh-en,一个女人有多少个eggs,"[""7433925""]","[""7840287"", ""3042404"", ""7193783"", ""7371165"", ""7259822"", ""7442703"", ""577914"", ""6258056"", ""7994609"", ""7251463""]",0.16666666666666663
