query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,es,¿Cuál es la relación matemática entre temperatura y volumen directa o inversa?,"[""7206684""]","[""7492132"", ""7305139"", ""7659466"", ""7206684"", ""1335588"", ""7671426"", ""7622515"", ""7702344"", ""7272695"", ""7537074""]",
1035645,es,cual es el nombre del castillo en rusia,"[""7208858""]","[""7208858"", ""7105678"", ""1878861"", ""7128290"", ""7085238"", ""7028429"", ""7619153"", ""7318694"", ""7826216"", ""7224927""]",
71029,es,¿Puede la enfermedad de Lyme causar foliculitis en perros?,"[""7670160""]","[""1033337"", ""7679596"", ""7455776"", ""663950"", ""7670160"", ""7676140"", ""7314613"", ""1623640"", ""3911362"", ""7112464""]",
1083836,es,¿Qué significa asegurado por fdic?,"[""1896608""]","[""1896608"", ""7595500"", ""7272684"", ""7695991"", ""450961"", ""7704366"", ""7211811"", ""7480666"", ""7581583"", ""7688312""]",
1058885,es,¿Qué está causando las constantes náuseas y arcadas secas?,"[""7170528""]","[""7533102"", ""382685"", ""7531239"", ""7512430"", ""7112652"", ""298259"", ""7980638"", ""570442"", ""7110876"", ""7113662""]",
1039189,es,¿Quién es la actriz del equipo visitante en la operación Star Trek Aniquilar?,"[""7805080""]","[""7789644"", ""7490735"", ""1086058"", ""7805080"", ""7290137"", ""7355808"", ""7239171"", ""7890349"", ""7899781"", ""7413724""]",
829562,es,¿Cuál es el objetivo principal de un partido político?,"[""3347905""]","[""3347905"", ""7100389"", ""1455862"", ""7830190"", ""991142"", ""7497486"", ""7216092"", ""7340037"", ""7926476"", ""4582296""]",
1055884,es,¿Quién fue el primer autor en utilizar la sociología en sus escritos?,"[""67588""]","[""7763743"", ""67588"", ""7082559"", ""7105483"", ""7907440"", ""7907439"", ""7257833"", ""7192480"", ""7200796"", ""7763140""]",
466830,es,"número de protones, neutrones y electrones en nitrógeno 14","[""7709283""]","[""7709283"", ""7080008"", ""3349239"", ""7158898"", ""7777896"", ""7867320"", ""7711538"", ""1433879"", ""7458932"", ""7100247""]",
1048871,es,quien interpreta a xander de bunkd,"[""4146836""]","[""4146836"", ""1663521"", ""7287518"", ""7124323"", ""7125360"", ""7812781"", ""7388391"", ""7138432"", ""7121598"", ""7769977""]",
1085775,es,¿Qué conexión aprovechan las imágenes guiadas para transportarte profundamente,"[""7116157""]","[""7116157"", ""7929939"", ""804081"", ""7717805"", ""7621537"", ""3166969"", ""7614573"", ""7125495"", ""7847075"", ""7984373""]",
884298,es,¿Qué parámetros afectan la relación i: e en los ventiladores?,"[""7928696"", ""7928694""]","[""7928694"", ""7239751"", ""7915135"", ""7985667"", ""7684288"", ""5268318"", ""7850889"", ""7403767"", ""7864191"", ""1782540""]",
1097199,es,¿Cuántos óvulos tiene una mujer?,"[""7433925""]","[""7433925"", ""7905618"", ""7255867"", ""7826945"", ""3556238"", ""7783998"", ""7583899"", ""6093010"", ""7992043"", ""110910""]",
950016,es,¿Cuándo es el horario de verano en Suiza?,"[""7754765""]","[""7754765"", ""7853910"", ""7601337"", ""256757"", ""166256"", ""7889379"", ""4484371"", ""7121801"", ""7236909"", ""73799""]",
337148,es,¿Qué edad debe tener su cachorro para recibir la vacuna contra la rabia?,"[""7389316""]","[""7389316"", ""7974596"", ""7700487"", ""7311939"", ""7076146"", ""7493757"", ""7312387"", ""609254"", ""7487520"", ""3041398""]",
