query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,zh-es,温度与volumen的正反数学关系是什么,"[""7206684""]","[""7555272"", ""7206684"", ""7492132"", ""7272695"", ""7659466"", ""7933971"", ""1094900"", ""7692857"", ""7672368"", ""1335588""]",0.11111111111111116
1035645,zh-es,俄罗斯的castillo叫什么名字,"[""7208858""]","[""7224927"", ""7292184"", ""7170513"", ""7835826"", ""7318694"", ""7728323"", ""7208858"", ""7531201"", ""7102315"", ""7774001""]",0.16666666666666663
71029,zh-es,莱姆病会导致perros的毛囊炎吗,"[""7670160""]","[""1163812"", ""1033337"", ""7113578"", ""7679596"", ""7996955"", ""7670160"", ""7421835"", ""7518921"", ""5764941"", ""7310262""]",0.1428571428571429
1083836,zh-es,fdic投保是什么significa ？,"[""1896608""]","[""1896608"", ""7375334"", ""4191529"", ""7308077"", ""7133583"", ""7146364"", ""7272684"", ""7455344"", ""7155638"", ""1159597""]",0.19999999999999996
1058885,zh-es,是什么导致了持续的干胀和arcadas secas,"[""7170528""]","[""5584747"", ""7531239"", ""5099300"", ""7465923"", ""7132300"", ""7550270"", ""588235"", ""298257"", ""7331086"", ""5440644""]",0.11111111111111116
1039189,zh-es,谁是星际迷航行动歼灭客队的actriz演员,"[""7805080""]","[""7983669"", ""1285360"", ""7383642"", ""7286801"", ""270380"", ""7355250"", ""7572869"", ""8005121"", ""7490735"", ""7824464""]",0.11111111111111116
829562,zh-es,政党的主要objetivo是什么？,"[""3347905""]","[""3347905"", ""2468148"", ""7284311"", ""7619857"", ""4582296"", ""7216092"", ""7211302"", ""7847593"", ""3703498"", ""7303848""]",0.16666666666666663
1055884,zh-es,谁是第一个在写作中utilizar社会学的作者,"[""67588""]","[""67588"", ""7943543"", ""7082559"", ""7763743"", ""7626410"", ""7626411"", ""8003099"", ""7466996"", ""7577963"", ""7810625""]",0.09999999999999998
466830,zh-es,氮中的质子数、 neutrones和电子数 14,"[""7709283""]","[""7709283"", ""7158898"", ""7080008"", ""7206592"", ""3349239"", ""7182995"", ""7977659"", ""7143675"", ""7458932"", ""7777896""]",0.18181818181818177
1048871,zh-es,谁在bunkd中interpreta xander,"[""4146836""]","[""4146836"", ""7305445"", ""7523450"", ""7888038"", ""7292304"", ""7477283"", ""7957869"", ""7294604"", ""7237217"", ""363824""]",0.16666666666666663
1085775,zh-es,guiadas图像利用什么conexión将您带入深入,"[""7116157""]","[""7116157"", ""7898048"", ""7333096"", ""2539432"", ""7026760"", ""7174315"", ""2753653"", ""7541371"", ""7929939"", ""7560881""]",0.2222222222222222
884298,zh-es,哪些参数会影响呼吸机的i : relación e,"[""7928696"", ""7928694""]","[""7928694"", ""7928696"", ""7684288"", ""7079907"", ""7773637"", ""7358221"", ""7864191"", ""7282481"", ""7861394"", ""7914307""]",0.11111111111111116
1097199,zh-es,一个mujer有多少个卵子,"[""7433925""]","[""7433792"", ""7433925"", ""7905618"", ""7623591"", ""7497935"", ""7833470"", ""7806346"", ""5730265"", ""7992043"", ""7446473""]",0.16666666666666663
950016,zh-es,suiza的夏令时是什么时候,"[""7754765""]","[""7754765"", ""7236525"", ""7121801"", ""7853910"", ""7550082"", ""256757"", ""166256"", ""7601337"", ""409338"", ""7856084""]",0.16666666666666663
337148,zh-es,你的小狗应该多大才能recibir狂犬病疫苗,"[""7389316""]","[""7389316"", ""7974596"", ""7311939"", ""7700487"", ""7187607"", ""7076146"", ""3654352"", ""7493757"", ""7492451"", ""609254""]",0.11111111111111116
733241,zh-es,什么被认为是vestimenta,"[""1699500""]","[""7089269"", ""7276521"", ""7874858"", ""7591449"", ""7165122"", ""7220483"", ""7951065"", ""7415019"", ""7429630"", ""7377418""]",0.19999999999999996
576898,zh-es,什么是最常发生的guerras,"[""7598385""]","[""7156492"", ""7452193"", ""7738141"", ""2246842"", ""7887814"", ""7253966"", ""7522099"", ""3429513"", ""92140"", ""960180""]",0.16666666666666663
617306,zh-es,什么缺乏会在指甲上produce白斑,"[""7502930""]","[""7502930"", ""7122052"", ""1903885"", ""7493514"", ""651395"", ""4696351"", ""480677"", ""7485124"", ""7132199"", ""7272453""]",0.125
1064470,zh-es,为什么huevos会变成褐色,"[""7728289""]","[""5558092"", ""7674001"", ""7150358"", ""7134569"", ""7442410"", ""7254580"", ""7728289"", ""7458144"", ""7901804"", ""4595237""]",0.19999999999999996
393696,zh-es,在texas申请成为经纪人需要什么要求,"[""7598745""]","[""7598745"", ""7645183"", ""7714548"", ""7514078"", ""7934632"", ""7531298"", ""7834912"", ""7508484"", ""176136"", ""7155303""]",0.125
992193,zh-es,谁创造了supervivencia apto的概念？查尔斯·达尔文卡尔·马克思赫伯特·斯宾塞马克斯·韦伯,"[""7280593""]","[""7280593"", ""4772781"", ""7217405"", ""7632291"", ""7956784"", ""7246550"", ""7122900"", ""7394614"", ""7796544"", ""7477026""]",0.0714285714285714
829915,zh-es,经父母同意，堪萨斯州的edad matrimonio是多少,"[""7787972""]","[""7787972"", ""7842038"", ""7535445"", ""7077987"", ""7913785"", ""7163851"", ""7115107"", ""7096140"", ""7245052"", ""7631719""]",0.125
987767,zh-es,罗伊摩尔con perdió 了谁,"[""7290624""]","[""7290624"", ""7793247"", ""7591713"", ""7283026"", ""2288280"", ""7932384"", ""7869733"", ""7952879"", ""7335515"", ""7990677""]",0.19999999999999996
299128,zh-es,每月多少单位的agua,"[""6720313""]","[""7776376"", ""7676610"", ""5486406"", ""7559612"", ""1425664"", ""7207291"", ""7464607"", ""7904969"", ""905234"", ""7529473""]",0.19999999999999996
