query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,es,¿Cuál es la relación matemática entre temperatura y volumen directa o inversa?,"[""7206684""]","[""7206684"", ""7272695"", ""7985667"", ""7742716"", ""7933971"", ""7692857"", ""2008909"", ""7217353"", ""7622515"", ""1335588""]",
1035645,es,cual es el nombre del castillo en rusia,"[""7208858""]","[""7208858"", ""7152404"", ""7105678"", ""7957524"", ""7548969"", ""7858842"", ""7028429"", ""7266832"", ""1878861"", ""7224927""]",
71029,es,¿Puede la enfermedad de Lyme causar foliculitis en perros?,"[""7670160""]","[""7670160"", ""7679596"", ""7837036"", ""7519478"", ""7500634"", ""7089741"", ""7676140"", ""7112464"", ""7452987"", ""7459302""]",
1083836,es,¿Qué significa asegurado por fdic?,"[""1896608""]","[""1896608"", ""7308077"", ""7133583"", ""4191529"", ""7679312"", ""7485202"", ""5786828"", ""7768641"", ""7795529"", ""7991251""]",
1058885,es,¿Qué está causando las constantes náuseas y arcadas secas?,"[""7170528""]","[""5584747"", ""7311549"", ""7531239"", ""7512430"", ""5830945"", ""7966808"", ""7375386"", ""7544889"", ""7481555"", ""4486381""]",
1039189,es,¿Quién es la actriz del equipo visitante en la operación Star Trek Aniquilar?,"[""7805080""]","[""7958566"", ""7125366"", ""5972440"", ""7124323"", ""7329333"", ""7983669"", ""1285360"", ""7762982"", ""7287434"", ""270380""]",
829562,es,¿Cuál es el objetivo principal de un partido político?,"[""3347905""]","[""3347905"", ""4582296"", ""2468148"", ""991142"", ""3353086"", ""7386744"", ""277634"", ""7521532"", ""1455862"", ""7880502""]",
1055884,es,¿Quién fue el primer autor en utilizar la sociología en sus escritos?,"[""67588""]","[""67588"", ""7435832"", ""7763743"", ""7907439"", ""8003099"", ""7482587"", ""7626411"", ""7917175"", ""7213343"", ""7257833""]",
466830,es,"número de protones, neutrones y electrones en nitrógeno 14","[""7709283""]","[""7709283"", ""7158898"", ""7080008"", ""7402796"", ""3349239"", ""7107654"", ""7674848"", ""7210335"", ""7777896"", ""7206592""]",
1048871,es,quien interpreta a xander de bunkd,"[""4146836""]","[""4146836"", ""7685704"", ""7646041"", ""7642657"", ""7806882"", ""7124323"", ""7927438"", ""7817663"", ""7286801"", ""7382065""]",
1085775,es,¿Qué conexión aprovechan las imágenes guiadas para transportarte profundamente,"[""7116157""]","[""7116157"", ""7333096"", ""7237531"", ""7188975"", ""7532949"", ""7449195"", ""7984373"", ""2753653"", ""7420401"", ""7895510""]",
884298,es,¿Qué parámetros afectan la relación i: e en los ventiladores?,"[""7928696"", ""7928694""]","[""7928694"", ""2038018"", ""7272695"", ""7619341"", ""7944469"", ""5420203"", ""7659466"", ""7557346"", ""7691361"", ""7558643""]",
1097199,es,¿Cuántos óvulos tiene una mujer?,"[""7433925""]","[""7433925"", ""7273604"", ""6093010"", ""7255867"", ""7783998"", ""7840105"", ""7315405"", ""7210214"", ""2743909"", ""7534069""]",
950016,es,¿Cuándo es el horario de verano en Suiza?,"[""7754765""]","[""7754765"", ""7410122"", ""7095708"", ""7853910"", ""7121801"", ""73799"", ""7236525"", ""7086985"", ""7214721"", ""7204196""]",
337148,es,¿Qué edad debe tener su cachorro para recibir la vacuna contra la rabia?,"[""7389316""]","[""7389316"", ""7076146"", ""609254"", ""7974596"", ""7700487"", ""7187607"", ""7311939"", ""7493757"", ""476664"", ""7492935""]",
733241,es,lo que se considera vestimenta,"[""1699500""]","[""7933515"", ""7597656"", ""7170449"", ""7171569"", ""2158081"", ""1699500"", ""7301118"", ""7555333"", ""7416894"", ""7084934""]",
576898,es,¿Cuáles son las guerras por las que se pelea más comúnmente?,"[""7598385""]","[""7742103"", ""7598385"", ""1798522"", ""7926327"", ""7234971"", ""7829864"", ""7389537"", ""7214220"", ""7924333"", ""7814471""]",
617306,es,que deficiencia produce mancha blanca en las uñas,"[""7502930""]","[""7502930"", ""7122052"", ""7132199"", ""1903885"", ""7493514"", ""7765651"", ""1783125"", ""7537844"", ""7459621"", ""3864104""]",
1064470,es,¿Por qué los huevos se vuelven marrones?,"[""7728289""]","[""7728289"", ""7510610"", ""7196833"", ""7442410"", ""7458144"", ""7967858"", ""7674001"", ""7431830"", ""7809143"", ""7254580""]",
393696,es,"en texas, qué requisitos se necesitan para postularse para convertirse en corredor","[""7598745""]","[""7598745"", ""7934632"", ""7073772"", ""7834912"", ""7394645"", ""7645183"", ""7395889"", ""7996617"", ""1623543"", ""7400428""]",
992193,es,¿Quién acuñó el concepto de supervivencia del más apto? charles darwin karl marx herbert spencer max weber,"[""7280593""]","[""7280593"", ""4772781"", ""7247765"", ""7138192"", ""7983669"", ""7371824"", ""7090935"", ""7855269"", ""7107894"", ""7170288""]",
829915,es,¿Cuál es la edad para contraer matrimonio en Kansas con el consentimiento de los padres?,"[""7787972""]","[""7787972"", ""7167740"", ""7900321"", ""7106774"", ""7358369"", ""5898158"", ""7962748"", ""7378072"", ""4586411"", ""7723393""]",
987767,es,con quien Roy Moore perdió,"[""7290624""]","[""7290624"", ""7591713"", ""7461249"", ""7138432"", ""7794880"", ""7335515"", ""4779212"", ""8003983"", ""7593959"", ""7724584""]",
299128,es,cuántas unidades de agua por mes,"[""6720313""]","[""7440310"", ""684240"", ""7073976"", ""7563235"", ""6720313"", ""2173490"", ""7461178"", ""7364600"", ""7424260"", ""7376730""]",
814132,es,cuál es el límite diario de sodio,"[""7951365""]","[""7951365"", ""714998"", ""7837801"", ""7567998"", ""2304767"", ""7623625"", ""7584484"", ""7187701"", ""7584607"", ""1460244""]",
874257,es,¿Qué recurso literario utiliza el autor para describir el atraco de johnny a los forasteros?,"[""7867405""]","[""7867405"", ""7768851"", ""7793907"", ""7187247"", ""7907059"", ""7156119"", ""7538644"", ""7424454"", ""7139509"", ""7679611""]",
868598,es,¿Qué notas necesitas para ser higienista dental?,"[""7743190""]","[""7360526"", ""7360530"", ""7743190"", ""7863564"", ""7944021"", ""7688776"", ""7545801"", ""7901950"", ""6348579"", ""7237870""]",
1071609,es,¿Por qué el ruido es un problema?,"[""7816796""]","[""7403659"", ""7816796"", ""7189738"", ""7583039"", ""7846533"", ""7110766"", ""7567728"", ""7383417"", ""1782540"", ""7675282""]",
663595,es,que genero es rob thomas,"[""7465375""]","[""7465375"", ""7689707"", ""7926880"", ""7422420"", ""7286222"", ""7733821"", ""2813821"", ""7303460"", ""7993644"", ""7124864""]",
1062203,es,¿Por qué Brad Pitt y Angelina Jolie se divorciaron?,"[""7569446""]","[""7569446"", ""7841583"", ""7864039"", ""7859734"", ""7339164"", ""1837502"", ""8004401"", ""7288390"", ""5404401"", ""7385663""]",
182644,es,ejemplos de síntomas de abstinencia de drogas,"[""7935405""]","[""7935405"", ""7615041"", ""7173651"", ""7742389"", ""7486505"", ""7486503"", ""8000498"", ""7299269"", ""4631846"", ""7333688""]",
931029,es,¿Cuál es el tamaño promedio de pepino?,"[""7812195""]","[""7812195"", ""1499955"", ""7277294"", ""7205329"", ""7594460"", ""7330021"", ""7344571"", ""4509893"", ""637822"", ""7360261""]",
924580,es,de que se hace el whisky de trigo,"[""7853738"", ""7853736""]","[""7853736"", ""7853738"", ""7511407"", ""7251041"", ""7451198"", ""708299"", ""7952234"", ""7893642"", ""7457630"", ""7986348""]",
837702,es,¿Qué es lo opuesto al helio?,"[""7799527""]","[""7799527"", ""7135073"", ""644710"", ""7191357"", ""7201584"", ""7257733"", ""4455147"", ""7154036"", ""680323"", ""1692450""]",
1033156,es,¿Cuál es el verdadero nombre del jefe maestro?,"[""7212940""]","[""7078555"", ""7212940"", ""5397150"", ""1285360"", ""7875397"", ""7445448"", ""7604764"", ""7776521"", ""3440388"", ""7090935""]",
1079185,es,¿Qué pasa cuando una corporación se disuelve y tiene deudas?,"[""53048""]","[""53048"", ""7091953"", ""7937329"", ""6417290"", ""3746862"", ""1664729"", ""7493987"", ""3242324"", ""7834328"", ""7274828""]",
171534,es,¿Algún automóvil usa aire acondicionado para ayudar a descongelar?,"[""7385189""]","[""7385189"", ""7211972"", ""7067759"", ""7861305"", ""7457418"", ""7154781"", ""7338336"", ""7544748"", ""7629794"", ""7256773""]",
838500,es,¿Cómo se llama la parte de tu brazo donde extraen sangre?,"[""4707882""]","[""4707882"", ""7222302"", ""538189"", ""7273634"", ""7855504"", ""7264072"", ""6140452"", ""7433530"", ""2554181"", ""1440644""]",
361285,es,cómo quitar la mancha de orina de gato de la alfombra,"[""7401706""]","[""7401706"", ""5270532"", ""7086688"", ""7588947"", ""7483017"", ""7134569"", ""7305308"", ""7539999"", ""5221292"", ""3178082""]",
1074603,es,por qué usar videos para marketing y promociones,"[""7845422""]","[""7845422"", ""7966136"", ""7333378"", ""7544522"", ""7659801"", ""7827847"", ""7388532"", ""7826615"", ""7078112"", ""7424207""]",
931783,es,¿Cuál es la diferencia entre la autoimagen y el autoconcepto?,"[""7830900""]","[""7830900"", ""7164081"", ""613787"", ""7621537"", ""537325"", ""7294698"", ""7184269"", ""7087956"", ""7104622"", ""7330386""]",
1096025,es,¿Cuánto paga el estado a las enfermeras en md?,"[""7541711""]","[""7541711"", ""7195763"", ""363604"", ""6584729"", ""7195729"", ""7658002"", ""7959134"", ""7463865"", ""7330443"", ""6402024""]",
1037612,es,cual es la longitud de un armadillo,"[""7205573""]","[""7205573"", ""7374886"", ""7342561"", ""7741773"", ""7718257"", ""7383364"", ""7360261"", ""5264767"", ""7832435"", ""7601989""]",
1004565,es,¿Cuándo comienza el festival de comida y vino en epcot?,"[""7255591""]","[""7255591"", ""7375794"", ""7813102"", ""7555831"", ""7256698"", ""7889800"", ""7980047"", ""7856084"", ""7226856"", ""7089413""]",
630172,es,¿Qué significa un anillo en el dedo medio?,"[""7469958""]","[""7469958"", ""703196"", ""7830330"", ""7473991"", ""7088781"", ""7662030"", ""7534457"", ""7091675"", ""7894150"", ""7523816""]",
650157,es,¿Qué dice la expresión eres un buen huevo?,"[""7453899""]","[""7453899"", ""7461753"", ""2000768"", ""7523816"", ""7435397"", ""7127313"", ""7772009"", ""7728289"", ""7534457"", ""7879145""]",
1031761,es,cual es la estructura de una cola de caballo,"[""7215190""]","[""7436902"", ""7215190"", ""7771248"", ""7155236"", ""7632606"", ""772912"", ""7275572"", ""7621340"", ""7760497"", ""7830210""]",
339855,es,¿Qué tan pronto debe un empleado informar una lesión en Michigan?,"[""7359547""]","[""7359547"", ""7399340"", ""7445050"", ""7326330"", ""7889577"", ""7446731"", ""7928070"", ""7069832"", ""7420870"", ""7354280""]",
1006724,es,¿Cuándo fue el día de la independencia de Tailandia?,"[""7252753""]","[""7252753"", ""7253793"", ""621218"", ""67027"", ""6794229"", ""7802832"", ""7739212"", ""4110699"", ""7257327"", ""4110696""]",
411367,es,¿Google está bloqueado en China?,"[""7633642""]","[""7633642"", ""7418884"", ""7244307"", ""7406136"", ""7846219"", ""7530381"", ""7966136"", ""7436153"", ""7993617"", ""7740986""]",
839488,es,cuál es el plural de colinabos,"[""7866009""]","[""7866009"", ""7498300"", ""7463950"", ""7430397"", ""8006334"", ""7163754"", ""7600339"", ""7119331"", ""7460218"", ""7442647""]",
1087202,es,¿Cuáles son los síntomas de un nivel bajo de sangre?,"[""7103722""]","[""7449503"", ""7273847"", ""7050492"", ""7949214"", ""7960384"", ""7657649"", ""7991336"", ""7855509"", ""504365"", ""7979212""]",
1058513,es,para que se usa el dojo de clase,"[""7171329""]","[""7171329"", ""7743723"", ""7979516"", ""7088855"", ""7073849"", ""7987107"", ""7917896"", ""7802764"", ""7154959"", ""7711528""]",
1054949,es,que es amigos de la biblioteca,"[""7177052""]","[""7177052"", ""7852802"", ""7217535"", ""7482587"", ""7832158"", ""7426703"", ""7601435"", ""3394797"", ""7943828"", ""7794580""]",
190380,es,alimentos para mantener sanas las encías,"[""5092256""]","[""5092256"", ""7369648"", ""7490179"", ""7124035"", ""2445156"", ""7237870"", ""3308241"", ""7126956"", ""7411168"", ""7657012""]",
739554,es,cual es la diferencia entre comprender y captar,"[""7456010"", ""7044609""]","[""7456010"", ""7199649"", ""7973043"", ""7506157"", ""7933299"", ""7119756"", ""7044609"", ""7570527"", ""7699648"", ""7157246""]",
1059812,es,cuya cara está en el dinero,"[""7290835""]","[""7843298"", ""7769264"", ""7577926"", ""7134066"", ""7098904"", ""7634850"", ""7251677"", ""7919552"", ""7831820"", ""1896608""]",
1071161,es,¿Qué es una estrategia larga en finanzas?,"[""7157744""]","[""7157744"", ""7601275"", ""7100389"", ""4440198"", ""7961816"", ""7830190"", ""7108763"", ""616123"", ""7604072"", ""8001682""]",
69065,es,¿Puedo obtener mis placas con un permiso de conducir?,"[""7392067""]","[""7392067"", ""7097756"", ""7127124"", ""7822970"", ""7140416"", ""7289632"", ""7257114"", ""7822971"", ""7475740"", ""7125089""]",
831034,es,¿Cuál es el significado de fruta cuando se refiere a cualquier planta con flores?,"[""2077415""]","[""2077415"", ""7662692"", ""7501202"", ""7255023"", ""7484648"", ""7836035"", ""7573119"", ""7463281"", ""7406770"", ""7100183""]",
1002373,es,¿Dónde fue para tus ojos solo filmado?,"[""7747666""]","[""7747666"", ""7815183"", ""6541514"", ""4593851"", ""7262837"", ""7272184"", ""2890756"", ""2974385"", ""7815180"", ""7225891""]",
609707,es,¿En qué condado está Montello?,"[""7690114""]","[""7690114"", ""2208454"", ""7661663"", ""7817457"", ""2133472"", ""7650402"", ""7413431"", ""7871773"", ""7725264"", ""7714348""]",
393420,es,en la historia que es una esfera de influencia,"[""7689572""]","[""7689572"", ""7783985"", ""7090117"", ""7216788"", ""7149396"", ""7082559"", ""7728501"", ""7328764"", ""7281430"", ""7366591""]",
1084596,es,¿Qué necesitas para las etiquetas en el coche?,"[""7126829""]","[""7126829"", ""7362618"", ""7176630"", ""7960849"", ""7132332"", ""450426"", ""7550490"", ""7389973"", ""7549294"", ""7822970""]",
1041656,es,¿Cuál es la definición de beca en ayuda financiera?,"[""7199394""]","[""7199394"", ""7142823"", ""7145341"", ""1982266"", ""7193960"", ""7802155"", ""7990137"", ""1150114"", ""7859593"", ""7526239""]",
1097283,es,¿Cuántos días pasó el rey en la cárcel por protestar en Birmingham?,"[""7426908""]","[""7426908"", ""7856053"", ""7498046"", ""7497729"", ""2252799"", ""7368942"", ""7870634"", ""7247449"", ""7895995"", ""7947373""]",
