query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,zh-es,温度与volumen的正反数学关系是什么,"[""7206684""]","[""7272695"", ""7944469"", ""7217353"", ""7305462"", ""7305139"", ""7742716"", ""7492132"", ""2038018"", ""1594997"", ""7671426""]",0.11111111111111116
1035645,zh-es,俄罗斯的castillo叫什么名字,"[""7208858""]","[""7208858"", ""7355625"", ""7170513"", ""7208666"", ""6086617"", ""7944865"", ""7248489"", ""7548969"", ""7727353"", ""7224927""]",0.16666666666666663
71029,zh-es,莱姆病会导致perros的毛囊炎吗,"[""7670160""]","[""7120060"", ""7656104"", ""7679596"", ""7903633"", ""7089741"", ""7996955"", ""7644371"", ""7983115"", ""7493839"", ""7677230""]",0.1428571428571429
1083836,zh-es,fdic投保是什么significa ？,"[""1896608""]","[""1896608"", ""7308077"", ""7595500"", ""7151874"", ""7230736"", ""7990660"", ""7679312"", ""7531532"", ""7871824"", ""7115765""]",0.19999999999999996
1058885,zh-es,是什么导致了持续的干胀和arcadas secas,"[""7170528""]","[""7531239"", ""5584747"", ""7934197"", ""7325629"", ""7980638"", ""7409612"", ""5830945"", ""298259"", ""3326733"", ""7547622""]",0.11111111111111116
1039189,zh-es,谁是星际迷航行动歼灭客队的actriz演员,"[""7805080""]","[""7795356"", ""7331425"", ""7355808"", ""7983669"", ""7844560"", ""7125366"", ""7383399"", ""7612172"", ""7329333"", ""7289730""]",0.11111111111111116
829562,zh-es,政党的主要objetivo是什么？,"[""3347905""]","[""7846219"", ""7159064"", ""3347905"", ""7824897"", ""7871824"", ""7174601"", ""7216092"", ""7386744"", ""7690897"", ""1557854""]",0.16666666666666663
1055884,zh-es,谁是第一个在写作中utilizar社会学的作者,"[""67588""]","[""7763743"", ""7280593"", ""7242879"", ""7541544"", ""7787203"", ""7618484"", ""7435832"", ""7681560"", ""7341001"", ""7886668""]",0.09999999999999998
466830,zh-es,氮中的质子数、 neutrones和电子数 14,"[""7709283""]","[""7709283"", ""7080008"", ""7674848"", ""7107654"", ""3349239"", ""7158898"", ""7402796"", ""7143675"", ""7867320"", ""1718067""]",0.18181818181818177
1048871,zh-es,谁在bunkd中interpreta xander,"[""4146836""]","[""7291425"", ""4146836"", ""7806882"", ""7927438"", ""7355625"", ""7290399"", ""7938563"", ""7213206"", ""7382065"", ""7387422""]",0.16666666666666663
1085775,zh-es,guiadas图像利用什么conexión将您带入深入,"[""7116157""]","[""7188975"", ""7237531"", ""7116157"", ""7339731"", ""7752264"", ""7456010"", ""7938563"", ""7329577"", ""7244486"", ""7153849""]",0.2222222222222222
884298,zh-es,哪些参数会影响呼吸机的i : relación e,"[""7928696"", ""7928694""]","[""7928694"", ""7079907"", ""7205001"", ""7104769"", ""7431953"", ""7804442"", ""7209206"", ""7558643"", ""7379651"", ""7268557""]",0.11111111111111116
1097199,zh-es,一个mujer有多少个卵子,"[""7433925""]","[""7433925"", ""7806346"", ""7360261"", ""7713961"", ""7846964"", ""7433792"", ""7273604"", ""2263573"", ""7534069"", ""7107740""]",0.16666666666666663
950016,zh-es,suiza的夏令时是什么时候,"[""7754765""]","[""7754765"", ""7095708"", ""7410122"", ""7936377"", ""7597092"", ""7121801"", ""7214721"", ""7270281"", ""7676121"", ""7086985""]",0.16666666666666663
337148,zh-es,你的小狗应该多大才能recibir狂犬病疫苗,"[""7389316""]","[""7389316"", ""7076146"", ""7312387"", ""7700487"", ""7846964"", ""609254"", ""7974596"", ""7187607"", ""7311939"", ""7757063""]",0.11111111111111116
733241,zh-es,什么被认为是vestimenta,"[""1699500""]","[""7933515"", ""7970167"", ""7577342"", ""7628671"", ""7074329"", ""4938301"", ""7618413"", ""2158081"", ""7901694"", ""5572723""]",0.19999999999999996
576898,zh-es,什么是最常发生的guerras,"[""7598385""]","[""7566190"", ""7214220"", ""7926327"", ""7628825"", ""7146913"", ""7331285"", ""7081759"", ""7412330"", ""7924333"", ""7829864""]",0.16666666666666663
617306,zh-es,什么缺乏会在指甲上produce白斑,"[""7502930""]","[""7502930"", ""7122052"", ""7712580"", ""1903885"", ""7107443"", ""7451812"", ""5453234"", ""436085"", ""1033337"", ""7765651""]",0.125
1064470,zh-es,为什么huevos会变成褐色,"[""7728289""]","[""7728289"", ""7461753"", ""7510610"", ""7365553"", ""7140296"", ""7328076"", ""7100726"", ""7809028"", ""7518306"", ""7295767""]",0.19999999999999996
393696,zh-es,在texas申请成为经纪人需要什么要求,"[""7598745""]","[""7598745"", ""7714548"", ""7531298"", ""7073772"", ""7645183"", ""7400428"", ""7394645"", ""7384736"", ""7996617"", ""7543353""]",0.125
992193,zh-es,谁创造了supervivencia apto的概念？查尔斯·达尔文卡尔·马克思赫伯特·斯宾塞马克斯·韦伯,"[""7280593""]","[""7280593"", ""7868423"", ""7138192"", ""7983669"", ""7850889"", ""7294698"", ""1125992"", ""7242879"", ""7552032"", ""7090935""]",0.0714285714285714
829915,zh-es,经父母同意，堪萨斯州的edad matrimonio是多少,"[""7787972""]","[""7330079"", ""7787972"", ""5385380"", ""7796475"", ""7358369"", ""7508806"", ""7871824"", ""7221882"", ""7559824"", ""1416712""]",0.125
