query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,en,what is the mathematical relationship between temperature and volume direct or inverse,"[""7206684""]","[""7622515"", ""7206684"", ""7659466"", ""7305139"", ""7692857"", ""7527060"", ""7492132"", ""7150615"", ""7422548"", ""7933971""]",
1035645,en,what is the name of the castle in russia,"[""7208858""]","[""7208858"", ""7105678"", ""7152404"", ""7396043"", ""1878861"", ""7028429"", ""7128290"", ""7085238"", ""7858842"", ""7619153""]",
71029,en,can lyme disease cause folliculitis in dogs,"[""7670160""]","[""7452987"", ""7670160"", ""7089741"", ""7837036"", ""663950"", ""7455776"", ""7649705"", ""1033337"", ""7679596"", ""7112464""]",
1083836,en,what does fdic insured mean?,"[""1896608""]","[""1896608"", ""7704366"", ""4191529"", ""7595500"", ""7148904"", ""7240277"", ""7272684"", ""7962108"", ""7688312"", ""7418684""]",
1058885,en,what is causing the constant dry heaving and nausea,"[""7170528""]","[""7531239"", ""382685"", ""7966808"", ""764872"", ""7112652"", ""5584747"", ""1979597"", ""7325629"", ""7082042"", ""7512430""]",
1039189,en,who is the actress on the away team in star trek operation annihilate,"[""7805080""]","[""7805080"", ""7239171"", ""7329333"", ""7258217"", ""3909183"", ""7327050"", ""4783316"", ""7490735"", ""7847456"", ""1016839""]",
829562,en,what is the main purpose of a political party?,"[""3347905""]","[""3347905"", ""4582296"", ""991142"", ""1455862"", ""7926476"", ""2468148"", ""8005523"", ""3353086"", ""7216092"", ""7624848""]",
1055884,en,who was the first author to use sociology in their writing,"[""67588""]","[""7763743"", ""67588"", ""7763140"", ""7907440"", ""8003099"", ""67596"", ""7257833"", ""7105483"", ""7200796"", ""7318902""]",
466830,en,number of protons neutrons and electrons in nitrogen 14,"[""7709283""]","[""7709283"", ""7158898"", ""3349239"", ""7080008"", ""7929230"", ""7696612"", ""7240603"", ""7458932"", ""7860609"", ""7674848""]",
1048871,en,who plays xander from bunkd,"[""4146836""]","[""4146836"", ""7124323"", ""7286801"", ""7888038"", ""7121598"", ""7877828"", ""7287518"", ""7764195"", ""7769977"", ""7623838""]",
1085775,en,what connection does guided imagery take advantage of to transport you deep into,"[""7116157""]","[""7116157"", ""7929939"", ""7309353"", ""7621537"", ""7943897"", ""7147226"", ""7150228"", ""7614573"", ""7437141"", ""7160361""]",
884298,en,what parameters effect i:e ratio on ventilators,"[""7928696"", ""7928694""]","[""7928694"", ""7998086"", ""7272695"", ""7358221"", ""7196268"", ""7601434"", ""7339480"", ""7493532"", ""7215725"", ""7542623""]",
1097199,en,how many eggs do does a woman have,"[""7433925""]","[""7433925"", ""7433792"", ""7695522"", ""7196833"", ""7771662"", ""7728289"", ""233414"", ""7773479"", ""7510610"", ""4291627""]",
