query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,zh-en,温度与体积的正反mathematical relationship是什么,"[""7206684""]","[""7206684"", ""7379549"", ""7272695"", ""7555272"", ""7235859"", ""7906797"", ""7492132"", ""7933971"", ""7566992"", ""1335588""]",0.2222222222222222
1035645,zh-en,俄罗斯的城堡叫什么name,"[""7208858""]","[""7208858"", ""7152404"", ""1878861"", ""7858842"", ""7266832"", ""7028429"", ""7292184"", ""7105678"", ""7851318"", ""7730364""]",0.16666666666666663
71029,zh-en,莱姆病会导致dogs的毛囊炎吗,"[""7670160""]","[""7679596"", ""1033337"", ""7670160"", ""7455776"", ""7112464"", ""7452987"", ""7519478"", ""378086"", ""1163812"", ""7795418""]",0.1428571428571429
1083836,zh-en,fdic insured是什么意思？,"[""1896608""]","[""4191529"", ""1896608"", ""7146364"", ""7679312"", ""7828735"", ""7272684"", ""7991251"", ""7133583"", ""7397248"", ""7418684""]",0.19999999999999996
1058885,zh-en,是什么causing了持续的干胀和恶心,"[""7170528""]","[""7966808"", ""7966804"", ""7205952"", ""7533102"", ""764872"", ""7113289"", ""7641338"", ""7953859"", ""7067829"", ""1852257""]",0.11111111111111116
1039189,zh-en,谁是星际迷航行动歼灭team的女演员,"[""7805080""]","[""7239171"", ""7789644"", ""7287434"", ""7125366"", ""7490735"", ""7789933"", ""7329333"", ""5159723"", ""7290137"", ""1757350""]",0.11111111111111116
829562,zh-en,政党的主要purpose是什么？,"[""3347905""]","[""3347905"", ""4582296"", ""2468148"", ""7216092"", ""3353086"", ""7619153"", ""7626357"", ""7847593"", ""7144521"", ""7926476""]",0.16666666666666663
1055884,zh-en,谁是第一个在writing中使用社会学的作者,"[""67588""]","[""7763743"", ""67588"", ""7082559"", ""7435832"", ""7466996"", ""7087904"", ""7934813"", ""1944772"", ""8003099"", ""7914330""]",0.09999999999999998
466830,zh-en,氮中的质子数、中子数和electrons 14,"[""7709283""]","[""7709283"", ""7158898"", ""7491456"", ""3349239"", ""7777896"", ""7080008"", ""7402796"", ""7107654"", ""7795446"", ""7458932""]",0.18181818181818177
1048871,zh-en,谁在bunkd中plays xander,"[""4146836""]","[""4146836"", ""7764195"", ""7880839"", ""7124323"", ""7888038"", ""7412017"", ""7889259"", ""4439219"", ""7290260"", ""7762982""]",0.16666666666666663
1085775,zh-en,引导图像advantage什么联系将您带入深入,"[""7116157""]","[""7116157"", ""7221273"", ""7697378"", ""5170594"", ""7333096"", ""7150228"", ""7178887"", ""7141415"", ""7677736"", ""7898048""]",0.11111111111111116
