query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,zh,温度与体积的正反数学关系是什么,"[""7206684""]","[""7206684"", ""1335588"", ""7659466"", ""7492132"", ""7229862"", ""7165807"", ""7933971"", ""7527060"", ""7213490"", ""7692857""]",
1035645,zh,俄罗斯的城堡叫什么名字,"[""7208858""]","[""7208858"", ""7105678"", ""1878861"", ""7858842"", ""7318694"", ""7028429"", ""7152404"", ""7224927"", ""7128290"", ""7085238""]",
71029,zh,莱姆病会导致狗的毛囊炎吗,"[""7670160""]","[""7670160"", ""7679596"", ""1033337"", ""7455776"", ""7314613"", ""8001916"", ""7089741"", ""1163812"", ""7112464"", ""663950""]",
1083836,zh,fdic 投保是什么意思？,"[""1896608""]","[""1896608"", ""7308077"", ""7363414"", ""7204812"", ""7133583"", ""7704366"", ""7679312"", ""7695991"", ""7272684"", ""7606531""]",
1058885,zh,是什么导致了持续的干胀和恶心,"[""7170528""]","[""5584747"", ""7966808"", ""298259"", ""7512430"", ""7531239"", ""5099300"", ""7325629"", ""298257"", ""7237598"", ""7980638""]",
1039189,zh,谁是星际迷航行动歼灭客队的女演员,"[""7805080""]","[""7805080"", ""7355808"", ""7287434"", ""7239171"", ""7490735"", ""7950004"", ""7890349"", ""7290137"", ""7847456"", ""7285210""]",
829562,zh,政党的主要目的是什么？,"[""3347905""]","[""3347905"", ""7216092"", ""4582296"", ""7926476"", ""7830190"", ""2468148"", ""7100389"", ""991142"", ""7245877"", ""1455862""]",
1055884,zh,谁是第一个在写作中使用社会学的作者,"[""67588""]","[""7763743"", ""67588"", ""7213343"", ""7105483"", ""7082559"", ""7907440"", ""7763140"", ""7254447"", ""7192480"", ""67596""]",
466830,zh,氮中的质子数、中子数和电子数 14,"[""7709283""]","[""7709283"", ""7158898"", ""7080008"", ""7777896"", ""3349239"", ""7929230"", ""7674848"", ""7206592"", ""7249833"", ""7100247""]",
1048871,zh,谁在 bunkd 中扮演 xander,"[""4146836""]","[""4146836"", ""7124323"", ""7287518"", ""7388391"", ""7769977"", ""7877828"", ""1663521"", ""7490252"", ""7888038"", ""7412014""]",
1085775,zh,引导图像利用什么联系将您带入深入,"[""7116157""]","[""7116157"", ""7717805"", ""7150228"", ""7919768"", ""7929939"", ""7204388"", ""751120"", ""7621537"", ""7511266"", ""7160361""]",
884298,zh,哪些参数会影响呼吸机的 i:e 比率,"[""7928696"", ""7928694""]","[""7928694"", ""7239751"", ""7684288"", ""7915135"", ""7558643"", ""7081906"", ""5268318"", ""7349096"", ""7828466"", ""7268557""]",
1097199,zh,一个女人有多少个卵子,"[""7433925""]","[""7433925"", ""7210214"", ""7433792"", ""7992043"", ""7833470"", ""7255867"", ""6093010"", ""7583899"", ""7783998"", ""6893630""]",
950016,zh,瑞士的夏令时是什么时候,"[""7754765""]","[""7754765"", ""7853910"", ""7889379"", ""256757"", ""7236525"", ""166256"", ""7121801"", ""4484371"", ""73799"", ""7236909""]",
337148,zh,你的小狗应该多大才能接种狂犬病疫苗,"[""7389316""]","[""7389316"", ""7700487"", ""7974596"", ""7311939"", ""7076146"", ""609254"", ""7187607"", ""7493757"", ""7678643"", ""7492451""]",
733241,zh,什么被认为是着装,"[""1699500""]","[""7933515"", ""7069399"", ""7170449"", ""7766841"", ""7088122"", ""7105762"", ""7736154"", ""7857342"", ""7647619"", ""3900009""]",
576898,zh,什么是最常发生的战争,"[""7598385""]","[""7214220"", ""7234971"", ""2679413"", ""7509051"", ""7628825"", ""7145485"", ""7554646"", ""7814471"", ""3149452"", ""3429513""]",
617306,zh,什么缺乏会在指甲上产生白斑,"[""7502930""]","[""7502930"", ""7122052"", ""7459621"", ""7493514"", ""7132199"", ""3864104"", ""480677"", ""5006012"", ""7493507"", ""1903885""]",
1064470,zh,为什么鸡蛋会变成褐色,"[""7728289""]","[""7728289"", ""1501464"", ""7399071"", ""7510610"", ""7332142"", ""7380886"", ""7105534"", ""7413320"", ""7383191"", ""5558092""]",
393696,zh,在德克萨斯州申请成为经纪人需要什么要求,"[""7598745""]","[""7598745"", ""7996617"", ""7645183"", ""7585034"", ""7934632"", ""7394645"", ""7155303"", ""7916888"", ""7098122"", ""7288044""]",
992193,zh,谁创造了适者生存的概念？查尔斯·达尔文卡尔·马克思赫伯特·斯宾塞马克斯·韦伯,"[""7280593""]","[""7280593"", ""4772781"", ""7107894"", ""7435832"", ""7257833"", ""7902044"", ""7192730"", ""7773767"", ""7939189"", ""7276511""]",
829915,zh,经父母同意，堪萨斯州的结婚年龄是多少,"[""7787972""]","[""7787972"", ""7167740"", ""7811094"", ""7900321"", ""7234193"", ""7358369"", ""5898158"", ""3799029"", ""7996617"", ""7274439""]",
987767,zh,罗伊摩尔输给了谁,"[""7290624""]","[""7290624"", ""7281607"", ""7645327"", ""7990677"", ""7942709"", ""7675084"", ""3135398"", ""7729438"", ""7891619"", ""7299410""]",
299128,zh,每月多少单位的水,"[""6720313""]","[""7096348"", ""2173490"", ""7776376"", ""1987259"", ""7475458"", ""7249833"", ""7586539"", ""7073976"", ""7440310"", ""7376730""]",
814132,zh,什么是每日钠限量,"[""7951365""]","[""714998"", ""7951365"", ""7837801"", ""7567998"", ""7584607"", ""7595065"", ""1460244"", ""7568006"", ""7617550"", ""1738230""]",
874257,zh,作者用什么文学手法来描述约翰尼抢劫局外人的行为,"[""7867405""]","[""7867405"", ""7547152"", ""7778543"", ""7180593"", ""7433620"", ""7253822"", ""7125373"", ""7204388"", ""7889259"", ""7844736""]",
868598,zh,你需要什么样的成绩才能成为一名牙科保健员,"[""7743190""]","[""7360526"", ""7360530"", ""7743190"", ""6348579"", ""7863564"", ""7944021"", ""7583542"", ""882642"", ""553068"", ""7697136""]",
1071609,zh,为什么噪音是个问题,"[""7816796""]","[""7816796"", ""433444"", ""1945418"", ""8000550"", ""7747072"", ""1011107"", ""5561579"", ""7087019"", ""7325759"", ""1418283""]",
663595,zh,罗伯·托马斯是什么类型的,"[""7465375""]","[""7465375"", ""7575496"", ""7733821"", ""7689707"", ""2813821"", ""7942709"", ""7586385"", ""7259308"", ""7270991"", ""7745216""]",
1062203,zh,为什么布拉德皮特和安吉丽娜朱莉离婚,"[""7569446""]","[""7569446"", ""7864039"", ""7946505"", ""489053"", ""7307861"", ""8004401"", ""7859734"", ""7229591"", ""7339164"", ""7761850""]",
182644,zh,药物戒断症状的例子,"[""7935405""]","[""7935405"", ""7486503"", ""7173651"", ""7486505"", ""7615041"", ""7135691"", ""7299269"", ""7742389"", ""7619606"", ""588235""]",
931029,zh,黄瓜的平均大小是多少,"[""7812195""]","[""7812195"", ""7563950"", ""7574941"", ""7926351"", ""7460416"", ""5563326"", ""7836035"", ""7767836"", ""5264767"", ""6434120""]",
924580,zh,什么威士忌是由小麦制成的,"[""7853738"", ""7853736""]","[""7853736"", ""7853738"", ""7109056"", ""1676911"", ""708299"", ""7893642"", ""6762494"", ""7077056"", ""6666760"", ""7511407""]",
837702,zh,氦的反义词是什么,"[""7799527""]","[""7799527"", ""7201584"", ""644710"", ""7135073"", ""7191357"", ""7241709"", ""2988522"", ""7696617"", ""7687142"", ""7154036""]",
1033156,zh,大酋长的真名是什么,"[""7212940""]","[""7219802"", ""7875397"", ""7870510"", ""7118597"", ""5669982"", ""7316885"", ""7178393"", ""7769167"", ""7759701"", ""7531751""]",
1079185,zh,当公司解散并负债时会发生什么？,"[""53048""]","[""53048"", ""3592709"", ""6417290"", ""7397256"", ""7282233"", ""7150528"", ""7883166"", ""7173266"", ""7108043"", ""7934197""]",
171534,zh,有些汽车使用空调来帮助除霜吗,"[""7385189""]","[""7385189"", ""7211972"", ""7079467"", ""7067759"", ""7234031"", ""7727772"", ""7082868"", ""7960849"", ""7629794"", ""7215725""]",
838500,zh,你手臂上抽血的部位叫什么,"[""4707882""]","[""7561515"", ""4707882"", ""7630376"", ""538189"", ""2554181"", ""7979212"", ""7242222"", ""7342775"", ""7222302"", ""7273634""]",
361285,zh,如何去除地毯上的猫尿渍,"[""7401706""]","[""7401706"", ""7990241"", ""7072465"", ""7072462"", ""7801159"", ""8000759"", ""7483017"", ""7305308"", ""8003714"", ""7273555""]",
1074603,zh,为什么使用视频进行营销和促销,"[""7845422""]","[""7845422"", ""7544522"", ""7388532"", ""613301"", ""7716079"", ""7966136"", ""1721389"", ""7826615"", ""7173082"", ""7026760""]",
931783,zh,自我形象和自我概念有什么区别,"[""7830900""]","[""7164081"", ""7830900"", ""7192480"", ""7410315"", ""7610795"", ""7682652"", ""7890507"", ""7104622"", ""7447985"", ""7696309""]",
1096025,zh,国家在 md 支付护士多少钱,"[""7541711""]","[""7541711"", ""363604"", ""7447492"", ""7195763"", ""7463865"", ""7813505"", ""7356987"", ""7651144"", ""7658002"", ""7195729""]",
1037612,zh,犰狳的长度是多少,"[""7205573""]","[""5264767"", ""2020327"", ""7699906"", ""7316885"", ""7856019"", ""4969080"", ""7205573"", ""7307069"", ""7722088"", ""7817084""]",
1004565,zh,epcot的美食美酒节什么时候开始,"[""7255591""]","[""7255591"", ""7375794"", ""7402685"", ""7469470"", ""7848037"", ""7945856"", ""7503570"", ""7194638"", ""7828130"", ""7506243""]",
630172,zh,中指戴戒指是什么意思？,"[""7469958""]","[""7469958"", ""7830330"", ""703196"", ""7473991"", ""7279696"", ""671404"", ""7334427"", ""7534457"", ""7369049"", ""2844975""]",
650157,zh,你是个好蛋的表情是什么,"[""7453899""]","[""7453899"", ""7310898"", ""7430397"", ""7984355"", ""7390980"", ""7776937"", ""7430396"", ""7215521"", ""7125270"", ""7866833""]",
1031761,zh,马尾的结构是什么,"[""7215190""]","[""7436902"", ""7215190"", ""7155236"", ""7512964"", ""7909027"", ""7504350"", ""7107740"", ""7500629"", ""7474106"", ""7311549""]",
339855,zh,在密歇根州，员工多久必须报告受伤情况,"[""7359547""]","[""7359547"", ""2911180"", ""4180526"", ""7940035"", ""5576300"", ""297647"", ""7994463"", ""7877769"", ""7399340"", ""7445050""]",
