query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,en,what is the mathematical relationship between temperature and volume direct or inverse,"[""7206684""]","[""7305462"", ""7492132"", ""7566992"", ""7165807"", ""7206684"", ""1335588"", ""2038018"", ""7082136"", ""7672368"", ""7217353""]",
1035645,en,what is the name of the castle in russia,"[""7208858""]","[""7208858"", ""7318694"", ""7396043"", ""7292184"", ""7152404"", ""7105678"", ""7698439"", ""7942489"", ""7858842"", ""7254922""]",
71029,en,can lyme disease cause folliculitis in dogs,"[""7670160""]","[""7795418"", ""7455776"", ""7312387"", ""7112464"", ""1033337"", ""7801066"", ""4436062"", ""7670160"", ""7679596"", ""7809224""]",
1083836,en,what does fdic insured mean?,"[""1896608""]","[""1896608"", ""1159597"", ""7856336"", ""7688312"", ""7375334"", ""7145016"", ""7141089"", ""6288453"", ""7133842"", ""7148904""]",
1058885,en,what is causing the constant dry heaving and nausea,"[""7170528""]","[""7399600"", ""7139764"", ""7183848"", ""7531239"", ""7067829"", ""382685"", ""7113662"", ""7103054"", ""7199795"", ""7168941""]",
1039189,en,who is the actress on the away team in star trek operation annihilate,"[""7805080""]","[""7327050"", ""7305571"", ""270380"", ""8005121"", ""7490735"", ""7125366"", ""7290137"", ""4212829"", ""7239171"", ""7971544""]",
829562,en,what is the main purpose of a political party?,"[""3347905""]","[""3347905"", ""991142"", ""7318768"", ""7216092"", ""381174"", ""7164845"", ""7505041"", ""2371093"", ""277634"", ""7105895""]",
1055884,en,who was the first author to use sociology in their writing,"[""67588""]","[""7763743"", ""7082559"", ""7474496"", ""67588"", ""145831"", ""7626411"", ""7466996"", ""7435832"", ""7068066"", ""7593959""]",
466830,en,number of protons neutrons and electrons in nitrogen 14,"[""7709283""]","[""7709283"", ""7080008"", ""7158898"", ""7206592"", ""3349239"", ""7977659"", ""7210335"", ""7495648"", ""7965476"", ""7201997""]",
1048871,en,who plays xander from bunkd,"[""4146836""]","[""4146836"", ""7888038"", ""7412014"", ""7858559"", ""7292304"", ""7382065"", ""7872329"", ""7971544"", ""7124323"", ""7213206""]",
1085775,en,what connection does guided imagery take advantage of to transport you deep into,"[""7116157""]","[""7116157"", ""7687498"", ""7787136"", ""7113185"", ""7541371"", ""7632606"", ""7277016"", ""7519201"", ""7855122"", ""7296711""]",
884298,en,what parameters effect i:e ratio on ventilators,"[""7928696"", ""7928694""]","[""7928694"", ""7861394"", ""7305462"", ""7079907"", ""7646548"", ""2038018"", ""7554389"", ""7211336"", ""7244910"", ""7212894""]",
1097199,en,how many eggs do does a woman have,"[""7433925""]","[""6093010"", ""7433925"", ""110910"", ""7273604"", ""7433792"", ""7992043"", ""7211660"", ""7623591"", ""7628559"", ""170827""]",
950016,en,when is daylight savings time for switzerland,"[""7754765""]","[""7754765"", ""7809074"", ""7083275"", ""7236525"", ""7213810"", ""7597092"", ""7973805"", ""7083125"", ""7889379"", ""256757""]",
337148,en,how old should your puppy be to get a rabies shot,"[""7389316""]","[""7389316"", ""7974596"", ""7076146"", ""7312387"", ""7493757"", ""7700487"", ""2951555"", ""609254"", ""7187607"", ""7073109""]",
733241,en,what is considered attire,"[""1699500""]","[""7933515"", ""7069399"", ""7555333"", ""7550373"", ""7649080"", ""7355625"", ""7216876"", ""7136452"", ""7689562"", ""7159527""]",
576898,en,what are wars most commonly fought over,"[""7598385""]","[""7742103"", ""7214220"", ""7738141"", ""7843451"", ""3429513"", ""7593959"", ""7829864"", ""7234971"", ""3970387"", ""1798522""]",
617306,en,what deficiency produces white spot on nails,"[""7502930""]","[""7122052"", ""7493514"", ""1903885"", ""4948097"", ""7502930"", ""7945552"", ""7471105"", ""5200958"", ""7104615"", ""7107443""]",
1064470,en,why do eggs turn brown,"[""7728289""]","[""7728289"", ""7332142"", ""7442410"", ""7150456"", ""7362402"", ""7490121"", ""7653673"", ""7967858"", ""1501464"", ""7458144""]",
393696,en,in texas what requirements are needed to apply to become a broker,"[""7598745""]","[""7598745"", ""7714548"", ""7645183"", ""7934632"", ""7514078"", ""7531298"", ""7834912"", ""7543353"", ""7616620"", ""7077521""]",
992193,en,who coined the concept survival of the fittest? charles darwin karl marx herbert spencer max weber,"[""7280593""]","[""7280593"", ""7435832"", ""7217405"", ""4772781"", ""7956784"", ""7886668"", ""7929116"", ""7577963"", ""7259628"", ""7282194""]",
829915,en,what is the marriage age in kansas with parental consent,"[""7787972""]","[""7787972"", ""7167740"", ""7900321"", ""7100617"", ""7358369"", ""5194464"", ""7962748"", ""7420268"", ""7790637"", ""7378072""]",
