query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,zh,温度与体积的正反数学关系是什么,"[""7206684""]","[""7217353"", ""7272695"", ""7305462"", ""7492132"", ""7561164"", ""7206684"", ""7379549"", ""7933971"", ""7522932"", ""7861394""]",
1035645,zh,俄罗斯的城堡叫什么名字,"[""7208858""]","[""7208858"", ""7541544"", ""7292184"", ""7396043"", ""7806932"", ""7235946"", ""7235939"", ""7913797"", ""7963400"", ""7727353""]",
71029,zh,莱姆病会导致狗的毛囊炎吗,"[""7670160""]","[""7089741"", ""7670160"", ""1033337"", ""7345967"", ""7459302"", ""7519478"", ""7996955"", ""1903885"", ""7902167"", ""8003886""]",
1083836,zh,fdic 投保是什么意思？,"[""1896608""]","[""1896608"", ""1159597"", ""7148904"", ""4191529"", ""7375334"", ""7145016"", ""7697631"", ""7455344"", ""7735648"", ""7967291""]",
1058885,zh,是什么导致了持续的干胀和恶心,"[""7170528""]","[""7647509"", ""7067829"", ""7533102"", ""5584747"", ""7139764"", ""570442"", ""7498309"", ""7374761"", ""7641338"", ""7402600""]",
1039189,zh,谁是星际迷航行动歼灭客队的女演员,"[""7805080""]","[""7239171"", ""7572869"", ""7767103"", ""7695693"", ""7329333"", ""7789644"", ""7290137"", ""7311236"", ""7624731"", ""7398690""]",
829562,zh,政党的主要目的是什么？,"[""3347905""]","[""3347905"", ""7216092"", ""381174"", ""7105479"", ""7349246"", ""3353086"", ""7926476"", ""7846219"", ""7541190"", ""7245877""]",
1055884,zh,谁是第一个在写作中使用社会学的作者,"[""67588""]","[""7541544"", ""67588"", ""7763743"", ""7474496"", ""7424454"", ""7257833"", ""7485241"", ""7082559"", ""7466996"", ""7435832""]",
466830,zh,氮中的质子数、中子数和电子数 14,"[""7709283""]","[""7709283"", ""7080008"", ""3349239"", ""7158898"", ""7969020"", ""7965476"", ""7777896"", ""7206592"", ""7128834"", ""7406797""]",
1048871,zh,谁在 bunkd 中扮演 xander,"[""4146836""]","[""4146836"", ""7888038"", ""7124323"", ""7085516"", ""7302021"", ""7806882"", ""7383642"", ""7767103"", ""7985724"", ""7703688""]",
1085775,zh,引导图像利用什么联系将您带入深入,"[""7116157""]","[""7116157"", ""7279218"", ""7456010"", ""7487159"", ""7327215"", ""7115754"", ""7150228"", ""7507377"", ""7104769"", ""7147226""]",
884298,zh,哪些参数会影响呼吸机的 i:e 比率,"[""7928696"", ""7928694""]","[""7928694"", ""7305462"", ""7558643"", ""7268557"", ""7625523"", ""7079907"", ""7165807"", ""7861394"", ""7272695"", ""7296810""]",
1097199,zh,一个女人有多少个卵子,"[""7433925""]","[""7433925"", ""7826945"", ""7273604"", ""1188159"", ""7211660"", ""6093010"", ""170827"", ""7623591"", ""7433792"", ""7255867""]",
950016,zh,瑞士的夏令时是什么时候,"[""7754765""]","[""7754765"", ""7438631"", ""73799"", ""4404202"", ""7597092"", ""7853910"", ""7213876"", ""924613"", ""7862783"", ""7841769""]",
337148,zh,你的小狗应该多大才能接种狂犬病疫苗,"[""7389316""]","[""7389316"", ""7974596"", ""7700487"", ""7311939"", ""7076146"", ""609254"", ""7187607"", ""7312387"", ""3041398"", ""7226690""]",
733241,zh,什么被认为是着装,"[""1699500""]","[""7647619"", ""7933515"", ""7170449"", ""7235946"", ""7736154"", ""1699500"", ""7235939"", ""7649080"", ""7171569"", ""7736585""]",
576898,zh,什么是最常发生的战争,"[""7598385""]","[""7829864"", ""3149452"", ""7738141"", ""7214220"", ""7253685"", ""7843451"", ""7244240"", ""1798522"", ""7081759"", ""7389537""]",
617306,zh,什么缺乏会在指甲上产生白斑,"[""7502930""]","[""7122052"", ""7502930"", ""1903885"", ""5200958"", ""7493514"", ""7493507"", ""7498309"", ""7405669"", ""7852029"", ""7104615""]",
1064470,zh,为什么鸡蛋会变成褐色,"[""7728289""]","[""7728289"", ""7244910"", ""7826945"", ""7380886"", ""7323291"", ""7442410"", ""2000768"", ""7196833"", ""7361476"", ""3308241""]",
393696,zh,在德克萨斯州申请成为经纪人需要什么要求,"[""7598745""]","[""7645183"", ""7598745"", ""7714548"", ""7077823"", ""7181768"", ""7934632"", ""7708506"", ""7917146"", ""7384736"", ""7510067""]",
992193,zh,谁创造了适者生存的概念？查尔斯·达尔文卡尔·马克思赫伯特·斯宾塞马克斯·韦伯,"[""7280593""]","[""7280593"", ""7276511"", ""7613612"", ""5014303"", ""7938552"", ""7610327"", ""7886668"", ""4772781"", ""7095246"", ""7360453""]",
829915,zh,经父母同意，堪萨斯州的结婚年龄是多少,"[""7787972""]","[""7787972"", ""7167740"", ""7962748"", ""7358369"", ""7221882"", ""7790637"", ""5898158"", ""7900321"", ""7378072"", ""7106774""]",
987767,zh,罗伊摩尔输给了谁,"[""7290624""]","[""7445716"", ""7607111"", ""7290624"", ""7718324"", ""7302021"", ""1365882"", ""7966632"", ""7289144"", ""7645327"", ""7971459""]",
299128,zh,每月多少单位的水,"[""6720313""]","[""6720313"", ""7776376"", ""7297131"", ""7559905"", ""7384920"", ""2336191"", ""7073976"", ""7364600"", ""684240"", ""7096348""]",
814132,zh,什么是每日钠限量,"[""7951365""]","[""7837801"", ""714998"", ""7567998"", ""7617550"", ""7951365"", ""3545260"", ""1460244"", ""7528795"", ""6724191"", ""2304767""]",
874257,zh,作者用什么文学手法来描述约翰尼抢劫局外人的行为,"[""7867405""]","[""7867405"", ""7235946"", ""7907059"", ""7235939"", ""7778543"", ""7845360"", ""7892090"", ""7523816"", ""7689707"", ""7077823""]",
868598,zh,你需要什么样的成绩才能成为一名牙科保健员,"[""7743190""]","[""7360530"", ""7360526"", ""7863564"", ""7743190"", ""7995392"", ""7371307"", ""7959134"", ""7391225"", ""6348579"", ""7636819""]",
1071609,zh,为什么噪音是个问题,"[""7816796""]","[""7816796"", ""2285677"", ""1011107"", ""7747072"", ""7564409"", ""7403659"", ""7478795"", ""7325759"", ""7879904"", ""7869800""]",
663595,zh,罗伯·托马斯是什么类型的,"[""7465375""]","[""7689707"", ""7465375"", ""7422420"", ""7085763"", ""7290399"", ""7272164"", ""7787136"", ""7302021"", ""7961536"", ""7963400""]",
1062203,zh,为什么布拉德皮特和安吉丽娜朱莉离婚,"[""7569446""]","[""7569446"", ""7339164"", ""7864039"", ""7456010"", ""7095246"", ""7541544"", ""7864034"", ""7235946"", ""7727353"", ""7647619""]",
182644,zh,药物戒断症状的例子,"[""7935405""]","[""7935405"", ""7140020"", ""7543956"", ""7477943"", ""7299269"", ""7498309"", ""7374761"", ""7205356"", ""7966805"", ""4920146""]",
931029,zh,黄瓜的平均大小是多少,"[""7812195""]","[""7383364"", ""7236918"", ""7479581"", ""7314658"", ""7812195"", ""7979967"", ""7217353"", ""7569893"", ""7454642"", ""7685173""]",
924580,zh,什么威士忌是由小麦制成的,"[""7853738"", ""7853736""]","[""7235946"", ""7235939"", ""7986348"", ""7511407"", ""7853738"", ""7607896"", ""5483197"", ""1539468"", ""7213638"", ""7553785""]",
837702,zh,氦的反义词是什么,"[""7799527""]","[""7075317"", ""7305462"", ""7202929"", ""644710"", ""7557499"", ""7713253"", ""7799527"", ""7244910"", ""7806932"", ""7649902""]",
1033156,zh,大酋长的真名是什么,"[""7212940""]","[""7284075"", ""7235946"", ""7802322"", ""7695693"", ""7212940"", ""7867903"", ""7819524"", ""7302021"", ""7077823"", ""7963400""]",
1079185,zh,当公司解散并负债时会发生什么？,"[""53048""]","[""53048"", ""7397256"", ""6417290"", ""7139380"", ""7804150"", ""7564409"", ""7906142"", ""7145016"", ""7173266"", ""7091953""]",
171534,zh,有些汽车使用空调来帮助除霜吗,"[""7385189""]","[""7385189"", ""7211972"", ""7067759"", ""7338336"", ""7389973"", ""7199795"", ""7079467"", ""7902167"", ""7211336"", ""7074652""]",
838500,zh,你手臂上抽血的部位叫什么,"[""4707882""]","[""4707882"", ""7273733"", ""7561515"", ""7706332"", ""7518380"", ""7528849"", ""7902167"", ""7273634"", ""907756"", ""7490519""]",
361285,zh,如何去除地毯上的猫尿渍,"[""7401706""]","[""7401706"", ""7211336"", ""7561515"", ""7392272"", ""7365714"", ""7483017"", ""7262522"", ""7089741"", ""7834434"", ""7879904""]",
1074603,zh,为什么使用视频进行营销和促销,"[""7845422""]","[""7845422"", ""7734910"", ""7544522"", ""613301"", ""7235939"", ""7826615"", ""7973245"", ""7327215"", ""7624797"", ""7659801""]",
931783,zh,自我形象和自我概念有什么区别,"[""7830900""]","[""7830900"", ""7164081"", ""7425382"", ""7104622"", ""2917712"", ""7471666"", ""7594620"", ""7456010"", ""7277016"", ""7075317""]",
1096025,zh,国家在 md 支付护士多少钱,"[""7541711""]","[""7195763"", ""7541711"", ""7959134"", ""7447492"", ""363604"", ""7658002"", ""7101387"", ""2673480"", ""7195729"", ""4483854""]",
1037612,zh,犰狳的长度是多少,"[""7205573""]","[""7217353"", ""7460416"", ""7695693"", ""7979967"", ""7096250"", ""7741773"", ""7289116"", ""767271"", ""223537"", ""7856019""]",
1004565,zh,epcot的美食美酒节什么时候开始,"[""7255591""]","[""7255591"", ""7375794"", ""7213638"", ""7980047"", ""7846366"", ""7841769"", ""7235946"", ""7095246"", ""4468296"", ""7522805""]",
630172,zh,中指戴戒指是什么意思？,"[""7469958""]","[""7469958"", ""7523816"", ""703196"", ""7158050"", ""7534457"", ""7351259"", ""7569988"", ""7159450"", ""7075317"", ""7727353""]",
650157,zh,你是个好蛋的表情是什么,"[""7453899""]","[""7235939"", ""7235946"", ""7880398"", ""7192340"", ""7960228"", ""7562472"", ""7774695"", ""7577926"", ""7136645"", ""7637066""]",
1031761,zh,马尾的结构是什么,"[""7215190""]","[""7275572"", ""772912"", ""7217353"", ""7188052"", ""7829389"", ""5976199"", ""7560954"", ""4860839"", ""7760497"", ""3980321""]",
339855,zh,在密歇根州，员工多久必须报告受伤情况,"[""7359547""]","[""7359547"", ""7309920"", ""7445050"", ""7069832"", ""7354468"", ""7928070"", ""7716503"", ""7446731"", ""7399340"", ""7640131""]",
1006724,zh,泰国的独立日是什么时候,"[""7252753""]","[""7252753"", ""7089413"", ""7739212"", ""7269951"", ""7253793"", ""3052765"", ""7859065"", ""7675934"", ""3644878"", ""7077823""]",
411367,zh,谷歌在中国被屏蔽了吗,"[""7633642""]","[""7633642"", ""7806932"", ""7647619"", ""7841769"", ""7697631"", ""7869800"", ""7727353"", ""7653402"", ""7553092"", ""7813011""]",
839488,zh,kohlrabies的复数是什么,"[""7866009""]","[""7928694"", ""7871931"", ""7217353"", ""7244910"", ""7667700"", ""7656967"", ""4078651"", ""7305462"", ""7077823"", ""7758892""]",
1087202,zh,低血的症状是什么,"[""7103722""]","[""7498309"", ""7449503"", ""7273847"", ""7923796"", ""7518992"", ""7520204"", ""5200958"", ""1541418"", ""7522664"", ""1196540""]",
1058513,zh,什么是类 dojo 用于,"[""7171329""]","[""7171329"", ""7799421"", ""7233053"", ""7251481"", ""7235939"", ""7979516"", ""7984546"", ""7235946"", ""7433680"", ""7852621""]",
1054949,zh,什么是图书馆的朋友,"[""7177052""]","[""7177052"", ""7794580"", ""7832158"", ""7235946"", ""7689281"", ""7963400"", ""7456010"", ""7636819"", ""7185107"", ""7482587""]",
190380,zh,保持牙龈健康的食物,"[""5092256""]","[""7490179"", ""7411168"", ""2445156"", ""7701566"", ""3308241"", ""7942753"", ""7386869"", ""5092256"", ""7150914"", ""1588461""]",
739554,zh,理解和掌握有什么区别,"[""7456010"", ""7044609""]","[""7044609"", ""7456010"", ""7939488"", ""7174697"", ""7846670"", ""7727353"", ""7129284"", ""7675212"", ""2917712"", ""7330826""]",
1059812,zh,谁的脸在钱上,"[""7290835""]","[""7290835"", ""7843298"", ""7196698"", ""7695693"", ""7485241"", ""7235946"", ""7202357"", ""7562472"", ""7247338"", ""7139380""]",
1071161,zh,什么是金融的长期战略,"[""7157744""]","[""7100389"", ""7657978"", ""7157744"", ""7601275"", ""7322264"", ""7823965"", ""7176952"", ""7323199"", ""7193967"", ""7281532""]",
69065,zh,我可以用驾照拿到我的车牌吗,"[""7392067""]","[""7097756"", ""7392067"", ""7349980"", ""1558710"", ""7508018"", ""7741001"", ""7630981"", ""7549661"", ""7770548"", ""7528393""]",
831034,zh,当提到任何开花植物时，水果的含义是什么,"[""2077415""]","[""2077415"", ""7662692"", ""7523816"", ""7501202"", ""458748"", ""7569988"", ""7280749"", ""7772009"", ""7542507"", ""7480706""]",
1002373,zh,你的眼睛只在哪儿拍的？,"[""7747666""]","[""7232560"", ""7164418"", ""7607116"", ""7235939"", ""7765536"", ""7451812"", ""7573758"", ""7747666"", ""7127002"", ""7311157""]",
609707,zh,montello wi 在哪个县,"[""7690114""]","[""7690114"", ""7571704"", ""7817457"", ""2208454"", ""7581376"", ""7985724"", ""7685218"", ""7483053"", ""7627481"", ""7661663""]",
393420,zh,历史上什么是势力范围,"[""7689572""]","[""7938552"", ""7798251"", ""7234304"", ""7676270"", ""7210232"", ""7684557"", ""7875489"", ""7244157"", ""7829864"", ""7402622""]",
1084596,zh,汽车上的标签需要什么,"[""7126829""]","[""7126829"", ""7132332"", ""7389973"", ""7176630"", ""7106083"", ""7508018"", ""7362618"", ""7878249"", ""1558710"", ""7077855""]",
1041656,zh,助学金的定义是什么,"[""7199394""]","[""7199394"", ""7142823"", ""7764721"", ""7256871"", ""6417801"", ""7683779"", ""7422674"", ""7270201"", ""7178272"", ""2588990""]",
1097283,zh,国王因在伯明翰抗议而在监狱里呆了多少天,"[""7426908""]","[""7497729"", ""7426908"", ""7498046"", ""7354468"", ""7368942"", ""1744702"", ""7895995"", ""7396633"", ""7684366"", ""7235794""]",
166528,zh,ftp 是否使用 appdata 文件夹,"[""7373623""]","[""7373623"", ""7869800"", ""7428856"", ""7092822"", ""7261645"", ""7785666"", ""7974044"", ""7517040"", ""7409686"", ""7103122""]",
988720,zh,谁是芝加哥的原唱,"[""7287922""]","[""7287922"", ""7235946"", ""7698164"", ""7642166"", ""7750358"", ""7725656"", ""7810969"", ""7841769"", ""7957575"", ""7090895""]",
1093928,zh,iphone x 是防水的还是防水的,"[""7711108""]","[""7711108"", ""7550534"", ""7757491"", ""7228073"", ""7095246"", ""7674518"", ""7217000"", ""7509034"", ""7994286"", ""7388471""]",
735175,zh,什么是成本和运费 inco 条款,"[""7522344""]","[""7522344"", ""7391075"", ""4483854"", ""7674273"", ""7169713"", ""159768"", ""331380"", ""7352778"", ""2086992"", ""7805184""]",
289276,zh,成人应服用多少毫克利他林,"[""7559170""]","[""7772677"", ""7443875"", ""7579337"", ""7070008"", ""7559170"", ""7567998"", ""7798574"", ""7084753"", ""7735601"", ""7913520""]",
1092946,zh,蜂蜡和椰子油蜡烛的好处,"[""7791376""]","[""7150914"", ""7170128"", ""7077823"", ""7601153"", ""7935146"", ""7235939"", ""7235946"", ""7471666"", ""7920758"", ""7318261""]",
988779,zh,巴哈马的领导人是谁,"[""7287698""]","[""7287698"", ""7146494"", ""7802127"", ""7289144"", ""7823516"", ""7986039"", ""7227397"", ""7991140"", ""7302021"", ""7476824""]",
823310,zh,维生素c的一般功能是什么,"[""4092416""]","[""4092416"", ""7716397"", ""7457408"", ""7076988"", ""1374083"", ""7768495"", ""7751031"", ""7361694"", ""7242265"", ""7492796""]",
657264,zh,是什么结束了性别歧视,"[""1727593""]","[""635313"", ""7665730"", ""7647619"", ""7534457"", ""4043421"", ""7879904"", ""7321410"", ""7461776"", ""1727593"", ""7650878""]",
209713,zh,chiweenie 会有多大,"[""7330021""]","[""7330021"", ""7175762"", ""7553092"", ""7741773"", ""7351513"", ""5264767"", ""7072670"", ""7258856"", ""7077823"", ""7846964""]",
1017537,zh,当你一个人在一个地方时，作为一名保安该怎么做,"[""7237531""]","[""7237531"", ""7360453"", ""7942458"", ""7081391"", ""7562962"", ""7641649"", ""7561515"", ""7538425"", ""7600628"", ""7985724""]",
1101486,zh,网络和服务器连接之间的区别,"[""7830658""]","[""7830658"", ""7697631"", ""7115754"", ""7156990"", ""7869800"", ""7419135"", ""7636819"", ""7077823"", ""1563923"", ""7230286""]",
1048297,zh,品级和设置的成本,"[""7187801""]","[""159767"", ""3982002"", ""7195446"", ""7391075"", ""7973245"", ""6569263"", ""7628775"", ""7559905"", ""7553092"", ""6340416""]",
383469,zh,如何训练你的狗做技巧 youtube,"[""7522587""]","[""7522587"", ""7071717"", ""7456010"", ""7702367"", ""7354468"", ""7115754"", ""7952808"", ""7251481"", ""7312387"", ""7875167""]",
1022253,zh,研究人员操纵了哪种类型的变量？,"[""7779110""]","[""896966"", ""7779110"", ""7340503"", ""7288730"", ""7235939"", ""7498811"", ""7469867"", ""7789798"", ""7235946"", ""7456010""]",
1010810,zh,主销是哪年出来的,"[""7246941""]","[""7553092"", ""7841769"", ""7843956"", ""7827487"", ""7902114"", ""7695693"", ""7077823"", ""7822533"", ""7806932"", ""7252438""]",
994071,zh,哪个法律案件迫使马里兰大学录取一名非裔美国学生进入其法学院？,"[""7275935""]","[""7275935"", ""7364984"", ""7148053"", ""7456010"", ""7253127"", ""7141719"", ""7895995"", ""2378839"", ""7743891"", ""7309614""]",
1041454,zh,截图的定义是什么,"[""7199649""]","[""7506157"", ""7901711"", ""7199649"", ""7550938"", ""7875489"", ""7217383"", ""7259880"", ""7209225"", ""7675212"", ""7044609""]",
1003000,zh,什么时候在 nh 建造了 grenier 场,"[""7258738""]","[""7258738"", ""7439881"", ""7698327"", ""7155896"", ""7487327"", ""7175331"", ""3768089"", ""7753747"", ""7852655"", ""7985724""]",
1097736,zh,处理后多久可以收到爱达荷州的退款,"[""7391855""]","[""7391855"", ""7354468"", ""7318237"", ""7465867"", ""7351928"", ""7261118"", ""7575164"", ""7481009"", ""7901388"", ""2378778""]",
814021,zh,亚马逊的客服电话是多少,"[""148297"", ""1787021""]","[""4790280"", ""148297"", ""1787021"", ""7078615"", ""7275747"", ""7674518"", ""7663012"", ""7522849"", ""7433039"", ""7077823""]",
382452,zh,如何教我的孩子整理房间,"[""7503201""]","[""7503201"", ""7538425"", ""7251481"", ""7562962"", ""7836787"", ""7211336"", ""7600628"", ""7480734"", ""7715404"", ""7797742""]",
1101968,zh,为什么每喝一杯咖啡都要喝一杯水,"[""7410755""]","[""7410755"", ""7764398"", ""7647509"", ""7796400"", ""7396071"", ""7420079"", ""7902167"", ""7206684"", ""77985"", ""737886""]",
1096006,zh,优步每年赚多少钱,"[""7543662""]","[""6569263"", ""7543662"", ""7631710"", ""7219870"", ""7596916"", ""7807867"", ""7968630"", ""7994382"", ""7650075"", ""7436325""]",
380145,zh,如何显示 oracle 视图的源代码,"[""7701732""]","[""7701732"", ""7984546"", ""7531029"", ""7202654"", ""7147226"", ""7106083"", ""7371035"", ""7339731"", ""7511246"", ""7877797""]",
1043615,zh,最亮的星星是什么？,"[""7196980""]","[""4487969"", ""7196980"", ""7935393"", ""7935390"", ""4984619"", ""7208935"", ""7115248"", ""7802322"", ""7451286"", ""7479343""]",
234932,zh,退休人员如何快乐地度过他们的时间,"[""7077191"", ""7077188""]","[""7256779"", ""7077191"", ""7235946"", ""7077188"", ""7237531"", ""7309920"", ""7235939"", ""7686243"", ""7436289"", ""7446733""]",
887599,zh,你可以在口袋妖怪绿宝石中捕捉什么口袋妖怪,"[""7945986""]","[""7095246"", ""7235946"", ""7235939"", ""7471666"", ""7902114"", ""7963400"", ""7900419"", ""7836680"", ""7955693"", ""7638397""]",
851380,zh,最小的错误是什么,"[""75420""]","[""7627419"", ""7869800"", ""7712580"", ""7235794"", ""7354468"", ""7099807"", ""7368942"", ""7471105"", ""7715404"", ""2917712""]",
841973,zh,爆震传感器的用途是什么,"[""4757522""]","[""4757522"", ""7322363"", ""7601434"", ""7389973"", ""7644466"", ""7233137"", ""7614525"", ""7683174"", ""7697631"", ""7235939""]",
1025268,zh,被蛊惑的人用的是什么豪宅？,"[""7225891""]","[""7535581"", ""7235946"", ""7235939"", ""7695693"", ""7355625"", ""7727353"", ""7841769"", ""7527675"", ""7125387"", ""7456010""]",
1047012,zh,谁在枪声中扮演小猫小姐,"[""4783316""]","[""7285853"", ""7239729"", ""7239171"", ""7302021"", ""7888038"", ""7695693"", ""4783316"", ""7935110"", ""7572869"", ""7461250""]",
119952,zh,在法律中定义最低限度,"[""2001175""]","[""2001175"", ""7814746"", ""6057028"", ""392882"", ""7684366"", ""1491391"", ""7235794"", ""7551745"", ""7829073"", ""7238394""]",
