query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,zh-en,温度与体积的正反mathematical relationship是什么,"[""7206684""]","[""7272695"", ""7527060"", ""1468748"", ""7492132"", ""7165807"", ""7566992"", ""7217353"", ""2008909"", ""7206684"", ""7944469""]",0.2222222222222222
1035645,zh-en,俄罗斯的城堡叫什么name,"[""7208858""]","[""7208858"", ""7105678"", ""7396043"", ""7647057"", ""7152404"", ""7858842"", ""7934611"", ""7886203"", ""7102315"", ""7132734""]",0.16666666666666663
71029,zh-en,莱姆病会导致dogs的毛囊炎吗,"[""7670160""]","[""7996955"", ""7459302"", ""4973544"", ""7983115"", ""7345967"", ""663950"", ""7679596"", ""7455776"", ""7089741"", ""7630491""]",0.1428571428571429
1083836,zh-en,fdic insured是什么意思？,"[""1896608""]","[""1896608"", ""1159597"", ""7308077"", ""7697631"", ""7375334"", ""7148904"", ""7854955"", ""7272930"", ""4191529"", ""7679312""]",0.19999999999999996
1058885,zh-en,是什么causing了持续的干胀和恶心,"[""7170528""]","[""7966808"", ""7966804"", ""7528852"", ""5584747"", ""7967079"", ""7399600"", ""2816450"", ""298257"", ""7139764"", ""7435920""]",0.11111111111111116
1039189,zh-en,谁是星际迷航行动歼灭team的女演员,"[""7805080""]","[""7572869"", ""7239171"", ""7288284"", ""7490735"", ""7387422"", ""7209022"", ""1186890"", ""7945442"", ""7754210"", ""7287434""]",0.11111111111111116
829562,zh-en,政党的主要purpose是什么？,"[""3347905""]","[""3347905"", ""7396947"", ""7245877"", ""7420461"", ""7170855"", ""7926476"", ""7253966"", ""7127941"", ""7123349"", ""3353086""]",0.16666666666666663
1055884,zh-en,谁是第一个在writing中使用社会学的作者,"[""67588""]","[""7763743"", ""7318902"", ""7626411"", ""67588"", ""2773219"", ""7257833"", ""7294698"", ""7876093"", ""7626410"", ""7541544""]",0.09999999999999998
466830,zh-en,氮中的质子数、中子数和electrons 14,"[""7709283""]","[""7080008"", ""7709283"", ""7201997"", ""7943897"", ""3349239"", ""7656967"", ""7229862"", ""7568605"", ""6975031"", ""7438982""]",0.18181818181818177
1048871,zh-en,谁在bunkd中plays xander,"[""4146836""]","[""4146836"", ""7081061"", ""7889259"", ""7085516"", ""7623838"", ""7285853"", ""7764195"", ""7291282"", ""7355625"", ""7302021""]",0.16666666666666663
