query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,zh-en,温度与体积的正反mathematical relationship是什么,"[""7206684""]","[""7692857"", ""7213490"", ""7944469"", ""7305139"", ""7082136"", ""46276"", ""7217353"", ""2267681"", ""7953416"", ""7229862""]",0.2222222222222222
1035645,zh-en,俄罗斯的城堡叫什么name,"[""7208858""]","[""7208858"", ""8003834"", ""7396043"", ""7128290"", ""7726263"", ""7085238"", ""7132734"", ""7292184"", ""7355625"", ""7938563""]",0.16666666666666663
71029,zh-en,莱姆病会导致dogs的毛囊炎吗,"[""7670160""]","[""7089741"", ""7670160"", ""7112464"", ""7452987"", ""7676140"", ""7679596"", ""8008902"", ""7630491"", ""7455776"", ""7481555""]",0.1428571428571429
1083836,zh-en,fdic insured是什么意思？,"[""1896608""]","[""1896608"", ""7871824"", ""7679312"", ""7308077"", ""4805879"", ""7562472"", ""1159597"", ""7522344"", ""7854955"", ""4191529""]",0.19999999999999996
1058885,zh-en,是什么causing了持续的干胀和恶心,"[""7170528""]","[""7785142"", ""7481555"", ""7375386"", ""7528852"", ""3326733"", ""7531239"", ""7103054"", ""7358573"", ""7921634"", ""7402905""]",0.11111111111111116
1039189,zh-en,谁是星际迷航行动歼灭team的女演员,"[""7805080""]","[""7329333"", ""7387422"", ""7095246"", ""7938563"", ""7355808"", ""7906424"", ""7290270"", ""7125366"", ""7900419"", ""7732555""]",0.11111111111111116
829562,zh-en,政党的主要purpose是什么？,"[""3347905""]","[""3347905"", ""3353086"", ""7396947"", ""7865401"", ""7925187"", ""2013367"", ""381174"", ""2468148"", ""7349246"", ""7521532""]",0.16666666666666663
1055884,zh-en,谁是第一个在writing中使用社会学的作者,"[""67588""]","[""7763743"", ""7435832"", ""7541544"", ""67588"", ""7787203"", ""7681560"", ""7280593"", ""7213343"", ""7943543"", ""7750562""]",0.09999999999999998
466830,zh-en,氮中的质子数、中子数和electrons 14,"[""7709283""]","[""7080008"", ""7709283"", ""7143675"", ""3349239"", ""7977659"", ""7943896"", ""7406797"", ""7867320"", ""7229862"", ""5705062""]",0.18181818181818177
1048871,zh-en,谁在bunkd中plays xander,"[""4146836""]","[""4146836"", ""7290399"", ""7291425"", ""1423560"", ""7235946"", ""7355625"", ""7935110"", ""7642657"", ""7235939"", ""7387422""]",0.16666666666666663
1085775,zh-en,引导图像advantage什么联系将您带入深入,"[""7116157""]","[""7339731"", ""7356443"", ""7073802"", ""7752264"", ""7167848"", ""7938563"", ""7188975"", ""7212558"", ""7505618"", ""7532949""]",0.11111111111111116
884298,zh-en,哪些parameters会影响呼吸机的i : e比率,"[""7928696"", ""7928694""]","[""7928694"", ""7116305"", ""7082136"", ""7358221"", ""7996491"", ""7268557"", ""7161190"", ""7229862"", ""7241753"", ""7235691""]",0.11111111111111116
