query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,es-en,¿ Cuál es la relationship matemática entre temperature y volumen directa o inversa?,"[""7206684""]","[""7709987"", ""7176831"", ""7277061"", ""7890243"", ""7164626"", ""7099916"", ""7308268"", ""7171688"", ""7078234"", ""7076927""]",0.16666666666666663
1035645,es-en,cual es el nombre del castle en rusia,"[""7208858""]","[""7253127"", ""2484668"", ""7972919"", ""7927273"", ""7392258"", ""7654932"", ""7105678"", ""7245866"", ""7217896"", ""7601297""]",0.125
71029,es-en,¿ Puede la enfermedad de Lyme causar foliculitis en dogs?,"[""7670160""]","[""7375629"", ""7789885"", ""7470936"", ""7909588"", ""7667726"", ""7890243"", ""776148"", ""7662534"", ""7627143"", ""7626245""]",0.11111111111111116
1083836,es-en,¿ Qué significa insured por fdic?,"[""1896608""]","[""7078234"", ""7277061"", ""7890243"", ""7833926"", ""4440198"", ""7308268"", ""7362818"", ""7164626"", ""7522344"", ""7230558""]",0.19999999999999996
1058885,es-en,¿ Qué está causando the constant heaving y arcadas secas?,"[""7170528""]","[""7352602"", ""4948436"", ""7547680"", ""776148"", ""7086794"", ""7373326"", ""480701"", ""7375629"", ""7146844"", ""7113662""]",0.33333333333333337
1039189,es-en,¿ Quién es la actriz del equipo visitante en operation Star Trek Aniquilar?,"[""7805080""]","[""7102160"", ""7927273"", ""7553316"", ""7223527"", ""7841817"", ""7121621"", ""2399341"", ""7490735"", ""7725783"", ""7977400""]",0.15384615384615385
829562,es-en,¿ Cuál es el objetivo main de un partido político?,"[""3347905""]","[""7108634"", ""7100389"", ""7288543"", ""7613183"", ""7550921"", ""7333378"", ""7740536"", ""7521187"", ""7276407"", ""7526937""]",0.11111111111111116
1055884,es-en,¿ Quién fue el primer autor en utilizar la sociología en their writing?,"[""67588""]","[""7725783"", ""7927273"", ""7253127"", ""7217896"", ""7972919"", ""7143701"", ""7164901"", ""7277061"", ""7311627"", ""7242802""]",0.16666666666666663
466830,es-en,número de protones neutrons y electrones en nitrógeno 14,"[""7709283""]","[""7308268"", ""7738967"", ""7780297"", ""7626670"", ""2995657"", ""7406479"", ""7709283"", ""7148985"", ""7495648"", ""7202282""]",0.11111111111111116
1048871,es-en,quien plays a xander de bunkd,"[""4146836""]","[""7231765"", ""7725783"", ""7588139"", ""7847318"", ""7281223"", ""7556426"", ""7830473"", ""7927273"", ""7745216"", ""7972919""]",0.16666666666666663
1085775,es-en,¿ What connection aprovechan las imágenes guiadas para transportarte profundamente,"[""7116157""]","[""7333096"", ""7164626"", ""7886282"", ""7304355"", ""7279218"", ""7679539"", ""7199509"", ""7587843"", ""7925882"", ""2057086""]",0.2222222222222222
884298,es-en,¿ What parameters afectan la relación i : e en los ventiladores?,"[""7928694"", ""7928696""]","[""7277061"", ""7307999"", ""7164626"", ""7276407"", ""7176684"", ""5420203"", ""7176831"", ""7161172"", ""7478678"", ""7550921""]",0.19999999999999996
1097199,es-en,¿ Cuántos eggs tiene una mujer?,"[""7433925""]","[""7760859"", ""7689631"", ""7912371"", ""7135073"", ""7727353"", ""7829484"", ""7453899"", ""7501202"", ""7728289"", ""7808957""]",0.19999999999999996
950016,es-en,¿ Cuándo es el horario de daylight en Suiza?,"[""7754765""]","[""7237378"", ""7277061"", ""1089642"", ""7550082"", ""7927273"", ""7217896"", ""7253127"", ""7083613"", ""7744809"", ""7288543""]",0.125
337148,es-en,¿ How old debe tener your puppy para recibir la vacuna contra la rabia?,"[""7389316""]","[""7741001"", ""7277061"", ""7162866"", ""7253127"", ""7217896"", ""7654932"", ""7245866"", ""7470936"", ""7725783"", ""1089642""]",0.3076923076923077
733241,es-en,lo que se considered vestimenta,"[""1699500""]","[""7378847"", ""7521187"", ""7043728"", ""7529964"", ""7440370"", ""1687604"", ""7164626"", ""7239796"", ""7102900"", ""7842625""]",0.19999999999999996
576898,es-en,¿ Cuáles son las wars por las que se fought más comúnmente?,"[""7598385""]","[""7311627"", ""7478678"", ""7567790"", ""7451198"", ""7351322"", ""7165499"", ""7242802"", ""7086200"", ""7095999"", ""7275646""]",0.18181818181818177
617306,es-en,que deficiency produce mancha blanca en las uñas,"[""7502930""]","[""7478678"", ""1829297"", ""7459682"", ""7490519"", ""7165746"", ""7439291"", ""5808428"", ""7176684"", ""7171688"", ""7352602""]",0.125
1064470,es-en,¿ Por qué los huevos se vuelven brown?,"[""7728289""]","[""7890243"", ""7277061"", ""7308268"", ""7472169"", ""7807341"", ""7143701"", ""7696612"", ""7609042"", ""2399341"", ""7217896""]",0.1428571428571429
393696,es-en,"en texas, qué requisitos se needed para postularse para convertirse en broker","[""7598745""]","[""7308268"", ""7890243"", ""7277061"", ""7725783"", ""7556426"", ""7927273"", ""7253127"", ""7577254"", ""7833926"", ""7099021""]",0.16666666666666663
992193,es-en,¿ Quién coined the concept de survival del más apto? charles darwin karl marx herbert spencer max weber,"[""7280593""]","[""7654932"", ""7253127"", ""7217896"", ""7245866"", ""7277061"", ""7725783"", ""7087021"", ""2804792"", ""7351322"", ""7972919""]",0.23529411764705888
