query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,en,what is the mathematical relationship between temperature and volume direct or inverse,"[""7206684""]","[""7622515"", ""7305139"", ""7555272"", ""7659466"", ""7492132"", ""7692857"", ""7853204"", ""7206684"", ""7537074"", ""5420203""]",
1035645,en,what is the name of the castle in russia,"[""7208858""]","[""7208858"", ""7105678"", ""7858842"", ""1878861"", ""7318694"", ""7152404"", ""7028429"", ""7085238"", ""7396043"", ""7826216""]",
71029,en,can lyme disease cause folliculitis in dogs,"[""7670160""]","[""7670160"", ""7452987"", ""7679596"", ""7164210"", ""1033337"", ""6124696"", ""663950"", ""7089741"", ""7709708"", ""4973544""]",
1083836,en,what does fdic insured mean?,"[""1896608""]","[""1896608"", ""7272684"", ""4191529"", ""7606531"", ""7598541"", ""7595500"", ""7375334"", ""7211811"", ""7581583"", ""4591673""]",
1058885,en,what is causing the constant dry heaving and nausea,"[""7170528""]","[""7112652"", ""382685"", ""7966808"", ""1979597"", ""7325629"", ""7533102"", ""570442"", ""7641338"", ""764872"", ""7512430""]",
1039189,en,who is the actress on the away team in star trek operation annihilate,"[""7805080""]","[""7805080"", ""1016839"", ""7847456"", ""7327050"", ""3909183"", ""7258217"", ""1757350"", ""7125366"", ""7287434"", ""7239171""]",
829562,en,what is the main purpose of a political party?,"[""3347905""]","[""3347905"", ""1455862"", ""991142"", ""4582296"", ""2468148"", ""3353086"", ""7216092"", ""7926476"", ""8005523"", ""7186143""]",
1055884,en,who was the first author to use sociology in their writing,"[""67588""]","[""7763743"", ""67588"", ""7763140"", ""7200796"", ""7907440"", ""7105483"", ""8003099"", ""67596"", ""7907439"", ""7435832""]",
466830,en,number of protons neutrons and electrons in nitrogen 14,"[""7709283""]","[""7709283"", ""7158898"", ""3349239"", ""7080008"", ""7929230"", ""7674848"", ""7696612"", ""7777896"", ""7458932"", ""7107654""]",
1048871,en,who plays xander from bunkd,"[""4146836""]","[""4146836"", ""7124323"", ""7888038"", ""7764195"", ""7286801"", ""7877828"", ""7490252"", ""7846757"", ""7287518"", ""7121598""]",
1085775,en,what connection does guided imagery take advantage of to transport you deep into,"[""7116157""]","[""7116157"", ""7929939"", ""7150228"", ""7621537"", ""7309353"", ""7612634"", ""8004569"", ""7943897"", ""2462113"", ""7111959""]",
884298,en,what parameters effect i:e ratio on ventilators,"[""7928696"", ""7928694""]","[""7928694"", ""7998086"", ""7274366"", ""7240126"", ""7272695"", ""7907074"", ""7625523"", ""7601434"", ""7091598"", ""7915135""]",
1097199,en,how many eggs do does a woman have,"[""7433925""]","[""7433792"", ""7695522"", ""7771662"", ""3748377"", ""7196833"", ""7510610"", ""7597758"", ""7728289"", ""7380886"", ""1414091""]",
950016,en,when is daylight savings time for switzerland,"[""7754765""]","[""7754765"", ""7410122"", ""7095708"", ""7204196"", ""7438631"", ""7236525"", ""7214721"", ""7853910"", ""256757"", ""7973805""]",
337148,en,how old should your puppy be to get a rabies shot,"[""7389316""]","[""7389316"", ""7311939"", ""7974596"", ""7700487"", ""7076146"", ""7187607"", ""609254"", ""11527"", ""476664"", ""7487520""]",
733241,en,what is considered attire,"[""1699500""]","[""7170449"", ""7933515"", ""7171569"", ""7766841"", ""7421911"", ""7857342"", ""7597656"", ""1699500"", ""7856651"", ""7882791""]",
576898,en,what are wars most commonly fought over,"[""7598385""]","[""7214220"", ""7234971"", ""7124689"", ""3429513"", ""2358879"", ""7742103"", ""7676511"", ""7899750"", ""7389537"", ""3847797""]",
617306,en,what deficiency produces white spot on nails,"[""7502930""]","[""7502930"", ""7122052"", ""7132199"", ""5006012"", ""7493514"", ""651395"", ""7493507"", ""7537844"", ""1903885"", ""4304658""]",
1064470,en,why do eggs turn brown,"[""7728289""]","[""7728289"", ""1501464"", ""7105534"", ""7332142"", ""7510610"", ""5558092"", ""5270532"", ""7380886"", ""7413320"", ""7196833""]",
