query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,zh-es,温度与volumen的正反数学关系是什么,"[""7206684""]","[""7206684"", ""7165807"", ""7305139"", ""7555272"", ""7492132"", ""7502195"", ""7272695"", ""7122373"", ""7934279"", ""7220288""]",0.11111111111111116
1035645,zh-es,俄罗斯的castillo叫什么名字,"[""7208858""]","[""7208858"", ""7105678"", ""7224927"", ""7152404"", ""7851318"", ""7266832"", ""7324840"", ""7396043"", ""7318694"", ""7104920""]",0.16666666666666663
71029,zh-es,莱姆病会导致perros的毛囊炎吗,"[""7670160""]","[""1033337"", ""7670160"", ""7455776"", ""7795418"", ""7089741"", ""7452987"", ""7470936"", ""7431188"", ""7167778"", ""7314613""]",0.1428571428571429
1083836,zh-es,fdic投保是什么significa ？,"[""1896608""]","[""1896608"", ""7375334"", ""7146364"", ""4191529"", ""7688312"", ""7154644"", ""7148904"", ""1159597"", ""7962108"", ""7522344""]",0.19999999999999996
1058885,zh-es,是什么导致了持续的干胀和arcadas secas,"[""7170528""]","[""7132300"", ""7224348"", ""7531239"", ""7953859"", ""6976256"", ""4785576"", ""7533102"", ""7402905"", ""7576671"", ""7113732""]",0.11111111111111116
1039189,zh-es,谁是星际迷航行动歼灭客队的actriz演员,"[""7805080""]","[""7383642"", ""7572869"", ""7805080"", ""7828507"", ""7125366"", ""1285360"", ""7983669"", ""7841397"", ""7694677"", ""7906424""]",0.11111111111111116
829562,zh-es,政党的主要objetivo是什么？,"[""3347905""]","[""3347905"", ""7386744"", ""7846219"", ""1125992"", ""7704866"", ""7797820"", ""7210828"", ""7865401"", ""4582296"", ""7420461""]",0.16666666666666663
1055884,zh-es,谁是第一个在写作中utilizar社会学的作者,"[""67588""]","[""7763743"", ""7213343"", ""7259545"", ""67588"", ""7257833"", ""7719848"", ""7442703"", ""7082559"", ""67596"", ""7435832""]",0.09999999999999998
466830,zh-es,氮中的质子数、 neutrones和电子数 14,"[""7709283""]","[""7158898"", ""7709283"", ""7107654"", ""7080008"", ""7240603"", ""34489"", ""7777896"", ""7674848"", ""7491456"", ""7495648""]",0.18181818181818177
1048871,zh-es,谁在bunkd中interpreta xander,"[""4146836""]","[""4146836"", ""7764195"", ""7290399"", ""7888038"", ""7383642"", ""7124323"", ""7935417"", ""7623838"", ""7105098"", ""7287518""]",0.16666666666666663
1085775,zh-es,guiadas图像利用什么conexión将您带入深入,"[""7116157""]","[""7116157"", ""7919768"", ""7150228"", ""7327215"", ""7901200"", ""7532949"", ""7621537"", ""7503056"", ""7279218"", ""7221273""]",0.2222222222222222
884298,zh-es,哪些参数会影响呼吸机的i : relación e,"[""7928696"", ""7928694""]","[""7558643"", ""7928694"", ""7928696"", ""7079907"", ""7864191"", ""7804442"", ""1782540"", ""7914307"", ""7268557"", ""7379651""]",0.11111111111111116
1097199,zh-es,一个mujer有多少个卵子,"[""7433925""]","[""7273604"", ""7433925"", ""7992043"", ""7211660"", ""7736285"", ""7623591"", ""5730265"", ""7365014"", ""7806346"", ""7255867""]",0.16666666666666663
950016,zh-es,suiza的夏令时是什么时候,"[""7754765""]","[""7754765"", ""7095708"", ""256757"", ""7853910"", ""7601337"", ""73799"", ""4404202"", ""7850214"", ""7597092"", ""7973805""]",0.16666666666666663
337148,zh-es,你的小狗应该多大才能recibir狂犬病疫苗,"[""7389316""]","[""7389316"", ""7311939"", ""7700487"", ""7974596"", ""7492935"", ""11527"", ""7076146"", ""609254"", ""7493757"", ""7187607""]",0.11111111111111116
733241,zh-es,什么被认为是vestimenta,"[""1699500""]","[""7933515"", ""7257216"", ""7736154"", ""7779044"", ""3900009"", ""7857342"", ""7618604"", ""7649080"", ""7245012"", ""7557499""]",0.19999999999999996
576898,zh-es,什么是最常发生的guerras,"[""7598385""]","[""7156492"", ""7824636"", ""7566190"", ""7862655"", ""7264655"", ""7875224"", ""7779116"", ""7895267"", ""7823965"", ""7445716""]",0.16666666666666663
617306,zh-es,什么缺乏会在指甲上produce白斑,"[""7502930""]","[""7122052"", ""7502930"", ""1903885"", ""7493514"", ""651395"", ""7132199"", ""5200958"", ""480677"", ""7470816"", ""5006012""]",0.125
1064470,zh-es,为什么huevos会变成褐色,"[""7728289""]","[""7362402"", ""7947909"", ""7653673"", ""4425196"", ""7796560"", ""7112336"", ""7977182"", ""7490121"", ""7431830"", ""7330215""]",0.19999999999999996
393696,zh-es,在texas申请成为经纪人需要什么要求,"[""7598745""]","[""7598745"", ""7531298"", ""7714548"", ""7155303"", ""7917141"", ""7934632"", ""7369408"", ""7341185"", ""7098122"", ""7834912""]",0.125
992193,zh-es,谁创造了supervivencia apto的概念？查尔斯·达尔文卡尔·马克思赫伯特·斯宾塞马克斯·韦伯,"[""7280593""]","[""7280593"", ""1125992"", ""7164845"", ""7577963"", ""7953714"", ""7281962"", ""750400"", ""7217405"", ""7632291"", ""7122516""]",0.0714285714285714
829915,zh-es,经父母同意，堪萨斯州的edad matrimonio是多少,"[""7787972""]","[""7787972"", ""7221882"", ""7153853"", ""6395661"", ""7367802"", ""7234193"", ""4483854"", ""7636706"", ""7535252"", ""7426486""]",0.125
987767,zh-es,罗伊摩尔con perdió 了谁,"[""7290624""]","[""7302021"", ""7774001"", ""7284690"", ""7445716"", ""7952879"", ""7843451"", ""7942709"", ""7694677"", ""7281607"", ""7932384""]",0.19999999999999996
299128,zh-es,每月多少单位的agua,"[""6720313""]","[""6720313"", ""7563235"", ""7559905"", ""7073976"", ""7776376"", ""2042074"", ""7868331"", ""7485559"", ""7598635"", ""284458""]",0.19999999999999996
814132,zh-es,什么是每日钠límite,"[""7951365""]","[""714998"", ""7837801"", ""7951365"", ""7528795"", ""1738230"", ""7595065"", ""7567998"", ""7949038"", ""7208158"", ""7617550""]",0.19999999999999996
874257,zh-es,作者用什么文学手法来描述约翰尼抢劫局forasteros的atraco,"[""7867405""]","[""7867405"", ""7907059"", ""7806789"", ""7433620"", ""7383642"", ""7535581"", ""7181201"", ""7889259"", ""7710333"", ""7392258""]",0.16666666666666663
868598,zh-es,你需要什么样的成绩才能成为一名higienista dental,"[""7743190""]","[""7863564"", ""7360530"", ""7360526"", ""7743190"", ""7688776"", ""7545801"", ""7944021"", ""882642"", ""6348579"", ""7687759""]",0.19999999999999996
1071609,zh-es,为什么噪音是个problema,"[""7816796""]","[""7478795"", ""7816796"", ""7403659"", ""7325759"", ""7747072"", ""7286100"", ""7087019"", ""7209206"", ""7561084"", ""7679560""]",0.19999999999999996
663595,zh-es,罗伯·托马斯是什么genero的,"[""7465375""]","[""7465375"", ""7689707"", ""7284690"", ""2813821"", ""7612172"", ""7733821"", ""1468468"", ""7812223"", ""7860466"", ""7515256""]",0.16666666666666663
1062203,zh-es,为什么布拉德皮特和angelina Jolie离婚,"[""7569446""]","[""7569446"", ""7864039"", ""7946505"", ""7573749"", ""7339164"", ""7761845"", ""7716653"", ""7841583"", ""7859734"", ""7292030""]",0.2857142857142857
182644,zh-es,药物戒断症状的ejemplos,"[""7935405""]","[""7935405"", ""7173651"", ""7615041"", ""7486505"", ""4631846"", ""7619606"", ""4920146"", ""7333731"", ""7227332"", ""8000498""]",0.19999999999999996
931029,zh-es,黄瓜的promedio大小是多少,"[""7812195""]","[""7812195"", ""7217353"", ""7542507"", ""7180273"", ""7229667"", ""7269212"", ""7625327"", ""7871108"", ""7442986"", ""7277294""]",0.16666666666666663
924580,zh-es,什么威士忌是由trigo制成的,"[""7853738"", ""7853736""]","[""7850797"", ""7193798"", ""7853738"", ""7658779"", ""7548306"", ""7511407"", ""7986348"", ""7842079"", ""7947269"", ""7442986""]",0.1428571428571429
837702,zh-es,helio的反义词是什么,"[""7799527""]","[""7799527"", ""7876784"", ""644710"", ""7635318"", ""7102723"", ""7768723"", ""7282170"", ""7774114"", ""7138760"", ""7627153""]",0.19999999999999996
1033156,zh-es,大jefe maestro的真名是什么,"[""7212940""]","[""7212940"", ""7078555"", ""1285360"", ""7383642"", ""7104920"", ""4321176"", ""7539156"", ""5397150"", ""7293402"", ""5225732""]",0.16666666666666663
1079185,zh-es,当corporación解散并负债时会发生什么？,"[""53048""]","[""53048"", ""3592709"", ""7229725"", ""6417290"", ""7804150"", ""7211811"", ""7814471"", ""7102693"", ""7599373"", ""7397256""]",0.125
171534,zh-es,有些汽车使用aire acondicionado来帮助descongelar吗,"[""7385189""]","[""7385189"", ""7154781"", ""4785576"", ""7861305"", ""7127370"", ""7211972"", ""7818798"", ""7710875"", ""7237323"", ""7739302""]",0.25
838500,zh-es,你手臂上extraen sangre的部位叫什么,"[""4707882""]","[""4707882"", ""7098526"", ""7273634"", ""7255804"", ""7072767"", ""6140452"", ""7855504"", ""7498309"", ""7706332"", ""7208699""]",0.125
361285,zh-es,如何去除地毯上的orina gato渍,"[""7401706""]","[""7401706"", ""3675503"", ""7801159"", ""7508333"", ""7778314"", ""2182752"", ""7237323"", ""7862995"", ""7386585"", ""7726837""]",0.25
1074603,zh-es,为什么usar videos进行营销和促销,"[""7845422""]","[""7845422"", ""7966136"", ""613301"", ""7827847"", ""7677736"", ""7194094"", ""7826615"", ""7220507"", ""7716079"", ""7734910""]",0.2857142857142857
931783,zh-es,自我形象和自我autoconcepto有什么区别,"[""7830900""]","[""7830900"", ""7164081"", ""7890507"", ""7649902"", ""7192480"", ""7696309"", ""7497224"", ""7682652"", ""7425382"", ""7294698""]",0.1428571428571429
1096025,zh-es,国家在md paga护士多少钱,"[""7541711""]","[""7658002"", ""7959134"", ""7801950"", ""7310747"", ""7541711"", ""7068733"", ""7180663"", ""7986338"", ""7663664"", ""7807954""]",0.1428571428571429
1037612,zh-es,armadillo的长度是多少,"[""7205573""]","[""7205573"", ""7865163"", ""7096250"", ""7444351"", ""7397022"", ""7669136"", ""7334481"", ""3913650"", ""7195770"", ""7848804""]",0.19999999999999996
1004565,zh-es,epcot的festival comida vino什么时候开始,"[""7255591""]","[""7255591"", ""7375794"", ""7813102"", ""7182313"", ""7536350"", ""7626981"", ""7800680"", ""7270450"", ""7270369"", ""7251313""]",0.375
630172,zh-es,中指戴戒指是什么significa ？,"[""7469958""]","[""7469958"", ""7830330"", ""7579291"", ""7657923"", ""7126077"", ""703196"", ""7534457"", ""7483978"", ""7135678"", ""7562665""]",0.16666666666666663
650157,zh-es,你是个好蛋的expresión是什么,"[""7453899""]","[""7453899"", ""7767342"", ""7675212"", ""7430396"", ""7280749"", ""7655340"", ""7474106"", ""7442986"", ""7136068"", ""1557854""]",0.11111111111111116
1031761,zh-es,cola caballo的结构是什么,"[""7215190""]","[""7875736"", ""7229117"", ""7774001"", ""7913785"", ""7084844"", ""7943734"", ""7491803"", ""7630267"", ""7102627"", ""7224841""]",0.19999999999999996
339855,zh-es,在michigan ，员工多久必须报告受伤情况,"[""7359547""]","[""7359547"", ""7103214"", ""7716503"", ""7399340"", ""1248180"", ""3161368"", ""4180526"", ""7889577"", ""7604187"", ""1110852""]",0.125
1006724,zh-es,泰国的独立día是什么时候,"[""7252753""]","[""7252753"", ""7253793"", ""6794229"", ""67027"", ""7095799"", ""7269951"", ""7739212"", ""7802832"", ""7089413"", ""7752461""]",0.1428571428571429
411367,zh-es,谷歌在中国被bloqueado了吗,"[""7633642""]","[""7633642"", ""7249466"", ""7418884"", ""7548661"", ""7653402"", ""7813011"", ""7282031"", ""7826732"", ""7163245"", ""7966136""]",0.1428571428571429
839488,zh-es,colinabos的复数是什么,"[""7866009""]","[""4765911"", ""7210561"", ""7503056"", ""7134066"", ""7106654"", ""7302473"", ""7649694"", ""7181691"", ""7714201"", ""7793893""]",0.19999999999999996
1087202,zh-es,bajo sangre的症状是什么,"[""7103722""]","[""7498309"", ""7951649"", ""7242222"", ""7246108"", ""7979212"", ""1932141"", ""7512151"", ""7520204"", ""7495509"", ""8008988""]",0.19999999999999996
1058513,zh-es,什么是类dojo usa,"[""7171329""]","[""7171329"", ""7439924"", ""7088232"", ""7697631"", ""7261923"", ""7181049"", ""7626656"", ""7674054"", ""7318251"", ""7145084""]",0.19999999999999996
1054949,zh-es,什么是biblioteca的朋友,"[""7177052""]","[""7177052"", ""7794580"", ""7362321"", ""7852802"", ""7466552"", ""7482587"", ""7433180"", ""7832158"", ""7634328"", ""7068445""]",0.19999999999999996
190380,zh-es,保持encías健康的食物,"[""5092256""]","[""7436289"", ""5092256"", ""7674152"", ""7444209"", ""7300520"", ""7471113"", ""7348911"", ""7376663"", ""7322587"", ""1325570""]",0.19999999999999996
739554,zh-es,理解和captar有什么区别,"[""7456010"", ""7044609""]","[""7126790"", ""7044609"", ""7131936"", ""7171844"", ""7323888"", ""7153221"", ""7544860"", ""7939488"", ""7376225"", ""7234457""]",0.16666666666666663
1059812,zh-es,谁的cara在钱上,"[""7290835""]","[""7290835"", ""7769264"", ""7919552"", ""7874763"", ""7085820"", ""7237013"", ""7930175"", ""7572494"", ""7125770"", ""7964304""]",0.16666666666666663
1071161,zh-es,什么是金融的长期estrategia,"[""7157744""]","[""7157744"", ""7657978"", ""4440198"", ""7188993"", ""7601275"", ""7620335"", ""8001682"", ""7961816"", ""1849766"", ""7154644""]",0.16666666666666663
