query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,zh-es,温度与volumen的正反数学关系是什么,"[""7206684""]","[""7492132"", ""7165807"", ""7206684"", ""7217353"", ""7305462"", ""2038018"", ""7220288"", ""7691361"", ""7082136"", ""7229862""]",0.11111111111111116
1035645,zh-es,俄罗斯的castillo叫什么名字,"[""7208858""]","[""7208858"", ""7170513"", ""7152404"", ""7969020"", ""7413367"", ""7105678"", ""7893280"", ""7292184"", ""7104920"", ""7357948""]",0.16666666666666663
71029,zh-es,莱姆病会导致perros的毛囊炎吗,"[""7670160""]","[""7670160"", ""7996955"", ""7902167"", ""1033337"", ""7679596"", ""7654668"", ""1163812"", ""8000492"", ""7700931"", ""7628200""]",0.1428571428571429
1083836,zh-es,fdic投保是什么significa ？,"[""1896608""]","[""1896608"", ""1159597"", ""7375334"", ""7679312"", ""7695991"", ""4191529"", ""7856336"", ""7455344"", ""7808278"", ""7608630""]",0.19999999999999996
1058885,zh-es,是什么导致了持续的干胀和arcadas secas,"[""7170528""]","[""7531239"", ""7199795"", ""7139764"", ""7522662"", ""7130660"", ""7423815"", ""5584747"", ""7112336"", ""7331086"", ""7512430""]",0.11111111111111116
1039189,zh-es,谁是星际迷航行动歼灭客队的actriz演员,"[""7805080""]","[""7239171"", ""7767103"", ""7290137"", ""7595599"", ""7983669"", ""7572869"", ""7805080"", ""7329333"", ""7355808"", ""7296899""]",0.11111111111111116
829562,zh-es,政党的主要objetivo是什么？,"[""3347905""]","[""3347905"", ""7420461"", ""7284311"", ""7386744"", ""7215081"", ""7216092"", ""2917712"", ""7681560"", ""7738446"", ""2468148""]",0.16666666666666663
1055884,zh-es,谁是第一个在写作中utilizar社会学的作者,"[""67588""]","[""7763743"", ""67588"", ""7082559"", ""7474496"", ""145831"", ""7435832"", ""7283703"", ""7815026"", ""7280593"", ""7577963""]",0.09999999999999998
466830,zh-es,氮中的质子数、 neutrones和电子数 14,"[""7709283""]","[""7709283"", ""7158898"", ""7080008"", ""7206592"", ""7777896"", ""7100247"", ""7107654"", ""7495648"", ""3349239"", ""7674848""]",0.18181818181818177
1048871,zh-es,谁在bunkd中interpreta xander,"[""4146836""]","[""4146836"", ""7888038"", ""7383642"", ""7292304"", ""7290270"", ""7412014"", ""7750201"", ""7302021"", ""7935417"", ""7213206""]",0.16666666666666663
1085775,zh-es,guiadas图像利用什么conexión将您带入深入,"[""7116157""]","[""7341578"", ""7116157"", ""7456010"", ""7244486"", ""7279218"", ""7489347"", ""7356443"", ""7026760"", ""7138717"", ""7984373""]",0.2222222222222222
884298,zh-es,哪些参数会影响呼吸机的i : relación e,"[""7928696"", ""7928694""]","[""7928694"", ""7684288"", ""7558643"", ""7239751"", ""7861394"", ""7555333"", ""2038018"", ""7944469"", ""7081906"", ""7305462""]",0.11111111111111116
1097199,zh-es,一个mujer有多少个卵子,"[""7433925""]","[""7433792"", ""2263573"", ""7713961"", ""7778459"", ""7806346"", ""7760858"", ""7230638"", ""7623591"", ""110910"", ""7418762""]",0.16666666666666663
950016,zh-es,suiza的夏令时是什么时候,"[""7754765""]","[""7754765"", ""7964726"", ""7236525"", ""7853910"", ""7236909"", ""924613"", ""7237444"", ""4484371"", ""4404202"", ""7601337""]",0.16666666666666663
337148,zh-es,你的小狗应该多大才能recibir狂犬病疫苗,"[""7389316""]","[""7389316"", ""7974596"", ""7076146"", ""7700487"", ""7311939"", ""609254"", ""7493757"", ""7187607"", ""7312387"", ""7072670""]",0.11111111111111116
733241,zh-es,什么被认为是vestimenta,"[""1699500""]","[""7933515"", ""7355625"", ""7069399"", ""7639975"", ""889435"", ""7649080"", ""7736154"", ""7903840"", ""775748"", ""7773595""]",0.19999999999999996
576898,zh-es,什么是最常发生的guerras,"[""7598385""]","[""7751472"", ""7566190"", ""7738141"", ""7264655"", ""4359950"", ""2524631"", ""7779116"", ""4902384"", ""7898346"", ""7067901""]",0.16666666666666663
617306,zh-es,什么缺乏会在指甲上produce白斑,"[""7502930""]","[""7502930"", ""7122052"", ""1903885"", ""7493514"", ""5200958"", ""7132199"", ""7471105"", ""7272453"", ""4948097"", ""7520521""]",0.125
1064470,zh-es,为什么huevos会变成褐色,"[""7728289""]","[""7653673"", ""7728289"", ""7442410"", ""7458144"", ""7217353"", ""7206684"", ""7975886"", ""7115236"", ""7452407"", ""7192340""]",0.19999999999999996
