query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,zh-es,温度与volumen的正反数学关系是什么,"[""7206684""]","[""7217353"", ""7082136"", ""7944469"", ""7692857"", ""7229862"", ""7488637"", ""7305139"", ""7527060"", ""2038018"", ""2267681""]",0.11111111111111116
1035645,zh-es,俄罗斯的castillo叫什么名字,"[""7208858""]","[""7208858"", ""7132734"", ""7355625"", ""7224927"", ""7132154"", ""7512964"", ""7128290"", ""8003834"", ""7170513"", ""7471666""]",0.16666666666666663
71029,zh-es,莱姆病会导致perros的毛囊炎吗,"[""7670160""]","[""7656104"", ""8008902"", ""7908187"", ""7120060"", ""559585"", ""7996955"", ""7303364"", ""7983115"", ""7785142"", ""7442428""]",0.1428571428571429
1083836,zh-es,fdic投保是什么significa ？,"[""1896608""]","[""1896608"", ""7562472"", ""7990660"", ""7246790"", ""7871824"", ""7151874"", ""7190322"", ""7938563"", ""7204812"", ""7230736""]",0.19999999999999996
1058885,zh-es,是什么导致了持续的干胀和arcadas secas,"[""7170528""]","[""7183848"", ""3326733"", ""7547622"", ""5293044"", ""7508806"", ""7934197"", ""7371824"", ""7240172"", ""7531239"", ""7528852""]",0.11111111111111116
1039189,zh-es,谁是星际迷航行动歼灭客队的actriz演员,"[""7805080""]","[""7329333"", ""7983669"", ""7739476"", ""7795356"", ""7095246"", ""7387422"", ""7239171"", ""7355808"", ""7906424"", ""7572869""]",0.11111111111111116
829562,zh-es,政党的主要objetivo是什么？,"[""3347905""]","[""7159064"", ""7846219"", ""7824897"", ""3347905"", ""7871824"", ""7155203"", ""7384285"", ""497674"", ""8003834"", ""7468709""]",0.16666666666666663
1055884,zh-es,谁是第一个在写作中utilizar社会学的作者,"[""67588""]","[""7681560"", ""7763743"", ""7787203"", ""7541544"", ""7405441"", ""7626411"", ""7798251"", ""7943543"", ""7435832"", ""7618484""]",0.09999999999999998
466830,zh-es,氮中的质子数、 neutrones和电子数 14,"[""7709283""]","[""7080008"", ""7709283"", ""7674848"", ""7143675"", ""3349239"", ""7107654"", ""3139046"", ""7977659"", ""7158898"", ""7402796""]",0.18181818181818177
1048871,zh-es,谁在bunkd中interpreta xander,"[""4146836""]","[""4146836"", ""7938563"", ""7291425"", ""7355625"", ""1423560"", ""7793763"", ""7235939"", ""7290399"", ""7471666"", ""7235946""]",0.16666666666666663
1085775,zh-es,guiadas图像利用什么conexión将您带入深入,"[""7116157""]","[""7154100"", ""7938563"", ""7339731"", ""7217353"", ""7752264"", ""8003834"", ""7356443"", ""1557854"", ""7116157"", ""7943897""]",0.2222222222222222
884298,zh-es,哪些参数会影响呼吸机的i : relación e,"[""7928696"", ""7928694""]","[""7928694"", ""7082136"", ""7558643"", ""7079907"", ""7237598"", ""4731340"", ""7358221"", ""7213490"", ""7796738"", ""7196420""]",0.11111111111111116
1097199,zh-es,一个mujer有多少个卵子,"[""7433925""]","[""7273604"", ""7433925"", ""7433792"", ""7401799"", ""2263573"", ""7713961"", ""7806346"", ""7349980"", ""7190753"", ""7154572""]",0.16666666666666663
950016,zh-es,suiza的夏令时是什么时候,"[""7754765""]","[""7754765"", ""7910373"", ""7853910"", ""7095708"", ""7936377"", ""7977128"", ""8009106"", ""7506243"", ""7095246"", ""7278842""]",0.16666666666666663
337148,zh-es,你的小狗应该多大才能recibir狂犬病疫苗,"[""7389316""]","[""7312387"", ""7076146"", ""7389316"", ""7311939"", ""609254"", ""7700487"", ""7757063"", ""6735652"", ""7974596"", ""7785142""]",0.11111111111111116
733241,zh-es,什么被认为是vestimenta,"[""1699500""]","[""7159064"", ""8003834"", ""7178334"", ""7091662"", ""1557854"", ""7569244"", ""7089269"", ""7392084"", ""7346150"", ""7577342""]",0.19999999999999996
