query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,es,¿Cuál es la relación matemática entre temperatura y volumen directa o inversa?,"[""7206684""]","[""7206684"", ""7165807"", ""7804101"", ""7305139"", ""7502195"", ""7934279"", ""7272695"", ""7622515"", ""7217353"", ""7220288""]",
1035645,es,cual es el nombre del castillo en rusia,"[""7208858""]","[""7208858"", ""7851318"", ""7105678"", ""7152404"", ""1878861"", ""7957524"", ""7858842"", ""7826216"", ""7292184"", ""7028429""]",
71029,es,¿Puede la enfermedad de Lyme causar foliculitis en perros?,"[""7670160""]","[""7670160"", ""7679596"", ""1033337"", ""7519478"", ""7795418"", ""7089741"", ""7112464"", ""7452987"", ""7345967"", ""7455776""]",
1083836,es,¿Qué significa asegurado por fdic?,"[""1896608""]","[""1896608"", ""4191529"", ""7313355"", ""7148904"", ""7522344"", ""7146364"", ""541662"", ""7154644"", ""7596461"", ""7962108""]",
1058885,es,¿Qué está causando las constantes náuseas y arcadas secas?,"[""7170528""]","[""5584747"", ""7966808"", ""764872"", ""382685"", ""7531239"", ""7654082"", ""7375386"", ""7533102"", ""7966805"", ""7112652""]",
1039189,es,¿Quién es la actriz del equipo visitante en la operación Star Trek Aniquilar?,"[""7805080""]","[""7983669"", ""7125366"", ""7694677"", ""7805080"", ""7828507"", ""1757350"", ""3394797"", ""7900419"", ""270380"", ""7932656""]",
829562,es,¿Cuál es el objetivo principal de un partido político?,"[""3347905""]","[""3347905"", ""4582296"", ""1455862"", ""2468148"", ""3353086"", ""7216092"", ""7619859"", ""7847593"", ""7210828"", ""7738446""]",
1055884,es,¿Quién fue el primer autor en utilizar la sociología en sus escritos?,"[""67588""]","[""67588"", ""7763743"", ""7907439"", ""7435832"", ""7082559"", ""8003099"", ""67596"", ""7213343"", ""7907440"", ""7763140""]",
466830,es,"número de protones, neutrones y electrones en nitrógeno 14","[""7709283""]","[""7709283"", ""7158898"", ""7080008"", ""3349239"", ""7107654"", ""7240603"", ""7402796"", ""34489"", ""7674848"", ""7711538""]",
1048871,es,quien interpreta a xander de bunkd,"[""4146836""]","[""4146836"", ""7124323"", ""4439219"", ""7290270"", ""7412017"", ""7764195"", ""7383642"", ""7290399"", ""7105098"", ""7927438""]",
1085775,es,¿Qué conexión aprovechan las imágenes guiadas para transportarte profundamente,"[""7116157""]","[""7116157"", ""7634650"", ""7901200"", ""7150228"", ""7621537"", ""7984373"", ""7982167"", ""7929939"", ""7111959"", ""7186693""]",
884298,es,¿Qué parámetros afectan la relación i: e en los ventiladores?,"[""7928696"", ""7928694""]","[""7215725"", ""7928694"", ""7966440"", ""2038018"", ""7928696"", ""7358221"", ""7079907"", ""7625523"", ""7998086"", ""7864191""]",
