query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,es,¿Cuál es la relación matemática entre temperatura y volumen directa o inversa?,"[""7206684""]","[""822036"", ""7371680"", ""7984289"", ""3915657"", ""4832862"", ""7966440"", ""7410206"", ""3665578"", ""7520828"", ""2496088""]",
1035645,es,cual es el nombre del castillo en rusia,"[""7208858""]","[""7878223"", ""7325559"", ""7982362"", ""7397648"", ""7529532"", ""7748280"", ""7990461"", ""7771960"", ""7756655"", ""7927005""]",
71029,es,¿Puede la enfermedad de Lyme causar foliculitis en perros?,"[""7670160""]","[""7866528"", ""7148584"", ""8008925"", ""7459302"", ""7236285"", ""7185585"", ""7963400"", ""7122052"", ""7515648"", ""7569341""]",
1083836,es,¿Qué significa asegurado por fdic?,"[""1896608""]","[""7619332"", ""7892090"", ""7147797"", ""7752582"", ""7536026"", ""7874187"", ""7505049"", ""7348925"", ""7532271"", ""7093431""]",
1058885,es,¿Qué está causando las constantes náuseas y arcadas secas?,"[""7170528""]","[""7693362"", ""4230295"", ""7178357"", ""7637830"", ""7615873"", ""5656368"", ""7254580"", ""7619420"", ""2001175"", ""7418783""]",
1039189,es,¿Quién es la actriz del equipo visitante en la operación Star Trek Aniquilar?,"[""7805080""]","[""7493809"", ""7371165"", ""7926959"", ""7310262"", ""7946465"", ""7174285"", ""654791"", ""7971861"", ""7740131"", ""7982773""]",
829562,es,¿Cuál es el objetivo principal de un partido político?,"[""3347905""]","[""4753532"", ""7971951"", ""7376016"", ""1159597"", ""7682806"", ""7795062"", ""7623844"", ""7544522"", ""7163425"", ""7211119""]",
1055884,es,¿Quién fue el primer autor en utilizar la sociología en sus escritos?,"[""67588""]","[""7720711"", ""7134147"", ""7159126"", ""1718067"", ""7573254"", ""7887660"", ""7161008"", ""1452719"", ""4172372"", ""5280730""]",
466830,es,"número de protones, neutrones y electrones en nitrógeno 14","[""7709283""]","[""7971861"", ""7432455"", ""7740131"", ""7946465"", ""7493809"", ""7371165"", ""7127124"", ""7887912"", ""7174285"", ""7310262""]",
1048871,es,quien interpreta a xander de bunkd,"[""4146836""]","[""7756655"", ""7990461"", ""7373752"", ""1304103"", ""7928461"", ""7682652"", ""7397648"", ""7982362"", ""7694886"", ""7561251""]",
1085775,es,¿Qué conexión aprovechan las imágenes guiadas para transportarte profundamente,"[""7116157""]","[""7493809"", ""7798008"", ""7174285"", ""7127124"", ""7371165"", ""7740131"", ""7946465"", ""7982773"", ""7310262"", ""7926959""]",
884298,es,¿Qué parámetros afectan la relación i: e en los ventiladores?,"[""7928696"", ""7928694""]","[""7566846"", ""7425084"", ""7770539"", ""7161172"", ""7127158"", ""6055"", ""7778190"", ""6663248"", ""7372135"", ""7771248""]",
1097199,es,¿Cuántos óvulos tiene una mujer?,"[""7433925""]","[""7532271"", ""3770188"", ""7536026"", ""7093431"", ""7490179"", ""7231956"", ""7231908"", ""7986449"", ""7619332"", ""7616713""]",
950016,es,¿Cuándo es el horario de verano en Suiza?,"[""7754765""]","[""7160096"", ""699578"", ""7286553"", ""7751404"", ""7416894"", ""7938994"", ""7221794"", ""7762222"", ""7669704"", ""7501854""]",
337148,es,¿Qué edad debe tener su cachorro para recibir la vacuna contra la rabia?,"[""7389316""]","[""7371165"", ""7946465"", ""7493809"", ""7798008"", ""7971861"", ""7174285"", ""654791"", ""7127124"", ""7249337"", ""7310262""]",
