query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,en,what is the mathematical relationship between temperature and volume direct or inverse,"[""7206684""]","[""7206684"", ""7165807"", ""7272695"", ""7249128"", ""7305139"", ""7659466"", ""2038018"", ""7492132"", ""7365294"", ""7502195""]",
1035645,en,what is the name of the castle in russia,"[""7208858""]","[""7208858"", ""7851318"", ""7152404"", ""7292184"", ""7105678"", ""7246021"", ""7858842"", ""7262494"", ""7085238"", ""1878861""]",
71029,en,can lyme disease cause folliculitis in dogs,"[""7670160""]","[""1033337"", ""7455776"", ""7670160"", ""7452987"", ""7679596"", ""7167778"", ""7795418"", ""7345967"", ""378086"", ""7508730""]",
1083836,en,what does fdic insured mean?,"[""1896608""]","[""1896608"", ""7704366"", ""7211811"", ""7375334"", ""7536026"", ""7146364"", ""7170029"", ""7688312"", ""7308077"", ""7522344""]",
1058885,en,what is causing the constant dry heaving and nausea,"[""7170528""]","[""7966804"", ""5584747"", ""764872"", ""7110876"", ""7966805"", ""7966808"", ""7550270"", ""7242222"", ""7325629"", ""382685""]",
1039189,en,who is the actress on the away team in star trek operation annihilate,"[""7805080""]","[""7983669"", ""7125366"", ""7383642"", ""1757350"", ""3909183"", ""7694677"", ""7290137"", ""7955693"", ""7958566"", ""7724670""]",
829562,en,what is the main purpose of a political party?,"[""3347905""]","[""3347905"", ""1455862"", ""4582296"", ""7216092"", ""2468148"", ""7567257"", ""4226248"", ""991142"", ""7797820"", ""7759153""]",
1055884,en,who was the first author to use sociology in their writing,"[""67588""]","[""7763743"", ""67588"", ""67596"", ""7907439"", ""7907440"", ""7763140"", ""7213343"", ""8003099"", ""7082559"", ""7200796""]",
466830,en,number of protons neutrons and electrons in nitrogen 14,"[""7709283""]","[""7709283"", ""7158898"", ""7080008"", ""3349239"", ""7206592"", ""7977659"", ""7404441"", ""7777896"", ""7151598"", ""7143675""]",
1048871,en,who plays xander from bunkd,"[""4146836""]","[""4146836"", ""7451471"", ""7383642"", ""3645675"", ""7855353"", ""7290260"", ""7764195"", ""7929314"", ""7412014"", ""7292304""]",
1085775,en,what connection does guided imagery take advantage of to transport you deep into,"[""7116157""]","[""7116157"", ""7186693"", ""7634650"", ""7621537"", ""7111959"", ""7588579"", ""969542"", ""7150228"", ""4731340"", ""7984373""]",
884298,en,what parameters effect i:e ratio on ventilators,"[""7928696"", ""7928694""]","[""7928694"", ""7079907"", ""7966440"", ""7864191"", ""1192808"", ""7928696"", ""7367246"", ""7268557"", ""7196268"", ""1192810""]",
1097199,en,how many eggs do does a woman have,"[""7433925""]","[""7433925"", ""110910"", ""7623591"", ""7365014"", ""7273604"", ""7992043"", ""7255867"", ""7392437"", ""4697480"", ""7414499""]",
950016,en,when is daylight savings time for switzerland,"[""7754765""]","[""7754765"", ""7095708"", ""7438631"", ""256757"", ""7236525"", ""7862783"", ""7410122"", ""7597092"", ""7601337"", ""7204196""]",
337148,en,how old should your puppy be to get a rabies shot,"[""7389316""]","[""7311939"", ""7700487"", ""7389316"", ""7974596"", ""609254"", ""7076146"", ""7187607"", ""7493757"", ""3041398"", ""7492451""]",
733241,en,what is considered attire,"[""1699500""]","[""7933515"", ""7171569"", ""1699500"", ""7766841"", ""7857342"", ""7421911"", ""2618061"", ""7170449"", ""7856651"", ""7715036""]",
