query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,zh,温度与体积的正反数学关系是什么,"[""7206684""]","[""7206684"", ""7379549"", ""7165807"", ""7502195"", ""7672368"", ""7305139"", ""7555272"", ""7934279"", ""7217353"", ""7492132""]",
1035645,zh,俄罗斯的城堡叫什么名字,"[""7208858""]","[""7208858"", ""1878861"", ""7105678"", ""7851318"", ""7152404"", ""7858842"", ""7957524"", ""7826216"", ""7028429"", ""7246021""]",
71029,zh,莱姆病会导致狗的毛囊炎吗,"[""7670160""]","[""7519478"", ""7452987"", ""1033337"", ""7679596"", ""7795418"", ""7670160"", ""7345967"", ""7089741"", ""7455776"", ""378086""]",
1083836,zh,fdic 投保是什么意思？,"[""1896608""]","[""1896608"", ""7375334"", ""4191529"", ""7148904"", ""7313355"", ""7146364"", ""7962108"", ""541662"", ""7916202"", ""7903969""]",
1058885,zh,是什么导致了持续的干胀和恶心,"[""7170528""]","[""7533102"", ""7125409"", ""7112652"", ""7654082"", ""7205952"", ""7550270"", ""298259"", ""7641338"", ""7505391"", ""382685""]",
1039189,zh,谁是星际迷航行动歼灭客队的女演员,"[""7805080""]","[""7983669"", ""7287434"", ""7125366"", ""7828507"", ""7180498"", ""7572869"", ""7841397"", ""7694677"", ""7805080"", ""7383642""]",
829562,zh,政党的主要目的是什么？,"[""3347905""]","[""3347905"", ""4582296"", ""7210828"", ""3353086"", ""7216092"", ""8006164"", ""7865401"", ""7704866"", ""7925187"", ""7846219""]",
1055884,zh,谁是第一个在写作中使用社会学的作者,"[""67588""]","[""7213343"", ""7763743"", ""7082559"", ""67588"", ""7435832"", ""8003099"", ""7433620"", ""67596"", ""7257833"", ""7810625""]",
466830,zh,氮中的质子数、中子数和电子数 14,"[""7709283""]","[""7709283"", ""7158898"", ""7080008"", ""3349239"", ""34489"", ""7404441"", ""7240603"", ""7777896"", ""7642478"", ""7674924""]",
1048871,zh,谁在 bunkd 中扮演 xander,"[""4146836""]","[""4146836"", ""4439219"", ""7124323"", ""7764195"", ""7290270"", ""7383642"", ""7105098"", ""7412017"", ""7636646"", ""7927438""]",
1085775,zh,引导图像利用什么联系将您带入深入,"[""7116157""]","[""7116157"", ""7901200"", ""7919768"", ""7621537"", ""7984373"", ""7299175"", ""7279218"", ""7150228"", ""7154134"", ""7730985""]",
884298,zh,哪些参数会影响呼吸机的 i:e 比率,"[""7928696"", ""7928694""]","[""7928694"", ""7928696"", ""7864191"", ""7079907"", ""7139043"", ""7209206"", ""7625523"", ""7574513"", ""7116305"", ""7379651""]",
1097199,zh,一个女人有多少个卵子,"[""7433925""]","[""7273604"", ""7433925"", ""7365014"", ""7210214"", ""7623591"", ""7992043"", ""6093010"", ""7783998"", ""7211660"", ""7401799""]",
950016,zh,瑞士的夏令时是什么时候,"[""7754765""]","[""7754765"", ""256757"", ""7853910"", ""166256"", ""7973805"", ""4404202"", ""7601337"", ""73799"", ""7236525"", ""7679151""]",
337148,zh,你的小狗应该多大才能接种狂犬病疫苗,"[""7389316""]","[""7311939"", ""7389316"", ""7974596"", ""7700487"", ""609254"", ""7076146"", ""7492935"", ""11527"", ""3041398"", ""7187607""]",
733241,zh,什么被认为是着装,"[""1699500""]","[""7933515"", ""7171569"", ""7170449"", ""7649080"", ""7597656"", ""1699500"", ""7857342"", ""7421911"", ""7812024"", ""7355625""]",
