query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,es-en,¿ Cuál es la relationship matemática entre temperature y volumen directa o inversa?,"[""7206684""]","[""7206684"", ""2008909"", ""7272695"", ""7217353"", ""7229862"", ""7305462"", ""7561164"", ""7672368"", ""7078822"", ""7622515""]",0.16666666666666663
1035645,es-en,cual es el nombre del castle en rusia,"[""7208858""]","[""7208858"", ""7292184"", ""7858842"", ""7396043"", ""7152404"", ""7495093"", ""1878861"", ""7105678"", ""7318694"", ""7957524""]",0.125
71029,es-en,¿ Puede la enfermedad de Lyme causar foliculitis en dogs?,"[""7670160""]","[""7670160"", ""7679596"", ""7996955"", ""1163812"", ""7112464"", ""7459302"", ""7793170"", ""3152590"", ""7312387"", ""7519478""]",0.11111111111111116
1083836,es-en,¿ Qué significa insured por fdic?,"[""1896608""]","[""1896608"", ""7148904"", ""4191529"", ""1159597"", ""7697631"", ""7916202"", ""7808278"", ""7283678"", ""7115765"", ""8009476""]",0.19999999999999996
1058885,es-en,¿ Qué está causando the constant heaving y arcadas secas?,"[""7170528""]","[""5584747"", ""7199795"", ""7531239"", ""4486381"", ""7148507"", ""7528849"", ""7647509"", ""7325703"", ""7980638"", ""7533102""]",0.33333333333333337
1039189,es-en,¿ Quién es la actriz del equipo visitante en operation Star Trek Aniquilar?,"[""7805080""]","[""7623844"", ""7239171"", ""3394797"", ""7624731"", ""7694677"", ""7329333"", ""7125366"", ""270380"", ""7805080"", ""7124323""]",0.15384615384615385
829562,es-en,¿ Cuál es el objetivo main de un partido político?,"[""3347905""]","[""3347905"", ""7216092"", ""7245877"", ""7105479"", ""2468148"", ""4582296"", ""7624848"", ""7100389"", ""7619859"", ""7100572""]",0.11111111111111116
1055884,es-en,¿ Quién fue el primer autor en utilizar la sociología en their writing?,"[""67588""]","[""67588"", ""7763743"", ""7907439"", ""7257833"", ""7466996"", ""7424454"", ""7283703"", ""7213343"", ""7200796"", ""7867405""]",0.16666666666666663
466830,es-en,número de protones neutrons y electrones en nitrógeno 14,"[""7709283""]","[""7709283"", ""7158898"", ""7080008"", ""7674848"", ""7965476"", ""7402796"", ""7777896"", ""3349239"", ""7206592"", ""7107654""]",0.11111111111111116
1048871,es-en,quien plays a xander de bunkd,"[""4146836""]","[""4146836"", ""7085516"", ""7888038"", ""7806882"", ""7124323"", ""7767103"", ""7383642"", ""7935493"", ""7290260"", ""7125360""]",0.16666666666666663
