query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,zh,温度与体积的正反数学关系是什么,"[""7206684""]","[""7692857"", ""7944469"", ""7213490"", ""7305139"", ""7082136"", ""2267681"", ""7953416"", ""7229862"", ""7217353"", ""46276""]",
1035645,zh,俄罗斯的城堡叫什么名字,"[""7208858""]","[""7208858"", ""8003834"", ""7396043"", ""7085238"", ""7128290"", ""7726263"", ""7938563"", ""7355625"", ""7292184"", ""7826216""]",
71029,zh,莱姆病会导致狗的毛囊炎吗,"[""7670160""]","[""7089741"", ""7670160"", ""7452987"", ""7676140"", ""7679596"", ""7112464"", ""7837036"", ""7630491"", ""8008902"", ""7481555""]",
1083836,zh,fdic 投保是什么意思？,"[""1896608""]","[""1896608"", ""7871824"", ""7308077"", ""1159597"", ""7990660"", ""7067891"", ""7808278"", ""7854955"", ""7857918"", ""7204812""]",
1058885,zh,是什么导致了持续的干胀和恶心,"[""7170528""]","[""7528852"", ""7103054"", ""7409612"", ""3326733"", ""7531239"", ""7641338"", ""298259"", ""4595237"", ""7921634"", ""7481555""]",
1039189,zh,谁是星际迷航行动歼灭客队的女演员,"[""7805080""]","[""7329333"", ""7906424"", ""7355808"", ""7387422"", ""7239171"", ""7938563"", ""7095246"", ""7983669"", ""7572869"", ""7125366""]",
829562,zh,政党的主要目的是什么？,"[""3347905""]","[""3347905"", ""7396947"", ""3353086"", ""7925187"", ""381174"", ""2013367"", ""7521532"", ""2468148"", ""7865401"", ""4582296""]",
1055884,zh,谁是第一个在写作中使用社会学的作者,"[""67588""]","[""7763743"", ""7435832"", ""7787203"", ""7626411"", ""7541544"", ""67588"", ""7798251"", ""7280593"", ""7082559"", ""7213343""]",
466830,zh,氮中的质子数、中子数和电子数 14,"[""7709283""]","[""7080008"", ""7709283"", ""7143675"", ""3349239"", ""3139046"", ""7943896"", ""7977659"", ""5705062"", ""7107597"", ""7867320""]",
1048871,zh,谁在 bunkd 中扮演 xander,"[""4146836""]","[""4146836"", ""7646041"", ""7085516"", ""7750201"", ""7290399"", ""7642657"", ""7755756"", ""7302021"", ""7387422"", ""7935110""]",
1085775,zh,引导图像利用什么联系将您带入深入,"[""7116157""]","[""7752264"", ""7938563"", ""7188975"", ""7356443"", ""7893227"", ""7727961"", ""7519486"", ""7212410"", ""7297379"", ""1563923""]",
884298,zh,哪些参数会影响呼吸机的 i:e 比率,"[""7928696"", ""7928694""]","[""7928694"", ""7116305"", ""7558643"", ""7358221"", ""7079907"", ""7161190"", ""7928696"", ""7082136"", ""7268557"", ""7196420""]",
1097199,zh,一个女人有多少个卵子,"[""7433925""]","[""7433925"", ""7273604"", ""2263573"", ""7255867"", ""7401799"", ""7433792"", ""7840105"", ""7992043"", ""7534069"", ""7783998""]",
950016,zh,瑞士的夏令时是什么时候,"[""7754765""]","[""7754765"", ""7410122"", ""7910373"", ""7095708"", ""7936377"", ""7086985"", ""7853910"", ""4404202"", ""7539133"", ""7278842""]",
337148,zh,你的小狗应该多大才能接种狂犬病疫苗,"[""7389316""]","[""7076146"", ""7312387"", ""7389316"", ""7311939"", ""7700487"", ""7974596"", ""609254"", ""6735652"", ""3654352"", ""7493757""]",
733241,zh,什么被认为是着装,"[""1699500""]","[""7933515"", ""7171569"", ""7766841"", ""7126077"", ""7355625"", ""7649080"", ""7572956"", ""2618061"", ""7170449"", ""1699500""]",
576898,zh,什么是最常发生的战争,"[""7598385""]","[""7214220"", ""7253685"", ""7628825"", ""7447606"", ""7598385"", ""7926327"", ""7243739"", ""7146913"", ""7843451"", ""7494558""]",
617306,zh,什么缺乏会在指甲上产生白斑,"[""7502930""]","[""7122052"", ""7502930"", ""7493514"", ""4502700"", ""651395"", ""4696351"", ""7712580"", ""7424412"", ""7593902"", ""1903885""]",
1064470,zh,为什么鸡蛋会变成褐色,"[""7728289""]","[""7728289"", ""7196833"", ""7273604"", ""1501464"", ""7105534"", ""7510610"", ""7357076"", ""1414091"", ""7332142"", ""6724191""]",
393696,zh,在德克萨斯州申请成为经纪人需要什么要求,"[""7598745""]","[""7073772"", ""7598745"", ""2558125"", ""7384736"", ""7714548"", ""1861429"", ""7600551"", ""7181768"", ""7645183"", ""7253127""]",
992193,zh,谁创造了适者生存的概念？查尔斯·达尔文卡尔·马克思赫伯特·斯宾塞马克斯·韦伯,"[""7280593""]","[""7280593"", ""7541544"", ""7798251"", ""4772781"", ""7618604"", ""7107894"", ""7615958"", ""7605018"", ""7217405"", ""7107597""]",
829915,zh,经父母同意，堪萨斯州的结婚年龄是多少,"[""7787972""]","[""7787972"", ""7358369"", ""6395661"", ""5898158"", ""7900321"", ""7221882"", ""7468059"", ""7559824"", ""7790637"", ""5060899""]",
987767,zh,罗伊摩尔输给了谁,"[""7290624""]","[""7146913"", ""7990677"", ""7987999"", ""7471666"", ""7290624"", ""7459902"", ""7797916"", ""7095246"", ""7938563"", ""7806882""]",
299128,zh,每月多少单位的水,"[""6720313""]","[""6720313"", ""7376730"", ""7229678"", ""2336191"", ""2173490"", ""7776376"", ""7073976"", ""7440310"", ""7994733"", ""7326865""]",
814132,zh,什么是每日钠限量,"[""7951365""]","[""714998"", ""2336191"", ""7837801"", ""7951365"", ""7485559"", ""7535614"", ""2304767"", ""3545260"", ""7871824"", ""7461178""]",
874257,zh,作者用什么文学手法来描述约翰尼抢劫局外人的行为,"[""7867405""]","[""7938563"", ""7471666"", ""7277338"", ""7902915"", ""7471665"", ""7778543"", ""7235939"", ""7235946"", ""7951438"", ""7081440""]",
868598,zh,你需要什么样的成绩才能成为一名牙科保健员,"[""7743190""]","[""6348579"", ""7360530"", ""7583542"", ""7743190"", ""7690834"", ""7360526"", ""7899651"", ""7238972"", ""7901950"", ""1517511""]",
1071609,zh,为什么噪音是个问题,"[""7816796""]","[""7087019"", ""7959025"", ""1011107"", ""7816796"", ""7938647"", ""7531239"", ""7216983"", ""7209206"", ""7355759"", ""7679560""]",
663595,zh,罗伯·托马斯是什么类型的,"[""7465375""]","[""7465375"", ""7481515"", ""7123963"", ""7468428"", ""7140679"", ""8003834"", ""7247439"", ""7471666"", ""7830210"", ""7780734""]",
1062203,zh,为什么布拉德皮特和安吉丽娜朱莉离婚,"[""7569446""]","[""7569446"", ""7573749"", ""7471666"", ""7901881"", ""7530341"", ""7841583"", ""7273604"", ""7864039"", ""7864034"", ""7938563""]",
182644,zh,药物戒断症状的例子,"[""7935405""]","[""4631846"", ""7493839"", ""7173651"", ""7513659"", ""7615041"", ""7299269"", ""7935405"", ""8000498"", ""7477943"", ""7611857""]",
931029,zh,黄瓜的平均大小是多少,"[""7812195""]","[""7946454"", ""5264767"", ""7205329"", ""7314658"", ""7812195"", ""7601989"", ""7415073"", ""7464831"", ""7502667"", ""7330021""]",
924580,zh,什么威士忌是由小麦制成的,"[""7853738"", ""7853736""]","[""7853738"", ""7481441"", ""7853736"", ""7442986"", ""7223320"", ""7288893"", ""7829484"", ""7474170"", ""7548306"", ""7392279""]",
837702,zh,氦的反义词是什么,"[""7799527""]","[""7938563"", ""7671268"", ""706654"", ""7710180"", ""7799527"", ""7674924"", ""7471666"", ""7427449"", ""7088841"", ""7189483""]",
1033156,zh,大酋长的真名是什么,"[""7212940""]","[""7091662"", ""7726263"", ""7759913"", ""7756309"", ""7418884"", ""7562472"", ""7938563"", ""7134705"", ""7146570"", ""7132734""]",
1079185,zh,当公司解散并负债时会发生什么？,"[""53048""]","[""53048"", ""7142739"", ""7091953"", ""7834328"", ""7397256"", ""7804150"", ""6417290"", ""7358089"", ""7321071"", ""7934197""]",
171534,zh,有些汽车使用空调来帮助除霜吗,"[""7385189""]","[""7385189"", ""7211972"", ""7851646"", ""7300488"", ""7910955"", ""7338336"", ""7067759"", ""7091598"", ""7079467"", ""7154781""]",
838500,zh,你手臂上抽血的部位叫什么,"[""4707882""]","[""4707882"", ""7572965"", ""538189"", ""7813427"", ""7342775"", ""7142553"", ""735198"", ""7855504"", ""7710810"", ""4099943""]",
361285,zh,如何去除地毯上的猫尿渍,"[""7401706""]","[""7401706"", ""7834434"", ""7392272"", ""8000759"", ""7726837"", ""7072465"", ""7483017"", ""7365714"", ""7439066"", ""7134569""]",
1074603,zh,为什么使用视频进行营销和促销,"[""7845422""]","[""7845422"", ""7826615"", ""7544522"", ""7388532"", ""7970530"", ""7078112"", ""7734910"", ""7656121"", ""7659801"", ""4043421""]",
931783,zh,自我形象和自我概念有什么区别,"[""7830900""]","[""7830900"", ""7164081"", ""7987691"", ""845751"", ""7294698"", ""7890507"", ""7873843"", ""7866575"", ""3547620"", ""7471666""]",
