query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,zh,温度与体积的正反数学关系是什么,"[""7206684""]","[""7272695"", ""7217353"", ""7165807"", ""7527060"", ""1468748"", ""7492132"", ""7220288"", ""7672368"", ""7944469"", ""7566992""]",
1035645,zh,俄罗斯的城堡叫什么名字,"[""7208858""]","[""7208858"", ""7105678"", ""7396043"", ""7858842"", ""7152404"", ""7647057"", ""7934611"", ""7886203"", ""7132734"", ""7102315""]",
71029,zh,莱姆病会导致狗的毛囊炎吗,"[""7670160""]","[""7459302"", ""4973544"", ""7630491"", ""7996955"", ""7345967"", ""663950"", ""7670160"", ""7089741"", ""7983115"", ""7455776""]",
1083836,zh,fdic 投保是什么意思？,"[""1896608""]","[""1896608"", ""7697631"", ""1159597"", ""7375334"", ""7308077"", ""7397110"", ""7272930"", ""4191529"", ""4591673"", ""7871824""]",
1058885,zh,是什么导致了持续的干胀和恶心,"[""7170528""]","[""7528852"", ""7966808"", ""298257"", ""7399600"", ""298259"", ""7435920"", ""7139764"", ""7966804"", ""5584747"", ""7452232""]",
1039189,zh,谁是星际迷航行动歼灭客队的女演员,"[""7805080""]","[""7288284"", ""7490735"", ""7572869"", ""7209022"", ""7239171"", ""7387422"", ""7287434"", ""7329333"", ""7283346"", ""7947017""]",
829562,zh,政党的主要目的是什么？,"[""3347905""]","[""3347905"", ""7245877"", ""7420461"", ""7396947"", ""7926476"", ""7127941"", ""7846219"", ""7253966"", ""7123349"", ""7386744""]",
1055884,zh,谁是第一个在写作中使用社会学的作者,"[""67588""]","[""7763743"", ""7318902"", ""2773219"", ""67588"", ""7626411"", ""7773767"", ""7257833"", ""7876093"", ""7626410"", ""7541544""]",
466830,zh,氮中的质子数、中子数和电子数 14,"[""7709283""]","[""7080008"", ""7201997"", ""3349239"", ""7965476"", ""6975031"", ""7656967"", ""7229862"", ""7709283"", ""7568605"", ""7943897""]",
1048871,zh,谁在 bunkd 中扮演 xander,"[""4146836""]","[""4146836"", ""7889259"", ""7292304"", ""7124323"", ""7291282"", ""7081061"", ""7085516"", ""7764195"", ""7623838"", ""7285853""]",
1085775,zh,引导图像利用什么联系将您带入深入,"[""7116157""]","[""7327215"", ""7471666"", ""7116157"", ""7356443"", ""7717805"", ""7287774"", ""718115"", ""7257787"", ""7297379"", ""7752264""]",
884298,zh,哪些参数会影响呼吸机的 i:e 比率,"[""7928696"", ""7928694""]","[""7928694"", ""7928696"", ""7296810"", ""7165807"", ""7864843"", ""7210335"", ""7358221"", ""7272695"", ""7552032"", ""7488637""]",
1097199,zh,一个女人有多少个卵子,"[""7433925""]","[""110910"", ""7433925"", ""7210214"", ""7433792"", ""7992043"", ""7806346"", ""7273604"", ""7211660"", ""5730265"", ""2263573""]",
