query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,zh-en,温度与体积的正反mathematical relationship是什么,"[""7206684""]","[""7206684"", ""7691361"", ""7492132"", ""7217353"", ""7165807"", ""7527060"", ""4798181"", ""7239230"", ""7220288"", ""7488637""]",0.2222222222222222
1035645,zh-en,俄罗斯的城堡叫什么name,"[""7208858""]","[""7208858"", ""7152404"", ""7028429"", ""7105678"", ""1878861"", ""7858842"", ""7245028"", ""7134705"", ""7085238"", ""7224927""]",0.16666666666666663
71029,zh-en,莱姆病会导致dogs的毛囊炎吗,"[""7670160""]","[""7679596"", ""1163812"", ""7670160"", ""7576393"", ""7345967"", ""7483627"", ""7112464"", ""7996955"", ""7767842"", ""1033337""]",0.1428571428571429
1083836,zh-en,fdic insured是什么意思？,"[""1896608""]","[""1896608"", ""1159597"", ""7375334"", ""4191529"", ""7854955"", ""7308077"", ""7679312"", ""7595500"", ""7688312"", ""7808278""]",0.19999999999999996
1058885,zh-en,是什么causing了持续的干胀和恶心,"[""7170528""]","[""5584747"", ""7531239"", ""7399600"", ""7125409"", ""7538477"", ""7139764"", ""6407050"", ""764872"", ""7780379"", ""7374761""]",0.11111111111111116
1039189,zh-en,谁是星际迷航行动歼灭team的女演员,"[""7805080""]","[""7290137"", ""7805080"", ""7572869"", ""7296899"", ""7636646"", ""7732555"", ""7490735"", ""7124323"", ""7355808"", ""1757350""]",0.11111111111111116
829562,zh-en,政党的主要purpose是什么？,"[""3347905""]","[""3347905"", ""7245877"", ""3353086"", ""7532348"", ""7216092"", ""7396947"", ""7284311"", ""7846219"", ""2468148"", ""7420461""]",0.16666666666666663
1055884,zh-en,谁是第一个在writing中使用社会学的作者,"[""67588""]","[""7763743"", ""67588"", ""7082559"", ""7626411"", ""7876093"", ""7474496"", ""7907439"", ""7943543"", ""7914330"", ""7283703""]",0.09999999999999998
466830,zh-en,氮中的质子数、中子数和electrons 14,"[""7709283""]","[""7709283"", ""7080008"", ""7158898"", ""7201997"", ""7206592"", ""7777896"", ""7402796"", ""7674848"", ""3349239"", ""7100247""]",0.18181818181818177
1048871,zh-en,谁在bunkd中plays xander,"[""4146836""]","[""4146836"", ""7855353"", ""7849238"", ""7285853"", ""7888038"", ""7302021"", ""1663521"", ""7900240"", ""7292304"", ""7750201""]",0.16666666666666663
1085775,zh-en,引导图像advantage什么联系将您带入深入,"[""7116157""]","[""7116157"", ""7560613"", ""7517701"", ""7339731"", ""7356443"", ""7801777"", ""7831440"", ""7945195"", ""7202654"", ""7277016""]",0.11111111111111116
884298,zh-en,哪些parameters会影响呼吸机的i : e比率,"[""7928696"", ""7928694""]","[""7220288"", ""7928694"", ""7552032"", ""7165807"", ""7272695"", ""7684288"", ""7657465"", ""7828466"", ""7358221"", ""7558643""]",0.11111111111111116
1097199,zh-en,一个女人有多少个eggs,"[""7433925""]","[""7598769"", ""7416687"", ""7857224"", ""7713961"", ""7304054"", ""3788791"", ""7363492"", ""7325989"", ""3092720"", ""7607054""]",0.16666666666666663
950016,zh-en,瑞士的daylight time是什么时候,"[""7754765""]","[""7754765"", ""7410122"", ""7236525"", ""7936377"", ""7214721"", ""7095708"", ""7849778"", ""7204196"", ""7438631"", ""7862783""]",0.16666666666666663
337148,zh-en,你的小狗应该多old才能接种狂犬病疫苗,"[""7389316""]","[""7389316"", ""7076146"", ""609254"", ""7311939"", ""7700487"", ""7187607"", ""7974596"", ""7493757"", ""7492451"", ""7788643""]",0.11111111111111116
733241,zh-en,什么被considered是着装,"[""1699500""]","[""7933515"", ""7069399"", ""1699500"", ""7421911"", ""7736585"", ""7355625"", ""7689562"", ""7647619"", ""7171569"", ""7187592""]",0.19999999999999996
576898,zh-en,什么是最常fought的战争,"[""7598385""]","[""7389537"", ""7742103"", ""7829864"", ""7081759"", ""7214220"", ""7156492"", ""7738141"", ""7823965"", ""686405"", ""1798522""]",0.16666666666666663
617306,zh-en,什么缺乏会在指甲上产生white spot,"[""7502930""]","[""7493514"", ""7502930"", ""1903885"", ""7122052"", ""7459621"", ""480677"", ""7537844"", ""7493507"", ""5200958"", ""7073140""]",0.125
