query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,zh,温度与体积的正反数学关系是什么,"[""7206684""]","[""7944283"", ""7206258"", ""3377756"", ""7905266"", ""606920"", ""7443603"", ""7829336"", ""7697113"", ""7427166"", ""7203806""]",
1035645,zh,俄罗斯的城堡叫什么名字,"[""7208858""]","[""7944283"", ""7471842"", ""7249906"", ""7905266"", ""7220993"", ""7812355"", ""7427166"", ""7307069"", ""7418762"", ""654791""]",
71029,zh,莱姆病会导致狗的毛囊炎吗,"[""7670160""]","[""7206258"", ""7641108"", ""4305606"", ""7829336"", ""606920"", ""3377756"", ""7327905"", ""7470381"", ""7443603"", ""7207496""]",
1083836,zh,fdic 投保是什么意思？,"[""1896608""]","[""7905266"", ""7759913"", ""7843164"", ""7407545"", ""7106344"", ""7725198"", ""6840153"", ""7944283"", ""7539133"", ""7418762""]",
1058885,zh,是什么导致了持续的干胀和恶心,"[""7170528""]","[""7206258"", ""3377756"", ""606920"", ""7641108"", ""4305606"", ""7784934"", ""7829336"", ""7144571"", ""7681893"", ""7605018""]",
1039189,zh,谁是星际迷航行动歼灭客队的女演员,"[""7805080""]","[""7944283"", ""7905266"", ""7697113"", ""6321362"", ""7812355"", ""7539133"", ""7843164"", ""7471842"", ""7602332"", ""4110699""]",
829562,zh,政党的主要目的是什么？,"[""3347905""]","[""7944283"", ""7905266"", ""7206258"", ""7649694"", ""7697113"", ""3377756"", ""4110699"", ""7141348"", ""7106344"", ""7699201""]",
1055884,zh,谁是第一个在写作中使用社会学的作者,"[""67588""]","[""7206258"", ""7784934"", ""7829336"", ""3377756"", ""7944283"", ""7443603"", ""6321362"", ""7641108"", ""7905266"", ""7327905""]",
466830,zh,氮中的质子数、中子数和电子数 14,"[""7709283""]","[""7944283"", ""7905266"", ""7697113"", ""7812355"", ""7427166"", ""7471842"", ""7249906"", ""7106344"", ""6321362"", ""4110699""]",
1048871,zh,谁在 bunkd 中扮演 xander,"[""4146836""]","[""7944283"", ""7905266"", ""7699201"", ""7642112"", ""654791"", ""7812355"", ""7697113"", ""7106344"", ""7407545"", ""7448417""]",
1085775,zh,引导图像利用什么联系将您带入深入,"[""7116157""]","[""7944283"", ""7206258"", ""7905266"", ""7829336"", ""7699201"", ""3377756"", ""7697113"", ""6321362"", ""7443603"", ""7642112""]",
884298,zh,哪些参数会影响呼吸机的 i:e 比率,"[""7928694"", ""7928696""]","[""7905266"", ""7944283"", ""7569796"", ""7757115"", ""7697113"", ""2962978"", ""7106344"", ""3377756"", ""7649694"", ""7451575""]",
1097199,zh,一个女人有多少个卵子,"[""7433925""]","[""7130196"", ""7656214"", ""7206258"", ""7207496"", ""606920"", ""7776263"", ""7560487"", ""7143588"", ""4305606"", ""7232021""]",
950016,zh,瑞士的夏令时是什么时候,"[""7754765""]","[""7944283"", ""7905266"", ""3377756"", ""7427166"", ""7443603"", ""7829336"", ""7106344"", ""606920"", ""7206258"", ""7141348""]",
337148,zh,你的小狗应该多大才能接种狂犬病疫苗,"[""7389316""]","[""7206258"", ""7641108"", ""7829336"", ""606920"", ""3377756"", ""7944283"", ""4305606"", ""7443603"", ""6321362"", ""7697113""]",
733241,zh,什么被认为是着装,"[""1699500""]","[""7944283"", ""7717657"", ""7427166"", ""7513834"", ""7905266"", ""7978462"", ""7081499"", ""7843164"", ""7898301"", ""7106344""]",
576898,zh,什么是最常发生的战争,"[""7598385""]","[""7944283"", ""7905266"", ""7249906"", ""7843164"", ""7471842"", ""7616917"", ""7697113"", ""7418762"", ""654791"", ""7106344""]",
617306,zh,什么缺乏会在指甲上产生白斑,"[""7502930""]","[""7944283"", ""7905266"", ""7697113"", ""654791"", ""7206258"", ""7539133"", ""7338362"", ""7812355"", ""7569796"", ""7148994""]",
1064470,zh,为什么鸡蛋会变成褐色,"[""7728289""]","[""7206258"", ""7863210"", ""7944283"", ""606920"", ""7434188"", ""7210894"", ""7203806"", ""7451460"", ""7681893"", ""7656214""]",
393696,zh,在德克萨斯州申请成为经纪人需要什么要求,"[""7598745""]","[""7944283"", ""7905266"", ""7699201"", ""7555955"", ""7697113"", ""7642112"", ""7125230"", ""7148994"", ""7571647"", ""7719848""]",
992193,zh,谁创造了适者生存的概念？查尔斯·达尔文卡尔·马克思赫伯特·斯宾塞马克斯·韦伯,"[""7280593""]","[""7340131"", ""7798407"", ""7145360"", ""7211768"", ""7382276"", ""7939513"", ""7548951"", ""7091577"", ""7249473"", ""7638566""]",
829915,zh,经父母同意，堪萨斯州的结婚年龄是多少,"[""7787972""]","[""4305606"", ""7206258"", ""7641108"", ""7829336"", ""7535261"", ""606920"", ""7144571"", ""7784934"", ""7226978"", ""7203806""]",
987767,zh,罗伊摩尔输给了谁,"[""7290624""]","[""7944283"", ""7905266"", ""7697113"", ""7206258"", ""7699201"", ""6321362"", ""7106344"", ""7642112"", ""3377756"", ""7427166""]",
299128,zh,每月多少单位的水,"[""6720313""]","[""7944283"", ""7717657"", ""7898301"", ""7427166"", ""7106344"", ""654791"", ""7905266"", ""3377756"", ""7513834"", ""606920""]",
814132,zh,什么是每日钠限量,"[""7951365""]","[""7944283"", ""7905266"", ""3377756"", ""7427166"", ""7106344"", ""7697113"", ""7513834"", ""4110699"", ""7171962"", ""6321362""]",
874257,zh,作者用什么文学手法来描述约翰尼抢劫局外人的行为,"[""7867405""]","[""7944283"", ""7905266"", ""7141348"", ""7649694"", ""7569796"", ""7569893"", ""5877900"", ""7106344"", ""7448417"", ""7976979""]",
868598,zh,你需要什么样的成绩才能成为一名牙科保健员,"[""7743190""]","[""7944283"", ""7905266"", ""7697113"", ""7840739"", ""6321362"", ""7555955"", ""7539133"", ""7812355"", ""7757115"", ""7699201""]",
1071609,zh,为什么噪音是个问题,"[""7816796""]","[""7206258"", ""7944283"", ""7905266"", ""606920"", ""3377756"", ""7829336"", ""7434188"", ""7697113"", ""654791"", ""7427166""]",
663595,zh,罗伯·托马斯是什么类型的,"[""7465375""]","[""7905266"", ""7944283"", ""7407545"", ""7699201"", ""7418762"", ""7555955"", ""7697113"", ""7539133"", ""7106344"", ""7843164""]",
1062203,zh,为什么布拉德皮特和安吉丽娜朱莉离婚,"[""7569446""]","[""7944283"", ""7905266"", ""7206258"", ""7697113"", ""6321362"", ""7642112"", ""7393130"", ""7840739"", ""7699201"", ""7536893""]",
182644,zh,药物戒断症状的例子,"[""7935405""]","[""7905266"", ""7944283"", ""7206258"", ""7569796"", ""2962978"", ""3377756"", ""7697113"", ""6321362"", ""7106344"", ""7976979""]",
931029,zh,黄瓜的平均大小是多少,"[""7812195""]","[""7944283"", ""7434188"", ""7427166"", ""7206258"", ""7863210"", ""7717657"", ""606920"", ""7210894"", ""7081499"", ""654791""]",
924580,zh,什么威士忌是由小麦制成的,"[""7853736"", ""7853738""]","[""7944283"", ""7206258"", ""7434188"", ""7905266"", ""7203806"", ""7697113"", ""7427166"", ""606920"", ""7198274"", ""654791""]",
