query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,es,¿Cuál es la relación matemática entre temperatura y volumen directa o inversa?,"[""7206684""]","[""7218253"", ""2008909"", ""7784692"", ""7917222"", ""3687536"", ""6115458"", ""7918430"", ""7709987"", ""7718986"", ""7084608""]",
1035645,es,cual es el nombre del castillo en rusia,"[""7208858""]","[""5685170"", ""7493086"", ""7989986"", ""7717779"", ""683253"", ""7678610"", ""7385217"", ""5417029"", ""7638397"", ""8001573""]",
71029,es,¿Puede la enfermedad de Lyme causar foliculitis en perros?,"[""7670160""]","[""8003099"", ""699672"", ""607062"", ""7237117"", ""7794715"", ""7784692"", ""7958001"", ""7567728"", ""7707643"", ""7621559""]",
1083836,es,¿Qué significa asegurado por fdic?,"[""1896608""]","[""7198246"", ""7549452"", ""683253"", ""7630225"", ""7253021"", ""7536026"", ""7110913"", ""7952687"", ""7180379"", ""7199352""]",
1058885,es,¿Qué está causando las constantes náuseas y arcadas secas?,"[""7170528""]","[""7081906"", ""7259658"", ""78207"", ""7932623"", ""1567987"", ""7452407"", ""7465775"", ""3363817"", ""5815698"", ""1968762""]",
1039189,es,¿Quién es la actriz del equipo visitante en la operación Star Trek Aniquilar?,"[""7805080""]","[""7291573"", ""1304103"", ""7081897"", ""7838446"", ""7923778"", ""7888680"", ""7114071"", ""7875835"", ""7777183"", ""7497303""]",
829562,es,¿Cuál es el objetivo principal de un partido político?,"[""3347905""]","[""7271656"", ""7708023"", ""7550921"", ""408814"", ""7081906"", ""7230798"", ""7941440"", ""7082809"", ""7162482"", ""7932623""]",
1055884,es,¿Quién fue el primer autor en utilizar la sociología en sus escritos?,"[""67588""]","[""7932623"", ""7305780"", ""7459718"", ""7230798"", ""683253"", ""8001573"", ""5000114"", ""7556854"", ""7150799"", ""2040215""]",
466830,es,"número de protones, neutrones y electrones en nitrógeno 14","[""7709283""]","[""7526095"", ""7158898"", ""7148985"", ""7206592"", ""7970206"", ""7629238"", ""7795902"", ""7779044"", ""2008909"", ""7438348""]",
1048871,es,quien interpreta a xander de bunkd,"[""4146836""]","[""683253"", ""7709125"", ""7839134"", ""7717779"", ""7556854"", ""7269859"", ""7201521"", ""7175404"", ""7114071"", ""7694064""]",
1085775,es,¿Qué conexión aprovechan las imágenes guiadas para transportarte profundamente,"[""7116157""]","[""7658772"", ""7593875"", ""7431830"", ""7525244"", ""7949989"", ""3758391"", ""7694883"", ""7665080"", ""7099129"", ""7214632""]",
884298,es,¿Qué parámetros afectan la relación i: e en los ventiladores?,"[""7928694"", ""7928696""]","[""3363817"", ""7680210"", ""7237117"", ""7091598"", ""7150799"", ""1943020"", ""7571281"", ""7527060"", ""7652620"", ""7707643""]",
1097199,es,¿Cuántos óvulos tiene una mujer?,"[""7433925""]","[""7723320"", ""7440779"", ""6635922"", ""7717779"", ""1943020"", ""7389710"", ""7396865"", ""7301189"", ""7610341"", ""683253""]",
950016,es,¿Cuándo es el horario de verano en Suiza?,"[""7754765""]","[""78207"", ""7091913"", ""7918430"", ""7550921"", ""1989279"", ""6093834"", ""7079152"", ""4590299"", ""1033855"", ""7092366""]",
337148,es,¿Qué edad debe tener su cachorro para recibir la vacuna contra la rabia?,"[""7389316""]","[""7700487"", ""7957303"", ""1033855"", ""7567728"", ""7218253"", ""7076927"", ""7784692"", ""7527060"", ""7834955"", ""7678643""]",
733241,es,lo que se considera vestimenta,"[""1699500""]","[""8001573"", ""7162482"", ""7717779"", ""683253"", ""7709125"", ""7839134"", ""7180379"", ""991764"", ""7794715"", ""7307999""]",
576898,es,¿Cuáles son las guerras por las que se pelea más comúnmente?,"[""7598385""]","[""7162482"", ""683253"", ""2057086"", ""8001573"", ""4804980"", ""7276446"", ""7570136"", ""7165350"", ""7717779"", ""7679813""]",
617306,es,que deficiencia produce mancha blanca en las uñas,"[""7502930""]","[""7717779"", ""7162482"", ""683253"", ""7180379"", ""7800873"", ""8001573"", ""7389599"", ""7218781"", ""7080582"", ""7871024""]",
1064470,es,¿Por qué los huevos se vuelven marrones?,"[""7728289""]","[""78207"", ""7941440"", ""7918430"", ""408814"", ""7161993"", ""7112239"", ""7301118"", ""7734291"", ""4291627"", ""7332142""]",
393696,es,"en texas, qué requisitos se necesitan para postularse para convertirse en corredor","[""7598745""]","[""7888680"", ""683253"", ""290936"", ""7079199"", ""7109056"", ""7821842"", ""7717779"", ""7218860"", ""7465375"", ""7460396""]",
992193,es,¿Quién acuñó el concepto de supervivencia del más apto? charles darwin karl marx herbert spencer max weber,"[""7280593""]","[""8000995"", ""7709125"", ""7427974"", ""8001573"", ""7918430"", ""7874712"", ""7173946"", ""683253"", ""7480498"", ""5000114""]",
829915,es,¿Cuál es la edad para contraer matrimonio en Kansas con el consentimiento de los padres?,"[""7787972""]","[""7182595"", ""7426956"", ""7497303"", ""7888680"", ""7465375"", ""7460396"", ""7792907"", ""290936"", ""7528948"", ""7114071""]",
987767,es,con quien Roy Moore perdió,"[""7290624""]","[""7750358"", ""7117431"", ""7754210"", ""7728998"", ""7291425"", ""7603149"", ""7967706"", ""7717237"", ""7972112"", ""7767103""]",
299128,es,cuántas unidades de agua por mes,"[""6720313""]","[""2008909"", ""6115458"", ""7111569"", ""7274789"", ""1936146"", ""7742621"", ""7794715"", ""5675265"", ""7971873"", ""1243285""]",
814132,es,cuál es el límite diario de sodio,"[""7951365""]","[""699672"", ""7237117"", ""7652620"", ""929425"", ""3363817"", ""683253"", ""7365294"", ""7389710"", ""7246516"", ""7162482""]",
874257,es,¿Qué recurso literario utiliza el autor para describir el atraco de johnny a los forasteros?,"[""7867405""]","[""7944889"", ""7291573"", ""290936"", ""7949132"", ""7953625"", ""7603149"", ""7939573"", ""7183152"", ""7698164"", ""7843956""]",
868598,es,¿Qué notas necesitas para ser higienista dental?,"[""7743190""]","[""8003099"", ""2300082"", ""7396865"", ""607062"", ""7794715"", ""2784736"", ""7816967"", ""7218781"", ""7563950"", ""7573823""]",
1071609,es,¿Por qué el ruido es un problema?,"[""7816796""]","[""7727773"", ""7873532"", ""7218253"", ""7605153"", ""7357414"", ""7087019"", ""408814"", ""7161993"", ""7932623"", ""7918430""]",
663595,es,que genero es rob thomas,"[""7465375""]","[""7135883"", ""683253"", ""7577926"", ""7153574"", ""7694064"", ""7109056"", ""290936"", ""7665038"", ""7175404"", ""7091344""]",
1062203,es,¿Por qué Brad Pitt y Angelina Jolie se divorciaron?,"[""7569446""]","[""7923778"", ""7932623"", ""7079152"", ""7249466"", ""5235392"", ""78207"", ""7357414"", ""7459718"", ""7717779"", ""7091913""]",
182644,es,ejemplos de síntomas de abstinencia de drogas,"[""7935405""]","[""7686549"", ""7117499"", ""7367248"", ""1904588"", ""7630376"", ""7916981"", ""2225701"", ""7424408"", ""7560790"", ""7452987""]",
