query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,es,¿Cuál es la relación matemática entre temperatura y volumen directa o inversa?,"[""7206684""]","[""7206684"", ""7272695"", ""7217353"", ""7672368"", ""1335588"", ""7659466"", ""7804101"", ""7933971"", ""7566992"", ""7165807""]",
1035645,es,cual es el nombre del castillo en rusia,"[""7208858""]","[""7208858"", ""7152404"", ""1878861"", ""7028429"", ""7858842"", ""7957524"", ""7105678"", ""7292184"", ""7085238"", ""7396043""]",
71029,es,¿Puede la enfermedad de Lyme causar foliculitis en perros?,"[""7670160""]","[""7670160"", ""7112464"", ""7579869"", ""7679596"", ""7959219"", ""7455776"", ""1033337"", ""1623640"", ""1163812"", ""7795418""]",
1083836,es,¿Qué significa asegurado por fdic?,"[""1896608""]","[""1896608"", ""4191529"", ""3125025"", ""7679312"", ""541662"", ""7146364"", ""7211811"", ""7133583"", ""7193504"", ""7313355""]",
1058885,es,¿Qué está causando las constantes náuseas y arcadas secas?,"[""7170528""]","[""5584747"", ""7966808"", ""764872"", ""7481555"", ""7205952"", ""7623855"", ""5099300"", ""7179324"", ""7685878"", ""4486381""]",
1039189,es,¿Quién es la actriz del equipo visitante en la operación Star Trek Aniquilar?,"[""7805080""]","[""7824464"", ""7355250"", ""270380"", ""7480056"", ""7239171"", ""7636646"", ""7290137"", ""2323298"", ""7805080"", ""7490735""]",
829562,es,¿Cuál es el objetivo principal de un partido político?,"[""3347905""]","[""3347905"", ""4582296"", ""7619859"", ""991142"", ""7105483"", ""2468148"", ""1455862"", ""7847593"", ""7216092"", ""7619857""]",
1055884,es,¿Quién fue el primer autor en utilizar la sociología en sus escritos?,"[""67588""]","[""7763743"", ""67588"", ""7082559"", ""7435832"", ""8003099"", ""7907439"", ""7907440"", ""7943543"", ""7466996"", ""7105483""]",
466830,es,"número de protones, neutrones y electrones en nitrógeno 14","[""7709283""]","[""7709283"", ""7158898"", ""7080008"", ""7402796"", ""3349239"", ""7107654"", ""7491456"", ""7148994"", ""7777896"", ""7860609""]",
1048871,es,quien interpreta a xander de bunkd,"[""4146836""]","[""4146836"", ""7880839"", ""7764195"", ""7124323"", ""7290260"", ""7750201"", ""7888038"", ""7727630"", ""7768274"", ""7857148""]",
1085775,es,¿Qué conexión aprovechan las imágenes guiadas para transportarte profundamente,"[""7116157""]","[""7116157"", ""7178887"", ""7534867"", ""2753653"", ""7309353"", ""7026760"", ""7676182"", ""7929939"", ""7659801"", ""7145212""]",
