query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,zh,温度与体积的正反数学关系是什么,"[""7206684""]","[""7272695"", ""7985667"", ""7197444"", ""7692857"", ""7165807"", ""7555272"", ""7933971"", ""7206684"", ""1468748"", ""7235859""]",
1035645,zh,俄罗斯的城堡叫什么名字,"[""7208858""]","[""7208858"", ""7858842"", ""7647057"", ""7152404"", ""7292184"", ""7105678"", ""7415405"", ""7684046"", ""7396043"", ""7725799""]",
71029,zh,莱姆病会导致狗的毛囊炎吗,"[""7670160""]","[""7996955"", ""1853353"", ""7459302"", ""7630491"", ""7389103"", ""7442428"", ""7345967"", ""7465627"", ""7164210"", ""7679596""]",
1083836,zh,fdic 投保是什么意思？,"[""1896608""]","[""1896608"", ""1159597"", ""4591673"", ""7375334"", ""7808278"", ""7397110"", ""7669318"", ""7697631"", ""7146364"", ""7272930""]",
1058885,zh,是什么导致了持续的干胀和恶心,"[""7170528""]","[""4486381"", ""7285586"", ""7237598"", ""1904588"", ""7125409"", ""7531239"", ""7153828"", ""298259"", ""921438"", ""5200958""]",
1039189,zh,谁是星际迷航行动歼灭客队的女演员,"[""7805080""]","[""7290137"", ""7490735"", ""7239171"", ""7983669"", ""7355808"", ""7643675"", ""7767103"", ""7288284"", ""7125398"", ""7387422""]",
829562,zh,政党的主要目的是什么？,"[""3347905""]","[""3347905"", ""7245877"", ""7846219"", ""7719848"", ""7105479"", ""3353086"", ""7108043"", ""7216092"", ""7562831"", ""7123349""]",
1055884,zh,谁是第一个在写作中使用社会学的作者,"[""67588""]","[""7763743"", ""7541544"", ""7318902"", ""67588"", ""7435832"", ""7876093"", ""7082559"", ""2773219"", ""7907439"", ""7787203""]",
466830,zh,氮中的质子数、中子数和电子数 14,"[""7709283""]","[""3349239"", ""7080008"", ""7206592"", ""6975031"", ""3139046"", ""7165807"", ""7709283"", ""7305462"", ""7965476"", ""7969020""]",
1048871,zh,谁在 bunkd 中扮演 xander,"[""4146836""]","[""4146836"", ""7124323"", ""7292304"", ""7623838"", ""7764195"", ""7412014"", ""7412017"", ""7285853"", ""7855353"", ""7888038""]",
1085775,zh,引导图像利用什么联系将您带入深入,"[""7116157""]","[""7752264"", ""7188975"", ""7111959"", ""7544522"", ""7695749"", ""7339731"", ""7456010"", ""7153849"", ""7577350"", ""7560613""]",
884298,zh,哪些参数会影响呼吸机的 i:e 比率,"[""7928696"", ""7928694""]","[""7928694"", ""7272695"", ""7928696"", ""7268557"", ""7296810"", ""7568605"", ""7305462"", ""7235691"", ""7081249"", ""7116305""]",
1097199,zh,一个女人有多少个卵子,"[""7433925""]","[""7433925"", ""7806346"", ""7433792"", ""7534069"", ""7210214"", ""7330328"", ""7416687"", ""7273604"", ""2263573"", ""7559587""]",
950016,zh,瑞士的夏令时是什么时候,"[""7754765""]","[""7754765"", ""7910373"", ""7853910"", ""4404202"", ""7973805"", ""8009106"", ""73799"", ""256757"", ""7936377"", ""7856084""]",
337148,zh,你的小狗应该多大才能接种狂犬病疫苗,"[""7389316""]","[""7389316"", ""7700487"", ""7311939"", ""609254"", ""7187607"", ""7974596"", ""7493757"", ""7076146"", ""7312387"", ""3041398""]",
733241,zh,什么被认为是着装,"[""1699500""]","[""7933515"", ""7690222"", ""7778956"", ""2524631"", ""7556003"", ""2158081"", ""7812024"", ""7509034"", ""6519900"", ""7706332""]",
576898,zh,什么是最常发生的战争,"[""7598385""]","[""7389537"", ""1798522"", ""7598385"", ""7829864"", ""7253685"", ""7742103"", ""7081759"", ""7738141"", ""73242"", ""7873893""]",
617306,zh,什么缺乏会在指甲上产生白斑,"[""7502930""]","[""7502930"", ""7122052"", ""5200958"", ""7405669"", ""7493514"", ""1903885"", ""7459621"", ""7852029"", ""7712580"", ""7583039""]",
1064470,zh,为什么鸡蛋会变成褐色,"[""7728289""]","[""7728289"", ""7364432"", ""7967858"", ""233414"", ""7490121"", ""7442410"", ""1501464"", ""7124099"", ""4425196"", ""7115550""]",
393696,zh,在德克萨斯州申请成为经纪人需要什么要求,"[""7598745""]","[""7645183"", ""7598745"", ""7073772"", ""7934632"", ""7917146"", ""7714548"", ""7535445"", ""7384736"", ""7604187"", ""7917141""]",
992193,zh,谁创造了适者生存的概念？查尔斯·达尔文卡尔·马克思赫伯特·斯宾塞马克斯·韦伯,"[""7280593""]","[""7280593"", ""7902342"", ""4772781"", ""7242879"", ""7394614"", ""7541544"", ""7125772"", ""7498811"", ""7294698"", ""7730985""]",
829915,zh,经父母同意，堪萨斯州的结婚年龄是多少,"[""7787972""]","[""7787972"", ""7900321"", ""7378072"", ""7167740"", ""7559824"", ""7599232"", ""5898158"", ""7106774"", ""7436245"", ""7097521""]",
987767,zh,罗伊摩尔输给了谁,"[""7290624""]","[""7290624"", ""7607111"", ""7415038"", ""7445716"", ""4765911"", ""7990677"", ""7607918"", ""7782055"", ""7705935"", ""7701740""]",
299128,zh,每月多少单位的水,"[""6720313""]","[""6720313"", ""7073976"", ""7229678"", ""7776376"", ""2792154"", ""7485559"", ""7563235"", ""297647"", ""1924680"", ""7566992""]",
814132,zh,什么是每日钠限量,"[""7951365""]","[""7591413"", ""7951365"", ""1460244"", ""7567998"", ""714998"", ""7485559"", ""3545260"", ""7999136"", ""7837801"", ""7970049""]",
874257,zh,作者用什么文学手法来描述约翰尼抢劫局外人的行为,"[""7867405""]","[""7867405"", ""7541544"", ""7125373"", ""7892090"", ""7778543"", ""7639740"", ""7550938"", ""7951438"", ""7460675"", ""7204388""]",
868598,zh,你需要什么样的成绩才能成为一名牙科保健员,"[""7743190""]","[""7360526"", ""7360530"", ""7863564"", ""7743190"", ""6348579"", ""7405327"", ""1861429"", ""7391225"", ""7238972"", ""7396805""]",
1071609,zh,为什么噪音是个问题,"[""7816796""]","[""7816796"", ""7087019"", ""7297061"", ""7953291"", ""7647509"", ""7403659"", ""8000550"", ""7853479"", ""7216983"", ""7325759""]",
663595,zh,罗伯·托马斯是什么类型的,"[""7465375""]","[""7465375"", ""7689707"", ""7787136"", ""7084659"", ""7277252"", ""7569432"", ""7300227"", ""7512964"", ""7224174"", ""7290399""]",
1062203,zh,为什么布拉德皮特和安吉丽娜朱莉离婚,"[""7569446""]","[""7569446"", ""7864039"", ""7573749"", ""8002315"", ""7339164"", ""7842616"", ""7130660"", ""7581767"", ""7430773"", ""7532415""]",
